mpi_proc,omp_threads,time
4,1,12.784247
4,1,12.696722
4,1,12.718504
4,1,12.685637
4,1,12.668245
4,2,6.451047
4,2,6.590124
4,2,6.465091
4,2,6.463916
4,2,6.618935
4,3,4.355576
4,3,4.519018
4,3,4.420754
4,3,4.367169
4,3,4.473301
4,4,3.322131
4,4,3.304063
4,4,3.375277
4,4,3.327050
4,4,3.463385
4,5,2.678078
4,5,2.738783
4,5,2.691553
4,5,2.692761
4,5,2.875250
4,6,2.293629
4,6,2.276262
4,6,2.261538
4,6,2.271292
4,6,2.281227
4,7,1.989179
4,7,1.994229
4,7,1.989800
4,7,1.994488
4,7,1.993508
4,8,1.765540
4,8,1.887550
4,8,1.791593
4,8,1.879324
4,8,1.885203
4,10,1.413111
4,10,1.480185
4,10,1.427306
4,10,1.429613
4,10,1.407813
4,10,1.424794
4,10,1.433937
4,10,1.403792
4,10,1.417010
4,10,1.420558
4,12,1.417703
4,12,1.205040
4,12,1.204493
4,12,1.422057
4,12,1.214308
4,12,1.193589
4,12,1.283999
4,12,1.356676
4,12,1.453361
4,12,1.207121
4,14,1.167530
4,14,1.149358
4,14,1.123064
4,14,1.054920
4,14,1.075441
4,14,1.054377
4,14,1.078527
4,14,1.048308
4,14,1.068143
4,14,1.199620
4,16,0.958093
4,16,1.050232
4,16,0.986528
4,16,0.952052
4,16,1.051005
4,16,0.969019
4,16,1.102699
4,16,1.044806
4,16,1.035451
4,16,0.946792
4,18,0.887246
4,18,0.873060
4,18,1.046272
4,18,0.876245
4,18,0.861433
4,18,0.867638
4,18,1.001956
4,18,0.857311
4,18,0.865989
4,18,1.028584
4,20,0.791355
4,20,0.834098
4,20,0.801683
4,20,0.886185
4,20,0.889485
4,20,0.890052
4,20,0.912515
4,20,0.948064
4,20,0.824813
4,20,0.789738
4,22,0.728141
4,22,0.743250
4,22,0.744960
4,22,0.724140
4,22,0.719436
4,22,0.807242
4,22,0.727493
4,22,0.740684
4,22,0.708855
4,22,0.779201
4,24,0.686165
4,24,0.662546
4,24,0.691209
4,24,0.781473
4,24,0.672479
4,24,0.777723
4,24,0.671927
4,24,0.779064
4,24,0.666551
4,24,0.678673
4,26,0.621794
4,26,0.672915
4,26,0.634023
4,26,0.709730
4,26,0.628014
4,26,0.803269
4,26,0.641437
4,26,0.754040
4,26,0.623259
4,26,0.713676
4,28,0.595143
4,28,0.743612
4,28,0.726334
4,28,0.715182
4,28,0.582146
4,28,0.624627
4,28,0.605535
4,28,0.746738
4,28,0.596801
4,28,0.586471
4,30,0.545426
4,30,0.635091
4,30,0.719056
4,30,0.581059
4,30,0.550378
4,30,0.564732
4,30,0.814632
4,30,0.584820
4,30,0.553361
4,30,0.567588
4,32,0.542279
4,32,0.711473
4,32,0.594417
4,32,0.507206
4,32,0.670868
4,32,0.618905
4,32,0.543659
4,32,0.631292
4,32,0.543540
4,32,0.575576
4,34,0.561181
4,34,0.518589
4,34,0.582183
4,34,0.501408
4,34,0.523697
4,34,0.535518
4,34,0.592008
4,34,0.598916
4,34,0.534888
4,34,0.590393
4,36,0.495497
4,36,0.499165
4,36,0.501860
4,36,0.478031
4,36,0.679987
4,36,0.520562
4,36,0.558619
4,36,0.755275
4,36,0.489759
4,36,0.513467
4,38,0.504379
4,38,0.641653
4,38,0.472125
4,38,0.509809
4,38,0.484175
4,38,0.567399
4,38,0.506766
4,38,0.637328
4,38,0.482297
4,38,0.490923
4,40,0.442079
4,40,0.598179
4,40,0.459163
4,40,0.491340
4,40,0.473432
4,40,0.464409
4,40,0.458170
4,40,0.479952
4,40,0.549288
4,40,0.467785
4,42,0.444021
4,42,0.432735
4,42,0.458066
4,42,0.433899
4,42,0.490476
4,42,0.659440
4,42,0.450743
4,42,0.440465
4,42,0.457239
4,42,0.543528
4,44,0.525800
4,44,0.568000
4,44,0.471978
4,44,0.439813
4,44,0.572573
4,44,0.430182
4,44,0.423915
4,44,0.429946
4,44,0.421562
4,44,0.422539
4,46,0.509036
4,46,0.443935
4,46,0.778323
4,46,0.457306
4,46,0.537463
4,46,0.466561
4,46,0.530021
4,46,0.416247
4,46,0.449738
4,46,0.467234
4,48,0.390998
4,48,0.433096
4,48,0.405063
4,48,0.543650
4,48,0.406125
4,48,0.544408
4,48,0.502080
4,48,0.390540
4,48,0.416932
4,48,0.524696
4,50,0.397911
4,50,0.523010
4,50,0.400297
4,50,0.403536
4,50,0.611792
4,50,0.411952
4,50,0.385573
4,50,0.397064
4,50,0.417737
4,50,0.420998
4,52,0.382297
4,52,0.445970
4,52,0.395038
4,52,0.485653
4,52,0.388716
4,52,0.412640
4,52,0.392403
4,52,0.495140
4,52,0.386189
4,52,0.475029
4,54,0.438113
4,54,0.363607
4,54,0.407566
4,54,0.375893
4,54,0.368088
4,54,0.386213
4,54,0.373458
4,54,0.439126
4,54,0.442671
4,54,0.463630
4,56,0.365332
4,56,0.477426
4,56,0.383904
4,56,0.369565
4,56,0.410798
4,56,0.382220
4,56,0.507814
4,56,0.386798
4,56,0.367868
4,56,0.560491
4,58,0.417484
4,58,0.501243
4,58,0.377745
4,58,0.372238
4,58,0.373834
4,58,0.475074
4,58,0.473474
4,58,0.367652
4,58,0.379636
4,58,0.374241
4,60,0.527633
4,60,0.443850
4,60,0.364645
4,60,0.391039
4,60,0.428325
4,60,0.365802
4,60,0.508399
4,60,0.494038
4,60,0.455432
4,60,0.350801
4,62,0.418440
4,62,0.345565
4,62,0.382242
4,62,0.418514
4,62,0.375574
4,62,0.366859
4,62,0.349459
4,62,0.349655
4,62,0.364673
4,62,0.442973
4,64,0.391370
4,64,0.365395
4,64,0.320211
4,64,0.443982
4,64,0.332331
4,64,0.400610
4,64,0.322792
4,64,0.694508
4,64,0.431692
4,64,0.437061
