mpi_proc,omp_threads,time
4,1,100.147031
4,1,100.125084
4,1,100.149307
4,1,100.046493
4,1,100.079761
4,2,51.524334
4,2,51.486834
4,2,51.571931
4,2,51.345121
4,2,51.453412
4,3,34.362496
4,3,34.532594
4,3,34.394617
4,3,34.327524
4,3,34.377185
4,4,25.927909
4,4,25.779565
4,4,25.852045
4,4,25.677928
4,4,25.766179
4,5,20.755255
4,5,20.611865
4,5,20.600630
4,5,20.604013
4,5,20.656231
4,6,17.394026
4,6,17.231580
4,6,17.192381
4,6,17.192240
4,6,17.324309
4,7,14.965741
4,7,14.840007
4,7,15.094443
4,7,14.806070
4,7,14.844093
4,8,13.125452
4,8,13.112859
4,8,13.417100
4,8,13.344484
4,8,13.130252
4,10,10.403140
4,10,10.602545
4,10,10.555746
4,10,10.746492
4,10,10.603215
4,10,10.775981
4,10,10.602954
4,10,10.631490
4,10,10.467578
4,10,10.440027
4,12,8.734595
4,12,9.043259
4,12,8.759835
4,12,8.844807
4,12,8.748440
4,12,8.764222
4,12,8.896071
4,12,8.810315
4,12,8.767329
4,12,8.943095
4,14,7.688561
4,14,7.542642
4,14,7.559727
4,14,7.744365
4,14,7.608873
4,14,7.552486
4,14,7.713874
4,14,7.659358
4,14,7.651082
4,14,7.629420
4,16,6.675467
4,16,6.691239
4,16,7.228011
4,16,6.719715
4,16,7.145033
4,16,6.807075
4,16,6.904186
4,16,6.704424
4,16,6.681851
4,16,6.911755
4,18,6.328700
4,18,5.982169
4,18,6.137177
4,18,6.157951
4,18,6.125741
4,18,5.996936
4,18,6.215187
4,18,5.988072
4,18,6.457819
4,18,6.299859
4,20,5.398411
4,20,5.453401
4,20,5.677626
4,20,5.719577
4,20,5.426063
4,20,5.481058
4,20,5.468118
4,20,5.435646
4,20,5.516515
4,20,5.710784
4,22,4.897313
4,22,4.945786
4,22,5.027099
4,22,5.419494
4,22,4.976463
4,22,5.356186
4,22,5.144954
4,22,4.990528
4,22,4.969131
4,22,5.365197
4,24,4.593339
4,24,4.536496
4,24,4.581798
4,24,4.823037
4,24,4.669507
4,24,4.986945
4,24,4.633376
4,24,4.604007
4,24,4.762857
4,24,4.599788
4,26,4.481388
4,26,4.230262
4,26,4.434269
4,26,4.442273
4,26,4.483843
4,26,4.637307
4,26,4.238980
4,26,4.238567
4,26,4.232947
4,26,4.422280
4,28,4.091577
4,28,4.062425
4,28,4.039692
4,28,4.157949
4,28,3.963220
4,28,4.202197
4,28,4.280374
4,28,3.983683
4,28,3.997207
4,28,3.978547
4,30,3.844656
4,30,3.727762
4,30,3.743206
4,30,3.875624
4,30,3.757212
4,30,3.886570
4,30,3.928720
4,30,3.719368
4,30,3.735619
4,30,3.796554
4,32,3.566872
4,32,3.693485
4,32,3.555028
4,32,3.838279
4,32,3.501804
4,32,3.614887
