mpi_proc,omp_threads,time
1,1,7.553839
1,1,7.798208
1,1,7.621982
1,1,7.698334
1,1,7.516583
2,1,7.743594
2,1,7.680024
2,1,7.671222
2,1,7.690400
2,1,7.716449
3,1,7.620075
3,1,7.602682
3,1,7.625465
3,1,7.635759
3,1,7.632620
4,1,7.513726
4,1,7.495790
4,1,7.506702
4,1,7.498795
4,1,7.502520
5,1,7.414152
5,1,7.416257
5,1,7.416086
5,1,7.421011
5,1,7.416304
6,1,7.331466
6,1,7.335400
6,1,7.359366
6,1,7.332598
6,1,7.330291
7,1,7.320952
7,1,7.317364
7,1,7.330859
7,1,7.345813
7,1,7.318212
8,1,7.370526
8,1,7.391357
8,1,7.381297
8,1,7.370705
8,1,7.381918
9,1,7.295805
9,1,7.283531
9,1,7.271527
9,1,7.295952
9,1,7.310145
10,1,7.253262
10,1,7.250972
10,1,7.264716
10,1,7.254968
10,1,7.255782
11,1,7.242008
11,1,7.230029
11,1,7.229252
11,1,7.232478
11,1,7.258647
12,1,7.230478
12,1,7.224220
12,1,7.224402
12,1,7.227896
12,1,7.220398
13,1,7.197535
13,1,7.207524
13,1,7.208793
13,1,7.204046
13,1,7.200109
14,1,7.193550
14,1,7.195024
14,1,7.188703
14,1,7.187867
14,1,7.188317
15,1,7.171250
15,1,7.170894
15,1,7.170300
15,1,7.153782
15,1,7.158388
16,1,7.145446
16,1,7.137245
16,1,7.146955
16,1,7.145290
16,1,7.150319
18,1,7.121608
18,1,7.090840
18,1,7.099146
18,1,7.115861
18,1,7.095153
20,1,7.074331
20,1,7.065419
20,1,7.076057
20,1,7.079399
20,1,7.088425
22,1,7.043260
22,1,7.031305
22,1,7.011494
22,1,7.030901
22,1,7.015323
24,1,6.987894
24,1,7.002350
24,1,6.996359
24,1,6.993770
24,1,7.011220
26,1,7.011124
26,1,6.991113
26,1,6.988471
26,1,6.990136
26,1,6.983339
28,1,6.995745
28,1,6.990107
28,1,7.014140
28,1,7.041825
28,1,7.001359
30,1,6.991153
30,1,7.000966
30,1,7.005755
30,1,6.993571
30,1,6.954984
32,1,6.969801
32,1,7.014737
32,1,6.983890
32,1,6.972995
32,1,6.997167
34,1,6.984437
34,1,6.993974
34,1,6.978175
34,1,6.986062
34,1,6.970097
36,1,6.950531
36,1,6.952360
36,1,6.971819
36,1,6.978873
36,1,6.959644
38,1,7.001786
38,1,6.955980
38,1,6.960115
38,1,6.965492
38,1,6.970873
40,1,6.965421
40,1,6.998167
40,1,6.928934
40,1,6.943010
40,1,6.952971
42,1,6.945976
42,1,6.954243
42,1,6.948182
42,1,6.968032
42,1,6.983378
44,1,7.013015
44,1,6.988153
44,1,6.999121
44,1,7.006252
44,1,6.993725
46,1,7.058031
46,1,7.032334
46,1,7.063516
46,1,7.030796
46,1,7.035209
48,1,7.116599
48,1,7.104741
48,1,7.111536
48,1,7.126534
48,1,7.100067
50,1,7.190341
50,1,7.158098
50,1,7.198073
50,1,7.190235
50,1,7.165751
52,1,7.213999
52,1,7.215204
52,1,7.239215
52,1,7.244692
52,1,7.253257
54,1,7.329165
54,1,7.282303
54,1,7.333187
54,1,7.306496
54,1,7.313309
56,1,7.359554
56,1,7.372289
56,1,7.403061
56,1,7.370953
56,1,7.386129
58,1,7.401087
58,1,7.400815
58,1,7.426625
58,1,7.411989
58,1,7.412757
60,1,7.429465
60,1,7.435483
60,1,7.421476
60,1,7.424008
60,1,7.425500
62,1,7.468616
62,1,7.470206
62,1,7.486454
62,1,7.473456
62,1,7.486739
64,1,7.496756
64,1,7.498031
64,1,7.496087
64,1,7.488161
64,1,7.500220
66,1,7.481386
66,1,7.491157
66,1,7.491170
66,1,7.491059
66,1,7.493516
68,1,7.450496
68,1,7.459410
68,1,7.463601
68,1,7.460745
68,1,7.463121
70,1,7.435388
70,1,7.441054
70,1,7.437795
70,1,7.440520
70,1,7.442150
72,1,7.424064
72,1,7.415167
72,1,7.419102
72,1,7.428470
72,1,7.427825
74,1,7.382394
74,1,7.385615
74,1,7.376331
74,1,7.390842
74,1,7.401437
76,1,7.371344
76,1,7.367798
76,1,7.360096
76,1,7.376628
76,1,7.359763
78,1,7.336383
78,1,7.363484
78,1,7.340667
78,1,7.349672
78,1,7.346386
80,1,7.330036
80,1,7.349396
80,1,7.321478
80,1,7.322778
80,1,7.324650
82,1,7.290035
82,1,7.304378
82,1,7.296716
82,1,7.349538
82,1,7.307272
84,1,7.279935
84,1,7.278187
84,1,7.288783
84,1,7.277932
84,1,7.348818
86,1,7.256135
86,1,7.268480
86,1,7.267455
86,1,7.270960
86,1,7.269680
88,1,7.259975
88,1,7.238685
88,1,7.251337
88,1,7.247055
88,1,7.251613
90,1,7.229722
90,1,7.231678
90,1,7.234441
90,1,7.225290
90,1,7.241949
92,1,7.199851
92,1,7.215271
92,1,7.218209
92,1,7.207807
92,1,7.220371
94,1,7.191343
94,1,7.195432
94,1,7.191621
94,1,7.195948
94,1,7.190987
96,1,7.176489
96,1,7.189258
96,1,7.176867
96,1,7.195155
96,1,7.177453
98,1,7.157801
98,1,7.162378
98,1,7.181594
98,1,7.182282
98,1,7.171137
100,1,7.146515
100,1,7.168013
100,1,7.147658
100,1,7.155868
100,1,7.149010
102,1,7.151292
102,1,7.147315
102,1,7.163468
102,1,7.173407
102,1,7.159521
104,1,7.143201
104,1,7.149592
104,1,7.169989
104,1,7.170738
104,1,7.166437
106,1,7.149348
106,1,7.146580
106,1,7.149680
106,1,7.137750
106,1,7.151318
108,1,7.176852
108,1,7.172836
108,1,7.151570
108,1,7.157666
108,1,7.158882
110,1,7.162201
110,1,7.186507
110,1,7.173255
110,1,7.172192
110,1,7.189538
112,1,7.209183
112,1,7.215681
112,1,7.192545
112,1,7.208909
112,1,7.209395
114,1,7.225395
114,1,7.231375
114,1,7.238170
114,1,7.229226
114,1,7.232213
116,1,7.254029
116,1,7.280845
116,1,7.262342
116,1,7.256329
116,1,7.267539
118,1,7.284855
118,1,7.281648
118,1,7.281944
118,1,7.277456
118,1,7.271481
120,1,7.304271
120,1,7.311662
120,1,7.302014
120,1,7.305453
120,1,7.299817
122,1,7.320335
122,1,7.322213
122,1,7.371449
122,1,7.335491
122,1,7.330592
124,1,7.356182
124,1,7.361196
124,1,7.355520
124,1,7.354086
124,1,7.362521
126,1,7.407466
126,1,7.401114
126,1,7.405868
126,1,7.384943
126,1,7.407599
128,1,7.430934
128,1,7.430408
128,1,7.416979
128,1,7.424861
128,1,7.423025
