mpi_proc,omp_threads,time
1,1,200.269327
1,1,196.959762
1,1,196.920899
1,1,197.027905
1,1,196.896408
2,1,90.091207
2,1,90.124792
2,1,90.110014
2,1,90.146378
2,1,90.075342
3,1,60.085165
3,1,60.147558
3,1,60.176690
3,1,60.127110
3,1,60.116267
4,1,45.287662
4,1,45.288253
4,1,45.340526
4,1,45.384414
4,1,45.261819
5,1,36.107637
5,1,36.186098
5,1,36.143235
5,1,36.208334
5,1,36.026893
5,1,36.323520
5,1,36.384242
5,1,36.249363
5,1,36.103640
5,1,36.075488
6,1,30.223769
6,1,30.201458
6,1,30.295652
6,1,30.259781
6,1,30.176968
6,1,30.186052
6,1,30.187793
6,1,30.206206
6,1,30.158055
6,1,30.179830
7,1,25.834621
7,1,25.871612
7,1,25.742554
7,1,25.744056
7,1,25.775583
7,1,25.792960
7,1,25.794320
7,1,25.772798
7,1,25.776503
7,1,25.787632
8,1,22.532499
8,1,22.575869
8,1,22.578779
8,1,22.539734
8,1,22.529411
8,1,22.547738
8,1,22.544968
8,1,22.566210
8,1,22.548792
8,1,22.483988
9,1,20.007244
9,1,20.106123
9,1,20.069672
9,1,20.009114
9,1,20.043294
9,1,20.028556
9,1,20.033164
9,1,20.016396
9,1,20.023162
9,1,20.048405
10,1,18.046651
10,1,17.993033
10,1,18.025195
10,1,17.987226
10,1,17.994579
10,1,18.008257
10,1,17.989233
10,1,18.041675
10,1,18.024185
10,1,17.973479
11,1,16.383114
11,1,16.394995
11,1,16.351557
11,1,16.395122
11,1,16.410881
11,1,16.392224
11,1,16.406636
11,1,16.419246
11,1,16.397823
11,1,16.375689
12,1,15.030719
12,1,15.239814
12,1,15.130715
12,1,14.984933
12,1,15.160113
12,1,15.157760
12,1,15.035314
12,1,15.146338
12,1,15.000457
12,1,15.160385
13,1,14.039374
13,1,13.840615
13,1,13.980276
13,1,13.880619
13,1,14.008117
13,1,13.991241
13,1,13.885895
13,1,14.013578
13,1,13.894018
13,1,14.031805
14,1,13.047941
14,1,12.881947
14,1,12.954139
14,1,12.895355
14,1,12.878829
14,1,13.023397
14,1,12.886057
14,1,13.042359
14,1,12.873985
14,1,13.046428
15,1,12.018160
15,1,12.209020
15,1,12.043473
15,1,12.036517
15,1,12.021460
15,1,12.029930
15,1,12.059506
15,1,12.039325
15,1,12.187976
15,1,12.020837
16,1,11.431042
16,1,11.299712
16,1,11.286745
16,1,11.313766
16,1,11.282884
16,1,11.305902
16,1,11.272956
16,1,11.312947
16,1,11.312753
16,1,11.391818
17,1,10.621502
17,1,10.698497
17,1,10.622958
17,1,10.649221
17,1,10.648416
17,1,10.617119
17,1,10.663089
17,1,10.647376
17,1,10.664789
17,1,10.640514
18,1,10.055202
18,1,10.047760
18,1,10.044040
18,1,10.037813
18,1,10.055768
18,1,10.065162
18,1,10.049635
18,1,10.062476
18,1,10.050745
18,1,10.080931
19,1,9.499411
19,1,9.499439
19,1,9.509034
19,1,9.517547
19,1,9.515156
19,1,9.625281
19,1,9.523659
19,1,9.538941
19,1,9.523315
19,1,9.518431
20,1,9.044595
20,1,9.047991
20,1,9.063188
20,1,9.043216
20,1,9.077291
20,1,9.053369
20,1,9.089662
20,1,9.050564
20,1,9.056648
20,1,9.028817
21,1,8.621322
21,1,8.648436
21,1,8.624955
21,1,8.626244
21,1,8.810272
21,1,8.627564
21,1,8.611045
21,1,8.743496
21,1,8.618206
21,1,8.746680
22,1,8.228262
22,1,8.277201
22,1,8.256994
22,1,8.234527
22,1,8.234142
22,1,8.217944
22,1,8.236051
22,1,8.252669
22,1,8.246969
22,1,8.284023
23,1,7.886250
23,1,7.914632
23,1,7.898265
23,1,7.876370
23,1,7.896167
23,1,7.899803
23,1,7.863760
23,1,8.016744
23,1,7.871900
23,1,7.918310
24,1,7.565019
24,1,7.560781
24,1,7.723583
24,1,7.584026
24,1,7.545886
24,1,7.669532
24,1,7.553034
24,1,7.560551
24,1,7.669868
24,1,7.536275
25,1,8.094607
25,1,7.396103
25,1,7.399535
25,1,7.472937
25,1,7.307680
25,1,7.284476
25,1,7.479084
25,1,7.403294
25,1,7.515083
25,1,7.420561
26,1,7.098251
26,1,7.216868
26,1,7.219823
26,1,7.104473
26,1,7.127972
26,1,7.207158
26,1,7.171850
26,1,7.126445
26,1,7.189729
26,1,7.133059
27,1,6.895029
27,1,7.016162
27,1,6.869787
27,1,6.770552
27,1,6.955436
27,1,6.914730
27,1,6.885801
27,1,6.970766
27,1,6.762168
27,1,6.882086
28,1,6.676735
28,1,6.530464
28,1,6.660033
28,1,6.655217
28,1,6.567521
28,1,6.719391
28,1,6.746296
28,1,6.543804
28,1,6.631739
28,1,6.621745
29,1,6.528107
29,1,6.404609
29,1,6.477449
29,1,6.364429
29,1,6.387239
29,1,6.411816
29,1,6.416966
29,1,6.499753
29,1,6.416088
29,1,6.412627
30,1,6.285208
30,1,6.280645
30,1,6.350556
30,1,6.126776
30,1,6.302579
30,1,6.214508
30,1,6.304038
30,1,6.297586
30,1,6.353075
30,1,6.120662
31,1,6.141957
31,1,6.014202
31,1,6.041861
31,1,6.096664
31,1,5.950934
31,1,5.945452
31,1,6.155873
31,1,6.028751
31,1,6.073019
31,1,6.119748
32,1,5.999430
32,1,5.829835
32,1,5.999061
32,1,5.744566
32,1,5.970204
32,1,5.922865
32,1,5.847651
32,1,5.812974
32,1,5.936837
32,1,5.892948
33,1,5.585776
33,1,5.752567
33,1,5.594772
33,1,5.670826
33,1,5.724419
33,1,5.650812
33,1,5.645888
33,1,5.683150
33,1,5.769419
33,1,5.571677
34,1,5.667432
34,1,5.577696
34,1,5.711150
34,1,5.499258
34,1,5.518112
34,1,5.501417
34,1,5.484389
34,1,5.531128
34,1,5.504249
34,1,5.450923
35,1,5.329427
35,1,5.262528
35,1,5.460341
35,1,5.355472
35,1,5.318665
35,1,5.363813
35,1,5.352189
35,1,5.313551
35,1,5.400052
35,1,5.272055
36,1,5.397594
36,1,5.265205
36,1,5.335572
36,1,5.216085
36,1,5.261276
36,1,5.207647
36,1,5.249047
36,1,5.288737
36,1,5.306389
36,1,5.298921
37,1,5.159453
37,1,5.126454
37,1,5.170838
37,1,5.045235
37,1,5.034219
37,1,5.115014
37,1,5.106978
37,1,5.097395
37,1,5.013135
37,1,4.999358
38,1,5.038259
38,1,4.893200
38,1,5.184899
38,1,4.964452
38,1,4.878290
38,1,5.153979
38,1,4.985368
38,1,4.896601
38,1,5.069935
38,1,4.940609
39,1,4.887460
39,1,4.857472
39,1,4.925320
39,1,4.751701
39,1,4.809133
39,1,4.833378
39,1,4.935491
39,1,4.931474
39,1,5.026061
39,1,4.827488
40,1,4.732480
40,1,4.801966
40,1,4.709502
40,1,4.752488
40,1,4.826335
40,1,4.712045
40,1,4.714111
40,1,4.785089
40,1,4.740273
40,1,4.719583
41,1,4.643247
41,1,4.608623
41,1,4.654155
41,1,4.597099
41,1,4.840580
41,1,4.550086
41,1,4.633722
41,1,4.579875
41,1,4.591287
41,1,4.550576
42,1,4.435909
42,1,4.737136
42,1,4.481689
42,1,4.547094
42,1,4.751990
42,1,4.497310
42,1,4.486660
42,1,4.542689
42,1,4.569248
42,1,4.500084
43,1,4.462351
43,1,4.362421
43,1,4.390258
43,1,4.375678
43,1,4.477262
43,1,4.416768
43,1,4.461543
43,1,4.408625
43,1,4.435062
43,1,4.383661
44,1,4.420451
44,1,4.297225
44,1,4.324222
44,1,4.284550
44,1,4.307486
44,1,4.467078
44,1,4.371838
44,1,4.356500
44,1,4.292978
44,1,4.550005
45,1,4.339075
45,1,4.190688
45,1,4.317542
45,1,4.207990
45,1,4.160723
45,1,4.326150
45,1,4.266720
45,1,4.239292
45,1,4.194472
45,1,4.267468
46,1,4.131941
46,1,4.119579
46,1,4.201444
46,1,4.161346
46,1,4.049403
46,1,4.100865
46,1,4.185327
46,1,4.158468
46,1,4.118428
46,1,4.095622
47,1,4.080399
47,1,3.980136
47,1,4.022321
47,1,4.054319
47,1,4.123131
47,1,4.040099
47,1,4.147662
47,1,4.020534
47,1,4.083731
47,1,4.038706
48,1,4.064448
48,1,3.993670
48,1,3.974057
48,1,3.962653
48,1,4.088513
48,1,4.005723
48,1,3.951806
48,1,4.024746
48,1,4.212401
48,1,3.997375
