mpi_proc,omp_threads,time
4,1,46.296112
4,1,46.117427
4,1,46.048898
4,1,45.979172
4,1,45.970209
4,2,23.283732
4,2,23.133506
4,2,22.939875
4,2,22.955631
4,2,22.960762
4,3,15.450476
4,3,15.665234
4,3,15.498048
4,3,15.303202
4,3,15.556582
4,4,11.480836
4,4,11.512329
4,4,11.633361
4,4,11.524261
4,4,11.519750
4,5,9.343545
4,5,9.256030
4,5,9.281078
4,5,9.536114
4,5,9.410583
4,5,9.360329
4,5,9.275683
4,5,9.260917
4,5,9.264083
4,5,9.283625
4,6,7.761568
4,6,7.771797
4,6,7.794385
4,6,8.028964
4,6,7.761448
4,6,7.785886
4,6,7.870873
4,6,7.746554
4,6,7.788857
4,6,7.866022
4,7,6.953775
4,7,6.677871
4,7,6.844283
4,7,6.689228
4,7,6.915183
4,7,6.870351
4,7,6.674673
4,7,6.706942
4,7,6.979732
4,7,6.663396
4,8,5.914845
4,8,5.918005
4,8,5.917563
4,8,5.940355
4,8,6.061765
4,8,5.898029
4,8,5.992418
4,8,5.865499
4,8,5.883933
4,8,5.870131
4,9,5.225093
4,9,5.442366
4,9,5.238280
4,9,5.345387
4,9,5.194950
4,9,5.228260
4,9,5.310862
4,9,5.329404
4,9,5.244987
4,9,5.273684
4,10,4.773057
4,10,4.826039
4,10,4.900777
4,10,4.691892
4,10,4.710811
4,10,4.715838
4,10,4.786974
4,10,4.756746
4,10,4.708119
4,10,4.713359
4,11,4.479690
4,11,4.443158
4,11,4.300115
4,11,4.317914
4,11,4.590363
4,11,4.473313
4,11,4.326762
4,11,4.327993
4,11,4.500860
4,11,4.446319
4,12,3.932640
4,12,3.966006
4,12,4.122171
4,12,4.074048
4,12,3.948995
4,12,3.948714
4,12,4.054253
4,12,4.043918
4,12,3.995398
4,12,3.995700
