mpi_proc,omp_threads,time
2,1,46.094492
2,1,46.167149
2,1,46.122251
2,1,46.127609
2,1,46.101744
2,2,23.229377
2,2,23.197635
2,2,23.169939
2,2,23.186334
2,2,23.182625
2,3,15.473510
2,3,15.439371
2,3,15.512729
2,3,15.448720
2,3,15.445972
2,4,11.619123
2,4,11.615328
2,4,11.660205
2,4,11.599663
2,4,11.625708
2,5,9.291840
2,5,9.352288
2,5,9.351150
2,5,9.302155
2,5,9.344926
2,5,9.309823
2,5,9.326237
2,5,9.311337
2,5,9.304838
2,5,9.332674
2,6,7.780784
2,6,7.834761
2,6,7.825027
2,6,7.829683
2,6,7.808790
2,6,7.814242
2,6,7.795801
2,6,7.792964
2,6,7.832621
2,6,7.814517
2,7,6.695548
2,7,6.734513
2,7,6.739806
2,7,6.725363
2,7,6.717979
2,7,6.735867
2,7,6.712730
2,7,6.696150
2,7,6.723264
2,7,6.726695
2,8,5.878059
2,8,5.943789
2,8,5.926105
2,8,5.893527
2,8,5.911712
2,8,5.898471
2,8,5.912859
2,8,5.889782
2,8,5.910217
2,8,5.902646
2,9,5.238584
2,9,5.284027
2,9,5.315159
2,9,5.280092
2,9,5.279339
2,9,5.256695
2,9,5.253058
2,9,5.253542
2,9,5.270836
2,9,5.263846
2,10,4.729352
2,10,4.777389
2,10,4.781303
2,10,4.763376
2,10,4.796652
2,10,4.759388
2,10,4.766356
2,10,4.773215
2,10,4.791430
2,10,4.774595
2,11,4.313476
2,11,4.364645
2,11,4.370366
2,11,4.348322
2,11,4.344997
2,11,4.358648
2,11,4.358426
2,11,4.349128
2,11,4.359404
2,11,4.335988
2,12,3.985040
2,12,4.007673
2,12,4.013450
2,12,4.006420
2,12,3.998941
2,12,4.001795
2,12,4.004779
2,12,4.084726
2,12,3.996679
2,12,4.015614
