mpi_proc,omp_threads,time
1,1,101.341686
1,1,100.901149
1,1,100.936876
1,1,100.934851
1,1,101.025700
2,1,45.981341
2,1,45.978733
2,1,46.017635
2,1,45.954478
2,1,45.940606
3,1,30.690470
3,1,30.712691
3,1,30.694929
3,1,30.713618
3,1,30.723166
4,1,23.127539
4,1,23.176002
4,1,22.975922
4,1,23.088564
4,1,23.134129
5,1,18.502813
5,1,18.351802
5,1,18.448058
5,1,18.414871
5,1,18.357699
5,1,18.368418
5,1,18.365189
5,1,18.389080
5,1,18.350287
5,1,18.350643
6,1,15.385427
6,1,15.371463
6,1,15.336213
6,1,15.370603
6,1,15.377801
6,1,15.365500
6,1,15.368684
6,1,15.385196
6,1,15.357800
6,1,15.335339
7,1,13.158188
7,1,13.124090
7,1,13.159992
7,1,13.126366
7,1,13.120273
7,1,13.128717
7,1,13.125953
7,1,13.068648
7,1,13.139657
7,1,13.130686
8,1,11.469041
8,1,11.476866
8,1,11.479433
8,1,11.488249
8,1,11.488913
8,1,11.501624
8,1,11.494941
8,1,11.505095
8,1,11.495372
8,1,11.491616
9,1,10.192202
9,1,10.244030
9,1,10.175256
9,1,10.213418
9,1,10.235606
9,1,10.203620
9,1,10.224307
9,1,10.199776
9,1,10.199602
9,1,10.200806
10,1,9.185493
10,1,9.173881
10,1,9.213815
10,1,9.198301
10,1,9.164078
10,1,9.177420
10,1,9.166145
10,1,9.189096
10,1,9.173817
10,1,9.208446
11,1,8.342931
11,1,8.375287
11,1,8.364728
11,1,8.334486
11,1,8.351200
11,1,8.337597
11,1,8.354634
11,1,8.351174
11,1,8.349847
11,1,8.352189
12,1,7.673024
12,1,7.674843
12,1,7.811333
12,1,7.634344
12,1,7.642025
12,1,7.645076
12,1,7.659144
12,1,7.661441
12,1,7.665017
12,1,7.614029
13,1,7.040156
13,1,7.227279
13,1,7.065868
13,1,7.061018
13,1,7.078595
13,1,7.160183
13,1,7.062129
13,1,7.060702
13,1,7.205433
13,1,7.063609
14,1,6.559744
14,1,6.747287
14,1,6.556160
14,1,6.560122
14,1,6.661538
14,1,6.565598
14,1,6.578376
14,1,6.677661
14,1,6.551467
14,1,6.567861
15,1,6.234121
15,1,6.141110
15,1,6.137532
15,1,6.228235
15,1,6.125351
15,1,6.138433
15,1,6.148424
15,1,6.240026
15,1,6.137852
15,1,6.135743
16,1,5.877029
16,1,5.769625
16,1,5.754528
16,1,5.765576
16,1,5.767824
16,1,5.766540
16,1,5.760763
16,1,5.795604
16,1,5.767948
16,1,5.773765
17,1,5.434223
17,1,5.468905
17,1,5.421103
17,1,5.420318
17,1,5.414761
17,1,5.418782
17,1,5.425910
17,1,5.417825
17,1,5.434176
17,1,5.422630
18,1,5.126099
18,1,5.128961
18,1,5.125196
18,1,5.131632
18,1,5.159363
18,1,5.129914
18,1,5.135175
18,1,5.228379
18,1,5.147654
18,1,5.160354
19,1,4.864220
19,1,4.855039
19,1,4.867017
19,1,4.858690
19,1,4.843611
19,1,4.924827
19,1,4.849518
19,1,4.856336
19,1,4.862480
19,1,4.952449
20,1,4.622399
20,1,4.624014
20,1,4.648155
20,1,4.659896
20,1,4.629126
20,1,4.604322
20,1,4.620072
20,1,4.633473
20,1,4.639873
20,1,4.611170
21,1,4.430880
21,1,4.382281
21,1,4.404484
21,1,4.391492
21,1,4.465678
21,1,4.391821
21,1,4.397480
21,1,4.407057
21,1,4.386097
21,1,4.402583
22,1,4.201075
22,1,4.207609
22,1,4.205094
22,1,4.217194
22,1,4.213332
22,1,4.370838
22,1,4.196050
22,1,4.207876
22,1,4.203430
22,1,4.199007
23,1,4.046629
23,1,4.014381
23,1,4.045434
23,1,4.033409
23,1,4.104557
23,1,4.041553
23,1,4.028021
23,1,4.013627
23,1,4.035909
23,1,4.019416
24,1,3.857478
24,1,3.881507
24,1,4.023896
24,1,3.862833
24,1,3.867995
24,1,3.885776
24,1,3.867454
24,1,3.864460
24,1,3.865708
24,1,3.847764
25,1,4.076518
25,1,3.747755
25,1,3.842536
25,1,3.855673
25,1,3.775182
25,1,3.973989
25,1,3.877703
25,1,3.836962
25,1,3.850715
25,1,3.820845
26,1,3.773123
26,1,3.604003
26,1,3.841966
26,1,3.786198
26,1,3.735595
26,1,3.712353
