threads,type,n,m,k,time,GFlops
1,double,10000,10000,10000,41.930595,47.697869
1,double,10000,10000,10000,41.623995,48.049209
1,double,10000,10000,10000,42.333093,47.244363
2,double,10000,10000,10000,22.851623,87.521137
2,double,10000,10000,10000,23.355243,85.633877
2,double,10000,10000,10000,22.616848,88.429653
3,double,10000,10000,10000,15.444370,129.497024
3,double,10000,10000,10000,15.513855,128.917020
3,double,10000,10000,10000,15.457993,129.382905
4,double,10000,10000,10000,11.377229,175.789727
4,double,10000,10000,10000,11.685695,171.149425
4,double,10000,10000,10000,11.370116,175.899695
5,double,10000,10000,10000,8.715395,229.478978
5,double,10000,10000,10000,8.687566,230.214068
5,double,10000,10000,10000,8.846699,226.073016
6,double,10000,10000,10000,7.891746,253.429343
6,double,10000,10000,10000,7.818522,255.802822
6,double,10000,10000,10000,7.881656,253.753789
7,double,10000,10000,10000,6.324054,316.252811
7,double,10000,10000,10000,6.308345,317.040358
7,double,10000,10000,10000,6.320953,316.407999
8,double,10000,10000,10000,5.590594,357.743723
8,double,10000,10000,10000,5.555549,360.000411
8,double,10000,10000,10000,5.601521,357.045901
9,double,10000,10000,10000,5.041677,396.693380
9,double,10000,10000,10000,5.020741,398.347589
9,double,10000,10000,10000,5.033198,397.361711
10,double,10000,10000,10000,4.625428,432.392415
10,double,10000,10000,10000,4.706768,424.919986
10,double,10000,10000,10000,4.645257,430.546676
11,double,10000,10000,10000,4.148338,482.120779
11,double,10000,10000,10000,4.240941,471.593416
11,double,10000,10000,10000,4.242881,471.377848
12,double,10000,10000,10000,3.840507,520.764615
12,double,10000,10000,10000,3.835961,521.381745
12,double,10000,10000,10000,3.843250,520.392908
13,double,10000,10000,10000,3.833864,521.666919
13,double,10000,10000,10000,3.839142,520.949710
13,double,10000,10000,10000,3.841636,520.611514
14,double,10000,10000,10000,3.341092,598.606675
14,double,10000,10000,10000,3.332995,600.060837
14,double,10000,10000,10000,3.333788,599.918260
15,double,10000,10000,10000,3.133386,638.287173
15,double,10000,10000,10000,3.129730,639.032697
15,double,10000,10000,10000,3.136090,637.736833
16,double,10000,10000,10000,2.908480,687.644306
16,double,10000,10000,10000,2.909821,687.327595
16,double,10000,10000,10000,2.913155,686.540949
18,double,10000,10000,10000,2.668899,749.372602
18,double,10000,10000,10000,2.690209,743.436740
18,double,10000,10000,10000,2.683594,745.269332
18,double,10000,10000,10000,2.690054,743.479577
18,double,10000,10000,10000,2.681093,745.964315
20,double,10000,10000,10000,2.521947,793.037971
20,double,10000,10000,10000,2.546706,785.328165
20,double,10000,10000,10000,2.543207,786.408547
20,double,10000,10000,10000,2.538131,787.981281
20,double,10000,10000,10000,2.525183,792.021874
22,double,10000,10000,10000,2.344121,853.198349
22,double,10000,10000,10000,2.342463,853.802064
22,double,10000,10000,10000,2.341290,854.229999
22,double,10000,10000,10000,2.348766,851.510916
