threads,type,n,m,k,time,GFlops
1,double,20000,20000,20000,329.085440,48.619593
1,double,20000,20000,20000,331.184730,48.311406
1,double,20000,20000,20000,331.420568,48.277028
2,double,20000,20000,20000,166.177677,96.282487
2,double,20000,20000,20000,166.005568,96.382309
2,double,20000,20000,20000,165.622873,96.605014
3,double,20000,20000,20000,114.658785,139.544476
3,double,20000,20000,20000,114.437636,139.814143
3,double,20000,20000,20000,114.601315,139.614454
4,double,20000,20000,20000,92.327856,173.295479
4,double,20000,20000,20000,92.315544,173.318590
4,double,20000,20000,20000,93.230019,171.618542
5,double,20000,20000,20000,76.057448,210.367301
5,double,20000,20000,20000,75.931291,210.716817
5,double,20000,20000,20000,76.041648,210.411010
6,double,20000,20000,20000,63.525324,251.868059
6,double,20000,20000,20000,63.598489,251.578303
6,double,20000,20000,20000,63.726987,251.071026
7,double,20000,20000,20000,57.349925,278.989030
7,double,20000,20000,20000,58.070746,275.525994
7,double,20000,20000,20000,57.776128,276.930986
8,double,20000,20000,20000,48.198806,331.958429
8,double,20000,20000,20000,48.241020,331.667947
8,double,20000,20000,20000,47.707819,335.374792
9,double,20000,20000,20000,43.603087,366.946497
9,double,20000,20000,20000,44.035997,363.339108
9,double,20000,20000,20000,43.718369,365.978886
10,double,20000,20000,20000,39.811217,401.896780
10,double,20000,20000,20000,39.890238,401.100643
10,double,20000,20000,20000,39.821197,401.796054
11,double,20000,20000,20000,36.521352,438.099881
11,double,20000,20000,20000,36.407433,439.470701
11,double,20000,20000,20000,36.465716,438.768294
12,double,20000,20000,20000,31.027047,515.679111
12,double,20000,20000,20000,31.503232,507.884405
12,double,20000,20000,20000,30.907114,517.680161
13,double,20000,20000,20000,30.656595,521.910547
13,double,20000,20000,20000,31.180851,513.135446
13,double,20000,20000,20000,31.337898,510.563919
14,double,20000,20000,20000,29.603545,540.475803
14,double,20000,20000,20000,29.710783,538.525029
14,double,20000,20000,20000,29.679650,539.089919
15,double,20000,20000,20000,28.104828,569.297197
15,double,20000,20000,20000,28.264255,566.086040
15,double,20000,20000,20000,28.150972,568.364025
16,double,20000,20000,20000,24.969202,640.789401
16,double,20000,20000,20000,24.921595,642.013475
16,double,20000,20000,20000,24.863951,643.501915
18,double,20000,20000,20000,25.160474,635.918065
18,double,20000,20000,20000,24.425150,655.062504
18,double,20000,20000,20000,24.517669,652.590595
18,double,20000,20000,20000,24.457287,654.201756
18,double,20000,20000,20000,24.659754,648.830481
20,double,20000,20000,20000,20.858070,767.089180
20,double,20000,20000,20000,21.099794,758.301242
20,double,20000,20000,20000,21.948132,728.991415
20,double,20000,20000,20000,21.018684,761.227490
20,double,20000,20000,20000,21.215272,754.173680
22,double,20000,20000,20000,20.773643,770.206743
22,double,20000,20000,20000,21.024757,761.007600
22,double,20000,20000,20000,21.625419,739.870045
22,double,20000,20000,20000,21.046059,760.237342
22,double,20000,20000,20000,21.113406,757.812345
24,double,20000,20000,20000,20.015529,799.379304
24,double,20000,20000,20000,20.378798,785.129714
24,double,20000,20000,20000,19.897895,804.105172
24,double,20000,20000,20000,19.585940,816.912524
24,double,20000,20000,20000,19.914131,803.449589
26,double,20000,20000,20000,19.070388,838.997099
26,double,20000,20000,20000,19.507436,820.200070
26,double,20000,20000,20000,19.470014,821.776500
26,double,20000,20000,20000,19.388340,825.238255
26,double,20000,20000,20000,19.583036,817.033690
28,double,20000,20000,20000,17.235468,928.318274
28,double,20000,20000,20000,16.318455,980.484983
28,double,20000,20000,20000,16.388943,976.267970
28,double,20000,20000,20000,15.699220,1019.158896
28,double,20000,20000,20000,16.067770,995.782265
30,double,20000,20000,20000,17.469261,915.894486
30,double,20000,20000,20000,19.219157,832.502716
30,double,20000,20000,20000,19.263355,830.592613
30,double,20000,20000,20000,17.960515,890.843060
30,double,20000,20000,20000,17.895828,894.063144
32,double,20000,20000,20000,15.519577,1030.955916
32,double,20000,20000,20000,15.317712,1044.542416
32,double,20000,20000,20000,15.216154,1051.514066
32,double,20000,20000,20000,16.496860,969.881554
32,double,20000,20000,20000,15.511292,1031.506563
