threads,type,n,m,k,time,GFlops
1,double,20000,20000,20000,340.913261,46.932759
1,double,20000,20000,20000,341.818707,46.808439
1,double,20000,20000,20000,342.477334,46.718420
2,double,20000,20000,20000,170.805004,93.674071
2,double,20000,20000,20000,170.720288,93.720554
2,double,20000,20000,20000,170.777095,93.689379
3,double,20000,20000,20000,114.162667,140.150896
3,double,20000,20000,20000,114.338918,139.934855
3,double,20000,20000,20000,114.363079,139.905293
4,double,20000,20000,20000,87.006373,183.894575
4,double,20000,20000,20000,86.983300,183.943354
4,double,20000,20000,20000,86.959443,183.993820
5,double,20000,20000,20000,68.968311,231.990601
5,double,20000,20000,20000,69.112291,231.507302
5,double,20000,20000,20000,69.066260,231.661596
6,double,20000,20000,20000,57.581527,277.866891
6,double,20000,20000,20000,57.677956,277.402339
6,double,20000,20000,20000,57.547062,278.033310
7,double,20000,20000,20000,49.509834,323.168120
7,double,20000,20000,20000,49.561832,322.829070
7,double,20000,20000,20000,49.545809,322.933471
8,double,20000,20000,20000,45.064066,355.050074
8,double,20000,20000,20000,44.736338,357.651092
8,double,20000,20000,20000,44.778043,357.317981
9,double,20000,20000,20000,39.249117,407.652484
9,double,20000,20000,20000,39.308336,407.038340
9,double,20000,20000,20000,39.292251,407.204971
10,double,20000,20000,20000,35.621567,449.166088
10,double,20000,20000,20000,35.670425,448.550864
10,double,20000,20000,20000,35.639761,448.936795
11,double,20000,20000,20000,33.347560,479.795221
11,double,20000,20000,20000,33.117022,483.135230
11,double,20000,20000,20000,33.335601,479.967348
12,double,20000,20000,20000,31.020115,515.794341
12,double,20000,20000,20000,31.098518,514.493964
12,double,20000,20000,20000,31.067610,515.005817
13,double,20000,20000,20000,28.826891,555.037316
13,double,20000,20000,20000,28.703813,557.417242
13,double,20000,20000,20000,28.759999,556.328246
14,double,20000,20000,20000,26.647517,600.431184
14,double,20000,20000,20000,26.627951,600.872367
14,double,20000,20000,20000,26.663469,600.071948
15,double,20000,20000,20000,25.787437,620.457172
15,double,20000,20000,20000,25.750637,621.343863
15,double,20000,20000,20000,26.074448,613.627564
16,double,20000,20000,20000,28.374089,563.894749
16,double,20000,20000,20000,28.278673,565.797415
16,double,20000,20000,20000,28.432249,562.741282
18,double,20000,20000,20000,27.238813,587.397119
18,double,20000,20000,20000,27.146777,589.388558
18,double,20000,20000,20000,27.235943,587.459014
18,double,20000,20000,20000,27.233332,587.515325
18,double,20000,20000,20000,27.117330,590.028584
20,double,20000,20000,20000,27.319767,585.656535
20,double,20000,20000,20000,26.804942,596.904858
20,double,20000,20000,20000,27.149889,589.321001
20,double,20000,20000,20000,26.795140,597.123215
20,double,20000,20000,20000,26.785398,597.340393
22,double,20000,20000,20000,26.371218,606.722070
22,double,20000,20000,20000,26.435631,605.243730
22,double,20000,20000,20000,25.639174,624.045058
22,double,20000,20000,20000,25.682644,622.988817
22,double,20000,20000,20000,25.660885,623.517067
24,double,20000,20000,20000,26.259820,609.295874
24,double,20000,20000,20000,26.304216,608.267521
24,double,20000,20000,20000,26.594422,601.629911
24,double,20000,20000,20000,26.271484,609.025349
24,double,20000,20000,20000,24.144729,662.670522
26,double,20000,20000,20000,25.286310,632.753454
26,double,20000,20000,20000,25.794319,620.291615
26,double,20000,20000,20000,25.469285,628.207674
26,double,20000,20000,20000,25.707131,622.395392
26,double,20000,20000,20000,25.928594,617.079358
28,double,20000,20000,20000,25.332914,631.589412
28,double,20000,20000,20000,25.139211,636.455927
28,double,20000,20000,20000,25.201170,634.891161
28,double,20000,20000,20000,25.368286,630.708748
28,double,20000,20000,20000,24.948937,641.309878
30,double,20000,20000,20000,23.948571,668.098305
30,double,20000,20000,20000,24.291059,658.678582
30,double,20000,20000,20000,23.625827,677.224981
30,double,20000,20000,20000,24.482000,653.541386
30,double,20000,20000,20000,23.695878,675.222933
32,double,20000,20000,20000,24.343562,657.257957
32,double,20000,20000,20000,23.858316,670.625698
32,double,20000,20000,20000,24.054980,665.142929
32,double,20000,20000,20000,23.778212,672.884900
32,double,20000,20000,20000,24.008075,666.442424
34,double,20000,20000,20000,22.942258,697.403031
34,double,20000,20000,20000,23.044598,694.305873
34,double,20000,20000,20000,23.400151,683.756259
34,double,20000,20000,20000,22.916683,698.181329
34,double,20000,20000,20000,22.623707,707.222722
36,double,20000,20000,20000,23.918455,668.939534
36,double,20000,20000,20000,23.966079,667.610249
36,double,20000,20000,20000,23.774181,672.999005
36,double,20000,20000,20000,23.737374,674.042555
36,double,20000,20000,20000,23.218867,689.094774
38,double,20000,20000,20000,22.494665,711.279769
38,double,20000,20000,20000,21.961709,728.540763
38,double,20000,20000,20000,22.789880,702.066002
38,double,20000,20000,20000,22.643838,706.594006
38,double,20000,20000,20000,22.496321,711.227400
40,double,20000,20000,20000,23.622307,677.325885
40,double,20000,20000,20000,23.709305,674.840518
40,double,20000,20000,20000,23.623035,677.305014
40,double,20000,20000,20000,23.470972,681.693119
40,double,20000,20000,20000,23.443578,682.489688
42,double,20000,20000,20000,22.255767,718.914784
42,double,20000,20000,20000,22.462428,712.300553
42,double,20000,20000,20000,22.476542,711.853269
42,double,20000,20000,20000,21.976548,728.048826
42,double,20000,20000,20000,22.197901,720.788879
44,double,20000,20000,20000,22.812473,701.370685
44,double,20000,20000,20000,23.290715,686.969033
44,double,20000,20000,20000,22.712617,704.454259
44,double,20000,20000,20000,23.063783,693.728340
44,double,20000,20000,20000,22.753065,703.201961
46,double,20000,20000,20000,21.683053,737.903469
46,double,20000,20000,20000,21.928602,729.640692
46,double,20000,20000,20000,22.388851,714.641417
46,double,20000,20000,20000,24.276553,659.072140
46,double,20000,20000,20000,23.518142,680.325846
48,double,20000,20000,20000,24.247356,659.865760
48,double,20000,20000,20000,22.247499,719.181962
48,double,20000,20000,20000,22.126936,723.100573
48,double,20000,20000,20000,22.547610,709.609574
48,double,20000,20000,20000,22.884883,699.151476
50,double,20000,20000,20000,21.397371,747.755428
50,double,20000,20000,20000,21.737651,736.050088
50,double,20000,20000,20000,21.260436,752.571576
50,double,20000,20000,20000,24.159018,662.278585
50,double,20000,20000,20000,21.007193,761.643875
52,double,20000,20000,20000,21.346741,749.528927
52,double,20000,20000,20000,21.838678,732.645072
52,double,20000,20000,20000,22.360508,715.547263
52,double,20000,20000,20000,22.013718,726.819537
52,double,20000,20000,20000,22.353249,715.779631
54,double,20000,20000,20000,20.846014,767.532811
54,double,20000,20000,20000,24.863000,643.526538
54,double,20000,20000,20000,24.864884,643.477773
54,double,20000,20000,20000,24.879716,643.094165
54,double,20000,20000,20000,20.842187,767.673768
56,double,20000,20000,20000,24.953602,641.189991
56,double,20000,20000,20000,21.832603,732.848947
56,double,20000,20000,20000,21.814857,733.445112
56,double,20000,20000,20000,25.208899,634.696492
56,double,20000,20000,20000,25.081510,637.920125
58,double,20000,20000,20000,20.645020,775.005322
58,double,20000,20000,20000,25.097240,637.520290
58,double,20000,20000,20000,25.391300,630.137104
