threads,type,n,m,k,time,GFlops
1,double,20000,20000,20000,332.472824,48.124234
1,double,20000,20000,20000,334.402178,47.846578
1,double,20000,20000,20000,334.065207,47.894841
2,double,20000,20000,20000,167.187526,95.700920
2,double,20000,20000,20000,166.427975,96.137683
2,double,20000,20000,20000,166.695697,95.983281
3,double,20000,20000,20000,111.969662,142.895849
3,double,20000,20000,20000,112.495057,142.228471
3,double,20000,20000,20000,112.291471,142.486334
4,double,20000,20000,20000,84.299332,189.799844
4,double,20000,20000,20000,83.507227,191.600184
4,double,20000,20000,20000,83.621415,191.338547
5,double,20000,20000,20000,67.243829,237.940049
5,double,20000,20000,20000,67.150060,238.272312
5,double,20000,20000,20000,67.372101,237.487027
6,double,20000,20000,20000,56.181784,284.789818
6,double,20000,20000,20000,56.352736,283.925875
6,double,20000,20000,20000,56.449411,283.439626
7,double,20000,20000,20000,48.478924,330.040330
7,double,20000,20000,20000,48.104379,332.610055
7,double,20000,20000,20000,48.237517,331.692032
8,double,20000,20000,20000,42.696700,374.736219
8,double,20000,20000,20000,42.505313,376.423532
8,double,20000,20000,20000,42.452914,376.888143
9,double,20000,20000,20000,37.883504,422.347411
9,double,20000,20000,20000,37.999830,421.054515
9,double,20000,20000,20000,38.012582,420.913266
10,double,20000,20000,20000,33.713832,474.582664
10,double,20000,20000,20000,33.739888,474.216156
10,double,20000,20000,20000,33.666307,475.252609
11,double,20000,20000,20000,31.348670,510.388481
11,double,20000,20000,20000,31.359987,510.204289
11,double,20000,20000,20000,31.444077,508.839867
12,double,20000,20000,20000,28.885867,553.904087
12,double,20000,20000,20000,28.861521,554.371331
12,double,20000,20000,20000,28.924013,553.173581
13,double,20000,20000,20000,26.930430,594.123452
13,double,20000,20000,20000,26.839263,596.141567
13,double,20000,20000,20000,26.896712,594.868258
14,double,20000,20000,20000,24.915231,642.177464
14,double,20000,20000,20000,24.952944,641.206905
14,double,20000,20000,20000,24.845504,643.979684
15,double,20000,20000,20000,23.535553,679.822557
15,double,20000,20000,20000,23.547513,679.477270
15,double,20000,20000,20000,23.562010,679.059220
16,double,20000,20000,20000,22.086355,724.429189
16,double,20000,20000,20000,22.062081,725.226238
16,double,20000,20000,20000,22.077546,724.718212
18,double,20000,20000,20000,20.340419,786.611124
18,double,20000,20000,20000,20.470499,781.612621
18,double,20000,20000,20000,20.420212,783.537423
18,double,20000,20000,20000,20.583963,777.304167
18,double,20000,20000,20000,20.458634,782.065915
20,double,20000,20000,20000,18.740151,853.781830
20,double,20000,20000,20000,18.641021,858.322097
20,double,20000,20000,20000,18.823398,850.005940
20,double,20000,20000,20000,18.706960,855.296644
20,double,20000,20000,20000,18.709956,855.159691
22,double,20000,20000,20000,18.108611,883.557556
22,double,20000,20000,20000,18.438171,867.765031
22,double,20000,20000,20000,18.061420,885.866127
22,double,20000,20000,20000,18.107084,883.632085
22,double,20000,20000,20000,18.156243,881.239600
24,double,20000,20000,20000,17.831698,897.278550
24,double,20000,20000,20000,17.303468,924.670120
24,double,20000,20000,20000,17.563977,910.955404
24,double,20000,20000,20000,17.759994,900.901185
24,double,20000,20000,20000,17.456858,916.545245
26,double,20000,20000,20000,17.404541,919.300333
26,double,20000,20000,20000,17.491843,914.712079
26,double,20000,20000,20000,17.631193,907.482575
26,double,20000,20000,20000,17.351285,922.121908
26,double,20000,20000,20000,17.257945,927.109198
28,double,20000,20000,20000,17.247393,927.676419
28,double,20000,20000,20000,16.810709,951.774237
28,double,20000,20000,20000,17.228433,928.697343
28,double,20000,20000,20000,17.148797,933.010027
28,double,20000,20000,20000,17.229132,928.659668
30,double,20000,20000,20000,15.597029,1025.836415
30,double,20000,20000,20000,17.154768,932.685294
30,double,20000,20000,20000,17.183135,931.145580
30,double,20000,20000,20000,15.549586,1028.966275
30,double,20000,20000,20000,17.125369,934.286446
32,double,20000,20000,20000,17.019427,940.102160
32,double,20000,20000,20000,16.508131,969.219369
32,double,20000,20000,20000,16.719473,956.967983
32,double,20000,20000,20000,17.037021,939.131315
32,double,20000,20000,20000,16.760525,954.624041
34,double,20000,20000,20000,17.010253,940.609175
34,double,20000,20000,20000,16.880308,947.849984
34,double,20000,20000,20000,16.745311,955.491361
34,double,20000,20000,20000,15.262174,1048.343442
34,double,20000,20000,20000,15.938909,1003.832816
36,double,20000,20000,20000,16.637504,961.682708
36,double,20000,20000,20000,16.476741,971.065841
36,double,20000,20000,20000,16.247520,984.765676
36,double,20000,20000,20000,15.760787,1015.177763
36,double,20000,20000,20000,16.995686,941.415394
38,double,20000,20000,20000,16.352266,978.457677
38,double,20000,20000,20000,16.892791,947.149580
38,double,20000,20000,20000,16.804227,952.141380
38,double,20000,20000,20000,15.767809,1014.725638
38,double,20000,20000,20000,16.125970,992.188365
40,double,20000,20000,20000,15.229607,1050.585190
40,double,20000,20000,20000,15.257969,1048.632348
40,double,20000,20000,20000,14.568930,1098.227542
40,double,20000,20000,20000,15.161648,1055.294237
40,double,20000,20000,20000,14.759203,1084.069394
42,double,20000,20000,20000,14.781168,1082.458408
42,double,20000,20000,20000,15.404301,1038.670936
42,double,20000,20000,20000,15.011264,1065.866266
42,double,20000,20000,20000,14.970978,1068.734490
42,double,20000,20000,20000,15.365739,1041.277595
44,double,20000,20000,20000,14.674048,1090.360314
44,double,20000,20000,20000,15.282337,1046.960310
44,double,20000,20000,20000,14.865091,1076.347283
44,double,20000,20000,20000,14.295568,1119.227978
44,double,20000,20000,20000,14.382198,1112.486408
46,double,20000,20000,20000,14.704529,1088.100139
46,double,20000,20000,20000,14.732011,1086.070359
46,double,20000,20000,20000,14.762072,1083.858718
46,double,20000,20000,20000,14.741051,1085.404292
46,double,20000,20000,20000,14.458602,1106.607655
48,double,20000,20000,20000,14.392148,1111.717279
48,double,20000,20000,20000,14.026556,1140.693380
48,double,20000,20000,20000,14.062265,1137.796811
48,double,20000,20000,20000,14.497258,1103.657012
48,double,20000,20000,20000,15.076531,1061.252118
50,double,20000,20000,20000,15.202970,1052.425961
50,double,20000,20000,20000,15.141637,1056.688885
50,double,20000,20000,20000,14.437181,1108.249574
50,double,20000,20000,20000,14.812221,1080.189148
50,double,20000,20000,20000,14.489246,1104.267235
52,double,20000,20000,20000,14.421829,1109.429353
52,double,20000,20000,20000,15.469606,1034.286193
52,double,20000,20000,20000,14.775291,1082.889017
52,double,20000,20000,20000,14.697314,1088.634296
52,double,20000,20000,20000,14.286116,1119.968500
54,double,20000,20000,20000,15.051022,1063.050768
54,double,20000,20000,20000,13.368343,1196.857345
54,double,20000,20000,20000,13.641427,1172.897814
54,double,20000,20000,20000,14.897887,1073.977789
54,double,20000,20000,20000,15.073434,1061.470122
56,double,20000,20000,20000,15.582075,1026.820888
56,double,20000,20000,20000,14.615912,1094.697327
56,double,20000,20000,20000,15.441570,1036.164064
56,double,20000,20000,20000,15.647237,1022.544724
56,double,20000,20000,20000,14.867826,1076.149263
58,double,20000,20000,20000,14.141221,1131.443988
58,double,20000,20000,20000,14.278662,1120.553172
58,double,20000,20000,20000,13.939857,1147.787991
58,double,20000,20000,20000,14.678676,1090.016601
58,double,20000,20000,20000,14.535119,1100.782199
60,double,20000,20000,20000,16.099846,993.798318
60,double,20000,20000,20000,16.648457,961.050052
60,double,20000,20000,20000,16.582692,964.861447
60,double,20000,20000,20000,16.698813,958.151919
60,double,20000,20000,20000,15.687466,1019.922523
62,double,20000,20000,20000,16.589714,964.453014
