threads,type,n,m,k,time,GFlops
1,double,20000,20000,20000,342.764823,46.679236
1,double,20000,20000,20000,343.826555,46.535091
1,double,20000,20000,20000,342.179743,46.759051
2,double,20000,20000,20000,176.068091,90.873934
2,double,20000,20000,20000,176.138034,90.837848
2,double,20000,20000,20000,175.432579,91.203128
3,double,20000,20000,20000,122.201179,130.931634
3,double,20000,20000,20000,120.425842,132.861849
3,double,20000,20000,20000,122.056992,131.086304
4,double,20000,20000,20000,91.111618,175.608779
4,double,20000,20000,20000,90.868664,176.078302
4,double,20000,20000,20000,90.631305,176.539442
5,double,20000,20000,20000,72.415901,220.945949
5,double,20000,20000,20000,72.307683,221.276625
5,double,20000,20000,20000,71.850651,222.684133
6,double,20000,20000,20000,60.679252,263.681562
6,double,20000,20000,20000,60.248154,265.568303
6,double,20000,20000,20000,60.851848,262.933676
7,double,20000,20000,20000,52.484434,304.852291
7,double,20000,20000,20000,53.167993,300.932933
7,double,20000,20000,20000,52.657645,303.849514
8,double,20000,20000,20000,45.917133,348.453812
8,double,20000,20000,20000,46.250551,345.941828
8,double,20000,20000,20000,46.182549,346.451209
9,double,20000,20000,20000,40.430804,395.737864
9,double,20000,20000,20000,40.954950,390.673164
9,double,20000,20000,20000,40.957480,390.649035
10,double,20000,20000,20000,36.953985,432.970891
10,double,20000,20000,20000,37.085208,431.438868
10,double,20000,20000,20000,37.011883,432.293595
11,double,20000,20000,20000,33.038428,484.284545
11,double,20000,20000,20000,33.234291,481.430458
11,double,20000,20000,20000,33.148014,482.683512
12,double,20000,20000,20000,30.838243,518.836305
12,double,20000,20000,20000,30.830528,518.966138
12,double,20000,20000,20000,30.773595,519.926251
13,double,20000,20000,20000,28.602100,559.399477
13,double,20000,20000,20000,28.246758,566.436681
13,double,20000,20000,20000,28.457934,562.233366
14,double,20000,20000,20000,27.206871,588.086739
14,double,20000,20000,20000,27.160722,589.085962
14,double,20000,20000,20000,27.124796,589.866194
15,double,20000,20000,20000,25.444478,628.820119
15,double,20000,20000,20000,25.455477,628.548434
15,double,20000,20000,20000,25.578426,625.527158
16,double,20000,20000,20000,27.382337,584.318279
16,double,20000,20000,20000,27.542629,580.917670
16,double,20000,20000,20000,27.981625,571.803815
18,double,20000,20000,20000,27.215461,587.901121
18,double,20000,20000,20000,27.547553,580.813848
18,double,20000,20000,20000,27.516469,581.469962
18,double,20000,20000,20000,27.439488,583.101264
18,double,20000,20000,20000,26.690257,599.469684
20,double,20000,20000,20000,31.309698,511.023767
20,double,20000,20000,20000,30.558266,523.589924
20,double,20000,20000,20000,30.521775,524.215903
20,double,20000,20000,20000,30.183232,530.095653
20,double,20000,20000,20000,30.432209,525.758747
22,double,20000,20000,20000,27.416715,583.585595
22,double,20000,20000,20000,27.075225,590.946160
22,double,20000,20000,20000,27.493196,581.962178
22,double,20000,20000,20000,27.286868,586.362640
22,double,20000,20000,20000,27.406184,583.809845
24,double,20000,20000,20000,29.010913,551.516600
24,double,20000,20000,20000,28.136367,568.659063
24,double,20000,20000,20000,28.755245,556.420236
24,double,20000,20000,20000,28.612639,559.193448
24,double,20000,20000,20000,28.836042,554.861170
26,double,20000,20000,20000,26.611718,601.238907
26,double,20000,20000,20000,27.078834,590.867393
26,double,20000,20000,20000,26.978543,593.063904
26,double,20000,20000,20000,26.719316,598.817717
26,double,20000,20000,20000,26.566522,602.261752
