threads,type,n,m,k,time,GFlops
1,double,20000,20000,20000,334.217790,47.872975
1,double,20000,20000,20000,334.103964,47.889285
1,double,20000,20000,20000,334.513013,47.830725
2,double,20000,20000,20000,172.807443,92.588605
2,double,20000,20000,20000,172.203108,92.913538
2,double,20000,20000,20000,171.443695,93.325100
3,double,20000,20000,20000,115.543238,138.476300
3,double,20000,20000,20000,114.644149,139.562290
3,double,20000,20000,20000,115.047903,139.072505
4,double,20000,20000,20000,85.849615,186.372413
4,double,20000,20000,20000,86.229793,185.550717
4,double,20000,20000,20000,85.864653,186.339775
5,double,20000,20000,20000,68.871878,232.315432
5,double,20000,20000,20000,68.915538,232.168251
5,double,20000,20000,20000,68.573373,233.326718
6,double,20000,20000,20000,57.919209,276.246865
6,double,20000,20000,20000,58.077113,275.495788
6,double,20000,20000,20000,58.247137,274.691611
7,double,20000,20000,20000,49.771187,321.471139
7,double,20000,20000,20000,49.712865,321.848277
7,double,20000,20000,20000,49.721729,321.790901
8,double,20000,20000,20000,43.376630,368.862221
8,double,20000,20000,20000,43.335370,369.213416
8,double,20000,20000,20000,43.251636,369.928202
9,double,20000,20000,20000,39.133192,408.860076
9,double,20000,20000,20000,39.156060,408.621297
9,double,20000,20000,20000,39.080426,409.412115
10,double,20000,20000,20000,34.794723,459.839840
10,double,20000,20000,20000,34.781439,460.015473
10,double,20000,20000,20000,34.714222,460.906192
11,double,20000,20000,20000,32.123250,498.081611
11,double,20000,20000,20000,32.032021,499.500179
11,double,20000,20000,20000,32.045706,499.286863
12,double,20000,20000,20000,29.609985,540.358259
12,double,20000,20000,20000,29.522295,541.963284
12,double,20000,20000,20000,29.515196,542.093644
13,double,20000,20000,20000,27.362868,584.734030
13,double,20000,20000,20000,27.440530,583.079117
13,double,20000,20000,20000,27.452430,582.826363
14,double,20000,20000,20000,25.237623,633.974137
14,double,20000,20000,20000,25.391823,630.124122
14,double,20000,20000,20000,25.361516,630.877106
15,double,20000,20000,20000,23.909028,669.203284
15,double,20000,20000,20000,23.973838,667.394173
15,double,20000,20000,20000,23.936631,668.431580
16,double,20000,20000,20000,22.397939,714.351436
16,double,20000,20000,20000,22.423492,713.537404
16,double,20000,20000,20000,22.342243,716.132209
18,double,20000,20000,20000,20.723007,772.088713
18,double,20000,20000,20000,20.698170,773.015187
18,double,20000,20000,20000,20.680873,773.661723
18,double,20000,20000,20000,20.757466,770.807004
18,double,20000,20000,20000,20.745190,771.263110
20,double,20000,20000,20000,19.278721,829.930572
20,double,20000,20000,20000,19.320718,828.126592
20,double,20000,20000,20000,19.309539,828.606011
20,double,20000,20000,20000,19.230892,831.994699
20,double,20000,20000,20000,19.185084,833.981231
22,double,20000,20000,20000,19.508275,820.164769
22,double,20000,20000,20000,18.364990,871.222923
22,double,20000,20000,20000,19.485411,821.127142
22,double,20000,20000,20000,19.333030,827.599182
22,double,20000,20000,20000,19.859541,805.658109
24,double,20000,20000,20000,20.670641,774.044678
24,double,20000,20000,20000,20.499370,780.511780
24,double,20000,20000,20000,20.516472,779.861162
24,double,20000,20000,20000,19.760101,809.712477
24,double,20000,20000,20000,20.580806,777.423390
26,double,20000,20000,20000,21.193240,754.957728
26,double,20000,20000,20000,21.277272,751.976099
26,double,20000,20000,20000,21.304232,751.024482
26,double,20000,20000,20000,20.933354,764.330445
26,double,20000,20000,20000,21.003946,761.761607
28,double,20000,20000,20000,20.880341,766.271027
28,double,20000,20000,20000,20.994127,762.117889
28,double,20000,20000,20000,18.332482,872.767807
28,double,20000,20000,20000,18.155064,881.296804
28,double,20000,20000,20000,21.070921,759.340330
30,double,20000,20000,20000,21.350463,749.398273
30,double,20000,20000,20000,20.230180,790.897573
30,double,20000,20000,20000,20.764612,770.541738
30,double,20000,20000,20000,20.662124,774.363776
30,double,20000,20000,20000,20.973713,762.859678
32,double,20000,20000,20000,21.645556,739.181759
32,double,20000,20000,20000,20.223405,791.162527
32,double,20000,20000,20000,17.129912,934.038646
32,double,20000,20000,20000,20.772835,770.236705
32,double,20000,20000,20000,20.878698,766.331324
34,double,20000,20000,20000,20.724677,772.026494
34,double,20000,20000,20000,16.151747,990.604925
34,double,20000,20000,20000,20.550412,778.573216
34,double,20000,20000,20000,20.175452,793.042963
34,double,20000,20000,20000,15.900003,1006.289091
36,double,20000,20000,20000,21.860470,731.914723
36,double,20000,20000,20000,22.412097,713.900161
36,double,20000,20000,20000,21.404287,747.513816
36,double,20000,20000,20000,21.411374,747.266372
36,double,20000,20000,20000,22.184491,721.224571
38,double,20000,20000,20000,21.570301,741.760644
38,double,20000,20000,20000,15.265209,1048.135002
38,double,20000,20000,20000,21.498281,744.245569
38,double,20000,20000,20000,17.479054,915.381328
38,double,20000,20000,20000,21.052214,760.015082
40,double,20000,20000,20000,19.968906,801.245713
40,double,20000,20000,20000,16.354236,978.339801
40,double,20000,20000,20000,20.650771,774.789466
40,double,20000,20000,20000,19.599960,816.328198
40,double,20000,20000,20000,14.663264,1091.162209
42,double,20000,20000,20000,19.524583,819.479726
42,double,20000,20000,20000,18.747199,853.460809
42,double,20000,20000,20000,19.458088,822.280188
42,double,20000,20000,20000,19.903033,803.897583
42,double,20000,20000,20000,19.631915,814.999444
44,double,20000,20000,20000,19.363728,826.287160
44,double,20000,20000,20000,19.367442,826.128700
44,double,20000,20000,20000,16.633146,961.934663
44,double,20000,20000,20000,18.942625,844.655916
44,double,20000,20000,20000,15.237185,1050.062700
46,double,20000,20000,20000,19.581783,817.085945
46,double,20000,20000,20000,19.057175,839.578796
46,double,20000,20000,20000,19.550767,818.382224
46,double,20000,20000,20000,19.491884,820.854446
46,double,20000,20000,20000,19.669907,813.425303
48,double,20000,20000,20000,19.049503,839.916944
48,double,20000,20000,20000,19.319780,828.166778
48,double,20000,20000,20000,15.949594,1003.160302
48,double,20000,20000,20000,18.992903,842.419910
48,double,20000,20000,20000,16.290853,982.146217
50,double,20000,20000,20000,19.308778,828.638660
50,double,20000,20000,20000,19.208772,832.952780
50,double,20000,20000,20000,19.110664,837.228906
50,double,20000,20000,20000,19.131342,836.323975
50,double,20000,20000,20000,19.261416,830.676190
52,double,20000,20000,20000,16.579081,965.071561
52,double,20000,20000,20000,19.504429,820.326498
52,double,20000,20000,20000,19.384778,825.389911
52,double,20000,20000,20000,19.314406,828.397190
52,double,20000,20000,20000,14.847066,1077.653971
54,double,20000,20000,20000,19.847089,806.163559
54,double,20000,20000,20000,19.643848,814.504354
54,double,20000,20000,20000,20.036734,798.533337
54,double,20000,20000,20000,19.914131,803.449570
54,double,20000,20000,20000,16.965833,943.071898
56,double,20000,20000,20000,20.330043,787.012581
56,double,20000,20000,20000,16.727974,956.481659
56,double,20000,20000,20000,19.973215,801.072827
56,double,20000,20000,20000,19.819011,807.305665
56,double,20000,20000,20000,20.140503,794.419073
58,double,20000,20000,20000,19.729009,810.988544
58,double,20000,20000,20000,19.314491,828.393582
58,double,20000,20000,20000,15.011280,1065.865110
58,double,20000,20000,20000,19.916044,803.372411
58,double,20000,20000,20000,19.179366,834.229871
60,double,20000,20000,20000,19.636321,814.816574
60,double,20000,20000,20000,19.470359,821.761930
60,double,20000,20000,20000,20.328228,787.082853
60,double,20000,20000,20000,19.910701,803.587995
60,double,20000,20000,20000,19.812674,807.563881
62,double,20000,20000,20000,19.616082,815.657294
62,double,20000,20000,20000,19.322660,828.043359
62,double,20000,20000,20000,19.407704,824.414890
62,double,20000,20000,20000,18.749359,853.362506
62,double,20000,20000,20000,18.765675,852.620544
64,double,20000,20000,20000,19.422921,823.768981
64,double,20000,20000,20000,19.771452,809.247594
64,double,20000,20000,20000,19.627842,815.168562
64,double,20000,20000,20000,15.809715,1012.035966
64,double,20000,20000,20000,19.576791,817.294321
