threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.027418,583.567377
64,double,2000,2000,2000,0.026583,601.892274
64,double,2000,2000,2000,0.027528,581.219272
64,double,2000,2000,2000,0.026603,601.433283
64,double,2000,2000,2000,0.027412,583.681697
64,double,2000,2000,2000,0.025926,617.139166
64,double,2000,2000,2000,0.027309,585.884497
64,double,2000,2000,2000,0.027118,590.010945
64,double,2000,2000,2000,0.028768,556.178437
64,double,2000,2000,2000,0.027840,574.705192
64,double,2000,2000,2000,0.029144,549.003749
64,double,2000,2000,2000,0.028032,570.769109
64,double,2000,2000,2000,0.028060,570.210927
64,double,2000,2000,2000,0.029081,550.183567
64,double,2000,2000,2000,0.028038,570.646745
64,double,2500,2500,2500,0.042287,738.999531
64,double,2500,2500,2500,0.041071,760.877375
64,double,2500,2500,2500,0.044982,694.724928
64,double,2500,2500,2500,0.043223,722.987626
64,double,2500,2500,2500,0.041753,748.443065
64,double,2500,2500,2500,0.040303,775.369963
64,double,2500,2500,2500,0.043194,723.483999
64,double,2500,2500,2500,0.041544,752.212130
64,double,2500,2500,2500,0.042194,740.633879
64,double,2500,2500,2500,0.041554,752.038186
64,double,2500,2500,2500,0.040964,762.871901
64,double,2500,2500,2500,0.040238,776.624425
64,double,2500,2500,2500,0.041740,748.678929
64,double,2500,2500,2500,0.045771,682.739274
64,double,2500,2500,2500,0.043822,713.104471
64,double,3000,3000,3000,0.059481,907.851402
64,double,3000,3000,3000,0.061435,878.980013
64,double,3000,3000,3000,0.059842,902.379952
64,double,3000,3000,3000,0.061271,881.325606
64,double,3000,3000,3000,0.058043,930.337355
64,double,3000,3000,3000,0.063076,856.106628
64,double,3000,3000,3000,0.061832,873.339182
64,double,3000,3000,3000,0.060320,895.222051
64,double,3000,3000,3000,0.059109,913.568100
64,double,3000,3000,3000,0.061113,883.607563
64,double,3000,3000,3000,0.065161,828.719819
64,double,3000,3000,3000,0.061222,882.033463
64,double,3000,3000,3000,0.059118,913.427985
64,double,3000,3000,3000,0.061478,878.363063
64,double,3000,3000,3000,0.062044,870.348910
64,double,3500,3500,3500,0.087048,985.091471
64,double,3500,3500,3500,0.088078,973.567777
64,double,3500,3500,3500,0.087367,981.487812
64,double,3500,3500,3500,0.083987,1020.986360
64,double,3500,3500,3500,0.085999,997.104606
64,double,3500,3500,3500,0.086937,986.344994
64,double,3500,3500,3500,0.084585,1013.769077
64,double,3500,3500,3500,0.088433,969.665329
64,double,3500,3500,3500,0.083818,1023.055422
64,double,3500,3500,3500,0.087185,983.536550
64,double,3500,3500,3500,0.085203,1006.425407
64,double,3500,3500,3500,0.089410,959.068221
64,double,3500,3500,3500,0.086993,985.715381
64,double,3500,3500,3500,0.084304,1017.156325
64,double,3500,3500,3500,0.087643,978.404440
64,double,4000,4000,4000,0.134354,952.710013
64,double,4000,4000,4000,0.139069,920.405365
64,double,4000,4000,4000,0.137906,928.165555
64,double,4000,4000,4000,0.135975,941.347644
64,double,4000,4000,4000,0.138414,924.763068
64,double,4000,4000,4000,0.136817,935.555871
64,double,4000,4000,4000,0.137525,930.737077
64,double,4000,4000,4000,0.138449,924.531458
64,double,4000,4000,4000,0.134563,951.225419
64,double,4000,4000,4000,0.134931,948.633012
64,double,4000,4000,4000,0.137468,931.128275
64,double,4000,4000,4000,0.135148,947.111019
64,double,4000,4000,4000,0.138025,927.371086
64,double,4000,4000,4000,0.135850,942.218009
64,double,4000,4000,4000,0.132183,968.352867
64,double,4500,4500,4500,0.227065,802.632713
64,double,4500,4500,4500,0.232026,785.471614
64,double,4500,4500,4500,0.229780,793.149994
64,double,4500,4500,4500,0.227128,802.412456
64,double,4500,4500,4500,0.227975,799.428493
64,double,4500,4500,4500,0.231801,786.233333
64,double,4500,4500,4500,0.227950,799.518133
64,double,4500,4500,4500,0.229007,795.828724
64,double,4500,4500,4500,0.229360,794.600996
64,double,4500,4500,4500,0.229536,793.992428
64,double,4500,4500,4500,0.229301,794.805446
64,double,4500,4500,4500,0.226850,803.392890
64,double,4500,4500,4500,0.226049,806.241082
64,double,4500,4500,4500,0.229238,795.025511
64,double,4500,4500,4500,0.227103,802.497723
64,double,5000,5000,5000,0.341061,733.006173
64,double,5000,5000,5000,0.339717,735.906972
64,double,5000,5000,5000,0.337861,739.948789
64,double,5000,5000,5000,0.337971,739.707786
64,double,5000,5000,5000,0.342468,729.996015
64,double,5000,5000,5000,0.337495,740.750912
64,double,5000,5000,5000,0.339755,735.825052
64,double,5000,5000,5000,0.338905,737.668923
64,double,5000,5000,5000,0.340052,735.182024
64,double,5000,5000,5000,0.338516,738.516506
64,double,5000,5000,5000,0.338260,739.076015
64,double,5000,5000,5000,0.341028,733.077982
64,double,5000,5000,5000,0.340420,734.386973
64,double,5000,5000,5000,0.340276,734.698428
64,double,5000,5000,5000,0.340796,733.576431
64,double,5500,5500,5500,0.474134,701.805882
64,double,5500,5500,5500,0.472306,704.522228
64,double,5500,5500,5500,0.471194,706.184933
64,double,5500,5500,5500,0.476202,698.758543
64,double,5500,5500,5500,0.473363,702.948597
64,double,5500,5500,5500,0.472696,703.940914
64,double,5500,5500,5500,0.474057,701.919306
64,double,5500,5500,5500,0.470459,707.288714
64,double,5500,5500,5500,0.475308,700.072411
64,double,5500,5500,5500,0.471162,706.232232
64,double,5500,5500,5500,0.471468,705.773899
64,double,5500,5500,5500,0.474424,701.376867
64,double,5500,5500,5500,0.475616,699.618947
64,double,5500,5500,5500,0.475749,699.423096
64,double,5500,5500,5500,0.476483,698.345691
64,double,6000,6000,6000,0.594022,727.245551
64,double,6000,6000,6000,0.597493,723.020621
64,double,6000,6000,6000,0.592415,729.218060
