threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.132279,120.956446
64,double,2000,2000,2000,0.040787,392.283143
64,double,2000,2000,2000,0.040671,393.399736
64,double,2000,2000,2000,0.042050,380.502591
64,double,2000,2000,2000,0.041348,386.958568
64,double,2000,2000,2000,0.042467,376.760658
64,double,2000,2000,2000,0.040850,391.673750
64,double,2000,2000,2000,0.041503,385.515461
64,double,2000,2000,2000,0.040546,394.617662
64,double,2000,2000,2000,0.042171,379.410304
64,double,2000,2000,2000,0.042216,379.004218
64,double,2000,2000,2000,0.043862,364.782302
64,double,2000,2000,2000,0.041403,386.447779
64,double,2000,2000,2000,0.042649,375.157203
64,double,2000,2000,2000,0.041969,381.238255
64,double,2500,2500,2500,0.059919,521.539063
64,double,2500,2500,2500,0.058763,531.800776
64,double,2500,2500,2500,0.058570,533.548806
64,double,2500,2500,2500,0.057847,540.216527
64,double,2500,2500,2500,0.058016,538.644874
64,double,2500,2500,2500,0.058602,533.254447
64,double,2500,2500,2500,0.058684,532.512032
64,double,2500,2500,2500,0.057761,541.022086
64,double,2500,2500,2500,0.060730,514.570945
64,double,2500,2500,2500,0.058245,536.525451
64,double,2500,2500,2500,0.060234,518.807227
64,double,2500,2500,2500,0.058179,537.135337
64,double,2500,2500,2500,0.058875,530.786942
64,double,2500,2500,2500,0.060592,515.748755
64,double,2500,2500,2500,0.059061,529.117389
64,double,3000,3000,3000,0.078123,691.215651
64,double,3000,3000,3000,0.080079,674.331493
64,double,3000,3000,3000,0.080654,669.530497
64,double,3000,3000,3000,0.077986,692.429809
64,double,3000,3000,3000,0.080292,672.548594
64,double,3000,3000,3000,0.077741,694.614936
64,double,3000,3000,3000,0.077867,693.490886
64,double,3000,3000,3000,0.080924,667.293601
64,double,3000,3000,3000,0.077804,694.051604
64,double,3000,3000,3000,0.079457,679.612915
64,double,3000,3000,3000,0.079921,675.664651
64,double,3000,3000,3000,0.077926,692.969478
64,double,3000,3000,3000,0.078235,690.228609
64,double,3000,3000,3000,0.078409,688.696055
64,double,3000,3000,3000,0.081219,664.866258
64,double,3500,3500,3500,0.122928,697.565145
64,double,3500,3500,3500,0.125647,682.466978
64,double,3500,3500,3500,0.131569,651.750659
64,double,3500,3500,3500,0.125008,685.954293
64,double,3500,3500,3500,0.125541,683.044352
64,double,3500,3500,3500,0.123349,695.182944
64,double,3500,3500,3500,0.123306,695.424188
