threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.041347,386.973383
64,double,2000,2000,2000,0.037030,432.083041
64,double,2000,2000,2000,0.038380,416.882447
64,double,2000,2000,2000,0.036505,438.293999
64,double,2000,2000,2000,0.037625,425.251746
64,double,2000,2000,2000,0.035587,449.606299
64,double,2000,2000,2000,0.036921,433.360938
64,double,2000,2000,2000,0.038092,420.037853
64,double,2000,2000,2000,0.037601,425.521639
64,double,2000,2000,2000,0.036843,434.280484
64,double,2000,2000,2000,0.038267,418.115229
64,double,2000,2000,2000,0.038527,415.295984
64,double,2000,2000,2000,0.038260,418.194175
64,double,2000,2000,2000,0.036990,432.555021
64,double,2000,2000,2000,0.038505,415.525174
64,double,2500,2500,2500,0.057047,547.790285
64,double,2500,2500,2500,0.055809,559.944796
64,double,2500,2500,2500,0.055893,559.105213
64,double,2500,2500,2500,0.055370,564.388807
64,double,2500,2500,2500,0.056614,551.981571
64,double,2500,2500,2500,0.056536,552.742093
64,double,2500,2500,2500,0.056356,554.508191
64,double,2500,2500,2500,0.056745,550.708595
64,double,2500,2500,2500,0.058390,535.191715
64,double,2500,2500,2500,0.053546,583.608610
64,double,2500,2500,2500,0.058239,536.583600
64,double,2500,2500,2500,0.056091,557.126196
64,double,2500,2500,2500,0.056416,553.922857
64,double,2500,2500,2500,0.056640,551.734648
64,double,2500,2500,2500,0.058792,531.536150
64,double,3000,3000,3000,0.077233,699.181226
64,double,3000,3000,3000,0.082559,654.077151
64,double,3000,3000,3000,0.087748,615.397000
64,double,3000,3000,3000,0.078014,692.182159
64,double,3000,3000,3000,0.080817,668.178656
64,double,3000,3000,3000,0.081559,662.097491
64,double,3000,3000,3000,0.077559,696.247435
64,double,3000,3000,3000,0.086428,624.794519
64,double,3000,3000,3000,0.079522,679.053295
64,double,3000,3000,3000,0.077800,694.086369
64,double,3000,3000,3000,0.082175,657.137212
64,double,3000,3000,3000,0.077505,696.727041
64,double,3000,3000,3000,0.078550,687.455937
64,double,3000,3000,3000,0.077003,701.271242
64,double,3000,3000,3000,0.080960,666.999137
64,double,3500,3500,3500,0.111488,769.138997
64,double,3500,3500,3500,0.111462,769.321245
64,double,3500,3500,3500,0.113158,757.791580
64,double,3500,3500,3500,0.114322,750.073689
64,double,3500,3500,3500,0.121332,706.737883
64,double,3500,3500,3500,0.116809,734.104751
64,double,3500,3500,3500,0.117825,727.774408
64,double,3500,3500,3500,0.114113,751.446677
64,double,3500,3500,3500,0.115900,739.860335
64,double,3500,3500,3500,0.115429,742.881735
64,double,3500,3500,3500,0.116549,735.741562
64,double,3500,3500,3500,0.115363,743.306170
64,double,3500,3500,3500,0.118659,722.657982
64,double,3500,3500,3500,0.121055,708.358310
64,double,3500,3500,3500,0.113237,757.259955
64,double,4000,4000,4000,0.178703,716.273906
64,double,4000,4000,4000,0.177785,719.972691
64,double,4000,4000,4000,0.178913,715.430355
64,double,4000,4000,4000,0.174145,735.018735
64,double,4000,4000,4000,0.177313,721.885904
64,double,4000,4000,4000,0.175195,730.614688
64,double,4000,4000,4000,0.173074,739.568029
64,double,4000,4000,4000,0.172957,740.066304
64,double,4000,4000,4000,0.174317,734.294253
64,double,4000,4000,4000,0.177548,720.930838
64,double,4000,4000,4000,0.177885,719.565656
64,double,4000,4000,4000,0.177888,719.555774
64,double,4000,4000,4000,0.175699,728.520157
64,double,4000,4000,4000,0.173321,738.514785
64,double,4000,4000,4000,0.176715,724.328870
64,double,4500,4500,4500,0.273941,665.290424
64,double,4500,4500,4500,0.281012,648.548431
64,double,4500,4500,4500,0.277511,656.730476
64,double,4500,4500,4500,0.296796,614.059115
64,double,4500,4500,4500,0.297001,613.634066
64,double,4500,4500,4500,0.287215,634.542037
64,double,4500,4500,4500,0.270651,673.376641
64,double,4500,4500,4500,0.275345,661.896600
64,double,4500,4500,4500,0.291123,626.023686
64,double,4500,4500,4500,0.282360,645.452989
64,double,4500,4500,4500,0.294195,619.486957
64,double,4500,4500,4500,0.272844,667.964719
64,double,4500,4500,4500,0.288502,631.710588
64,double,4500,4500,4500,0.277235,657.384491
64,double,4500,4500,4500,0.275258,662.105508
64,double,5000,5000,5000,0.390719,639.846149
64,double,5000,5000,5000,0.393304,635.640642
64,double,5000,5000,5000,0.380439,657.136023
64,double,5000,5000,5000,0.404644,617.827363
64,double,5000,5000,5000,0.413114,605.160267
64,double,5000,5000,5000,0.399879,625.189346
64,double,5000,5000,5000,0.386007,647.656394
64,double,5000,5000,5000,0.389914,641.167796
64,double,5000,5000,5000,0.385223,648.975518
64,double,5000,5000,5000,0.379641,658.516489
64,double,5000,5000,5000,0.386345,647.089492
64,double,5000,5000,5000,0.386752,646.408901
64,double,5000,5000,5000,0.382481,653.627102
64,double,5000,5000,5000,0.410367,609.210630
64,double,5000,5000,5000,0.381244,655.748832
64,double,5500,5500,5500,0.508466,654.419956
64,double,5500,5500,5500,0.539949,616.261428
64,double,5500,5500,5500,0.508232,654.720981
64,double,5500,5500,5500,0.509435,653.175076
64,double,5500,5500,5500,0.523363,635.791709
64,double,5500,5500,5500,0.539194,617.125378
64,double,5500,5500,5500,0.522988,636.247395
64,double,5500,5500,5500,0.530736,626.958994
64,double,5500,5500,5500,0.523293,635.877001
64,double,5500,5500,5500,0.524889,633.944084
64,double,5500,5500,5500,0.524919,633.907673
64,double,5500,5500,5500,0.520717,639.022844
64,double,5500,5500,5500,0.525996,632.609218
64,double,5500,5500,5500,0.517822,642.595233
64,double,5500,5500,5500,0.526004,632.599823
64,double,6000,6000,6000,0.640525,674.446281
64,double,6000,6000,6000,0.648476,666.177669
64,double,6000,6000,6000,0.635965,679.283090
64,double,6000,6000,6000,0.640253,674.733346
64,double,6000,6000,6000,0.643838,670.975724
64,double,6000,6000,6000,0.640576,674.392912
64,double,6000,6000,6000,0.676645,638.444350
64,double,6000,6000,6000,0.647795,666.877869
64,double,6000,6000,6000,0.646122,668.604561
64,double,6000,6000,6000,0.645491,669.257534
64,double,6000,6000,6000,0.639118,675.931052
64,double,6000,6000,6000,0.641835,673.070451
64,double,6000,6000,6000,0.636327,678.896311
64,double,6000,6000,6000,0.641752,673.156824
64,double,6000,6000,6000,0.636346,678.876371
64,double,6500,6500,6500,0.803058,683.947831
64,double,6500,6500,6500,0.797565,688.658874
64,double,6500,6500,6500,0.794968,690.908245
64,double,6500,6500,6500,0.779013,705.059123
64,double,6500,6500,6500,0.798181,688.127437
64,double,6500,6500,6500,0.801197,685.536695
64,double,6500,6500,6500,0.792364,693.178765
64,double,6500,6500,6500,0.795800,690.186015
64,double,6500,6500,6500,0.799483,687.006717
64,double,6500,6500,6500,0.795703,690.270062
64,double,6500,6500,6500,0.807990,679.772975
64,double,6500,6500,6500,0.796767,689.348397
64,double,6500,6500,6500,0.787423,697.528709
64,double,6500,6500,6500,0.800556,686.085985
64,double,6500,6500,6500,0.807733,679.989667
64,double,7000,7000,7000,0.982866,697.958724
64,double,7000,7000,7000,0.986414,695.448671
64,double,7000,7000,7000,0.971053,706.449884
64,double,7000,7000,7000,0.966237,709.970414
64,double,7000,7000,7000,0.956497,717.200126
64,double,7000,7000,7000,0.966443,709.819659
64,double,7000,7000,7000,0.980699,699.501147
64,double,7000,7000,7000,0.987634,694.589343
64,double,7000,7000,7000,0.954100,719.002185
64,double,7000,7000,7000,0.973810,704.449608
64,double,7000,7000,7000,0.972618,705.312756
64,double,7000,7000,7000,0.978180,701.302503
64,double,7000,7000,7000,0.996613,688.331572
64,double,7000,7000,7000,0.962587,712.662704
64,double,7000,7000,7000,0.949642,722.377196
64,double,7500,7500,7500,1.177269,716.701010
64,double,7500,7500,7500,1.146215,736.118748
64,double,7500,7500,7500,1.164994,724.252724
64,double,7500,7500,7500,1.177199,716.743435
64,double,7500,7500,7500,1.118630,754.270745
64,double,7500,7500,7500,1.150188,733.575640
64,double,7500,7500,7500,1.155697,730.078906
64,double,7500,7500,7500,1.172716,719.483627
64,double,7500,7500,7500,1.121513,752.332222
64,double,7500,7500,7500,1.184845,712.118370
64,double,7500,7500,7500,1.164611,724.490944
64,double,7500,7500,7500,1.142741,738.356280
64,double,7500,7500,7500,1.131697,745.561462
64,double,7500,7500,7500,1.158284,728.448478
64,double,7500,7500,7500,1.189076,709.584468
64,double,8000,8000,8000,1.337466,765.627178
64,double,8000,8000,8000,1.338372,765.108880
64,double,8000,8000,8000,1.330897,769.405982
64,double,8000,8000,8000,1.365722,749.786627
64,double,8000,8000,8000,1.367549,748.785123
64,double,8000,8000,8000,1.338942,764.782692
64,double,8000,8000,8000,1.324343,773.213368
64,double,8000,8000,8000,1.354082,756.231738
64,double,8000,8000,8000,1.345821,760.873976
64,double,8000,8000,8000,1.336391,766.242782
64,double,8000,8000,8000,1.364734,750.329430
64,double,8000,8000,8000,1.355168,755.626079
64,double,8000,8000,8000,1.343046,762.445903
64,double,8000,8000,8000,1.349717,758.677358
64,double,8000,8000,8000,1.344630,761.547624
64,double,8500,8500,8500,1.485111,827.042313
64,double,8500,8500,8500,1.536177,799.549781
64,double,8500,8500,8500,1.540976,797.059842
64,double,8500,8500,8500,1.537092,799.073655
64,double,8500,8500,8500,1.770482,693.737711
64,double,8500,8500,8500,1.564289,785.181199
64,double,8500,8500,8500,1.800999,681.982717
64,double,8500,8500,8500,1.579826,777.458975
