threads,type,n,m,k,time,GFlops
1,double,20000,20000,20000,326.810066,48.958100
1,double,20000,20000,20000,325.105288,49.214825
1,double,20000,20000,20000,325.683059,49.127517
2,double,20000,20000,20000,164.819453,97.075920
2,double,20000,20000,20000,164.516682,97.254575
2,double,20000,20000,20000,164.722474,97.133073
3,double,20000,20000,20000,115.051626,139.068004
3,double,20000,20000,20000,114.290553,139.994073
3,double,20000,20000,20000,114.322281,139.955220
4,double,20000,20000,20000,92.499843,172.973267
4,double,20000,20000,20000,92.784949,172.441762
4,double,20000,20000,20000,92.135083,173.658063
5,double,20000,20000,20000,76.809687,208.307060
5,double,20000,20000,20000,76.615546,208.834901
5,double,20000,20000,20000,76.352969,209.553082
6,double,20000,20000,20000,63.527136,251.860875
6,double,20000,20000,20000,63.762950,250.929419
6,double,20000,20000,20000,63.825981,250.681615
7,double,20000,20000,20000,58.207550,274.878430
7,double,20000,20000,20000,57.688776,277.350310
7,double,20000,20000,20000,58.275064,274.559972
8,double,20000,20000,20000,47.725246,335.252333
8,double,20000,20000,20000,48.461499,330.159002
8,double,20000,20000,20000,47.805496,334.689552
9,double,20000,20000,20000,44.148773,362.410979
9,double,20000,20000,20000,43.738291,365.812191
9,double,20000,20000,20000,43.914826,364.341647
10,double,20000,20000,20000,39.736066,402.656870
10,double,20000,20000,20000,39.925346,400.747932
10,double,20000,20000,20000,40.036050,399.639828
11,double,20000,20000,20000,36.561750,437.615810
11,double,20000,20000,20000,36.470442,438.711441
11,double,20000,20000,20000,36.900401,433.599629
12,double,20000,20000,20000,31.234983,512.246159
12,double,20000,20000,20000,30.959959,516.796545
12,double,20000,20000,20000,31.961306,500.605325
13,double,20000,20000,20000,31.440791,508.893052
13,double,20000,20000,20000,31.233996,512.262346
13,double,20000,20000,20000,31.397600,509.593087
14,double,20000,20000,20000,29.637722,539.852552
14,double,20000,20000,20000,29.644546,539.728285
14,double,20000,20000,20000,29.583675,540.838820
15,double,20000,20000,20000,28.017162,571.078542
15,double,20000,20000,20000,28.040954,570.594000
15,double,20000,20000,20000,28.131551,568.756402
16,double,20000,20000,20000,24.779986,645.682356
16,double,20000,20000,20000,25.008662,639.778325
16,double,20000,20000,20000,24.764335,646.090428
18,double,20000,20000,20000,22.214904,720.237202
18,double,20000,20000,20000,22.101456,723.934200
18,double,20000,20000,20000,22.113520,723.539266
18,double,20000,20000,20000,22.758690,703.028175
18,double,20000,20000,20000,22.623850,707.218276
20,double,20000,20000,20000,19.342187,827.207389
20,double,20000,20000,20000,19.295584,829.205270
20,double,20000,20000,20000,19.259568,830.755900
20,double,20000,20000,20000,19.415646,824.077654
20,double,20000,20000,20000,19.561605,817.928786
22,double,20000,20000,20000,18.602958,860.078258
22,double,20000,20000,20000,18.680073,856.527696
22,double,20000,20000,20000,18.623276,859.139917
22,double,20000,20000,20000,18.686217,856.246094
22,double,20000,20000,20000,18.769431,852.449911
24,double,20000,20000,20000,17.412411,918.884821
24,double,20000,20000,20000,17.227651,928.739524
24,double,20000,20000,20000,17.413606,918.821778
24,double,20000,20000,20000,17.290548,925.361053
24,double,20000,20000,20000,17.316893,923.953256
26,double,20000,20000,20000,16.442284,973.100820
26,double,20000,20000,20000,16.501162,969.628709
26,double,20000,20000,20000,16.481286,970.798003
26,double,20000,20000,20000,16.558665,966.261472
26,double,20000,20000,20000,16.552500,966.621345
28,double,20000,20000,20000,13.900959,1150.999767
28,double,20000,20000,20000,13.763791,1162.470467
28,double,20000,20000,20000,13.987179,1143.904674
28,double,20000,20000,20000,14.221633,1125.046613
28,double,20000,20000,20000,14.321017,1117.239116
30,double,20000,20000,20000,14.886902,1074.770272
30,double,20000,20000,20000,14.929068,1071.734714
30,double,20000,20000,20000,14.901691,1073.703667
30,double,20000,20000,20000,14.879007,1075.340593
30,double,20000,20000,20000,14.914105,1072.809933
32,double,20000,20000,20000,12.485533,1281.483138
32,double,20000,20000,20000,12.283301,1302.581432
32,double,20000,20000,20000,12.470740,1283.003234
32,double,20000,20000,20000,12.686976,1261.135842
32,double,20000,20000,20000,12.383566,1292.034976
34,double,20000,20000,20000,13.175283,1214.395131
34,double,20000,20000,20000,13.198917,1212.220690
34,double,20000,20000,20000,13.153814,1216.377255
34,double,20000,20000,20000,13.134360,1218.178929
34,double,20000,20000,20000,13.195218,1212.560465
36,double,20000,20000,20000,12.787119,1251.259183
36,double,20000,20000,20000,12.728482,1257.023451
36,double,20000,20000,20000,12.686329,1261.200139
36,double,20000,20000,20000,12.700785,1259.764677
36,double,20000,20000,20000,12.620072,1267.821645
38,double,20000,20000,20000,12.313628,1299.373385
38,double,20000,20000,20000,12.302450,1300.554004
38,double,20000,20000,20000,12.280796,1302.847183
38,double,20000,20000,20000,12.326446,1298.022162
38,double,20000,20000,20000,12.323578,1298.324232
40,double,20000,20000,20000,11.516412,1389.321578
40,double,20000,20000,20000,11.649712,1373.424482
40,double,20000,20000,20000,11.474297,1394.420996
40,double,20000,20000,20000,11.572722,1382.561566
40,double,20000,20000,20000,11.428025,1400.066986
42,double,20000,20000,20000,11.324189,1412.904665
42,double,20000,20000,20000,11.383643,1405.525508
42,double,20000,20000,20000,11.302599,1415.603623
42,double,20000,20000,20000,11.436573,1399.020526
42,double,20000,20000,20000,11.550873,1385.176674
44,double,20000,20000,20000,9.761321,1639.122461
44,double,20000,20000,20000,9.754317,1640.299413
44,double,20000,20000,20000,9.726868,1644.928303
44,double,20000,20000,20000,9.768858,1637.857755
