threads,type,n,m,k,time,GFlops
1,double,20000,20000,20000,335.814342,47.645374
1,double,20000,20000,20000,335.789128,47.648952
1,double,20000,20000,20000,335.570884,47.679941
2,double,20000,20000,20000,168.671830,94.858756
2,double,20000,20000,20000,169.494336,94.398434
2,double,20000,20000,20000,169.053740,94.644460
3,double,20000,20000,20000,113.291070,141.229137
3,double,20000,20000,20000,113.481239,140.992469
3,double,20000,20000,20000,113.366163,141.135587
4,double,20000,20000,20000,86.429766,185.121409
4,double,20000,20000,20000,86.691525,184.562448
4,double,20000,20000,20000,86.414034,185.155111
5,double,20000,20000,20000,68.430324,233.814471
5,double,20000,20000,20000,68.421047,233.846174
5,double,20000,20000,20000,68.457834,233.720511
6,double,20000,20000,20000,57.480363,278.355934
6,double,20000,20000,20000,57.491381,278.302586
6,double,20000,20000,20000,57.626551,277.649795
7,double,20000,20000,20000,49.256999,324.826934
7,double,20000,20000,20000,49.327113,324.365222
7,double,20000,20000,20000,49.280751,324.670376
8,double,20000,20000,20000,44.845913,356.777215
8,double,20000,20000,20000,44.753706,357.512293
8,double,20000,20000,20000,44.632838,358.480455
9,double,20000,20000,20000,39.017881,410.068396
9,double,20000,20000,20000,38.993122,410.328772
9,double,20000,20000,20000,38.986881,410.394464
10,double,20000,20000,20000,35.570900,449.805883
10,double,20000,20000,20000,35.465352,451.144538
10,double,20000,20000,20000,35.586973,449.602728
11,double,20000,20000,20000,32.899861,486.324250
11,double,20000,20000,20000,33.043673,484.207676
11,double,20000,20000,20000,32.923894,485.969243
12,double,20000,20000,20000,31.237065,512.212008
12,double,20000,20000,20000,31.211079,512.638477
12,double,20000,20000,20000,31.241754,512.135140
13,double,20000,20000,20000,28.705658,557.381404
13,double,20000,20000,20000,28.467133,562.051687
13,double,20000,20000,20000,28.444931,562.490372
14,double,20000,20000,20000,26.504958,603.660646
14,double,20000,20000,20000,26.517932,603.365308
14,double,20000,20000,20000,26.512869,603.480520
15,double,20000,20000,20000,25.409762,629.679259
15,double,20000,20000,20000,25.453063,628.608027
15,double,20000,20000,20000,25.416278,629.517821
16,double,20000,20000,20000,28.111543,569.161220
16,double,20000,20000,20000,28.241300,566.546156
16,double,20000,20000,20000,28.199193,567.392128
18,double,20000,20000,20000,20.918004,764.891328
18,double,20000,20000,20000,20.809901,768.864779
18,double,20000,20000,20000,20.685152,773.501692
18,double,20000,20000,20000,20.732345,771.740957
18,double,20000,20000,20000,20.744988,771.270644
20,double,20000,20000,20000,19.508485,820.155931
20,double,20000,20000,20000,19.493521,820.785519
20,double,20000,20000,20000,19.505347,820.287884
20,double,20000,20000,20000,19.606934,816.037824
20,double,20000,20000,20000,19.498498,820.576040
22,double,20000,20000,20000,18.149250,881.579149
22,double,20000,20000,20000,18.150303,881.527962
22,double,20000,20000,20000,18.170469,880.549634
22,double,20000,20000,20000,18.265143,875.985456
22,double,20000,20000,20000,18.137134,882.168044
24,double,20000,20000,20000,17.233908,928.402322
24,double,20000,20000,20000,17.492568,914.674167
24,double,20000,20000,20000,17.505374,914.005029
24,double,20000,20000,20000,17.534168,912.504092
24,double,20000,20000,20000,17.527578,912.847171
26,double,20000,20000,20000,16.446580,972.846628
26,double,20000,20000,20000,16.414293,974.760226
26,double,20000,20000,20000,16.467591,971.605408
26,double,20000,20000,20000,16.442426,973.092426
26,double,20000,20000,20000,16.413063,974.833293
28,double,20000,20000,20000,16.045791,997.146217
28,double,20000,20000,20000,15.893544,1006.698035
28,double,20000,20000,20000,15.909388,1005.695510
28,double,20000,20000,20000,16.106894,993.363465
28,double,20000,20000,20000,15.938369,1003.866842
30,double,20000,20000,20000,15.319789,1044.400810
30,double,20000,20000,20000,15.399613,1038.987151
30,double,20000,20000,20000,15.313855,1044.805482
30,double,20000,20000,20000,15.337357,1043.204527
30,double,20000,20000,20000,15.330923,1043.642328
32,double,20000,20000,20000,15.002422,1066.494495
32,double,20000,20000,20000,15.016245,1065.512732
32,double,20000,20000,20000,15.064261,1062.116464
32,double,20000,20000,20000,15.022883,1065.041906
32,double,20000,20000,20000,15.072303,1061.549781
34,double,20000,20000,20000,13.531528,1182.423716
34,double,20000,20000,20000,13.537514,1181.900881
34,double,20000,20000,20000,13.524875,1183.005366
34,double,20000,20000,20000,13.689472,1168.781362
34,double,20000,20000,20000,13.487822,1186.255281
36,double,20000,20000,20000,13.093744,1221.957588
36,double,20000,20000,20000,13.129205,1218.657144
36,double,20000,20000,20000,13.123597,1219.177931
36,double,20000,20000,20000,13.112838,1220.178281
36,double,20000,20000,20000,13.118577,1219.644472
38,double,20000,20000,20000,12.913273,1239.035177
38,double,20000,20000,20000,12.816004,1248.439040
38,double,20000,20000,20000,12.809197,1249.102480
38,double,20000,20000,20000,12.807242,1249.293198
