threads,type,n,m,k,time,GFlops
1,double,20000,20000,20000,328.831951,48.657072
1,double,20000,20000,20000,329.501294,48.558231
1,double,20000,20000,20000,328.776487,48.665281
2,double,20000,20000,20000,165.518102,96.666164
2,double,20000,20000,20000,165.080488,96.922418
2,double,20000,20000,20000,165.110310,96.904912
3,double,20000,20000,20000,110.894348,144.281474
3,double,20000,20000,20000,110.952812,144.205448
3,double,20000,20000,20000,111.049291,144.080163
4,double,20000,20000,20000,83.191967,192.326262
4,double,20000,20000,20000,83.059207,192.633672
4,double,20000,20000,20000,82.938885,192.913131
5,double,20000,20000,20000,66.591680,240.270255
5,double,20000,20000,20000,66.678252,239.958301
5,double,20000,20000,20000,66.691393,239.911017
6,double,20000,20000,20000,55.859591,286.432458
6,double,20000,20000,20000,55.831484,286.576655
6,double,20000,20000,20000,55.941393,286.013616
7,double,20000,20000,20000,48.113287,332.548469
7,double,20000,20000,20000,47.963559,333.586589
7,double,20000,20000,20000,48.025841,333.153976
8,double,20000,20000,20000,42.308311,378.176292
8,double,20000,20000,20000,42.371250,377.614537
8,double,20000,20000,20000,42.368448,377.639509
9,double,20000,20000,20000,37.875243,422.439536
9,double,20000,20000,20000,37.916785,421.976704
9,double,20000,20000,20000,37.856218,422.651838
10,double,20000,20000,20000,33.623106,475.863229
10,double,20000,20000,20000,33.604012,476.133623
10,double,20000,20000,20000,33.643563,475.573891
11,double,20000,20000,20000,31.250896,511.985316
11,double,20000,20000,20000,31.206793,512.708882
11,double,20000,20000,20000,31.208603,512.679149
12,double,20000,20000,20000,28.818883,555.191548
12,double,20000,20000,20000,28.801697,555.522819
12,double,20000,20000,20000,28.799786,555.559689
13,double,20000,20000,20000,26.789412,597.250873
13,double,20000,20000,20000,26.740771,598.337281
13,double,20000,20000,20000,26.757157,597.970848
14,double,20000,20000,20000,24.749779,646.470408
14,double,20000,20000,20000,24.798285,645.205920
14,double,20000,20000,20000,24.828249,644.427246
15,double,20000,20000,20000,23.479377,681.449093
15,double,20000,20000,20000,23.468343,681.769484
15,double,20000,20000,20000,23.428541,682.927705
16,double,20000,20000,20000,21.978245,727.992607
16,double,20000,20000,20000,21.992823,727.510058
16,double,20000,20000,20000,22.024969,726.448239
18,double,20000,20000,20000,19.639757,814.674032
18,double,20000,20000,20000,19.614898,815.706500
18,double,20000,20000,20000,19.638053,814.744723
18,double,20000,20000,20000,19.729187,810.981211
18,double,20000,20000,20000,19.637035,814.786969
20,double,20000,20000,20000,17.992449,889.261929
20,double,20000,20000,20000,18.029494,887.434794
20,double,20000,20000,20000,18.030857,887.367709
20,double,20000,20000,20000,17.995883,889.092232
20,double,20000,20000,20000,18.015323,888.132817
22,double,20000,20000,20000,17.195549,930.473364
22,double,20000,20000,20000,17.235581,928.312215
22,double,20000,20000,20000,17.265993,926.677061
22,double,20000,20000,20000,17.295133,925.115734
22,double,20000,20000,20000,17.372254,921.008879
24,double,20000,20000,20000,15.741408,1016.427478
24,double,20000,20000,20000,15.797072,1012.845911
24,double,20000,20000,20000,15.754934,1015.554851
