threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.024850,643.863516
64,double,2000,2000,2000,0.026357,607.053322
64,double,2000,2000,2000,0.024577,651.022488
64,double,2000,2000,2000,0.027084,590.746270
64,double,2000,2000,2000,0.022963,696.776377
64,double,2000,2000,2000,0.024157,662.337326
64,double,2000,2000,2000,0.023692,675.346843
64,double,2000,2000,2000,0.025406,629.762505
64,double,2000,2000,2000,0.023355,685.079990
64,double,2000,2000,2000,0.023127,691.840464
64,double,2000,2000,2000,0.027006,592.450646
64,double,2000,2000,2000,0.022874,699.490124
64,double,2000,2000,2000,0.024589,650.698631
64,double,2000,2000,2000,0.026890,595.010074
64,double,2000,2000,2000,0.023417,683.260940
64,double,2500,2500,2500,0.038043,821.440885
64,double,2500,2500,2500,0.036996,844.688172
64,double,2500,2500,2500,0.035868,871.261993
64,double,2500,2500,2500,0.035370,883.510186
64,double,2500,2500,2500,0.036107,865.490794
64,double,2500,2500,2500,0.038977,801.759941
64,double,2500,2500,2500,0.036620,853.350525
64,double,2500,2500,2500,0.035802,872.847781
64,double,2500,2500,2500,0.038402,813.769617
64,double,2500,2500,2500,0.040690,768.000588
64,double,2500,2500,2500,0.040034,780.581042
64,double,2500,2500,2500,0.039982,781.593843
64,double,2500,2500,2500,0.037294,837.932982
64,double,2500,2500,2500,0.036707,851.333753
64,double,2500,2500,2500,0.036089,865.908151
64,double,3000,3000,3000,0.059153,912.890346
64,double,3000,3000,3000,0.049139,1098.919615
64,double,3000,3000,3000,0.056575,954.479562
64,double,3000,3000,3000,0.065196,828.275180
64,double,3000,3000,3000,0.056281,959.472554
64,double,3000,3000,3000,0.057734,935.317058
64,double,3000,3000,3000,0.056613,953.838542
64,double,3000,3000,3000,0.055017,981.518087
64,double,3000,3000,3000,0.058454,923.804075
64,double,3000,3000,3000,0.059120,913.399958
64,double,3000,3000,3000,0.057482,939.428503
64,double,3000,3000,3000,0.056734,951.815906
64,double,3000,3000,3000,0.058618,921.226423
64,double,3000,3000,3000,0.058300,926.251305
64,double,3000,3000,3000,0.055933,965.437585
64,double,3500,3500,3500,0.081071,1057.718652
64,double,3500,3500,3500,0.078997,1085.479848
64,double,3500,3500,3500,0.081871,1047.377086
64,double,3500,3500,3500,0.081470,1052.538835
64,double,3500,3500,3500,0.082490,1039.520143
64,double,3500,3500,3500,0.080040,1071.337309
64,double,3500,3500,3500,0.083758,1023.778916
64,double,3500,3500,3500,0.081710,1049.442536
64,double,3500,3500,3500,0.080196,1069.250471
64,double,3500,3500,3500,0.076855,1115.734887
64,double,3500,3500,3500,0.079098,1084.095356
64,double,3500,3500,3500,0.078421,1093.458546
64,double,3500,3500,3500,0.078019,1099.098065
64,double,3500,3500,3500,0.079745,1075.297632
64,double,3500,3500,3500,0.079098,1084.100976
64,double,4000,4000,4000,0.100983,1267.544675
64,double,4000,4000,4000,0.102184,1252.643249
64,double,4000,4000,4000,0.105716,1210.794544
64,double,4000,4000,4000,0.107655,1188.982763
64,double,4000,4000,4000,0.104948,1219.656716
64,double,4000,4000,4000,0.101025,1267.009566
64,double,4000,4000,4000,0.100649,1271.751964
64,double,4000,4000,4000,0.106299,1204.153932
64,double,4000,4000,4000,0.104079,1229.830976
64,double,4000,4000,4000,0.102459,1249.275823
64,double,4000,4000,4000,0.103039,1242.242390
64,double,4000,4000,4000,0.106338,1203.712686
64,double,4000,4000,4000,0.103139,1241.045782
64,double,4000,4000,4000,0.106000,1207.542123
64,double,4000,4000,4000,0.101255,1264.131646
64,double,4500,4500,4500,0.138306,1317.730641
64,double,4500,4500,4500,0.137330,1327.091018
64,double,4500,4500,4500,0.141017,1292.393338
64,double,4500,4500,4500,0.136650,1333.697885
64,double,4500,4500,4500,0.138778,1313.251024
64,double,4500,4500,4500,0.135718,1342.857916
64,double,4500,4500,4500,0.139389,1307.496467
64,double,4500,4500,4500,0.140657,1295.709724
64,double,4500,4500,4500,0.137027,1330.032605
64,double,4500,4500,4500,0.138658,1314.386266
64,double,4500,4500,4500,0.139233,1308.956656
64,double,4500,4500,4500,0.137952,1321.107793
64,double,4500,4500,4500,0.138342,1317.386440
64,double,4500,4500,4500,0.136313,1337.000355
64,double,4500,4500,4500,0.138731,1313.692412
64,double,5000,5000,5000,0.179400,1393.531594
64,double,5000,5000,5000,0.181277,1379.107606
64,double,5000,5000,5000,0.181449,1377.801050
64,double,5000,5000,5000,0.182421,1370.457822
64,double,5000,5000,5000,0.182363,1370.892723
64,double,5000,5000,5000,0.182785,1367.727687
64,double,5000,5000,5000,0.185559,1347.277940
64,double,5000,5000,5000,0.178740,1398.681963
64,double,5000,5000,5000,0.181143,1380.127464
64,double,5000,5000,5000,0.182250,1371.739328
64,double,5000,5000,5000,0.176171,1419.076268
64,double,5000,5000,5000,0.182917,1366.740472
64,double,5000,5000,5000,0.183344,1363.554471
64,double,5000,5000,5000,0.179044,1396.302183
64,double,5000,5000,5000,0.179954,1389.241077
64,double,5500,5500,5500,0.239709,1388.140534
64,double,5500,5500,5500,0.231361,1438.231373
64,double,5500,5500,5500,0.234972,1416.125188
64,double,5500,5500,5500,0.231037,1440.242909
64,double,5500,5500,5500,0.230903,1441.079984
64,double,5500,5500,5500,0.232347,1432.125676
64,double,5500,5500,5500,0.235494,1412.989321
64,double,5500,5500,5500,0.232956,1428.380927
64,double,5500,5500,5500,0.232714,1429.868344
64,double,5500,5500,5500,0.233672,1424.001589
64,double,5500,5500,5500,0.242488,1372.232966
64,double,5500,5500,5500,0.235133,1415.157203
64,double,5500,5500,5500,0.233042,1427.852969
64,double,5500,5500,5500,0.239060,1391.909870
64,double,5500,5500,5500,0.239455,1389.614489
64,double,6000,6000,6000,0.291594,1481.511833
64,double,6000,6000,6000,0.281122,1536.697467
64,double,6000,6000,6000,0.292694,1475.943353
64,double,6000,6000,6000,0.285192,1514.771398
64,double,6000,6000,6000,0.292071,1479.094129
64,double,6000,6000,6000,0.294181,1468.481622
64,double,6000,6000,6000,0.282486,1529.277930
64,double,6000,6000,6000,0.296105,1458.940678
64,double,6000,6000,6000,0.288684,1496.447781
64,double,6000,6000,6000,0.294513,1466.827871
64,double,6000,6000,6000,0.285087,1515.329553
64,double,6000,6000,6000,0.294119,1468.791371
64,double,6000,6000,6000,0.290922,1484.931906
64,double,6000,6000,6000,0.280417,1540.561261
64,double,6000,6000,6000,0.296509,1456.956467
64,double,6500,6500,6500,0.367364,1495.112142
64,double,6500,6500,6500,0.374508,1466.592091
64,double,6500,6500,6500,0.373038,1472.371998
64,double,6500,6500,6500,0.369076,1488.174163
64,double,6500,6500,6500,0.365892,1501.125359
64,double,6500,6500,6500,0.374438,1466.864605
64,double,6500,6500,6500,0.365899,1501.095267
64,double,6500,6500,6500,0.359461,1527.981174
64,double,6500,6500,6500,0.380259,1444.410470
64,double,6500,6500,6500,0.364140,1508.347729
64,double,6500,6500,6500,0.370759,1481.419594
64,double,6500,6500,6500,0.370850,1481.055410
64,double,6500,6500,6500,0.368326,1491.208006
64,double,6500,6500,6500,0.365431,1503.019360
64,double,6500,6500,6500,0.366878,1497.092717
64,double,7000,7000,7000,0.452740,1515.219013
64,double,7000,7000,7000,0.447872,1531.686397
64,double,7000,7000,7000,0.429117,1598.632451
64,double,7000,7000,7000,0.448920,1528.113254
64,double,7000,7000,7000,0.453416,1512.960086
64,double,7000,7000,7000,0.436658,1571.025044
64,double,7000,7000,7000,0.428284,1601.739644
64,double,7000,7000,7000,0.456117,1503.998689
64,double,7000,7000,7000,0.448810,1528.486381
64,double,7000,7000,7000,0.438851,1563.171369
64,double,7000,7000,7000,0.457984,1497.869137
64,double,7000,7000,7000,0.457233,1500.329338
64,double,7000,7000,7000,0.432964,1584.427654
64,double,7000,7000,7000,0.474722,1445.057610
64,double,7000,7000,7000,0.443330,1547.379518
64,double,7500,7500,7500,0.540964,1559.715524
64,double,7500,7500,7500,0.526011,1604.054761
64,double,7500,7500,7500,0.522835,1613.797167
64,double,7500,7500,7500,0.529644,1593.050324
64,double,7500,7500,7500,0.520256,1621.797914
64,double,7500,7500,7500,0.520974,1619.563574
64,double,7500,7500,7500,0.549417,1535.718967
64,double,7500,7500,7500,0.518120,1628.484110
64,double,7500,7500,7500,0.519077,1625.480998
64,double,7500,7500,7500,0.509252,1656.843198
64,double,7500,7500,7500,0.506039,1667.362153
64,double,7500,7500,7500,0.555876,1517.874375
64,double,7500,7500,7500,0.526122,1603.714074
64,double,7500,7500,7500,0.530767,1589.681831
64,double,7500,7500,7500,0.535654,1575.176654
64,double,8000,8000,8000,0.644701,1588.333802
64,double,8000,8000,8000,0.627151,1632.780346
64,double,8000,8000,8000,0.602242,1700.311816
64,double,8000,8000,8000,0.628755,1628.614217
64,double,8000,8000,8000,0.648704,1578.532250
64,double,8000,8000,8000,0.633488,1616.448482
64,double,8000,8000,8000,0.636620,1608.494409
64,double,8000,8000,8000,0.624812,1638.892079
64,double,8000,8000,8000,0.633251,1617.051303
64,double,8000,8000,8000,0.654544,1564.448645
64,double,8000,8000,8000,0.646334,1584.319872
64,double,8000,8000,8000,0.643195,1592.050957
64,double,8000,8000,8000,0.631673,1621.092688
64,double,8000,8000,8000,0.620939,1649.114059
64,double,8000,8000,8000,0.654940,1563.502690
64,double,8500,8500,8500,0.719879,1706.188415
64,double,8500,8500,8500,0.752490,1632.247681
64,double,8500,8500,8500,0.737769,1664.815544
64,double,8500,8500,8500,0.745793,1646.904532
64,double,8500,8500,8500,0.743966,1650.949462
64,double,8500,8500,8500,0.743089,1652.897705
64,double,8500,8500,8500,0.738719,1662.674889
64,double,8500,8500,8500,0.731686,1678.656265
64,double,8500,8500,8500,0.730063,1682.387994
64,double,8500,8500,8500,0.731755,1678.499215
64,double,8500,8500,8500,0.756735,1623.091543
64,double,8500,8500,8500,0.719573,1706.914853
64,double,8500,8500,8500,0.728769,1685.375170
64,double,8500,8500,8500,0.741100,1657.333049
64,double,8500,8500,8500,0.745121,1648.389177
64,double,9000,9000,9000,0.826064,1764.996002
64,double,9000,9000,9000,0.866301,1683.016909
64,double,9000,9000,9000,0.849185,1716.941341
64,double,9000,9000,9000,0.843456,1728.601693
64,double,9000,9000,9000,0.856297,1702.680496
64,double,9000,9000,9000,0.829810,1757.029315
64,double,9000,9000,9000,0.818837,1780.574243
64,double,9000,9000,9000,0.844852,1725.746185
