threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.036973,432.743201
64,double,2000,2000,2000,0.037274,429.256342
64,double,2000,2000,2000,0.038107,419.866509
64,double,2000,2000,2000,0.037161,430.558560
64,double,2000,2000,2000,0.038067,420.306753
64,double,2000,2000,2000,0.037437,427.383177
64,double,2000,2000,2000,0.037302,428.928929
64,double,2000,2000,2000,0.036975,432.729952
64,double,2000,2000,2000,0.036853,434.153275
64,double,2000,2000,2000,0.038365,417.043244
64,double,2000,2000,2000,0.037218,429.904154
64,double,2000,2000,2000,0.037621,425.293072
64,double,2000,2000,2000,0.038948,410.802672
64,double,2000,2000,2000,0.039210,408.055599
64,double,2000,2000,2000,0.036613,437.002152
64,double,2500,2500,2500,0.050803,615.119859
64,double,2500,2500,2500,0.051042,612.245986
64,double,2500,2500,2500,0.052501,595.228254
64,double,2500,2500,2500,0.051987,601.112475
64,double,2500,2500,2500,0.050697,616.406468
64,double,2500,2500,2500,0.048718,641.442875
64,double,2500,2500,2500,0.050307,621.183634
64,double,2500,2500,2500,0.052413,596.228948
64,double,2500,2500,2500,0.052762,592.282897
64,double,2500,2500,2500,0.052622,593.860497
64,double,2500,2500,2500,0.051016,612.558004
64,double,2500,2500,2500,0.051650,605.033776
64,double,2500,2500,2500,0.053418,585.007583
64,double,2500,2500,2500,0.052478,595.491219
64,double,2500,2500,2500,0.053491,584.214709
64,double,3000,3000,3000,0.071936,750.669451
64,double,3000,3000,3000,0.072175,748.181835
64,double,3000,3000,3000,0.070304,768.091958
64,double,3000,3000,3000,0.068216,791.607344
64,double,3000,3000,3000,0.070175,769.509645
64,double,3000,3000,3000,0.069126,781.181963
64,double,3000,3000,3000,0.073109,738.618747
64,double,3000,3000,3000,0.068472,788.645134
64,double,3000,3000,3000,0.070940,761.203434
64,double,3000,3000,3000,0.070082,770.523251
64,double,3000,3000,3000,0.070165,769.618297
64,double,3000,3000,3000,0.069775,773.917046
64,double,3000,3000,3000,0.068529,787.988740
64,double,3000,3000,3000,0.074892,721.033703
64,double,3000,3000,3000,0.073689,732.809162
64,double,3500,3500,3500,0.093585,916.278770
64,double,3500,3500,3500,0.093548,916.638040
64,double,3500,3500,3500,0.093785,914.324617
64,double,3500,3500,3500,0.095969,893.514095
64,double,3500,3500,3500,0.094883,903.744478
64,double,3500,3500,3500,0.097340,880.933320
64,double,3500,3500,3500,0.093669,915.457876
64,double,3500,3500,3500,0.097372,880.644012
64,double,3500,3500,3500,0.095707,895.965183
64,double,3500,3500,3500,0.092771,924.322360
64,double,3500,3500,3500,0.093818,914.008356
64,double,3500,3500,3500,0.092482,927.206053
64,double,3500,3500,3500,0.099013,866.050018
64,double,3500,3500,3500,0.099902,858.342807
64,double,3500,3500,3500,0.095846,894.660773
64,double,4000,4000,4000,0.120392,1063.194062
64,double,4000,4000,4000,0.121709,1051.691249
64,double,4000,4000,4000,0.123728,1034.531088
64,double,4000,4000,4000,0.123390,1037.364760
64,double,4000,4000,4000,0.131239,975.317666
64,double,4000,4000,4000,0.120053,1066.197735
64,double,4000,4000,4000,0.122032,1048.902893
64,double,4000,4000,4000,0.128732,994.310130
64,double,4000,4000,4000,0.128189,998.526175
64,double,4000,4000,4000,0.127528,1003.698504
64,double,4000,4000,4000,0.129568,987.896790
64,double,4000,4000,4000,0.125272,1021.775007
64,double,4000,4000,4000,0.126888,1008.761861
64,double,4000,4000,4000,0.125593,1019.166793
64,double,4000,4000,4000,0.126382,1012.800004
64,double,4500,4500,4500,0.163965,1111.519641
64,double,4500,4500,4500,0.167479,1088.199283
64,double,4500,4500,4500,0.173326,1051.485859
64,double,4500,4500,4500,0.162823,1119.311754
64,double,4500,4500,4500,0.163303,1116.026595
64,double,4500,4500,4500,0.163129,1117.211697
64,double,4500,4500,4500,0.168133,1083.965883
64,double,4500,4500,4500,0.170993,1065.832468
64,double,4500,4500,4500,0.164588,1107.310489
64,double,4500,4500,4500,0.168297,1082.906656
64,double,4500,4500,4500,0.164533,1107.679812
64,double,4500,4500,4500,0.167573,1087.585300
64,double,4500,4500,4500,0.163395,1115.393099
64,double,4500,4500,4500,0.168847,1079.381513
64,double,4500,4500,4500,0.169295,1076.521912
64,double,5000,5000,5000,0.216404,1155.245793
64,double,5000,5000,5000,0.217815,1147.763321
64,double,5000,5000,5000,0.215280,1161.278427
64,double,5000,5000,5000,0.214686,1164.492916
64,double,5000,5000,5000,0.221659,1127.858781
64,double,5000,5000,5000,0.217907,1147.279195
64,double,5000,5000,5000,0.220781,1132.343216
64,double,5000,5000,5000,0.219762,1137.593209
64,double,5000,5000,5000,0.224540,1113.386170
64,double,5000,5000,5000,0.220585,1133.349797
64,double,5000,5000,5000,0.217797,1147.859691
64,double,5000,5000,5000,0.220680,1132.859599
64,double,5000,5000,5000,0.219775,1137.527177
64,double,5000,5000,5000,0.220094,1135.878941
64,double,5000,5000,5000,0.218284,1145.296695
64,double,5500,5500,5500,0.280579,1185.942344
