threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.027076,590.930327
64,double,2000,2000,2000,0.026275,608.941893
64,double,2000,2000,2000,0.027306,585.944874
64,double,2000,2000,2000,0.029851,535.994995
64,double,2000,2000,2000,0.026509,603.568258
64,double,2000,2000,2000,0.028406,563.266042
64,double,2000,2000,2000,0.034392,465.220156
64,double,2000,2000,2000,0.028372,563.945518
64,double,2000,2000,2000,0.032749,488.571846
64,double,2000,2000,2000,0.028103,569.333222
64,double,2000,2000,2000,0.030811,519.295074
64,double,2000,2000,2000,0.028318,565.002575
64,double,2000,2000,2000,0.029595,540.639299
64,double,2000,2000,2000,0.028595,559.538674
64,double,2000,2000,2000,0.028452,562.351693
64,double,2500,2500,2500,0.042979,727.105304
64,double,2500,2500,2500,0.042769,730.667855
64,double,2500,2500,2500,0.043273,722.160349
64,double,2500,2500,2500,0.043282,722.003911
64,double,2500,2500,2500,0.043389,720.235352
64,double,2500,2500,2500,0.052427,596.064081
64,double,2500,2500,2500,0.043580,717.076445
64,double,2500,2500,2500,0.043439,719.401936
64,double,2500,2500,2500,0.043624,716.346566
64,double,2500,2500,2500,0.046445,672.842797
64,double,2500,2500,2500,0.043708,714.978582
64,double,2500,2500,2500,0.042474,735.736823
64,double,2500,2500,2500,0.043709,714.961848
64,double,2500,2500,2500,0.043470,718.886803
64,double,2500,2500,2500,0.043689,715.279438
64,double,3000,3000,3000,0.062301,866.763339
64,double,3000,3000,3000,0.061398,879.507662
64,double,3000,3000,3000,0.071145,759.017721
64,double,3000,3000,3000,0.060405,893.959767
64,double,3000,3000,3000,0.074523,724.605768
64,double,3000,3000,3000,0.061135,883.292464
64,double,3000,3000,3000,0.061628,876.227950
64,double,3000,3000,3000,0.062861,859.033180
64,double,3000,3000,3000,0.063902,845.043788
64,double,3000,3000,3000,0.082330,655.896729
64,double,3000,3000,3000,0.082980,650.761140
64,double,3000,3000,3000,0.071654,753.618394
64,double,3000,3000,3000,0.062858,859.078921
64,double,3000,3000,3000,0.060791,888.293257
64,double,3000,3000,3000,0.061157,882.977489
64,double,3500,3500,3500,0.083498,1026.973436
64,double,3500,3500,3500,0.084799,1011.218404
64,double,3500,3500,3500,0.084045,1020.281434
64,double,3500,3500,3500,0.084041,1020.337619
64,double,3500,3500,3500,0.097954,875.414965
64,double,3500,3500,3500,0.084296,1017.254559
64,double,3500,3500,3500,0.109771,781.169976
64,double,3500,3500,3500,0.084280,1017.446822
64,double,3500,3500,3500,0.084152,1018.985222
64,double,3500,3500,3500,0.084288,1017.349975
64,double,3500,3500,3500,0.084645,1013.058017
64,double,3500,3500,3500,0.085472,1003.250367
64,double,3500,3500,3500,0.084655,1012.935152
64,double,3500,3500,3500,0.099074,865.515347
64,double,3500,3500,3500,0.099171,864.666128
64,double,4000,4000,4000,0.118174,1083.147065
64,double,4000,4000,4000,0.150360,851.291799
64,double,4000,4000,4000,0.117935,1085.346392
64,double,4000,4000,4000,0.119218,1073.666804
64,double,4000,4000,4000,0.119063,1075.058754
64,double,4000,4000,4000,0.118701,1078.335797
64,double,4000,4000,4000,0.118930,1076.260805
64,double,4000,4000,4000,0.119350,1072.479344
64,double,4000,4000,4000,0.137435,931.348322
64,double,4000,4000,4000,0.118825,1077.215932
64,double,4000,4000,4000,0.119109,1074.641447
64,double,4000,4000,4000,0.119533,1070.833808
64,double,4000,4000,4000,0.119698,1069.357955
64,double,4000,4000,4000,0.119333,1072.626825
64,double,4000,4000,4000,0.119484,1071.270191
64,double,4500,4500,4500,0.156150,1167.145180
64,double,4500,4500,4500,0.155923,1168.848373
64,double,4500,4500,4500,0.156234,1166.518727
64,double,4500,4500,4500,0.155691,1170.589813
64,double,4500,4500,4500,0.157274,1158.804620
64,double,4500,4500,4500,0.157155,1159.683433
64,double,4500,4500,4500,0.158707,1148.342659
64,double,4500,4500,4500,0.157450,1157.506910
64,double,4500,4500,4500,0.157010,1160.757227
64,double,4500,4500,4500,0.158278,1151.453376
64,double,4500,4500,4500,0.156530,1164.314718
64,double,4500,4500,4500,0.157003,1160.802392
64,double,4500,4500,4500,0.156818,1162.176609
64,double,4500,4500,4500,0.157092,1160.148917
64,double,4500,4500,4500,0.157426,1157.686794
64,double,5000,5000,5000,0.215487,1160.160247
64,double,5000,5000,5000,0.215476,1160.223366
64,double,5000,5000,5000,0.216155,1156.575444
64,double,5000,5000,5000,0.215386,1160.709303
64,double,5000,5000,5000,0.251632,993.516032
64,double,5000,5000,5000,0.214995,1162.818497
64,double,5000,5000,5000,0.216336,1155.609616
64,double,5000,5000,5000,0.216734,1153.489138
64,double,5000,5000,5000,0.216609,1154.155340
64,double,5000,5000,5000,0.264829,944.005830
64,double,5000,5000,5000,0.215915,1157.865418
64,double,5000,5000,5000,0.216053,1157.122252
64,double,5000,5000,5000,0.263400,949.128328
64,double,5000,5000,5000,0.216031,1157.242891
64,double,5000,5000,5000,0.217007,1152.034760
64,double,5500,5500,5500,0.265929,1251.273375
64,double,5500,5500,5500,0.265443,1253.565339
64,double,5500,5500,5500,0.267728,1242.866650
64,double,5500,5500,5500,0.267876,1242.179611
64,double,5500,5500,5500,0.306173,1086.804263
64,double,5500,5500,5500,0.267705,1242.973975
64,double,5500,5500,5500,0.268987,1237.047412
64,double,5500,5500,5500,0.268068,1241.287889
64,double,5500,5500,5500,0.267618,1243.377274
64,double,5500,5500,5500,0.268442,1239.560789
64,double,5500,5500,5500,0.268800,1237.908360
