threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.028236,566.645456
64,double,2000,2000,2000,0.029087,550.075637
64,double,2000,2000,2000,0.028386,563.662113
64,double,2000,2000,2000,0.027911,573.254202
64,double,2000,2000,2000,0.029116,549.526166
64,double,2000,2000,2000,0.028436,562.662174
64,double,2000,2000,2000,0.027277,586.584017
64,double,2000,2000,2000,0.029774,537.380200
64,double,2000,2000,2000,0.026648,600.422142
64,double,2000,2000,2000,0.027069,591.077027
64,double,2000,2000,2000,0.026888,595.069868
64,double,2000,2000,2000,0.028544,560.545815
64,double,2000,2000,2000,0.026920,594.349688
64,double,2000,2000,2000,0.028232,566.732525
64,double,2000,2000,2000,0.025924,617.184182
64,double,2500,2500,2500,0.036721,851.021347
64,double,2500,2500,2500,0.037092,842.510633
64,double,2500,2500,2500,0.036555,854.867959
64,double,2500,2500,2500,0.037741,828.022112
64,double,2500,2500,2500,0.039964,781.949376
64,double,2500,2500,2500,0.041410,754.649201
64,double,2500,2500,2500,0.038944,802.431009
64,double,2500,2500,2500,0.039913,782.960436
64,double,2500,2500,2500,0.038447,812.803964
64,double,2500,2500,2500,0.040315,775.150304
64,double,2500,2500,2500,0.038682,807.864991
64,double,2500,2500,2500,0.040221,776.949912
64,double,2500,2500,2500,0.040296,775.518126
64,double,2500,2500,2500,0.037330,837.135401
64,double,2500,2500,2500,0.042494,735.397281
64,double,3000,3000,3000,0.059121,913.382531
64,double,3000,3000,3000,0.054707,987.082598
64,double,3000,3000,3000,0.057731,935.365289
64,double,3000,3000,3000,0.055554,972.019361
64,double,3000,3000,3000,0.056944,948.295988
64,double,3000,3000,3000,0.058378,925.008689
64,double,3000,3000,3000,0.059006,915.162395
64,double,3000,3000,3000,0.055782,968.050827
64,double,3000,3000,3000,0.058763,918.940888
64,double,3000,3000,3000,0.058428,924.212630
64,double,3000,3000,3000,0.060726,889.246534
64,double,3000,3000,3000,0.057807,934.138060
64,double,3000,3000,3000,0.054976,982.242761
64,double,3000,3000,3000,0.056507,955.632073
64,double,3000,3000,3000,0.057574,937.921804
64,double,3500,3500,3500,0.079070,1084.475590
64,double,3500,3500,3500,0.073260,1170.484037
64,double,3500,3500,3500,0.078201,1096.539729
64,double,3500,3500,3500,0.073484,1166.927344
64,double,3500,3500,3500,0.079186,1082.893974
64,double,3500,3500,3500,0.076555,1120.104165
64,double,3500,3500,3500,0.077133,1111.710275
64,double,3500,3500,3500,0.082324,1041.615206
64,double,3500,3500,3500,0.078665,1090.070428
64,double,3500,3500,3500,0.077960,1099.925902
64,double,3500,3500,3500,0.076240,1124.739647
64,double,3500,3500,3500,0.079701,1075.890141
64,double,3500,3500,3500,0.079241,1082.146860
64,double,3500,3500,3500,0.077903,1100.724720
64,double,3500,3500,3500,0.074925,1144.472633
64,double,4000,4000,4000,0.099430,1287.335935
64,double,4000,4000,4000,0.094132,1359.794394
64,double,4000,4000,4000,0.097930,1307.062213
64,double,4000,4000,4000,0.098344,1301.556827
64,double,4000,4000,4000,0.099828,1282.203428
64,double,4000,4000,4000,0.099472,1286.796939
64,double,4000,4000,4000,0.095757,1336.712152
64,double,4000,4000,4000,0.094403,1355.888855
64,double,4000,4000,4000,0.097889,1307.610029
64,double,4000,4000,4000,0.098460,1300.022505
64,double,4000,4000,4000,0.097021,1319.299518
64,double,4000,4000,4000,0.096763,1322.815038
64,double,4000,4000,4000,0.098185,1303.667603
64,double,4000,4000,4000,0.098266,1302.588049
64,double,4000,4000,4000,0.102060,1254.165802
64,double,4500,4500,4500,0.124724,1461.229352
64,double,4500,4500,4500,0.124505,1463.794283
64,double,4500,4500,4500,0.123756,1472.650707
64,double,4500,4500,4500,0.123311,1477.966044
64,double,4500,4500,4500,0.127354,1431.049975
64,double,4500,4500,4500,0.127470,1429.751922
64,double,4500,4500,4500,0.124452,1464.420970
64,double,4500,4500,4500,0.123136,1480.073725
64,double,4500,4500,4500,0.123563,1474.950389
64,double,4500,4500,4500,0.123417,1476.700283
64,double,4500,4500,4500,0.123476,1475.996100
64,double,4500,4500,4500,0.122020,1493.602795
64,double,4500,4500,4500,0.127990,1423.940828
64,double,4500,4500,4500,0.123678,1473.579436
64,double,4500,4500,4500,0.123577,1474.789499
64,double,5000,5000,5000,0.149886,1667.930925
64,double,5000,5000,5000,0.156497,1597.479540
64,double,5000,5000,5000,0.153381,1629.931424
64,double,5000,5000,5000,0.153356,1630.193702
64,double,5000,5000,5000,0.152306,1641.434535
64,double,5000,5000,5000,0.155656,1606.101005
64,double,5000,5000,5000,0.155594,1606.743428
64,double,5000,5000,5000,0.160455,1558.068969
64,double,5000,5000,5000,0.152493,1639.421998
64,double,5000,5000,5000,0.155773,1604.902703
64,double,5000,5000,5000,0.153657,1626.997422
64,double,5000,5000,5000,0.154333,1619.874171
64,double,5000,5000,5000,0.154400,1619.166779
64,double,5000,5000,5000,0.154899,1613.952659
64,double,5000,5000,5000,0.155514,1607.569321
64,double,5500,5500,5500,0.194654,1709.439848
64,double,5500,5500,5500,0.193740,1717.507442
64,double,5500,5500,5500,0.195837,1699.113401
64,double,5500,5500,5500,0.195240,1704.314684
64,double,5500,5500,5500,0.193688,1717.968484
64,double,5500,5500,5500,0.197961,1680.883243
64,double,5500,5500,5500,0.196569,1692.786011
64,double,5500,5500,5500,0.196833,1690.515114
64,double,5500,5500,5500,0.198634,1675.191837
64,double,5500,5500,5500,0.195780,1699.611792
64,double,5500,5500,5500,0.195415,1702.783171
64,double,5500,5500,5500,0.196068,1697.115217
64,double,5500,5500,5500,0.196174,1696.195956
64,double,5500,5500,5500,0.193939,1715.749565
64,double,5500,5500,5500,0.194618,1709.760027
64,double,6000,6000,6000,0.237263,1820.763233
64,double,6000,6000,6000,0.235981,1830.657945
64,double,6000,6000,6000,0.234556,1841.779887
64,double,6000,6000,6000,0.237940,1815.580251
64,double,6000,6000,6000,0.237510,1818.874613
64,double,6000,6000,6000,0.240175,1798.690583
64,double,6000,6000,6000,0.237419,1819.570090
64,double,6000,6000,6000,0.236904,1823.521236
64,double,6000,6000,6000,0.237815,1816.541365
64,double,6000,6000,6000,0.236949,1823.179502
64,double,6000,6000,6000,0.238320,1812.691218
64,double,6000,6000,6000,0.235822,1831.893891
64,double,6000,6000,6000,0.239311,1805.185523
64,double,6000,6000,6000,0.241162,1791.325603
64,double,6000,6000,6000,0.237470,1819.176799
64,double,6500,6500,6500,0.303350,1810.612235
64,double,6500,6500,6500,0.301810,1819.851120
64,double,6500,6500,6500,0.299858,1831.702580
64,double,6500,6500,6500,0.302477,1815.840813
64,double,6500,6500,6500,0.301574,1821.275558
64,double,6500,6500,6500,0.300594,1827.213052
64,double,6500,6500,6500,0.302214,1817.418218
64,double,6500,6500,6500,0.304649,1802.895798
64,double,6500,6500,6500,0.305467,1798.066673
64,double,6500,6500,6500,0.302631,1814.916114
64,double,6500,6500,6500,0.309854,1772.610128
64,double,6500,6500,6500,0.308655,1779.493798
64,double,6500,6500,6500,0.304320,1804.844973
64,double,6500,6500,6500,0.305425,1798.311011
64,double,6500,6500,6500,0.299718,1832.554438
64,double,7000,7000,7000,0.395917,1732.686838
64,double,7000,7000,7000,0.389458,1761.421298
64,double,7000,7000,7000,0.406057,1689.416470
64,double,7000,7000,7000,0.403800,1698.861331
64,double,7000,7000,7000,0.387647,1769.651200
64,double,7000,7000,7000,0.386924,1772.957557
64,double,7000,7000,7000,0.386041,1777.014887
64,double,7000,7000,7000,0.396945,1728.199234
64,double,7000,7000,7000,0.398289,1722.368140
64,double,7000,7000,7000,0.400155,1714.337803
64,double,7000,7000,7000,0.393803,1741.988369
64,double,7000,7000,7000,0.393865,1741.715353
64,double,7000,7000,7000,0.397323,1726.553270
64,double,7000,7000,7000,0.390858,1755.115239
64,double,7000,7000,7000,0.395498,1734.522361
64,double,7500,7500,7500,0.516832,1632.540887
64,double,7500,7500,7500,0.507145,1663.726185
