threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.042862,373.288963
64,double,2000,2000,2000,0.040394,396.095646
64,double,2000,2000,2000,0.041264,387.748213
64,double,2000,2000,2000,0.040084,399.157737
64,double,2000,2000,2000,0.040973,390.499680
64,double,2000,2000,2000,0.042386,377.483354
64,double,2000,2000,2000,0.042809,373.752746
64,double,2000,2000,2000,0.038563,414.903112
64,double,2000,2000,2000,0.041037,389.889683
64,double,2000,2000,2000,0.040491,395.151277
64,double,2000,2000,2000,0.039589,404.148994
64,double,2000,2000,2000,0.041680,383.875538
64,double,2000,2000,2000,0.040115,398.855226
64,double,2000,2000,2000,0.042990,372.178486
64,double,2000,2000,2000,0.042624,375.373279
64,double,2500,2500,2500,0.054429,574.147376
64,double,2500,2500,2500,0.054656,571.761555
64,double,2500,2500,2500,0.053038,589.196819
64,double,2500,2500,2500,0.052219,598.442842
64,double,2500,2500,2500,0.051376,608.260524
64,double,2500,2500,2500,0.054632,572.007341
64,double,2500,2500,2500,0.055096,567.196165
64,double,2500,2500,2500,0.052362,596.808862
64,double,2500,2500,2500,0.052912,590.607217
64,double,2500,2500,2500,0.054789,570.369746
64,double,2500,2500,2500,0.053779,581.081133
64,double,2500,2500,2500,0.055439,563.677817
64,double,2500,2500,2500,0.053548,583.590060
64,double,2500,2500,2500,0.054441,574.019840
64,double,2500,2500,2500,0.053028,589.313152
64,double,3000,3000,3000,0.074680,723.084728
64,double,3000,3000,3000,0.071307,757.291635
64,double,3000,3000,3000,0.070631,764.540574
64,double,3000,3000,3000,0.067858,795.779691
64,double,3000,3000,3000,0.069486,777.129426
64,double,3000,3000,3000,0.070258,768.600429
64,double,3000,3000,3000,0.067819,796.242291
64,double,3000,3000,3000,0.068142,792.468171
64,double,3000,3000,3000,0.068851,784.302664
64,double,3000,3000,3000,0.069543,776.496420
64,double,3000,3000,3000,0.069540,776.528645
64,double,3000,3000,3000,0.069930,772.202572
64,double,3000,3000,3000,0.070706,763.728324
64,double,3000,3000,3000,0.069930,772.195715
64,double,3000,3000,3000,0.069381,778.311570
64,double,3500,3500,3500,0.089996,952.823238
64,double,3500,3500,3500,0.087230,983.036955
64,double,3500,3500,3500,0.097704,877.653433
64,double,3500,3500,3500,0.089283,960.428896
64,double,3500,3500,3500,0.092795,924.075221
64,double,3500,3500,3500,0.093090,921.150396
64,double,3500,3500,3500,0.090966,942.664693
64,double,3500,3500,3500,0.091119,941.072529
64,double,3500,3500,3500,0.091427,937.903104
64,double,3500,3500,3500,0.086468,991.698300
64,double,3500,3500,3500,0.092556,926.461825
64,double,3500,3500,3500,0.095861,894.521237
64,double,3500,3500,3500,0.085818,999.206578
64,double,3500,3500,3500,0.092591,926.114279
64,double,3500,3500,3500,0.097452,879.920344
64,double,4000,4000,4000,0.115611,1107.158067
64,double,4000,4000,4000,0.110813,1155.101883
64,double,4000,4000,4000,0.120636,1061.044299
64,double,4000,4000,4000,0.110686,1156.424292
64,double,4000,4000,4000,0.113506,1127.696641
64,double,4000,4000,4000,0.119669,1069.614301
64,double,4000,4000,4000,0.112511,1137.668117
64,double,4000,4000,4000,0.115856,1104.819538
64,double,4000,4000,4000,0.120663,1060.803869
64,double,4000,4000,4000,0.111577,1147.189000
64,double,4000,4000,4000,0.121611,1052.536020
64,double,4000,4000,4000,0.114701,1115.945460
64,double,4000,4000,4000,0.110257,1160.920085
64,double,4000,4000,4000,0.120654,1060.886058
64,double,4000,4000,4000,0.116499,1098.721472
64,double,4500,4500,4500,0.144355,1262.511760
64,double,4500,4500,4500,0.150599,1210.169359
64,double,4500,4500,4500,0.150160,1213.702051
64,double,4500,4500,4500,0.148354,1228.478456
