threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.034980,457.399210
64,double,2000,2000,2000,0.036049,443.845290
64,double,2000,2000,2000,0.032800,487.809533
64,double,2000,2000,2000,0.034009,470.456784
64,double,2000,2000,2000,0.033471,478.030352
64,double,2000,2000,2000,0.031618,506.039726
64,double,2000,2000,2000,0.033154,482.595743
64,double,2000,2000,2000,0.034400,465.118970
64,double,2000,2000,2000,0.031890,501.731113
64,double,2000,2000,2000,0.034796,459.816493
64,double,2000,2000,2000,0.033792,473.482551
64,double,2000,2000,2000,0.031836,502.575211
64,double,2000,2000,2000,0.032354,494.536576
64,double,2000,2000,2000,0.031698,504.769440
64,double,2000,2000,2000,0.034168,468.271531
64,double,2500,2500,2500,0.051311,609.031321
64,double,2500,2500,2500,0.053011,589.504952
64,double,2500,2500,2500,0.050289,621.407012
64,double,2500,2500,2500,0.051967,601.342327
64,double,2500,2500,2500,0.049783,627.727854
64,double,2500,2500,2500,0.058301,536.010966
64,double,2500,2500,2500,0.053957,579.159846
64,double,2500,2500,2500,0.050339,620.790223
64,double,2500,2500,2500,0.054072,577.929546
64,double,2500,2500,2500,0.054710,571.192282
64,double,2500,2500,2500,0.050393,620.131410
64,double,2500,2500,2500,0.050658,616.887400
64,double,2500,2500,2500,0.052257,598.007977
64,double,2500,2500,2500,0.049422,632.315818
64,double,2500,2500,2500,0.052599,594.122435
64,double,3000,3000,3000,0.072855,741.201333
64,double,3000,3000,3000,0.067618,798.602068
64,double,3000,3000,3000,0.091790,588.298238
64,double,3000,3000,3000,0.077451,697.218389
64,double,3000,3000,3000,0.069988,771.558910
64,double,3000,3000,3000,0.071797,752.117074
64,double,3000,3000,3000,0.080907,667.432187
64,double,3000,3000,3000,0.086075,627.358826
64,double,3000,3000,3000,0.089984,600.107513
64,double,3000,3000,3000,0.098689,547.172341
64,double,3000,3000,3000,0.073446,735.236192
64,double,3000,3000,3000,0.077781,694.259987
64,double,3000,3000,3000,0.074577,724.081881
64,double,3000,3000,3000,0.082969,650.845206
64,double,3000,3000,3000,0.078285,689.783615
64,double,3500,3500,3500,0.137815,622.212068
64,double,3500,3500,3500,0.106481,805.307672
64,double,3500,3500,3500,0.100132,856.367659
64,double,3500,3500,3500,0.111437,769.490025
64,double,3500,3500,3500,0.127680,671.599136
64,double,3500,3500,3500,0.107782,795.586828
64,double,3500,3500,3500,0.111281,770.570134
64,double,3500,3500,3500,0.119730,716.194837
64,double,3500,3500,3500,0.114814,746.861609
64,double,3500,3500,3500,0.109773,781.154882
64,double,3500,3500,3500,0.119073,720.144439
64,double,3500,3500,3500,0.113132,757.962131
64,double,3500,3500,3500,0.101506,844.780545
64,double,3500,3500,3500,0.114048,751.879112
64,double,3500,3500,3500,0.114921,746.163854
64,double,4000,4000,4000,0.140509,910.973739
64,double,4000,4000,4000,0.146617,873.021975
64,double,4000,4000,4000,0.151925,842.522972
64,double,4000,4000,4000,0.147917,865.347419
64,double,4000,4000,4000,0.145067,882.349831
64,double,4000,4000,4000,0.161594,792.109770
64,double,4000,4000,4000,0.161049,794.786972
64,double,4000,4000,4000,0.140091,913.693282
64,double,4000,4000,4000,0.148354,862.799980
64,double,4000,4000,4000,0.163846,781.220509
64,double,4000,4000,4000,0.140580,910.512926
64,double,4000,4000,4000,0.146126,875.955911
64,double,4000,4000,4000,0.145615,879.030646
64,double,4000,4000,4000,0.197708,647.418644
64,double,4000,4000,4000,0.149600,855.616014
64,double,4500,4500,4500,0.214170,850.958799
64,double,4500,4500,4500,0.195289,933.233945
64,double,4500,4500,4500,0.197019,925.036090
64,double,4500,4500,4500,0.190606,956.160129
64,double,4500,4500,4500,0.200487,909.035707
64,double,4500,4500,4500,0.182938,996.239833
64,double,4500,4500,4500,0.213121,855.147465
64,double,4500,4500,4500,0.200092,910.829693
64,double,4500,4500,4500,0.198094,920.018842
64,double,4500,4500,4500,0.202989,897.831685
64,double,4500,4500,4500,0.187787,970.514109
64,double,4500,4500,4500,0.211118,863.262850
64,double,4500,4500,4500,0.187826,970.314742
64,double,4500,4500,4500,0.188152,968.632960
64,double,4500,4500,4500,0.186311,978.202408
64,double,5000,5000,5000,0.281278,888.801819
64,double,5000,5000,5000,0.287637,869.149555
64,double,5000,5000,5000,0.240393,1039.961810
64,double,5000,5000,5000,0.293567,851.593244
64,double,5000,5000,5000,0.264784,944.164866
64,double,5000,5000,5000,0.284294,879.372670
64,double,5000,5000,5000,0.270242,925.097080
64,double,5000,5000,5000,0.249859,1000.562372
64,double,5000,5000,5000,0.256579,974.359192
64,double,5000,5000,5000,0.247192,1011.358249
64,double,5000,5000,5000,0.262648,951.843551
64,double,5000,5000,5000,0.278786,896.746454
64,double,5000,5000,5000,0.246830,1012.842872
