threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.035942,445.165885
64,double,2000,2000,2000,0.036701,435.953179
64,double,2000,2000,2000,0.036070,443.576304
64,double,2000,2000,2000,0.038062,420.363203
64,double,2000,2000,2000,0.035873,446.020396
64,double,2000,2000,2000,0.036811,434.655153
64,double,2000,2000,2000,0.035769,447.309274
64,double,2000,2000,2000,0.036291,440.885154
64,double,2000,2000,2000,0.037233,429.728984
64,double,2000,2000,2000,0.038567,414.865104
64,double,2000,2000,2000,0.035241,454.014477
64,double,2000,2000,2000,0.038177,419.101867
64,double,2000,2000,2000,0.035357,452.529589
64,double,2000,2000,2000,0.036723,435.696530
64,double,2000,2000,2000,0.036059,443.715925
64,double,2500,2500,2500,0.053233,587.036491
64,double,2500,2500,2500,0.055322,564.874039
64,double,2500,2500,2500,0.056655,551.585454
64,double,2500,2500,2500,0.054644,571.883181
64,double,2500,2500,2500,0.052616,593.930712
64,double,2500,2500,2500,0.054702,571.276005
64,double,2500,2500,2500,0.052480,595.461728
64,double,2500,2500,2500,0.054874,569.485246
64,double,2500,2500,2500,0.056506,553.043039
64,double,2500,2500,2500,0.054032,578.362855
64,double,2500,2500,2500,0.055647,561.579764
64,double,2500,2500,2500,0.055345,564.639180
64,double,2500,2500,2500,0.052743,592.491586
64,double,2500,2500,2500,0.055545,562.608293
64,double,2500,2500,2500,0.054303,575.470921
64,double,3000,3000,3000,0.075898,711.485379
64,double,3000,3000,3000,0.076034,710.208180
64,double,3000,3000,3000,0.084246,640.977979
64,double,3000,3000,3000,0.079439,679.764829
64,double,3000,3000,3000,0.083899,643.628463
64,double,3000,3000,3000,0.081538,662.265853
64,double,3000,3000,3000,0.077326,698.341009
64,double,3000,3000,3000,0.083660,645.470121
64,double,3000,3000,3000,0.081369,663.640670
64,double,3000,3000,3000,0.076419,706.631364
64,double,3000,3000,3000,0.079303,680.936910
64,double,3000,3000,3000,0.082311,656.051136
64,double,3000,3000,3000,0.077895,693.240074
64,double,3000,3000,3000,0.084437,639.533775
64,double,3000,3000,3000,0.082401,655.331980
64,double,3500,3500,3500,0.117625,729.014367
64,double,3500,3500,3500,0.112140,764.672191
64,double,3500,3500,3500,0.107304,799.129838
64,double,3500,3500,3500,0.107927,794.520718
64,double,3500,3500,3500,0.110350,777.074640
64,double,3500,3500,3500,0.111586,768.463161
64,double,3500,3500,3500,0.115932,739.654757
64,double,3500,3500,3500,0.111575,768.538378
64,double,3500,3500,3500,0.110371,776.926091
64,double,3500,3500,3500,0.110990,772.592564
64,double,3500,3500,3500,0.110603,775.292741
64,double,3500,3500,3500,0.112551,761.873616
64,double,3500,3500,3500,0.113322,756.693817
64,double,3500,3500,3500,0.112825,760.026280
64,double,3500,3500,3500,0.111415,769.643563
64,double,4000,4000,4000,0.135669,943.475860
64,double,4000,4000,4000,0.134161,954.075267
64,double,4000,4000,4000,0.130066,984.116596
64,double,4000,4000,4000,0.132099,968.969112
64,double,4000,4000,4000,0.141050,907.478987
64,double,4000,4000,4000,0.139455,917.859558
64,double,4000,4000,4000,0.135755,942.877276
64,double,4000,4000,4000,0.136121,940.337586
64,double,4000,4000,4000,0.142731,896.793683
64,double,4000,4000,4000,0.143788,890.198674
64,double,4000,4000,4000,0.137474,931.083424
64,double,4000,4000,4000,0.134818,949.429266
64,double,4000,4000,4000,0.138997,920.882582
64,double,4000,4000,4000,0.143348,892.931674
64,double,4000,4000,4000,0.141583,904.061036
64,double,4500,4500,4500,0.189238,963.071220
64,double,4500,4500,4500,0.186897,975.137227
64,double,4500,4500,4500,0.192486,946.820774
64,double,4500,4500,4500,0.183693,992.145793
64,double,4500,4500,4500,0.195348,932.948689
64,double,4500,4500,4500,0.193485,941.932748
64,double,4500,4500,4500,0.186282,978.354572
64,double,4500,4500,4500,0.193339,942.642888
64,double,4500,4500,4500,0.195070,934.279547
64,double,4500,4500,4500,0.187324,972.914467
64,double,4500,4500,4500,0.191316,952.613836
64,double,4500,4500,4500,0.195894,930.348729
64,double,4500,4500,4500,0.196317,928.345714
64,double,4500,4500,4500,0.184073,990.095847
64,double,4500,4500,4500,0.205273,887.843398
64,double,5000,5000,5000,0.239084,1045.658415
64,double,5000,5000,5000,0.242716,1030.010752
64,double,5000,5000,5000,0.247842,1008.707758
64,double,5000,5000,5000,0.240117,1041.158009
64,double,5000,5000,5000,0.240312,1040.312535
64,double,5000,5000,5000,0.230719,1083.568979
64,double,5000,5000,5000,0.241546,1034.998833
64,double,5000,5000,5000,0.244132,1024.036865
64,double,5000,5000,5000,0.246256,1015.204276
64,double,5000,5000,5000,0.239246,1044.951148
64,double,5000,5000,5000,0.241638,1034.606229
64,double,5000,5000,5000,0.252588,989.755774
64,double,5000,5000,5000,0.249062,1003.765703
64,double,5000,5000,5000,0.245942,1016.498337
64,double,5000,5000,5000,0.253397,986.594131
64,double,5500,5500,5500,0.346289,960.903148
64,double,5500,5500,5500,0.338423,983.235665
64,double,5500,5500,5500,0.341589,974.124943
64,double,5500,5500,5500,0.353816,940.459502
64,double,5500,5500,5500,0.353525,941.233395
64,double,5500,5500,5500,0.350954,948.130327
