threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.164522,97.251209
64,double,2000,2000,2000,0.061962,258.221994
64,double,2000,2000,2000,0.061886,258.538613
64,double,2000,2000,2000,0.060404,264.884155
64,double,2000,2000,2000,0.062504,255.981602
64,double,2000,2000,2000,0.062999,253.970451
64,double,2000,2000,2000,0.056790,281.738155
64,double,2000,2000,2000,0.063597,251.586046
64,double,2000,2000,2000,0.054667,292.679263
64,double,2000,2000,2000,0.062128,257.531812
64,double,2000,2000,2000,0.061726,259.212090
64,double,2000,2000,2000,0.063134,253.429110
64,double,2000,2000,2000,0.063234,253.029218
64,double,2000,2000,2000,0.063709,251.143314
64,double,2000,2000,2000,0.063311,252.719543
64,double,2500,2500,2500,0.089961,347.373461
64,double,2500,2500,2500,0.086005,363.352489
64,double,2500,2500,2500,0.092424,338.116665
64,double,2500,2500,2500,0.096327,324.414522
64,double,2500,2500,2500,0.086987,359.247902
64,double,2500,2500,2500,0.090943,343.620771
64,double,2500,2500,2500,0.096338,324.379433
64,double,2500,2500,2500,0.093744,333.355468
64,double,2500,2500,2500,0.095297,327.921671
64,double,2500,2500,2500,0.095100,328.603196
64,double,2500,2500,2500,0.086169,362.657418
64,double,2500,2500,2500,0.097078,321.907532
64,double,2500,2500,2500,0.093860,332.944263
64,double,2500,2500,2500,0.088207,354.279076
64,double,2500,2500,2500,0.097689,319.891807
64,double,3000,3000,3000,0.138593,389.630414
64,double,3000,3000,3000,0.143856,375.375681
64,double,3000,3000,3000,0.121100,445.913404
64,double,3000,3000,3000,0.129913,415.661411
64,double,3000,3000,3000,0.134266,402.187309
64,double,3000,3000,3000,0.138491,389.917383
64,double,3000,3000,3000,0.146631,368.270315
64,double,3000,3000,3000,0.141287,382.199898
64,double,3000,3000,3000,0.145569,370.956989
64,double,3000,3000,3000,0.140950,383.114438
64,double,3000,3000,3000,0.139486,387.136973
64,double,3000,3000,3000,0.139601,386.815630
64,double,3000,3000,3000,0.146780,367.898155
64,double,3000,3000,3000,0.131166,411.693555
64,double,3000,3000,3000,0.123978,435.560705
64,double,3500,3500,3500,0.160566,534.049761
64,double,3500,3500,3500,0.167221,512.793394
64,double,3500,3500,3500,0.184556,464.628406
64,double,3500,3500,3500,0.183362,467.653667
64,double,3500,3500,3500,0.184664,464.356758
64,double,3500,3500,3500,0.189676,452.087060
64,double,3500,3500,3500,0.191501,447.777440
64,double,3500,3500,3500,0.196244,436.957001
64,double,3500,3500,3500,0.182384,470.162929
64,double,3500,3500,3500,0.177214,483.877673
64,double,3500,3500,3500,0.191413,447.985009
64,double,3500,3500,3500,0.199229,430.408199
64,double,3500,3500,3500,0.190336,450.518325
64,double,3500,3500,3500,0.191723,447.258766
64,double,3500,3500,3500,0.194868,440.042543
64,double,4000,4000,4000,0.252572,506.786447
64,double,4000,4000,4000,0.245211,521.998929
64,double,4000,4000,4000,0.237816,538.231222
64,double,4000,4000,4000,0.243491,525.685868
64,double,4000,4000,4000,0.256709,498.619036
64,double,4000,4000,4000,0.244213,524.132309
64,double,4000,4000,4000,0.256818,498.406951
64,double,4000,4000,4000,0.257941,496.237575
64,double,4000,4000,4000,0.253570,504.791445
64,double,4000,4000,4000,0.234802,545.139782
64,double,4000,4000,4000,0.244182,524.199923
64,double,4000,4000,4000,0.262961,486.764863
64,double,4000,4000,4000,0.230283,555.838483
64,double,4000,4000,4000,0.240854,531.442521
64,double,4000,4000,4000,0.252075,507.784650
64,double,4500,4500,4500,0.334864,544.250831
64,double,4500,4500,4500,0.342282,532.455640
64,double,4500,4500,4500,0.332153,548.693724
64,double,4500,4500,4500,0.324641,561.389296
