threads,type,n,m,k,time,GFlops
64,double,2000,2000,2000,0.101066,158.312371
64,double,2000,2000,2000,0.067543,236.887051
64,double,2000,2000,2000,0.073749,216.953503
64,double,2000,2000,2000,0.073815,216.758352
64,double,2000,2000,2000,0.074856,213.743267
64,double,2000,2000,2000,0.075179,212.824357
64,double,2000,2000,2000,0.073115,218.834015
64,double,2000,2000,2000,0.074052,216.063631
64,double,2000,2000,2000,0.069521,230.146495
64,double,2000,2000,2000,0.074809,213.876746
64,double,2000,2000,2000,0.075783,211.128020
64,double,2000,2000,2000,0.070219,227.857213
64,double,2000,2000,2000,0.076581,208.929585
64,double,2000,2000,2000,0.077949,205.261272
64,double,2000,2000,2000,0.076510,209.122162
64,double,2500,2500,2500,0.114041,274.023195
64,double,2500,2500,2500,0.117672,265.569336
64,double,2500,2500,2500,0.115800,269.862905
64,double,2500,2500,2500,0.119019,262.562644
64,double,2500,2500,2500,0.122268,255.585362
64,double,2500,2500,2500,0.121903,256.350356
64,double,2500,2500,2500,0.121651,256.882017
64,double,2500,2500,2500,0.122300,255.520222
64,double,2500,2500,2500,0.124916,250.169040
64,double,2500,2500,2500,0.120605,259.110731
64,double,2500,2500,2500,0.121850,256.463719
64,double,2500,2500,2500,0.119313,261.916439
64,double,2500,2500,2500,0.121624,256.939348
64,double,2500,2500,2500,0.120399,259.553011
64,double,2500,2500,2500,0.117940,264.964450
64,double,3000,3000,3000,0.180289,299.519906
64,double,3000,3000,3000,0.189213,285.391941
64,double,3000,3000,3000,0.182412,296.032549
64,double,3000,3000,3000,0.181748,297.114796
64,double,3000,3000,3000,0.193141,279.588366
64,double,3000,3000,3000,0.186435,289.645332
64,double,3000,3000,3000,0.194713,277.331964
64,double,3000,3000,3000,0.194486,277.655626
64,double,3000,3000,3000,0.188807,286.006160
64,double,3000,3000,3000,0.192893,279.948254
64,double,3000,3000,3000,0.191245,282.360161
64,double,3000,3000,3000,0.191183,282.451317
64,double,3000,3000,3000,0.192296,280.817467
64,double,3000,3000,3000,0.195413,276.337798
64,double,3000,3000,3000,0.189549,284.887015
64,double,3500,3500,3500,0.268989,318.786258
64,double,3500,3500,3500,0.272002,315.255173
64,double,3500,3500,3500,0.275165,311.630903
64,double,3500,3500,3500,0.273489,313.541268
64,double,3500,3500,3500,0.275474,311.281926
64,double,3500,3500,3500,0.271431,315.917802
64,double,3500,3500,3500,0.276446,310.187050
64,double,3500,3500,3500,0.276969,309.601563
64,double,3500,3500,3500,0.275302,311.476249
64,double,3500,3500,3500,0.282545,303.491448
64,double,3500,3500,3500,0.281205,304.937247
64,double,3500,3500,3500,0.281322,304.810625
64,double,3500,3500,3500,0.280548,305.652052
64,double,3500,3500,3500,0.282057,304.016952
64,double,3500,3500,3500,0.276350,310.294580
64,double,4000,4000,4000,0.357295,358.247048
64,double,4000,4000,4000,0.369445,346.465330
64,double,4000,4000,4000,0.362926,352.688928
64,double,4000,4000,4000,0.373852,342.381382
64,double,4000,4000,4000,0.363639,351.997591
64,double,4000,4000,4000,0.370594,345.391380
64,double,4000,4000,4000,0.369149,346.743661
64,double,4000,4000,4000,0.363508,352.124586
64,double,4000,4000,4000,0.373145,343.030603
64,double,4000,4000,4000,0.381883,335.180926
64,double,4000,4000,4000,0.379323,337.443369
64,double,4000,4000,4000,0.375191,341.159592
64,double,4000,4000,4000,0.378769,337.937233
64,double,4000,4000,4000,0.381019,335.940908
64,double,4000,4000,4000,0.371620,344.438267
64,double,4500,4500,4500,0.511147,356.550793
64,double,4500,4500,4500,0.501674,363.283680
64,double,4500,4500,4500,0.507318,359.241872
64,double,4500,4500,4500,0.507585,359.052882
64,double,4500,4500,4500,0.516971,352.534603
64,double,4500,4500,4500,0.521910,349.197874
64,double,4500,4500,4500,0.524595,347.410539
64,double,4500,4500,4500,0.522895,348.540657
64,double,4500,4500,4500,0.527744,345.337656
64,double,4500,4500,4500,0.523614,348.061940
64,double,4500,4500,4500,0.532634,342.167700
64,double,4500,4500,4500,0.532322,342.368038
64,double,4500,4500,4500,0.533805,341.416997
64,double,4500,4500,4500,0.538092,338.696796
64,double,4500,4500,4500,0.536293,339.833106
64,double,5000,5000,5000,0.663303,376.901677
64,double,5000,5000,5000,0.652229,383.301074
64,double,5000,5000,5000,0.653267,382.691813
64,double,5000,5000,5000,0.655809,381.208438
64,double,5000,5000,5000,0.651158,383.931430
64,double,5000,5000,5000,0.639249,391.083703
64,double,5000,5000,5000,0.648212,385.676436
64,double,5000,5000,5000,0.642127,389.330857
64,double,5000,5000,5000,0.654205,382.143224
64,double,5000,5000,5000,0.652170,383.335532
64,double,5000,5000,5000,0.676578,369.506748
64,double,5000,5000,5000,0.667147,374.729865
64,double,5000,5000,5000,0.655418,381.435761
64,double,5000,5000,5000,0.682873,366.100227
64,double,5000,5000,5000,0.662036,377.623178
64,double,5500,5500,5500,0.859897,386.964830
64,double,5500,5500,5500,0.863090,385.533250
64,double,5500,5500,5500,0.865793,384.329877
64,double,5500,5500,5500,0.860320,386.774599
64,double,5500,5500,5500,0.845939,393.349895
64,double,5500,5500,5500,0.846746,392.974782
64,double,5500,5500,5500,0.858764,387.475370
64,double,5500,5500,5500,0.847858,392.459536
64,double,5500,5500,5500,0.838102,397.028201
64,double,5500,5500,5500,0.858085,387.782286
64,double,5500,5500,5500,0.862487,385.802786
64,double,5500,5500,5500,0.842816,394.807246
64,double,5500,5500,5500,0.842448,394.979738
64,double,5500,5500,5500,0.845454,393.575568
64,double,5500,5500,5500,0.852171,390.473145
64,double,6000,6000,6000,1.178132,366.682055
64,double,6000,6000,6000,1.006753,429.102376
64,double,6000,6000,6000,1.110806,388.906886
64,double,6000,6000,6000,1.123001,384.683631
