threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,20.460200,97.750756
1,float,10000,10000,10000,20.500079,97.560599
1,float,10000,10000,10000,20.600341,97.085771
1,float,10000,10000,10000,20.456435,97.768746
1,float,10000,10000,10000,20.479634,97.657997
1,float,10000,10000,10000,20.496726,97.576557
1,float,10000,10000,10000,20.517458,97.477963
1,float,10000,10000,10000,20.487993,97.618150
1,float,10000,10000,10000,20.589777,97.135582
1,float,10000,10000,10000,20.501581,97.553453
2,float,10000,10000,10000,10.449807,191.391091
2,float,10000,10000,10000,10.461891,191.170032
2,float,10000,10000,10000,10.486989,190.712509
2,float,10000,10000,10000,10.481534,190.811761
2,float,10000,10000,10000,10.490270,190.652868
2,float,10000,10000,10000,10.496594,190.538005
2,float,10000,10000,10000,10.475892,190.914530
2,float,10000,10000,10000,10.528020,189.969242
2,float,10000,10000,10000,10.505411,190.378082
2,float,10000,10000,10000,10.480272,190.834734
3,float,10000,10000,10000,7.052864,283.572738
3,float,10000,10000,10000,7.013785,285.152726
3,float,10000,10000,10000,7.007510,285.408088
3,float,10000,10000,10000,7.023247,284.768567
3,float,10000,10000,10000,7.052841,283.573686
3,float,10000,10000,10000,7.060827,283.252954
3,float,10000,10000,10000,6.983968,286.370167
3,float,10000,10000,10000,7.035226,284.283684
3,float,10000,10000,10000,7.070833,282.852100
3,float,10000,10000,10000,7.008291,285.376290
4,float,10000,10000,10000,5.403441,370.134531
4,float,10000,10000,10000,5.441577,367.540522
4,float,10000,10000,10000,5.402758,370.181327
4,float,10000,10000,10000,5.409220,369.739068
4,float,10000,10000,10000,5.388176,371.183154
4,float,10000,10000,10000,5.430549,368.286868
4,float,10000,10000,10000,5.369215,372.493902
4,float,10000,10000,10000,5.404497,370.062208
4,float,10000,10000,10000,5.430398,368.297122
4,float,10000,10000,10000,5.391490,370.954985
5,float,10000,10000,10000,4.206264,475.481273
5,float,10000,10000,10000,4.204193,475.715599
5,float,10000,10000,10000,4.275330,467.800092
5,float,10000,10000,10000,4.241060,471.580245
5,float,10000,10000,10000,4.225022,473.370365
5,float,10000,10000,10000,4.260260,469.454914
5,float,10000,10000,10000,4.220732,473.851467
5,float,10000,10000,10000,4.237168,472.013385
5,float,10000,10000,10000,4.218049,474.152830
5,float,10000,10000,10000,4.204593,475.670255
6,float,10000,10000,10000,3.700599,540.453014
6,float,10000,10000,10000,3.694587,541.332552
6,float,10000,10000,10000,3.702142,540.227831
6,float,10000,10000,10000,3.695427,541.209414
