threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,20.940227,95.509949
1,float,10000,10000,10000,20.510227,97.512327
1,float,10000,10000,10000,20.721399,96.518578
1,float,10000,10000,10000,20.751751,96.377411
1,float,10000,10000,10000,20.542406,97.359580
1,float,10000,10000,10000,20.570489,97.226663
1,float,10000,10000,10000,20.649868,96.852917
1,float,10000,10000,10000,20.719750,96.526260
1,float,10000,10000,10000,20.883865,95.767713
1,float,10000,10000,10000,20.843742,95.952062
2,float,10000,10000,10000,10.457815,191.244536
2,float,10000,10000,10000,10.527942,189.970653
2,float,10000,10000,10000,10.591398,188.832490
2,float,10000,10000,10000,10.520828,190.099112
2,float,10000,10000,10000,10.538304,189.783865
2,float,10000,10000,10000,10.501468,190.449564
2,float,10000,10000,10000,10.439647,191.577356
2,float,10000,10000,10000,10.519919,190.115529
2,float,10000,10000,10000,10.533441,189.871477
2,float,10000,10000,10000,10.465509,191.103936
3,float,10000,10000,10000,7.031609,284.429924
3,float,10000,10000,10000,7.020884,284.864410
3,float,10000,10000,10000,7.109966,281.295278
3,float,10000,10000,10000,7.074719,282.696743
3,float,10000,10000,10000,7.068652,282.939360
3,float,10000,10000,10000,7.092576,281.984983
3,float,10000,10000,10000,7.065418,283.068884
3,float,10000,10000,10000,7.109383,281.318383
3,float,10000,10000,10000,6.988775,286.173202
3,float,10000,10000,10000,7.083164,282.359711
4,float,10000,10000,10000,5.228154,382.544224
4,float,10000,10000,10000,5.237003,381.897781
4,float,10000,10000,10000,5.256934,380.449867
4,float,10000,10000,10000,5.225034,382.772648
4,float,10000,10000,10000,5.245188,381.301903
4,float,10000,10000,10000,5.247858,381.107907
4,float,10000,10000,10000,5.261457,380.122838
4,float,10000,10000,10000,5.227743,382.574267
4,float,10000,10000,10000,5.257436,380.413560
4,float,10000,10000,10000,5.264152,379.928235
5,float,10000,10000,10000,4.183706,478.045038
5,float,10000,10000,10000,4.177616,478.741977
5,float,10000,10000,10000,4.189754,477.354965
5,float,10000,10000,10000,4.195557,476.694731
5,float,10000,10000,10000,4.191479,477.158497
5,float,10000,10000,10000,4.194867,476.773175
5,float,10000,10000,10000,4.176021,478.924774
5,float,10000,10000,10000,4.194700,476.792091
5,float,10000,10000,10000,4.186502,477.725831
5,float,10000,10000,10000,4.192543,477.037424
6,float,10000,10000,10000,3.509698,569.849601
6,float,10000,10000,10000,3.520114,568.163375
6,float,10000,10000,10000,3.526519,567.131498
6,float,10000,10000,10000,3.507459,570.213322
6,float,10000,10000,10000,3.513027,569.309561
6,float,10000,10000,10000,3.527159,567.028539
6,float,10000,10000,10000,3.519411,568.276877
6,float,10000,10000,10000,3.506892,570.305553
6,float,10000,10000,10000,3.526226,567.178621
6,float,10000,10000,10000,3.520668,568.074042
7,float,10000,10000,10000,3.030221,660.017887
7,float,10000,10000,10000,3.022570,661.688486
7,float,10000,10000,10000,3.033012,659.410579
7,float,10000,10000,10000,3.038193,658.286010
7,float,10000,10000,10000,3.032064,659.616581
7,float,10000,10000,10000,3.025845,660.972341
7,float,10000,10000,10000,3.036073,658.745711
7,float,10000,10000,10000,3.032670,659.484775
7,float,10000,10000,10000,3.049443,655.857394
7,float,10000,10000,10000,3.035102,658.956371
8,float,10000,10000,10000,2.684918,744.901694
8,float,10000,10000,10000,2.666044,750.175273
8,float,10000,10000,10000,2.683515,745.291039
8,float,10000,10000,10000,2.695847,741.881985
8,float,10000,10000,10000,2.667665,749.719438
8,float,10000,10000,10000,2.695724,741.915811
8,float,10000,10000,10000,2.687527,744.178439
8,float,10000,10000,10000,2.685071,744.859185
8,float,10000,10000,10000,2.695379,742.010574
8,float,10000,10000,10000,2.687689,744.133579
9,float,10000,10000,10000,2.428868,823.428893
9,float,10000,10000,10000,2.386390,838.085952
9,float,10000,10000,10000,2.380351,840.212127
9,float,10000,10000,10000,2.381731,839.725223
9,float,10000,10000,10000,2.386351,838.099692
9,float,10000,10000,10000,2.385095,838.541075
9,float,10000,10000,10000,2.393405,835.629565
9,float,10000,10000,10000,2.383114,839.237964
9,float,10000,10000,10000,2.397416,834.231532
9,float,10000,10000,10000,2.411116,829.491427
10,float,10000,10000,10000,2.114118,946.020911
10,float,10000,10000,10000,2.119759,943.503324
10,float,10000,10000,10000,2.114836,945.699773
10,float,10000,10000,10000,2.107482,948.999875
10,float,10000,10000,10000,2.112391,946.794208
10,float,10000,10000,10000,2.117010,944.728744
10,float,10000,10000,10000,2.126711,940.419072
10,float,10000,10000,10000,2.108233,948.661799
10,float,10000,10000,10000,2.126648,940.447058
10,float,10000,10000,10000,2.111711,947.099219
11,float,10000,10000,10000,1.989480,1005.287706
11,float,10000,10000,10000,1.997988,1001.007033
11,float,10000,10000,10000,1.991017,1004.511935
11,float,10000,10000,10000,1.997457,1001.273104
11,float,10000,10000,10000,1.998543,1000.729093
11,float,10000,10000,10000,1.980577,1009.806582
11,float,10000,10000,10000,2.001807,999.097452
11,float,10000,10000,10000,1.985546,1007.279489
11,float,10000,10000,10000,1.991005,1004.517849
11,float,10000,10000,10000,1.986524,1006.783871
12,float,10000,10000,10000,1.806668,1107.009972
12,float,10000,10000,10000,1.799163,1111.628063
12,float,10000,10000,10000,1.804049,1108.617561
12,float,10000,10000,10000,1.794295,1114.644042
12,float,10000,10000,10000,1.805575,1107.680414
12,float,10000,10000,10000,1.793959,1114.852534
12,float,10000,10000,10000,1.794175,1114.718529
12,float,10000,10000,10000,1.802709,1109.441598
12,float,10000,10000,10000,1.811268,1104.198602
12,float,10000,10000,10000,1.798062,1112.308642
13,float,10000,10000,10000,1.701730,1175.274696
13,float,10000,10000,10000,1.672804,1195.597062
13,float,10000,10000,10000,1.672173,1196.048801
13,float,10000,10000,10000,1.673915,1194.803538
13,float,10000,10000,10000,1.674904,1194.098219
13,float,10000,10000,10000,1.669846,1197.714990
13,float,10000,10000,10000,1.674733,1194.220321
13,float,10000,10000,10000,1.705069,1172.973154
13,float,10000,10000,10000,1.673744,1194.925760
13,float,10000,10000,10000,1.683937,1187.693162
