threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,31.411047,63.671866
1,float,10000,10000,10000,31.725538,63.040695
1,float,10000,10000,10000,31.455809,63.581262
1,float,10000,10000,10000,31.618535,63.254038
1,float,10000,10000,10000,31.675023,63.141233
1,float,10000,10000,10000,31.553007,63.385401
1,float,10000,10000,10000,31.385909,63.722864
1,float,10000,10000,10000,31.695686,63.100069
1,float,10000,10000,10000,31.352226,63.791323
1,float,10000,10000,10000,31.374574,63.745885
2,float,10000,10000,10000,17.130296,116.752216
2,float,10000,10000,10000,17.404916,114.910063
2,float,10000,10000,10000,17.225336,116.108043
2,float,10000,10000,10000,17.034377,117.409636
2,float,10000,10000,10000,17.276342,115.765247
2,float,10000,10000,10000,17.279826,115.741909
2,float,10000,10000,10000,17.455022,114.580204
2,float,10000,10000,10000,17.004568,117.615455
2,float,10000,10000,10000,17.423012,114.790715
2,float,10000,10000,10000,17.341269,115.331811
3,float,10000,10000,10000,19.098351,104.721083
3,float,10000,10000,10000,18.725056,106.808760
3,float,10000,10000,10000,18.906429,105.784122
3,float,10000,10000,10000,18.916857,105.725806
3,float,10000,10000,10000,19.250636,103.892670
3,float,10000,10000,10000,18.579258,107.646928
3,float,10000,10000,10000,19.009752,105.209158
3,float,10000,10000,10000,19.118875,104.608664
3,float,10000,10000,10000,18.932634,105.637704
3,float,10000,10000,10000,19.290987,103.675356
4,float,10000,10000,10000,13.026390,153.534481
4,float,10000,10000,10000,12.837345,155.795457
4,float,10000,10000,10000,12.631040,158.340093
4,float,10000,10000,10000,13.147339,152.122037
4,float,10000,10000,10000,13.138482,152.224589
4,float,10000,10000,10000,12.677559,157.759075
4,float,10000,10000,10000,12.701812,157.457854
4,float,10000,10000,10000,12.814511,156.073062
4,float,10000,10000,10000,12.806052,156.176155
4,float,10000,10000,10000,12.773154,156.578394
5,float,10000,10000,10000,9.676179,206.693160
5,float,10000,10000,10000,9.771699,204.672706
5,float,10000,10000,10000,9.738739,205.365388
5,float,10000,10000,10000,9.737909,205.382908
5,float,10000,10000,10000,9.930716,201.395339
5,float,10000,10000,10000,9.611937,208.074604
5,float,10000,10000,10000,9.861532,202.808247
5,float,10000,10000,10000,9.772918,204.647166
5,float,10000,10000,10000,9.730722,205.534598
5,float,10000,10000,10000,9.702624,206.129807
6,float,10000,10000,10000,6.745977,296.472988
6,float,10000,10000,10000,6.686701,299.101168
6,float,10000,10000,10000,6.624296,301.918886
6,float,10000,10000,10000,6.599900,303.034900
6,float,10000,10000,10000,6.618655,302.176204
6,float,10000,10000,10000,6.681875,299.317189
6,float,10000,10000,10000,6.559152,304.917487
6,float,10000,10000,10000,6.664940,300.077715
6,float,10000,10000,10000,6.539373,305.839718
6,float,10000,10000,10000,6.353822,314.771154
7,float,10000,10000,10000,6.669373,299.878253
7,float,10000,10000,10000,6.553156,305.196457
7,float,10000,10000,10000,6.616200,302.288301
7,float,10000,10000,10000,6.397364,312.628758
7,float,10000,10000,10000,6.712938,297.932127
7,float,10000,10000,10000,6.532400,306.166172
7,float,10000,10000,10000,6.548138,305.430343
7,float,10000,10000,10000,6.569962,304.415768
7,float,10000,10000,10000,6.610563,302.546097
7,float,10000,10000,10000,6.498746,307.751677
8,float,10000,10000,10000,5.076591,393.965162
8,float,10000,10000,10000,4.916789,406.769542
8,float,10000,10000,10000,5.130616,389.816719
8,float,10000,10000,10000,5.069914,394.484047
8,float,10000,10000,10000,5.040002,396.825267
8,float,10000,10000,10000,4.840961,413.141075
8,float,10000,10000,10000,5.028297,397.749000
8,float,10000,10000,10000,4.960382,403.194773
8,float,10000,10000,10000,5.103576,391.882051
8,float,10000,10000,10000,4.833051,413.817250
9,float,10000,10000,10000,5.046556,396.309877
9,float,10000,10000,10000,5.155876,387.906929
9,float,10000,10000,10000,4.904533,407.786012
9,float,10000,10000,10000,5.136817,389.346131
9,float,10000,10000,10000,5.086410,393.204639
9,float,10000,10000,10000,4.985080,401.197160
9,float,10000,10000,10000,5.114723,391.028046
9,float,10000,10000,10000,5.028174,397.758747
9,float,10000,10000,10000,5.227212,382.613155
9,float,10000,10000,10000,5.122406,390.441543
10,float,10000,10000,10000,4.449839,449.454446
10,float,10000,10000,10000,4.410669,453.445941
10,float,10000,10000,10000,4.601360,434.654148
10,float,10000,10000,10000,4.441968,450.250884
10,float,10000,10000,10000,4.474966,446.930774
10,float,10000,10000,10000,4.516546,442.816231
10,float,10000,10000,10000,4.609331,433.902441
10,float,10000,10000,10000,4.476001,446.827409
10,float,10000,10000,10000,4.535899,440.926956
10,float,10000,10000,10000,4.410130,453.501392
11,float,10000,10000,10000,4.050209,493.801619
11,float,10000,10000,10000,4.174760,479.069500
11,float,10000,10000,10000,4.054830,493.238961
11,float,10000,10000,10000,4.086642,489.399419
11,float,10000,10000,10000,3.989187,501.355273
11,float,10000,10000,10000,4.072463,491.103269
11,float,10000,10000,10000,4.058780,492.758885
11,float,10000,10000,10000,3.980291,502.475772
11,float,10000,10000,10000,4.099169,487.903789
11,float,10000,10000,10000,4.182740,478.155482
12,float,10000,10000,10000,3.401325,588.006196
12,float,10000,10000,10000,3.401675,587.945623
12,float,10000,10000,10000,3.349429,597.116704
12,float,10000,10000,10000,3.367968,593.829914
12,float,10000,10000,10000,3.422660,584.340851
12,float,10000,10000,10000,3.383036,591.184918
12,float,10000,10000,10000,3.348323,597.313875
12,float,10000,10000,10000,3.437182,581.871945
12,float,10000,10000,10000,3.377687,592.121185
12,float,10000,10000,10000,3.260109,613.476368
13,float,10000,10000,10000,3.314683,603.375936
13,float,10000,10000,10000,3.472065,576.026135
13,float,10000,10000,10000,3.436007,582.070944
13,float,10000,10000,10000,3.453233,579.167376
13,float,10000,10000,10000,3.364767,594.394754
13,float,10000,10000,10000,3.442573,580.960847
13,float,10000,10000,10000,3.433726,582.457718
13,float,10000,10000,10000,3.370402,593.401094
13,float,10000,10000,10000,3.467053,576.858717
13,float,10000,10000,10000,3.492322,572.684840
