threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,20.540892,97.366755
1,float,10000,10000,10000,20.484657,97.634050
1,float,10000,10000,10000,20.772579,96.280774
1,float,10000,10000,10000,20.713045,96.557509
1,float,10000,10000,10000,20.509303,97.516720
1,float,10000,10000,10000,20.522880,97.452207
1,float,10000,10000,10000,20.469544,97.706132
1,float,10000,10000,10000,20.681751,96.703610
1,float,10000,10000,10000,20.613260,97.024926
1,float,10000,10000,10000,20.498375,97.568710
2,float,10000,10000,10000,11.176736,178.943115
2,float,10000,10000,10000,10.910582,183.308274
2,float,10000,10000,10000,11.118525,179.879971
2,float,10000,10000,10000,10.953771,182.585522
2,float,10000,10000,10000,10.911619,183.290862
2,float,10000,10000,10000,11.027314,181.367834
2,float,10000,10000,10000,10.778263,185.558649
2,float,10000,10000,10000,11.029400,181.333532
2,float,10000,10000,10000,11.232799,178.050008
2,float,10000,10000,10000,11.068373,180.695030
3,float,10000,10000,10000,7.388926,270.675333
3,float,10000,10000,10000,7.538839,265.292851
3,float,10000,10000,10000,7.507099,266.414513
3,float,10000,10000,10000,7.502620,266.573528
3,float,10000,10000,10000,7.518368,266.015173
3,float,10000,10000,10000,7.387590,270.724291
3,float,10000,10000,10000,7.486535,267.146289
3,float,10000,10000,10000,7.563589,264.424724
3,float,10000,10000,10000,7.351472,272.054365
3,float,10000,10000,10000,7.387634,270.722662
4,float,10000,10000,10000,5.587194,357.961451
4,float,10000,10000,10000,5.591097,357.711583
4,float,10000,10000,10000,5.703579,350.657028
4,float,10000,10000,10000,5.593202,357.576906
4,float,10000,10000,10000,5.500778,363.584964
4,float,10000,10000,10000,5.568370,359.171506
4,float,10000,10000,10000,5.618657,355.956928
4,float,10000,10000,10000,5.456490,366.536023
4,float,10000,10000,10000,5.540311,360.990542
4,float,10000,10000,10000,5.536321,361.250698
5,float,10000,10000,10000,4.558119,438.777443
5,float,10000,10000,10000,4.376668,456.968588
5,float,10000,10000,10000,4.437389,450.715500
5,float,10000,10000,10000,4.371271,457.532817
5,float,10000,10000,10000,4.415121,452.988717
5,float,10000,10000,10000,4.480379,446.390779
5,float,10000,10000,10000,4.454840,448.949913
5,float,10000,10000,10000,4.422138,452.269928
5,float,10000,10000,10000,4.402291,454.308855
5,float,10000,10000,10000,4.386110,455.984961
6,float,10000,10000,10000,3.812526,524.586647
6,float,10000,10000,10000,3.763707,531.391015
6,float,10000,10000,10000,3.801110,526.162138
6,float,10000,10000,10000,3.748331,533.570786
6,float,10000,10000,10000,3.786664,528.169409
