threads,type,n,m,k,time,GFlops
1,float,20000,20000,20000,253.080202,63.221065
1,float,20000,20000,20000,253.368872,63.149036
1,float,20000,20000,20000,255.129731,62.713193
1,float,20000,20000,20000,256.185530,62.454737
1,float,20000,20000,20000,251.141099,63.709206
2,float,20000,20000,20000,129.863670,123.206129
2,float,20000,20000,20000,129.431624,123.617393
2,float,20000,20000,20000,129.383512,123.663361
2,float,20000,20000,20000,129.416530,123.631811
2,float,20000,20000,20000,129.473292,123.577610
3,float,20000,20000,20000,128.614697,124.402579
3,float,20000,20000,20000,128.135370,124.867942
3,float,20000,20000,20000,128.710232,124.310241
3,float,20000,20000,20000,128.012728,124.987571
3,float,20000,20000,20000,128.465589,124.546971
4,float,20000,20000,20000,87.497073,182.863259
4,float,20000,20000,20000,87.175025,183.538806
4,float,20000,20000,20000,86.867825,184.187874
4,float,20000,20000,20000,87.235972,183.410578
4,float,20000,20000,20000,86.862726,184.198686
5,float,20000,20000,20000,66.337319,241.191539
5,float,20000,20000,20000,65.945883,242.623181
5,float,20000,20000,20000,66.119090,241.987601
5,float,20000,20000,20000,66.147456,241.883831
5,float,20000,20000,20000,65.977338,242.507510
6,float,20000,20000,20000,45.101010,354.759239
6,float,20000,20000,20000,45.062707,355.060781
6,float,20000,20000,20000,44.891764,356.412814
6,float,20000,20000,20000,45.258051,353.528259
6,float,20000,20000,20000,45.190201,354.059055
7,float,20000,20000,20000,45.056215,355.111945
7,float,20000,20000,20000,45.039322,355.245136
7,float,20000,20000,20000,45.217694,353.843789
7,float,20000,20000,20000,45.248716,353.601198
7,float,20000,20000,20000,45.248300,353.604443
8,float,20000,20000,20000,34.529583,463.370787
8,float,20000,20000,20000,34.486010,463.956250
8,float,20000,20000,20000,34.659081,461.639482
8,float,20000,20000,20000,34.704313,461.037794
8,float,20000,20000,20000,34.639494,461.900511
9,float,20000,20000,20000,34.690922,461.215761
9,float,20000,20000,20000,34.651138,461.745295
9,float,20000,20000,20000,34.632727,461.990761
9,float,20000,20000,20000,34.542496,463.197566
9,float,20000,20000,20000,34.676048,461.413600
10,float,20000,20000,20000,31.266107,511.736233
10,float,20000,20000,20000,31.244277,512.093790
10,float,20000,20000,20000,31.041447,515.439895
10,float,20000,20000,20000,31.188085,513.016433
10,float,20000,20000,20000,31.340794,510.516746
11,float,20000,20000,20000,28.078784,569.825254
11,float,20000,20000,20000,28.354085,564.292592
11,float,20000,20000,20000,28.171892,567.941971
11,float,20000,20000,20000,28.184196,567.694046
11,float,20000,20000,20000,28.177666,567.825590
12,float,20000,20000,20000,24.807659,644.962109
12,float,20000,20000,20000,24.797928,645.215184
12,float,20000,20000,20000,24.762258,646.144622
12,float,20000,20000,20000,24.780197,645.676858
12,float,20000,20000,20000,24.877161,643.160203
13,float,20000,20000,20000,24.713055,647.431094
13,float,20000,20000,20000,24.665245,648.686040
13,float,20000,20000,20000,24.629824,649.618923
13,float,20000,20000,20000,24.599375,650.423037
13,float,20000,20000,20000,24.570485,651.187803
14,float,20000,20000,20000,21.802164,733.872090
14,float,20000,20000,20000,21.898011,730.659958
14,float,20000,20000,20000,21.791131,734.243654
14,float,20000,20000,20000,21.949076,728.960077
14,float,20000,20000,20000,21.851221,732.224532
15,float,20000,20000,20000,20.851327,767.337247
15,float,20000,20000,20000,20.954160,763.571531
15,float,20000,20000,20000,20.734340,771.666711
15,float,20000,20000,20000,20.868952,766.689195
15,float,20000,20000,20000,20.916775,764.936264
16,float,20000,20000,20000,20.883219,766.165415
16,float,20000,20000,20000,20.765612,770.504607
16,float,20000,20000,20000,20.695716,773.106873
16,float,20000,20000,20000,20.834055,767.973390
16,float,20000,20000,20000,20.824209,768.336493
18,float,20000,20000,20000,18.034051,887.210540
18,float,20000,20000,20000,18.034006,887.212771
18,float,20000,20000,20000,17.900255,893.842010
18,float,20000,20000,20000,17.826266,897.551957
18,float,20000,20000,20000,17.772109,900.287066
18,float,20000,20000,20000,17.835269,897.098885
18,float,20000,20000,20000,17.842634,896.728584
18,float,20000,20000,20000,17.923437,892.685952
18,float,20000,20000,20000,17.837467,896.988365
18,float,20000,20000,20000,17.871473,895.281529
20,float,20000,20000,20000,16.927038,945.233275
20,float,20000,20000,20000,16.728893,956.429081
20,float,20000,20000,20000,16.541629,967.256631
20,float,20000,20000,20000,16.397595,975.752863
20,float,20000,20000,20000,16.862281,948.863324
20,float,20000,20000,20000,16.604062,963.619628
20,float,20000,20000,20000,17.109257,935.166273
20,float,20000,20000,20000,17.101602,935.584882
20,float,20000,20000,20000,16.789727,952.963669
20,float,20000,20000,20000,17.130543,934.004259
22,float,20000,20000,20000,16.186393,988.484611
22,float,20000,20000,20000,16.410200,975.003341
22,float,20000,20000,20000,16.629494,962.145960
22,float,20000,20000,20000,16.622512,962.550066
22,float,20000,20000,20000,16.606169,963.497343
22,float,20000,20000,20000,16.264685,983.726390
22,float,20000,20000,20000,16.066485,995.861910
22,float,20000,20000,20000,16.383827,976.572785
22,float,20000,20000,20000,16.334836,979.501716
22,float,20000,20000,20000,16.364887,977.703043
24,float,20000,20000,20000,14.522415,1101.745139
24,float,20000,20000,20000,14.628626,1093.745923
24,float,20000,20000,20000,14.434802,1108.432280
24,float,20000,20000,20000,14.697760,1088.601286
24,float,20000,20000,20000,14.504233,1103.126218
24,float,20000,20000,20000,14.586522,1096.903054
24,float,20000,20000,20000,14.641576,1092.778537
24,float,20000,20000,20000,14.550170,1099.643544
24,float,20000,20000,20000,14.594458,1096.306561
24,float,20000,20000,20000,14.495586,1103.784268
26,float,20000,20000,20000,14.086389,1135.848190
26,float,20000,20000,20000,14.154622,1130.372836
26,float,20000,20000,20000,13.944018,1147.445469
26,float,20000,20000,20000,14.127857,1132.514282
26,float,20000,20000,20000,14.188236,1127.694811
26,float,20000,20000,20000,14.398470,1111.229142
26,float,20000,20000,20000,14.056171,1138.290058
26,float,20000,20000,20000,14.071939,1137.014558
26,float,20000,20000,20000,14.142251,1131.361598
26,float,20000,20000,20000,14.068246,1137.313050
28,float,20000,20000,20000,13.052396,1225.828534
28,float,20000,20000,20000,12.902662,1240.054214
28,float,20000,20000,20000,13.025977,1228.314756
28,float,20000,20000,20000,13.516346,1183.751876
28,float,20000,20000,20000,12.843616,1245.755078
28,float,20000,20000,20000,12.997878,1230.970177
28,float,20000,20000,20000,12.900676,1240.245090
28,float,20000,20000,20000,12.937766,1236.689553
28,float,20000,20000,20000,12.881520,1242.089460
28,float,20000,20000,20000,12.896687,1240.628710
30,float,20000,20000,20000,12.297429,1301.085008
30,float,20000,20000,20000,12.293199,1301.532609
30,float,20000,20000,20000,12.245612,1306.590473
30,float,20000,20000,20000,12.344122,1296.163518
30,float,20000,20000,20000,12.225263,1308.765314
30,float,20000,20000,20000,12.229427,1308.319723
30,float,20000,20000,20000,12.264639,1304.563432
30,float,20000,20000,20000,12.237820,1307.422377
30,float,20000,20000,20000,12.310875,1299.663916
