threads,type,n,m,k,time,GFlops
1,float,20000,20000,20000,163.355644,97.945805
1,float,20000,20000,20000,163.569605,97.817684
1,float,20000,20000,20000,162.527972,98.444593
1,float,20000,20000,20000,163.157135,98.064973
1,float,20000,20000,20000,163.513985,97.850957
1,float,20000,20000,20000,163.778577,97.692875
1,float,20000,20000,20000,163.411874,97.912101
1,float,20000,20000,20000,163.239123,98.015719
1,float,20000,20000,20000,163.498297,97.860347
1,float,20000,20000,20000,163.426288,97.903466
2,float,20000,20000,20000,84.489335,189.373013
2,float,20000,20000,20000,84.650013,189.013556
2,float,20000,20000,20000,84.611660,189.099234
2,float,20000,20000,20000,84.600418,189.124361
2,float,20000,20000,20000,84.438067,189.487995
2,float,20000,20000,20000,84.564101,189.205583
2,float,20000,20000,20000,84.425337,189.516566
2,float,20000,20000,20000,84.773414,188.738417
2,float,20000,20000,20000,84.626539,189.065985
2,float,20000,20000,20000,84.503475,189.341327
3,float,20000,20000,20000,56.952833,280.934223
3,float,20000,20000,20000,57.009807,280.653468
3,float,20000,20000,20000,57.037261,280.518380
3,float,20000,20000,20000,57.046783,280.471558
3,float,20000,20000,20000,57.153690,279.946931
3,float,20000,20000,20000,57.018526,280.610550
3,float,20000,20000,20000,57.053827,280.436926
3,float,20000,20000,20000,57.095836,280.230594
3,float,20000,20000,20000,57.154751,279.941733
3,float,20000,20000,20000,57.004731,280.678458
4,float,20000,20000,20000,42.697819,374.726397
4,float,20000,20000,20000,42.655460,375.098525
4,float,20000,20000,20000,42.645651,375.184799
4,float,20000,20000,20000,42.621910,375.393784
4,float,20000,20000,20000,42.723668,374.499684
4,float,20000,20000,20000,42.753625,374.237269
4,float,20000,20000,20000,42.617015,375.436901
4,float,20000,20000,20000,42.597534,375.608602
4,float,20000,20000,20000,42.616418,375.442158
4,float,20000,20000,20000,42.569384,375.856975
5,float,20000,20000,20000,33.477076,477.938994
5,float,20000,20000,20000,33.419959,478.755818
5,float,20000,20000,20000,33.456178,478.237539
5,float,20000,20000,20000,33.435694,478.530518
5,float,20000,20000,20000,33.482878,477.856179
5,float,20000,20000,20000,33.488444,477.776745
5,float,20000,20000,20000,33.717761,474.527356
5,float,20000,20000,20000,33.476304,477.950015
5,float,20000,20000,20000,33.474597,477.974391
5,float,20000,20000,20000,33.425297,478.679361
6,float,20000,20000,20000,29.170994,548.490054
6,float,20000,20000,20000,29.149118,548.901689
6,float,20000,20000,20000,29.188769,548.156030
6,float,20000,20000,20000,29.142419,549.027861
6,float,20000,20000,20000,29.210682,547.744836
6,float,20000,20000,20000,29.159882,548.699061
6,float,20000,20000,20000,29.156913,548.754942
6,float,20000,20000,20000,29.236690,547.257577
6,float,20000,20000,20000,29.133026,549.204883
6,float,20000,20000,20000,29.190880,548.116399
7,float,20000,20000,20000,23.996898,666.752840
7,float,20000,20000,20000,24.087149,664.254624
7,float,20000,20000,20000,24.393753,655.905642
7,float,20000,20000,20000,24.115449,663.475111
7,float,20000,20000,20000,24.050909,665.255530
7,float,20000,20000,20000,24.039019,665.584568
7,float,20000,20000,20000,24.045228,665.412708
7,float,20000,20000,20000,24.016226,666.216245
7,float,20000,20000,20000,24.083144,664.365084
7,float,20000,20000,20000,24.037835,665.617359
8,float,20000,20000,20000,22.471587,712.010246
8,float,20000,20000,20000,22.512272,710.723479
8,float,20000,20000,20000,22.154121,722.213265
8,float,20000,20000,20000,22.127571,723.079811
8,float,20000,20000,20000,22.316395,716.961663
8,float,20000,20000,20000,22.433582,713.216478
8,float,20000,20000,20000,22.260258,718.769761
8,float,20000,20000,20000,22.205112,720.554794
8,float,20000,20000,20000,22.461528,712.329087
8,float,20000,20000,20000,22.226162,719.872374
9,float,20000,20000,20000,19.261881,830.656166
9,float,20000,20000,20000,19.158563,835.135726
9,float,20000,20000,20000,19.091667,838.061984
9,float,20000,20000,20000,19.184912,833.988695
9,float,20000,20000,20000,19.130875,836.344401
9,float,20000,20000,20000,19.182920,834.075294
9,float,20000,20000,20000,19.228822,832.084243
9,float,20000,20000,20000,19.209362,832.927177
9,float,20000,20000,20000,19.169467,834.660663
9,float,20000,20000,20000,19.396001,824.912326
10,float,20000,20000,20000,17.951845,891.273316
10,float,20000,20000,20000,17.479175,915.375007
10,float,20000,20000,20000,17.650142,906.508275
10,float,20000,20000,20000,17.539642,912.219285
10,float,20000,20000,20000,17.617590,908.183238
10,float,20000,20000,20000,17.556073,911.365518
10,float,20000,20000,20000,17.520366,913.222932
10,float,20000,20000,20000,17.684076,904.768786
10,float,20000,20000,20000,17.625192,907.791515
10,float,20000,20000,20000,17.686813,904.628791
11,float,20000,20000,20000,15.630754,1023.623028
11,float,20000,20000,20000,15.664932,1021.389679
11,float,20000,20000,20000,15.658769,1021.791702
11,float,20000,20000,20000,15.696950,1019.306307
11,float,20000,20000,20000,16.503522,969.490008
11,float,20000,20000,20000,16.343825,978.962974
11,float,20000,20000,20000,15.714120,1018.192552
11,float,20000,20000,20000,15.717037,1018.003598
11,float,20000,20000,20000,15.733961,1016.908615
11,float,20000,20000,20000,15.692860,1019.571990
12,float,20000,20000,20000,14.656842,1091.640337
12,float,20000,20000,20000,14.661353,1091.304477
12,float,20000,20000,20000,14.656143,1091.692400
12,float,20000,20000,20000,14.562215,1098.733936
12,float,20000,20000,20000,14.637498,1093.082975
12,float,20000,20000,20000,14.577698,1097.566958
12,float,20000,20000,20000,15.181527,1053.912445
12,float,20000,20000,20000,14.627885,1093.801344
12,float,20000,20000,20000,14.854765,1077.095468
12,float,20000,20000,20000,14.637858,1093.056101
13,float,20000,20000,20000,14.523516,1101.661616
13,float,20000,20000,20000,14.561986,1098.751204
13,float,20000,20000,20000,14.607353,1095.338779
13,float,20000,20000,20000,14.778218,1082.674514
13,float,20000,20000,20000,14.758288,1084.136617
13,float,20000,20000,20000,14.563029,1098.672544
13,float,20000,20000,20000,14.567155,1098.361311
13,float,20000,20000,20000,14.553271,1099.409188
13,float,20000,20000,20000,14.608947,1095.219261
13,float,20000,20000,20000,14.623920,1094.097867
14,float,20000,20000,20000,12.800372,1249.963642
14,float,20000,20000,20000,12.785476,1251.419997
14,float,20000,20000,20000,12.818644,1248.181950
14,float,20000,20000,20000,12.803064,1249.700808
14,float,20000,20000,20000,12.809561,1249.067052
14,float,20000,20000,20000,12.840196,1246.086903
14,float,20000,20000,20000,12.807997,1249.219518
14,float,20000,20000,20000,12.819157,1248.131960
14,float,20000,20000,20000,13.104148,1220.987390
14,float,20000,20000,20000,12.904697,1239.858625
15,float,20000,20000,20000,11.798234,1356.135209
15,float,20000,20000,20000,11.835527,1351.862092
15,float,20000,20000,20000,11.823824,1353.200092
15,float,20000,20000,20000,11.808264,1354.983201
15,float,20000,20000,20000,11.765480,1359.910512
15,float,20000,20000,20000,11.810646,1354.709946
15,float,20000,20000,20000,11.797480,1356.221842
15,float,20000,20000,20000,11.821092,1353.512837
15,float,20000,20000,20000,11.890654,1345.594658
15,float,20000,20000,20000,11.808119,1354.999949
16,float,20000,20000,20000,11.175461,1431.708299
16,float,20000,20000,20000,11.224693,1425.428785
16,float,20000,20000,20000,11.224795,1425.415785
16,float,20000,20000,20000,11.182860,1430.761024
16,float,20000,20000,20000,11.222107,1425.757248
16,float,20000,20000,20000,11.239412,1423.562057
16,float,20000,20000,20000,11.252302,1421.931257
16,float,20000,20000,20000,11.230455,1424.697404
16,float,20000,20000,20000,11.802248,1355.673967
16,float,20000,20000,20000,11.205827,1427.828597
18,float,20000,20000,20000,9.830534,1627.581973
18,float,20000,20000,20000,9.830000,1627.670364
18,float,20000,20000,20000,9.823563,1628.736879
18,float,20000,20000,20000,9.814309,1630.272626
18,float,20000,20000,20000,9.825213,1628.463397
18,float,20000,20000,20000,9.803860,1632.010218
18,float,20000,20000,20000,9.812461,1630.579651
18,float,20000,20000,20000,9.792567,1633.892350
18,float,20000,20000,20000,9.822647,1628.888803
18,float,20000,20000,20000,9.826399,1628.266796
20,float,20000,20000,20000,9.095231,1759.163764
20,float,20000,20000,20000,9.061077,1765.794462
20,float,20000,20000,20000,8.960564,1785.601944
20,float,20000,20000,20000,9.110705,1756.175866
20,float,20000,20000,20000,9.061193,1765.771946
20,float,20000,20000,20000,9.063642,1765.294736
20,float,20000,20000,20000,9.054045,1767.165874
20,float,20000,20000,20000,9.109795,1756.351284
20,float,20000,20000,20000,9.061207,1765.769231
20,float,20000,20000,20000,9.062580,1765.501753
22,float,20000,20000,20000,8.719801,1834.904278
22,float,20000,20000,20000,8.699341,1839.219692
22,float,20000,20000,20000,8.707284,1837.542015
22,float,20000,20000,20000,8.709191,1837.139644
22,float,20000,20000,20000,8.705042,1838.015249
