threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.018633,858.680923
64,float,2000,2000,2000,0.019411,824.279100
64,float,2000,2000,2000,0.018855,848.570567
64,float,2000,2000,2000,0.018659,857.477534
64,float,2000,2000,2000,0.018209,878.662912
64,float,2000,2000,2000,0.018404,869.385623
64,float,2000,2000,2000,0.018828,849.808238
64,float,2000,2000,2000,0.019386,825.326037
64,float,2000,2000,2000,0.019478,821.452225
64,float,2000,2000,2000,0.019152,835.435498
64,float,2000,2000,2000,0.018414,868.897819
64,float,2000,2000,2000,0.019587,816.873502
64,float,2000,2000,2000,0.018656,857.650081
64,float,2000,2000,2000,0.018586,860.858059
64,float,2000,2000,2000,0.018251,876.642293
64,float,2500,2500,2500,0.025526,1224.249959
64,float,2500,2500,2500,0.026294,1188.487003
64,float,2500,2500,2500,0.024505,1275.226375
64,float,2500,2500,2500,0.025150,1242.562962
64,float,2500,2500,2500,0.023786,1313.774172
64,float,2500,2500,2500,0.025405,1230.075677
64,float,2500,2500,2500,0.025082,1245.891846
64,float,2500,2500,2500,0.025605,1220.480244
64,float,2500,2500,2500,0.026369,1185.088395
64,float,2500,2500,2500,0.025395,1230.547893
64,float,2500,2500,2500,0.026533,1177.763212
64,float,2500,2500,2500,0.025961,1203.710680
64,float,2500,2500,2500,0.023257,1343.692912
64,float,2500,2500,2500,0.022409,1394.539439
64,float,2500,2500,2500,0.024561,1272.329795
64,float,3000,3000,3000,0.033000,1636.361107
64,float,3000,3000,3000,0.035491,1521.501907
64,float,3000,3000,3000,0.034945,1545.303093
64,float,3000,3000,3000,0.032205,1676.768785
64,float,3000,3000,3000,0.033059,1633.432763
64,float,3000,3000,3000,0.034920,1546.375988
64,float,3000,3000,3000,0.038474,1403.554153
64,float,3000,3000,3000,0.036402,1483.433835
64,float,3000,3000,3000,0.035800,1508.382079
64,float,3000,3000,3000,0.040346,1338.427222
64,float,3000,3000,3000,0.034392,1570.129576
64,float,3000,3000,3000,0.033775,1598.820473
64,float,3000,3000,3000,0.034337,1572.666222
64,float,3000,3000,3000,0.036235,1490.273317
64,float,3000,3000,3000,0.032323,1670.611527
64,float,3500,3500,3500,0.048371,1772.746838
64,float,3500,3500,3500,0.047531,1804.085603
64,float,3500,3500,3500,0.045801,1872.220135
64,float,3500,3500,3500,0.049670,1726.379256
64,float,3500,3500,3500,0.048267,1776.578521
64,float,3500,3500,3500,0.049761,1723.220416
64,float,3500,3500,3500,0.045292,1893.258087
64,float,3500,3500,3500,0.050198,1708.243895
64,float,3500,3500,3500,0.045657,1878.140629
64,float,3500,3500,3500,0.046727,1835.144016
64,float,3500,3500,3500,0.047243,1815.082371
64,float,3500,3500,3500,0.050182,1708.773877
64,float,3500,3500,3500,0.051106,1677.887314
64,float,3500,3500,3500,0.047458,1806.863164
64,float,3500,3500,3500,0.046992,1824.782375
64,float,4000,4000,4000,0.065595,1951.368929
64,float,4000,4000,4000,0.072531,1764.759636
64,float,4000,4000,4000,0.062262,2055.814331
64,float,4000,4000,4000,0.065197,1963.272358
64,float,4000,4000,4000,0.066877,1913.964857
64,float,4000,4000,4000,0.064828,1974.443939
64,float,4000,4000,4000,0.064886,1972.704368
64,float,4000,4000,4000,0.068389,1871.647913
64,float,4000,4000,4000,0.069733,1835.560561
64,float,4000,4000,4000,0.065456,1955.519330
64,float,4000,4000,4000,0.064734,1977.332967
64,float,4000,4000,4000,0.068815,1860.056580
64,float,4000,4000,4000,0.064868,1973.231694
64,float,4000,4000,4000,0.064794,1975.495308
64,float,4000,4000,4000,0.064085,1997.338359
64,float,4500,4500,4500,0.081992,2222.784474
64,float,4500,4500,4500,0.082383,2212.226183
64,float,4500,4500,4500,0.083430,2184.455127
64,float,4500,4500,4500,0.082935,2197.500148
64,float,4500,4500,4500,0.084533,2155.972860
64,float,4500,4500,4500,0.080115,2274.864494
64,float,4500,4500,4500,0.089187,2043.454391
64,float,4500,4500,4500,0.082083,2220.307959
64,float,4500,4500,4500,0.082345,2213.237819
64,float,4500,4500,4500,0.086356,2110.437571
64,float,4500,4500,4500,0.081062,2248.269027
64,float,4500,4500,4500,0.086362,2110.306832
64,float,4500,4500,4500,0.083638,2179.021808
64,float,4500,4500,4500,0.083158,2191.615525
64,float,4500,4500,4500,0.086007,2119.022906
64,float,5000,5000,5000,0.106203,2353.991666
64,float,5000,5000,5000,0.100274,2493.159046
64,float,5000,5000,5000,0.103919,2405.724724
64,float,5000,5000,5000,0.100394,2490.186821
64,float,5000,5000,5000,0.104308,2396.754089
64,float,5000,5000,5000,0.102228,2445.521461
64,float,5000,5000,5000,0.099213,2519.842601
64,float,5000,5000,5000,0.109050,2292.533533
64,float,5000,5000,5000,0.104841,2384.572639
64,float,5000,5000,5000,0.105122,2378.178790
64,float,5000,5000,5000,0.102216,2445.807437
64,float,5000,5000,5000,0.103888,2406.435594
64,float,5000,5000,5000,0.100789,2480.419666
64,float,5000,5000,5000,0.104681,2388.200227
64,float,5000,5000,5000,0.103012,2426.911215
64,float,5500,5500,5500,0.131029,2539.506362
64,float,5500,5500,5500,0.127215,2615.645242
64,float,5500,5500,5500,0.131200,2536.209855
64,float,5500,5500,5500,0.128871,2582.031750
64,float,5500,5500,5500,0.127732,2605.055263
64,float,5500,5500,5500,0.130012,2559.382008
64,float,5500,5500,5500,0.124481,2673.108756
64,float,5500,5500,5500,0.124119,2680.885163
64,float,5500,5500,5500,0.128556,2588.358468
64,float,5500,5500,5500,0.136365,2440.137863
64,float,5500,5500,5500,0.129557,2568.357699
64,float,5500,5500,5500,0.129756,2564.422651
64,float,5500,5500,5500,0.131620,2528.113746
64,float,5500,5500,5500,0.127022,2619.623544
64,float,5500,5500,5500,0.128216,2595.238223
64,float,6000,6000,6000,0.177372,2435.564588
64,float,6000,6000,6000,0.179933,2400.894533
64,float,6000,6000,6000,0.181845,2375.648612
64,float,6000,6000,6000,0.190391,2269.018511
64,float,6000,6000,6000,0.181102,2385.389687
64,float,6000,6000,6000,0.194596,2219.979814
64,float,6000,6000,6000,0.183292,2356.896719
64,float,6000,6000,6000,0.183167,2358.506120
64,float,6000,6000,6000,0.183488,2354.378245
64,float,6000,6000,6000,0.180403,2394.644577
64,float,6000,6000,6000,0.190955,2262.311677
64,float,6000,6000,6000,0.181985,2373.820662
64,float,6000,6000,6000,0.190310,2269.983934
64,float,6000,6000,6000,0.185628,2327.240845
64,float,6000,6000,6000,0.183772,2350.745278
64,float,6500,6500,6500,0.279504,1965.086884
64,float,6500,6500,6500,0.272842,2013.067880
64,float,6500,6500,6500,0.274065,2004.084194
64,float,6500,6500,6500,0.274987,1997.364286
64,float,6500,6500,6500,0.270901,2027.497143
64,float,6500,6500,6500,0.280263,1959.764551
64,float,6500,6500,6500,0.284269,1932.147633
64,float,6500,6500,6500,0.271024,2026.576239
64,float,6500,6500,6500,0.270245,2032.411677
64,float,6500,6500,6500,0.279436,1965.569366
64,float,6500,6500,6500,0.269656,2036.854113
64,float,6500,6500,6500,0.287689,1909.182206
64,float,6500,6500,6500,0.271657,2021.847653
64,float,6500,6500,6500,0.282434,1944.699922
64,float,6500,6500,6500,0.279929,1962.106036
64,float,7000,7000,7000,0.423483,1619.901553
64,float,7000,7000,7000,0.400749,1711.796599
64,float,7000,7000,7000,0.427716,1603.868441
64,float,7000,7000,7000,0.402382,1704.848908
64,float,7000,7000,7000,0.423451,1620.023085
64,float,7000,7000,7000,0.409387,1675.674778
64,float,7000,7000,7000,0.420027,1633.228091
64,float,7000,7000,7000,0.405075,1693.512644
64,float,7000,7000,7000,0.408635,1678.758253
64,float,7000,7000,7000,0.411707,1666.234660
64,float,7000,7000,7000,0.441799,1552.742578
64,float,7000,7000,7000,0.423995,1617.942280
64,float,7000,7000,7000,0.404368,1696.476500
64,float,7000,7000,7000,0.406606,1687.134880
64,float,7000,7000,7000,0.406933,1685.779221
64,float,7500,7500,7500,0.533877,1580.421524
64,float,7500,7500,7500,0.560107,1506.408874
64,float,7500,7500,7500,0.545061,1547.991933
64,float,7500,7500,7500,0.559095,1509.135645
64,float,7500,7500,7500,0.542416,1555.541045
64,float,7500,7500,7500,0.573523,1471.170021
64,float,7500,7500,7500,0.568872,1483.198773
64,float,7500,7500,7500,0.548231,1539.040477
64,float,7500,7500,7500,0.542631,1554.922938
64,float,7500,7500,7500,0.551034,1531.212853
64,float,7500,7500,7500,0.535208,1576.489923
64,float,7500,7500,7500,0.555312,1519.416263
64,float,7500,7500,7500,0.552198,1527.985869
64,float,7500,7500,7500,0.542259,1555.989917
64,float,7500,7500,7500,0.550146,1533.684842
64,float,8000,8000,8000,0.698300,1466.418390
64,float,8000,8000,8000,0.694909,1473.575277
64,float,8000,8000,8000,0.699842,1463.188014
64,float,8000,8000,8000,0.721299,1419.661049
64,float,8000,8000,8000,0.686106,1492.480042
64,float,8000,8000,8000,0.710510,1441.218957
64,float,8000,8000,8000,0.679575,1506.824067
64,float,8000,8000,8000,0.697539,1468.018934
64,float,8000,8000,8000,0.696919,1469.324539
64,float,8000,8000,8000,0.710315,1441.613378
64,float,8000,8000,8000,0.697801,1467.467271
64,float,8000,8000,8000,0.677372,1511.724979
64,float,8000,8000,8000,0.729658,1403.396489
64,float,8000,8000,8000,0.683122,1499.000611
64,float,8000,8000,8000,0.673498,1520.419407
64,float,8500,8500,8500,0.850120,1444.796552
64,float,8500,8500,8500,0.866881,1416.861676
64,float,8500,8500,8500,0.806229,1523.450548
64,float,8500,8500,8500,0.823294,1491.872871
64,float,8500,8500,8500,0.820827,1496.356249
64,float,8500,8500,8500,0.830948,1478.131089
64,float,8500,8500,8500,0.832766,1474.904320
64,float,8500,8500,8500,0.880911,1394.295787
64,float,8500,8500,8500,0.847560,1449.159600
64,float,8500,8500,8500,0.821478,1495.170229
64,float,8500,8500,8500,0.821942,1494.325959
64,float,8500,8500,8500,0.851988,1441.628626
64,float,8500,8500,8500,0.848497,1447.559457
64,float,8500,8500,8500,0.873604,1405.957812
64,float,8500,8500,8500,0.814194,1508.546471
64,float,9000,9000,9000,1.026289,1420.652476
64,float,9000,9000,9000,1.006564,1448.491754
64,float,9000,9000,9000,1.003365,1453.110113
64,float,9000,9000,9000,1.045051,1395.147024
64,float,9000,9000,9000,0.997739,1461.304045
64,float,9000,9000,9000,0.976468,1493.137210
64,float,9000,9000,9000,0.988326,1475.221795
