threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.023960,667.777988
64,float,2000,2000,2000,0.024677,648.377741
64,float,2000,2000,2000,0.025011,639.711055
64,float,2000,2000,2000,0.024879,643.117732
64,float,2000,2000,2000,0.024796,645.253681
64,float,2000,2000,2000,0.024397,655.823204
64,float,2000,2000,2000,0.024623,649.788043
64,float,2000,2000,2000,0.024388,656.054762
64,float,2000,2000,2000,0.024630,649.627189
64,float,2000,2000,2000,0.024765,646.084749
64,float,2000,2000,2000,0.024855,643.721353
64,float,2000,2000,2000,0.024612,650.095806
64,float,2000,2000,2000,0.025119,636.975437
64,float,2000,2000,2000,0.024406,655.564921
64,float,2000,2000,2000,0.024167,662.055944
64,float,2500,2500,2500,0.033974,919.818061
64,float,2500,2500,2500,0.033913,921.488474
64,float,2500,2500,2500,0.032050,975.045360
64,float,2500,2500,2500,0.034357,909.579846
64,float,2500,2500,2500,0.034481,906.298192
64,float,2500,2500,2500,0.032416,964.028324
64,float,2500,2500,2500,0.032635,957.573283
64,float,2500,2500,2500,0.033771,925.340809
64,float,2500,2500,2500,0.033541,931.688287
64,float,2500,2500,2500,0.031621,988.279949
64,float,2500,2500,2500,0.034481,906.305079
64,float,2500,2500,2500,0.033993,919.297180
64,float,2500,2500,2500,0.034974,893.518193
64,float,2500,2500,2500,0.034492,906.003197
64,float,2500,2500,2500,0.032172,971.353435
64,float,3000,3000,3000,0.046480,1161.798441
64,float,3000,3000,3000,0.042961,1256.950237
64,float,3000,3000,3000,0.042463,1271.685056
64,float,3000,3000,3000,0.045167,1195.555774
64,float,3000,3000,3000,0.042447,1272.177919
64,float,3000,3000,3000,0.042753,1263.083853
64,float,3000,3000,3000,0.045881,1176.969403
64,float,3000,3000,3000,0.042337,1275.491615
64,float,3000,3000,3000,0.043288,1247.462598
64,float,3000,3000,3000,0.042900,1258.735831
64,float,3000,3000,3000,0.046166,1169.693932
64,float,3000,3000,3000,0.044204,1221.600310
64,float,3000,3000,3000,0.042403,1273.488103
64,float,3000,3000,3000,0.041571,1298.982807
64,float,3000,3000,3000,0.042409,1273.300966
64,float,3500,3500,3500,0.062867,1363.987675
64,float,3500,3500,3500,0.056971,1505.155178
64,float,3500,3500,3500,0.058407,1468.141995
64,float,3500,3500,3500,0.057158,1500.217623
64,float,3500,3500,3500,0.058329,1470.097816
64,float,3500,3500,3500,0.058035,1477.549289
64,float,3500,3500,3500,0.058595,1463.425931
64,float,3500,3500,3500,0.057755,1484.725208
64,float,3500,3500,3500,0.059415,1443.240669
64,float,3500,3500,3500,0.060690,1412.914314
64,float,3500,3500,3500,0.057622,1488.150168
64,float,3500,3500,3500,0.062781,1365.869432
64,float,3500,3500,3500,0.056505,1517.563501
64,float,3500,3500,3500,0.058023,1477.866659
64,float,3500,3500,3500,0.054194,1582.276087
64,float,4000,4000,4000,0.074953,1707.743638
64,float,4000,4000,4000,0.079600,1608.048383
64,float,4000,4000,4000,0.077317,1655.528517
64,float,4000,4000,4000,0.069484,1842.162535
64,float,4000,4000,4000,0.068837,1859.469976
64,float,4000,4000,4000,0.078519,1630.186116
64,float,4000,4000,4000,0.077331,1655.230447
64,float,4000,4000,4000,0.078586,1628.780200
64,float,4000,4000,4000,0.077963,1641.814154
64,float,4000,4000,4000,0.069230,1848.905426
64,float,4000,4000,4000,0.078402,1632.612746
64,float,4000,4000,4000,0.074249,1723.925900
64,float,4000,4000,4000,0.077438,1652.926073
64,float,4000,4000,4000,0.069689,1836.734401
64,float,4000,4000,4000,0.078729,1625.837360
64,float,4500,4500,4500,0.093909,1940.710356
64,float,4500,4500,4500,0.088864,2050.876663
64,float,4500,4500,4500,0.092502,1970.222090
64,float,4500,4500,4500,0.093242,1954.593794
64,float,4500,4500,4500,0.099095,1839.141323
64,float,4500,4500,4500,0.092942,1960.900811
64,float,4500,4500,4500,0.095777,1902.849733
64,float,4500,4500,4500,0.087806,2075.593065
64,float,4500,4500,4500,0.088261,2064.907761
64,float,4500,4500,4500,0.096354,1891.464655
64,float,4500,4500,4500,0.094370,1931.227142
64,float,4500,4500,4500,0.088382,2062.081728
64,float,4500,4500,4500,0.089563,2034.889677
64,float,4500,4500,4500,0.091231,1997.684199
64,float,4500,4500,4500,0.094200,1934.706413
64,float,5000,5000,5000,0.122270,2044.653900
64,float,5000,5000,5000,0.118923,2102.197932
64,float,5000,5000,5000,0.123998,2016.159681
64,float,5000,5000,5000,0.122592,2039.276515
64,float,5000,5000,5000,0.123746,2020.266816
64,float,5000,5000,5000,0.118671,2106.659017
64,float,5000,5000,5000,0.118291,2113.431343
64,float,5000,5000,5000,0.120681,2071.571640
64,float,5000,5000,5000,0.122042,2048.471859
64,float,5000,5000,5000,0.120256,2078.900926
64,float,5000,5000,5000,0.120222,2079.485453
64,float,5000,5000,5000,0.119740,2087.857494
64,float,5000,5000,5000,0.119521,2091.683998
64,float,5000,5000,5000,0.119233,2096.734771
64,float,5000,5000,5000,0.118567,2108.509250
64,float,5500,5500,5500,0.162343,2049.668781
64,float,5500,5500,5500,0.164742,2019.829524
64,float,5500,5500,5500,0.158771,2095.786705
