threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.021703,737.212259
64,float,2000,2000,2000,0.021309,750.839744
64,float,2000,2000,2000,0.021743,735.868440
64,float,2000,2000,2000,0.021500,744.174209
64,float,2000,2000,2000,0.021726,736.437152
64,float,2000,2000,2000,0.021524,743.343544
64,float,2000,2000,2000,0.022112,723.596495
64,float,2000,2000,2000,0.021430,746.624418
64,float,2000,2000,2000,0.021782,734.544518
64,float,2000,2000,2000,0.021504,744.032257
64,float,2000,2000,2000,0.021568,741.851354
64,float,2000,2000,2000,0.022553,709.435488
64,float,2000,2000,2000,0.021984,727.810513
64,float,2000,2000,2000,0.021964,728.465888
64,float,2000,2000,2000,0.022293,717.723288
64,float,2500,2500,2500,0.032683,956.152645
64,float,2500,2500,2500,0.035695,875.471529
64,float,2500,2500,2500,0.033241,940.092012
64,float,2500,2500,2500,0.034539,904.778164
64,float,2500,2500,2500,0.034986,893.218999
64,float,2500,2500,2500,0.033491,933.090485
64,float,2500,2500,2500,0.035384,883.179065
64,float,2500,2500,2500,0.034786,898.351047
64,float,2500,2500,2500,0.035028,892.145695
64,float,2500,2500,2500,0.034581,903.684863
64,float,2500,2500,2500,0.032572,959.405953
64,float,2500,2500,2500,0.034196,913.855773
64,float,2500,2500,2500,0.035045,891.701498
64,float,2500,2500,2500,0.034188,914.060714
64,float,2500,2500,2500,0.034306,910.912655
64,float,3000,3000,3000,0.043606,1238.373110
64,float,3000,3000,3000,0.045192,1194.907437
64,float,3000,3000,3000,0.044422,1215.602364
64,float,3000,3000,3000,0.045456,1187.954119
64,float,3000,3000,3000,0.045779,1179.583326
64,float,3000,3000,3000,0.044523,1212.845925
64,float,3000,3000,3000,0.044915,1202.269484
64,float,3000,3000,3000,0.045947,1175.279868
64,float,3000,3000,3000,0.046770,1154.595235
64,float,3000,3000,3000,0.043867,1230.994303
64,float,3000,3000,3000,0.043569,1239.410784
64,float,3000,3000,3000,0.051991,1038.640944
64,float,3000,3000,3000,0.044012,1226.947001
64,float,3000,3000,3000,0.043706,1235.526663
64,float,3000,3000,3000,0.043985,1227.687630
64,float,3500,3500,3500,0.058076,1476.517958
64,float,3500,3500,3500,0.057741,1485.071464
64,float,3500,3500,3500,0.070633,1214.024095
64,float,3500,3500,3500,0.063016,1360.766146
64,float,3500,3500,3500,0.058375,1468.951303
64,float,3500,3500,3500,0.063348,1353.623767
64,float,3500,3500,3500,0.058417,1467.897434
64,float,3500,3500,3500,0.058485,1466.183274
64,float,3500,3500,3500,0.058141,1474.862554
64,float,3500,3500,3500,0.057845,1482.403610
64,float,3500,3500,3500,0.058577,1463.884243
64,float,3500,3500,3500,0.059126,1450.283078
64,float,3500,3500,3500,0.071202,1204.312340
64,float,3500,3500,3500,0.059133,1450.123881
64,float,3500,3500,3500,0.071453,1200.082129
64,float,4000,4000,4000,0.081689,1566.926855
64,float,4000,4000,4000,0.086208,1484.777826
64,float,4000,4000,4000,0.077965,1641.765635
64,float,4000,4000,4000,0.077276,1656.409888
64,float,4000,4000,4000,0.076814,1666.357826
64,float,4000,4000,4000,0.077847,1644.257007
64,float,4000,4000,4000,0.086764,1475.272412
64,float,4000,4000,4000,0.081151,1577.314413
64,float,4000,4000,4000,0.078387,1632.933951
64,float,4000,4000,4000,0.081324,1573.948477
64,float,4000,4000,4000,0.079603,1607.989658
64,float,4000,4000,4000,0.082072,1559.606104
64,float,4000,4000,4000,0.080804,1584.075017
64,float,4000,4000,4000,0.078200,1636.832810
64,float,4000,4000,4000,0.079679,1606.441933
64,float,4500,4500,4500,0.110770,1645.300257
64,float,4500,4500,4500,0.112944,1613.634192
64,float,4500,4500,4500,0.101807,1790.147717
64,float,4500,4500,4500,0.118879,1533.069663
64,float,4500,4500,4500,0.100579,1812.002634
64,float,4500,4500,4500,0.101124,1802.249314
64,float,4500,4500,4500,0.111320,1637.172116
64,float,4500,4500,4500,0.101386,1797.581068
64,float,4500,4500,4500,0.102072,1785.506554
64,float,4500,4500,4500,0.112240,1623.755884
64,float,4500,4500,4500,0.101449,1796.477272
64,float,4500,4500,4500,0.103121,1767.335914
64,float,4500,4500,4500,0.100953,1805.291868
64,float,4500,4500,4500,0.108954,1672.729489
64,float,4500,4500,4500,0.120212,1516.071746
64,float,5000,5000,5000,0.136750,1828.159608
64,float,5000,5000,5000,0.130893,1909.950480
64,float,5000,5000,5000,0.137280,1821.098596
64,float,5000,5000,5000,0.132355,1888.853927
64,float,5000,5000,5000,0.129527,1930.104105
64,float,5000,5000,5000,0.138428,1805.995395
64,float,5000,5000,5000,0.138501,1805.035319
64,float,5000,5000,5000,0.130682,1913.035107
64,float,5000,5000,5000,0.136538,1830.988618
64,float,5000,5000,5000,0.138887,1800.021642
64,float,5000,5000,5000,0.128043,1952.467156
64,float,5000,5000,5000,0.135621,1843.373712
64,float,5000,5000,5000,0.134237,1862.377166
64,float,5000,5000,5000,0.129555,1929.678129
64,float,5000,5000,5000,0.131848,1896.123671
64,float,5500,5500,5500,0.177345,1876.289530
64,float,5500,5500,5500,0.171322,1942.246853
64,float,5500,5500,5500,0.173852,1913.987259
64,float,5500,5500,5500,0.176822,1881.838120
64,float,5500,5500,5500,0.183768,1810.711166
64,float,5500,5500,5500,0.178492,1864.233773
64,float,5500,5500,5500,0.175969,1890.954542
64,float,5500,5500,5500,0.176963,1880.331659
64,float,5500,5500,5500,0.178520,1863.933744
64,float,5500,5500,5500,0.174734,1904.326412
64,float,5500,5500,5500,0.175687,1893.994934
64,float,5500,5500,5500,0.176884,1881.179097
64,float,5500,5500,5500,0.178600,1863.102905
64,float,5500,5500,5500,0.174439,1907.541031
64,float,5500,5500,5500,0.182695,1821.341879
64,float,6000,6000,6000,0.242329,1782.702504
64,float,6000,6000,6000,0.240636,1795.240130
64,float,6000,6000,6000,0.227266,1900.856098
64,float,6000,6000,6000,0.242728,1779.771415
64,float,6000,6000,6000,0.248718,1736.904261
64,float,6000,6000,6000,0.227432,1899.465102
64,float,6000,6000,6000,0.230418,1874.854129
64,float,6000,6000,6000,0.231620,1865.123805
64,float,6000,6000,6000,0.246457,1752.838059
64,float,6000,6000,6000,0.271105,1593.476237
64,float,6000,6000,6000,0.242115,1784.278499
64,float,6000,6000,6000,0.238359,1812.392680
64,float,6000,6000,6000,0.242598,1780.720664
64,float,6000,6000,6000,0.232297,1859.686483
64,float,6000,6000,6000,0.232940,1854.555466
64,float,6500,6500,6500,0.334904,1640.020947
64,float,6500,6500,6500,0.323630,1697.152028
64,float,6500,6500,6500,0.343201,1600.373178
64,float,6500,6500,6500,0.319570,1718.716081
64,float,6500,6500,6500,0.344113,1596.131641
64,float,6500,6500,6500,0.327058,1679.367424
64,float,6500,6500,6500,0.329728,1665.764500
64,float,6500,6500,6500,0.327157,1678.858860
64,float,6500,6500,6500,0.317828,1728.138490
64,float,6500,6500,6500,0.311302,1764.361547
64,float,6500,6500,6500,0.313001,1754.787858
64,float,6500,6500,6500,0.313389,1752.612732
64,float,6500,6500,6500,0.324639,1691.879897
64,float,6500,6500,6500,0.313375,1752.690951
64,float,6500,6500,6500,0.326856,1680.403423
64,float,7000,7000,7000,0.423997,1617.934339
64,float,7000,7000,7000,0.429247,1598.146850
64,float,7000,7000,7000,0.432225,1587.136899
64,float,7000,7000,7000,0.412045,1664.867255
64,float,7000,7000,7000,0.402374,1704.881770
64,float,7000,7000,7000,0.409453,1675.404332
64,float,7000,7000,7000,0.432255,1587.025296
64,float,7000,7000,7000,0.415839,1649.675085
64,float,7000,7000,7000,0.410589,1670.771797
64,float,7000,7000,7000,0.414656,1654.384530
64,float,7000,7000,7000,0.414018,1656.934411
64,float,7000,7000,7000,0.404662,1695.240480
64,float,7000,7000,7000,0.413949,1657.207298
64,float,7000,7000,7000,0.407915,1681.721049
64,float,7000,7000,7000,0.414654,1654.390047
64,float,7500,7500,7500,0.520540,1620.913135
64,float,7500,7500,7500,0.525087,1606.875326
64,float,7500,7500,7500,0.520123,1622.212741
64,float,7500,7500,7500,0.524305,1609.274069
64,float,7500,7500,7500,0.512124,1647.549929
64,float,7500,7500,7500,0.519901,1622.905486
64,float,7500,7500,7500,0.520795,1620.119160
64,float,7500,7500,7500,0.522155,1615.899277
64,float,7500,7500,7500,0.525943,1604.262253
64,float,7500,7500,7500,0.522736,1614.103523
64,float,7500,7500,7500,0.515453,1636.909717
64,float,7500,7500,7500,0.521824,1616.924654
64,float,7500,7500,7500,0.523856,1610.653071
64,float,7500,7500,7500,0.524662,1608.177418
64,float,7500,7500,7500,0.530045,1591.846471
64,float,8000,8000,8000,0.617169,1659.189170
64,float,8000,8000,8000,0.640056,1599.860832
64,float,8000,8000,8000,0.647698,1580.984731
64,float,8000,8000,8000,0.615594,1663.435097
64,float,8000,8000,8000,0.616557,1660.836956
64,float,8000,8000,8000,0.610804,1676.477498
64,float,8000,8000,8000,0.656575,1559.607397
64,float,8000,8000,8000,0.639307,1601.734639
64,float,8000,8000,8000,0.615219,1664.448940
64,float,8000,8000,8000,0.617421,1658.511514
64,float,8000,8000,8000,0.614617,1666.078224
64,float,8000,8000,8000,0.608912,1681.689022
64,float,8000,8000,8000,0.617737,1657.663460
64,float,8000,8000,8000,0.613766,1668.387368
64,float,8000,8000,8000,0.617748,1657.634378
64,float,8500,8500,8500,0.735086,1670.893700
64,float,8500,8500,8500,0.735474,1670.012043
64,float,8500,8500,8500,0.737238,1666.015335
64,float,8500,8500,8500,0.728555,1685.871529
64,float,8500,8500,8500,0.734610,1671.975331
64,float,8500,8500,8500,0.758891,1618.479235
64,float,8500,8500,8500,0.734644,1671.898512
64,float,8500,8500,8500,0.771325,1592.390107
64,float,8500,8500,8500,0.730860,1680.553723
64,float,8500,8500,8500,0.731101,1680.000985
64,float,8500,8500,8500,0.735122,1670.811974
64,float,8500,8500,8500,0.771115,1592.823437
64,float,8500,8500,8500,0.732245,1677.375190
64,float,8500,8500,8500,0.735993,1668.833913
64,float,8500,8500,8500,0.735615,1669.691410
64,float,9000,9000,9000,0.869664,1676.509423
64,float,9000,9000,9000,0.847624,1720.101666
64,float,9000,9000,9000,0.848175,1718.985143
64,float,9000,9000,9000,0.852855,1709.551439
64,float,9000,9000,9000,0.844350,1726.772916
64,float,9000,9000,9000,0.890262,1637.720746
64,float,9000,9000,9000,0.857003,1701.278146
64,float,9000,9000,9000,0.841816,1731.969930
64,float,9000,9000,9000,0.860940,1693.496951
64,float,9000,9000,9000,0.856566,1702.144801
64,float,9000,9000,9000,0.840912,1733.832660
64,float,9000,9000,9000,0.845431,1724.564114
64,float,9000,9000,9000,0.863640,1688.202619
64,float,9000,9000,9000,0.874583,1667.079959
64,float,9000,9000,9000,0.840098,1735.512623
64,float,9500,9500,9500,0.969594,1768.524289
64,float,9500,9500,9500,1.007458,1702.056443
64,float,9500,9500,9500,1.003832,1708.203925
64,float,9500,9500,9500,0.990793,1730.684970
64,float,9500,9500,9500,0.974156,1760.241576
64,float,9500,9500,9500,1.004113,1707.726670
64,float,9500,9500,9500,0.960993,1784.352136
64,float,9500,9500,9500,0.995220,1722.985594
64,float,9500,9500,9500,0.959120,1787.836609
64,float,9500,9500,9500,0.981658,1746.790380
64,float,9500,9500,9500,0.953995,1797.440668
64,float,9500,9500,9500,1.019428,1682.071215
64,float,9500,9500,9500,0.968515,1770.493324
64,float,9500,9500,9500,0.957727,1790.436622
64,float,9500,9500,9500,1.005909,1704.677841
64,float,10000,10000,10000,1.193332,1675.980174
64,float,10000,10000,10000,1.173307,1704.584256
64,float,10000,10000,10000,1.177370,1698.701435
64,float,10000,10000,10000,1.145293,1746.278563
64,float,10000,10000,10000,1.148096,1742.014494
64,float,10000,10000,10000,1.138425,1756.812849
64,float,10000,10000,10000,1.177127,1699.051887
64,float,10000,10000,10000,1.154828,1731.859924
64,float,10000,10000,10000,1.165879,1715.443565
64,float,10000,10000,10000,1.192493,1677.158966
64,float,10000,10000,10000,1.181074,1693.374438
64,float,10000,10000,10000,1.122948,1781.025905
64,float,10000,10000,10000,1.158833,1725.874820
64,float,10000,10000,10000,1.228454,1628.062490
64,float,10000,10000,10000,1.218490,1641.375932
64,float,10500,10500,10500,1.280147,1808.581737
64,float,10500,10500,10500,1.309126,1768.546253
64,float,10500,10500,10500,1.255213,1844.507977
64,float,10500,10500,10500,1.341767,1725.523611
64,float,10500,10500,10500,1.267452,1826.696325
64,float,10500,10500,10500,1.305638,1773.271288
64,float,10500,10500,10500,1.273115,1818.571540
64,float,10500,10500,10500,1.230842,1881.030019
64,float,10500,10500,10500,1.343699,1723.042633
64,float,10500,10500,10500,1.279331,1809.734282
64,float,10500,10500,10500,1.334107,1735.431017
64,float,10500,10500,10500,1.265082,1830.119028
64,float,10500,10500,10500,1.339884,1727.947580
64,float,10500,10500,10500,1.294370,1788.708478
64,float,10500,10500,10500,1.298890,1782.483915
64,float,11000,11000,11000,1.543893,1724.212555
64,float,11000,11000,11000,1.463246,1819.242881
64,float,11000,11000,11000,1.455548,1828.864802
64,float,11000,11000,11000,1.501765,1772.580837
64,float,11000,11000,11000,1.501562,1772.820570
64,float,11000,11000,11000,1.549056,1718.465895
64,float,11000,11000,11000,1.542675,1725.573638
64,float,11000,11000,11000,1.500103,1774.544895
64,float,11000,11000,11000,1.506536,1766.967605
64,float,11000,11000,11000,1.472738,1807.517735
64,float,11000,11000,11000,1.507414,1765.938055
64,float,11000,11000,11000,1.440627,1847.805941
64,float,11000,11000,11000,1.523527,1747.261407
64,float,11000,11000,11000,1.443645,1843.943794
64,float,11000,11000,11000,1.492381,1783.726428
64,float,11500,11500,11500,1.575181,1931.047567
64,float,11500,11500,11500,1.550575,1961.691417
64,float,11500,11500,11500,1.613880,1884.743304
64,float,11500,11500,11500,1.573412,1933.218600
64,float,11500,11500,11500,1.597287,1904.322220
64,float,11500,11500,11500,1.579998,1925.160506
64,float,11500,11500,11500,1.589312,1913.879002
64,float,11500,11500,11500,1.645660,1848.346759
