threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,20.253747,98.747158
1,float,10000,10000,10000,20.266285,98.686068
1,float,10000,10000,10000,20.256531,98.733588
1,float,10000,10000,10000,20.247395,98.778141
1,float,10000,10000,10000,20.403971,98.020136
1,float,10000,10000,10000,20.259166,98.720746
1,float,10000,10000,10000,20.233040,98.848220
1,float,10000,10000,10000,20.252588,98.752813
1,float,10000,10000,10000,20.225200,98.886537
1,float,10000,10000,10000,20.239866,98.814884
2,float,10000,10000,10000,10.173280,196.593423
2,float,10000,10000,10000,10.190811,196.255238
2,float,10000,10000,10000,10.190237,196.266283
2,float,10000,10000,10000,10.181770,196.429497
2,float,10000,10000,10000,10.170772,196.641904
2,float,10000,10000,10000,10.184042,196.385679
2,float,10000,10000,10000,10.209666,195.892798
2,float,10000,10000,10000,10.191803,196.236124
2,float,10000,10000,10000,10.225017,195.598704
2,float,10000,10000,10000,10.225422,195.590956
3,float,10000,10000,10000,6.911230,289.384071
3,float,10000,10000,10000,6.913003,289.309886
3,float,10000,10000,10000,6.905453,289.626204
3,float,10000,10000,10000,6.900258,289.844242
3,float,10000,10000,10000,6.929111,288.637336
3,float,10000,10000,10000,6.932631,288.490781
3,float,10000,10000,10000,6.981141,286.486108
3,float,10000,10000,10000,6.955885,287.526306
3,float,10000,10000,10000,6.928655,288.656316
3,float,10000,10000,10000,6.953808,287.612178
4,float,10000,10000,10000,5.361761,373.011799
4,float,10000,10000,10000,5.404138,370.086777
4,float,10000,10000,10000,5.374016,372.161145
4,float,10000,10000,10000,5.375745,372.041446
4,float,10000,10000,10000,5.351987,373.692985
4,float,10000,10000,10000,5.406593,369.918749
4,float,10000,10000,10000,5.387033,371.261901
4,float,10000,10000,10000,5.392442,370.889445
4,float,10000,10000,10000,5.357092,373.336903
4,float,10000,10000,10000,5.400938,370.306038
5,float,10000,10000,10000,4.256300,469.891736
5,float,10000,10000,10000,4.334899,461.371782
5,float,10000,10000,10000,4.233062,472.471225
5,float,10000,10000,10000,4.232213,472.565960
5,float,10000,10000,10000,4.322078,462.740406
5,float,10000,10000,10000,4.213419,474.673858
5,float,10000,10000,10000,4.325749,462.347729
5,float,10000,10000,10000,4.243752,471.281037
5,float,10000,10000,10000,4.191807,477.121199
5,float,10000,10000,10000,4.200246,476.162614
6,float,10000,10000,10000,3.682168,543.158264
6,float,10000,10000,10000,3.703414,540.042175
6,float,10000,10000,10000,3.688185,542.272220
6,float,10000,10000,10000,3.703449,540.037158
6,float,10000,10000,10000,3.676604,543.980300
6,float,10000,10000,10000,3.672321,544.614649
6,float,10000,10000,10000,3.682766,543.070118
6,float,10000,10000,10000,3.683042,543.029445
6,float,10000,10000,10000,3.690212,541.974242
6,float,10000,10000,10000,3.693483,541.494303
7,float,10000,10000,10000,3.055503,654.556705
7,float,10000,10000,10000,3.048225,656.119511
7,float,10000,10000,10000,3.058980,653.812787
7,float,10000,10000,10000,3.060981,653.385203
7,float,10000,10000,10000,3.042917,657.264113
7,float,10000,10000,10000,3.061067,653.366866
7,float,10000,10000,10000,3.060854,653.412338
7,float,10000,10000,10000,3.060302,653.530340
7,float,10000,10000,10000,3.053547,654.975985
7,float,10000,10000,10000,3.142527,636.430446
8,float,10000,10000,10000,2.667708,749.707135
8,float,10000,10000,10000,2.681062,745.973053
8,float,10000,10000,10000,2.685086,744.855146
8,float,10000,10000,10000,2.680463,746.139834
8,float,10000,10000,10000,2.690280,743.417074
8,float,10000,10000,10000,2.695447,741.991919
8,float,10000,10000,10000,2.670531,748.914868
8,float,10000,10000,10000,2.673922,747.965024
8,float,10000,10000,10000,2.680113,746.237150
8,float,10000,10000,10000,2.698543,741.140644
9,float,10000,10000,10000,2.423218,825.348846
9,float,10000,10000,10000,2.442946,818.683524
9,float,10000,10000,10000,2.420938,826.125966
9,float,10000,10000,10000,2.414117,828.460226
9,float,10000,10000,10000,2.434342,821.577355
