threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,20.365899,98.203374
1,float,10000,10000,10000,20.615661,97.013626
1,float,10000,10000,10000,20.338367,98.336313
1,float,10000,10000,10000,20.346113,98.298875
1,float,10000,10000,10000,20.334405,98.355472
1,float,10000,10000,10000,20.353470,98.263341
1,float,10000,10000,10000,20.593947,97.115914
1,float,10000,10000,10000,20.540065,97.370675
1,float,10000,10000,10000,20.336519,98.345247
1,float,10000,10000,10000,20.361960,98.222370
2,float,10000,10000,10000,10.297830,194.215678
2,float,10000,10000,10000,10.194587,196.182545
2,float,10000,10000,10000,10.294733,194.274103
2,float,10000,10000,10000,10.295709,194.255680
2,float,10000,10000,10000,10.188991,196.290287
2,float,10000,10000,10000,10.259240,194.946211
2,float,10000,10000,10000,10.184899,196.369154
2,float,10000,10000,10000,10.175330,196.553822
2,float,10000,10000,10000,10.322710,193.747567
2,float,10000,10000,10000,10.301582,194.144947
3,float,10000,10000,10000,6.938033,288.266158
3,float,10000,10000,10000,6.889921,290.279090
3,float,10000,10000,10000,6.960216,287.347406
3,float,10000,10000,10000,6.897459,289.961835
3,float,10000,10000,10000,6.924497,288.829659
3,float,10000,10000,10000,6.942043,288.099631
3,float,10000,10000,10000,6.885600,290.461244
3,float,10000,10000,10000,6.929638,288.615371
3,float,10000,10000,10000,6.883426,290.552994
3,float,10000,10000,10000,6.948022,287.851727
4,float,10000,10000,10000,5.196513,384.873481
4,float,10000,10000,10000,5.204046,384.316386
4,float,10000,10000,10000,5.195668,384.936088
4,float,10000,10000,10000,5.192550,385.167236
4,float,10000,10000,10000,5.189929,385.361758
4,float,10000,10000,10000,5.191156,385.270643
4,float,10000,10000,10000,5.158961,387.674946
4,float,10000,10000,10000,5.175549,386.432436
4,float,10000,10000,10000,5.159736,387.616720
4,float,10000,10000,10000,5.157685,387.770870
5,float,10000,10000,10000,4.196121,476.630735
5,float,10000,10000,10000,4.144406,482.578181
5,float,10000,10000,10000,4.127331,484.574668
5,float,10000,10000,10000,4.151341,481.772048
5,float,10000,10000,10000,4.182836,478.144511
5,float,10000,10000,10000,4.120655,485.359730
5,float,10000,10000,10000,4.120162,485.417864
5,float,10000,10000,10000,4.130860,484.160704
5,float,10000,10000,10000,4.157182,481.095100
5,float,10000,10000,10000,4.150888,481.824668
6,float,10000,10000,10000,3.503765,570.814546
6,float,10000,10000,10000,3.495983,572.085227
6,float,10000,10000,10000,3.479580,574.782027
6,float,10000,10000,10000,3.502627,571.000046
6,float,10000,10000,10000,3.526548,567.126813
6,float,10000,10000,10000,3.497623,571.816998
6,float,10000,10000,10000,3.497390,571.855043
6,float,10000,10000,10000,3.510089,569.786170
6,float,10000,10000,10000,3.531110,566.394164
6,float,10000,10000,10000,3.516135,568.806308
7,float,10000,10000,10000,3.073836,650.652767
7,float,10000,10000,10000,3.019406,662.381957
7,float,10000,10000,10000,3.018666,662.544372
7,float,10000,10000,10000,3.000058,666.653866
7,float,10000,10000,10000,3.019338,662.396938
7,float,10000,10000,10000,3.022197,661.770177
7,float,10000,10000,10000,3.034303,659.130041
7,float,10000,10000,10000,3.026434,660.843654
7,float,10000,10000,10000,3.021618,661.897138
7,float,10000,10000,10000,3.011219,664.182921
8,float,10000,10000,10000,2.697967,741.298892
8,float,10000,10000,10000,2.671554,748.627882
8,float,10000,10000,10000,2.665161,750.423755
8,float,10000,10000,10000,2.669376,749.238749
8,float,10000,10000,10000,2.669125,749.309296
8,float,10000,10000,10000,2.674187,747.890814
8,float,10000,10000,10000,2.646404,755.742395
8,float,10000,10000,10000,2.647688,755.376093
8,float,10000,10000,10000,2.669318,749.255119
8,float,10000,10000,10000,2.661638,751.416989
9,float,10000,10000,10000,2.371318,843.412805
9,float,10000,10000,10000,2.374321,842.346250
9,float,10000,10000,10000,2.373190,842.747354
9,float,10000,10000,10000,2.363187,846.314868
9,float,10000,10000,10000,2.373670,842.577041
9,float,10000,10000,10000,2.372688,842.925873
9,float,10000,10000,10000,2.368811,844.305294
9,float,10000,10000,10000,2.363713,846.126352
9,float,10000,10000,10000,2.368078,844.566833
9,float,10000,10000,10000,2.363443,846.222903
10,float,10000,10000,10000,2.096348,954.040246
10,float,10000,10000,10000,2.097852,953.355990
10,float,10000,10000,10000,2.105120,950.064827
10,float,10000,10000,10000,2.097785,953.386340
10,float,10000,10000,10000,2.096811,953.829184
10,float,10000,10000,10000,2.091265,956.358950
10,float,10000,10000,10000,2.108347,948.610251
10,float,10000,10000,10000,2.091904,956.066594
10,float,10000,10000,10000,2.092997,955.567612
10,float,10000,10000,10000,2.090346,956.779441
11,float,10000,10000,10000,1.986210,1006.942923
11,float,10000,10000,10000,1.986226,1006.934593
11,float,10000,10000,10000,1.986373,1006.860120
11,float,10000,10000,10000,1.980032,1010.084903
11,float,10000,10000,10000,1.985518,1007.293874
11,float,10000,10000,10000,1.985989,1007.054822
11,float,10000,10000,10000,1.982893,1008.627522
11,float,10000,10000,10000,1.968143,1016.186333
11,float,10000,10000,10000,1.965478,1017.564116
11,float,10000,10000,10000,1.978449,1010.893114
12,float,10000,10000,10000,1.801782,1110.012486
12,float,10000,10000,10000,1.803839,1108.746607
12,float,10000,10000,10000,1.793970,1114.845551
12,float,10000,10000,10000,1.784782,1120.585324
12,float,10000,10000,10000,1.786791,1119.325188
12,float,10000,10000,10000,1.798382,1112.110852
12,float,10000,10000,10000,1.788555,1118.221358
12,float,10000,10000,10000,1.789178,1117.831626
12,float,10000,10000,10000,1.802354,1109.660116
12,float,10000,10000,10000,1.786062,1119.781742
13,float,10000,10000,10000,1.666473,1200.139731
13,float,10000,10000,10000,1.663652,1202.174846
13,float,10000,10000,10000,1.668374,1198.772121
13,float,10000,10000,10000,1.667718,1199.243330
13,float,10000,10000,10000,1.669915,1197.665792
13,float,10000,10000,10000,1.663511,1202.276099
13,float,10000,10000,10000,1.668098,1198.970473
13,float,10000,10000,10000,1.666246,1200.303157
13,float,10000,10000,10000,1.666294,1200.268679
13,float,10000,10000,10000,1.669813,1197.739149
14,float,10000,10000,10000,1.597126,1252.249079
14,float,10000,10000,10000,1.592265,1256.072076
14,float,10000,10000,10000,1.588775,1258.831358
14,float,10000,10000,10000,1.601519,1248.814075
14,float,10000,10000,10000,1.586436,1260.687267
14,float,10000,10000,10000,1.584208,1262.460258
14,float,10000,10000,10000,1.597944,1251.608309
14,float,10000,10000,10000,1.588498,1259.050607
14,float,10000,10000,10000,1.591551,1256.636124
14,float,10000,10000,10000,1.592124,1256.183957
15,float,10000,10000,10000,1.522631,1313.516074
15,float,10000,10000,10000,1.532771,1304.826162
15,float,10000,10000,10000,1.522911,1313.274093
15,float,10000,10000,10000,1.530900,1306.421387
15,float,10000,10000,10000,1.528042,1308.864967
15,float,10000,10000,10000,1.516624,1318.718738
15,float,10000,10000,10000,1.528698,1308.302954
15,float,10000,10000,10000,1.549718,1290.557732
15,float,10000,10000,10000,1.529931,1307.248570
15,float,10000,10000,10000,1.522778,1313.389486
16,float,10000,10000,10000,1.372881,1456.790469
16,float,10000,10000,10000,1.373206,1456.445191
16,float,10000,10000,10000,1.373570,1456.060098
16,float,10000,10000,10000,1.376035,1453.451881
16,float,10000,10000,10000,1.372175,1457.539966
16,float,10000,10000,10000,1.373358,1456.284673
16,float,10000,10000,10000,1.369043,1460.874499
16,float,10000,10000,10000,1.370608,1459.206610
16,float,10000,10000,10000,1.364818,1465.396319
16,float,10000,10000,10000,1.375816,1453.682979
18,float,10000,10000,10000,1.214958,1646.147673
18,float,10000,10000,10000,1.209206,1653.978415
18,float,10000,10000,10000,1.209938,1652.977522
18,float,10000,10000,10000,1.200106,1666.520046
18,float,10000,10000,10000,1.202735,1662.876819
18,float,10000,10000,10000,1.221250,1637.666588
18,float,10000,10000,10000,1.209529,1653.536690
18,float,10000,10000,10000,1.206878,1657.168010
18,float,10000,10000,10000,1.203147,1662.307215
18,float,10000,10000,10000,1.199267,1667.685255
20,float,10000,10000,10000,1.091349,1832.594195
20,float,10000,10000,10000,1.093040,1829.759105
20,float,10000,10000,10000,1.097424,1822.450305
20,float,10000,10000,10000,1.091472,1832.387588
20,float,10000,10000,10000,1.093791,1828.502577
20,float,10000,10000,10000,1.090968,1833.234841
20,float,10000,10000,10000,1.096665,1823.711642
20,float,10000,10000,10000,1.093316,1829.297394
20,float,10000,10000,10000,1.092063,1831.396600
20,float,10000,10000,10000,1.100817,1816.832559
22,float,10000,10000,10000,1.054049,1897.445716
22,float,10000,10000,10000,1.058278,1889.863404
22,float,10000,10000,10000,1.058535,1889.403362
22,float,10000,10000,10000,1.056509,1893.027475
22,float,10000,10000,10000,1.057089,1891.987644
22,float,10000,10000,10000,1.059112,1888.373579
22,float,10000,10000,10000,1.056680,1892.721123
22,float,10000,10000,10000,1.060202,1886.432194
22,float,10000,10000,10000,1.058088,1890.202055
22,float,10000,10000,10000,1.059208,1888.203233
24,float,10000,10000,10000,0.959986,2083.363987
24,float,10000,10000,10000,0.957765,2088.195928
24,float,10000,10000,10000,0.958548,2086.489573
24,float,10000,10000,10000,0.951517,2101.907275
24,float,10000,10000,10000,0.956529,2090.892705
24,float,10000,10000,10000,0.990481,2019.219970
24,float,10000,10000,10000,0.958005,2087.672025
24,float,10000,10000,10000,0.956900,2090.082545
24,float,10000,10000,10000,0.956229,2091.549891
24,float,10000,10000,10000,0.960129,2083.054156
26,float,10000,10000,10000,0.914744,2186.403742
26,float,10000,10000,10000,0.951885,2101.094366
26,float,10000,10000,10000,0.927555,2156.206989
26,float,10000,10000,10000,0.951646,2101.622371
26,float,10000,10000,10000,0.918907,2176.498648
26,float,10000,10000,10000,0.952074,2100.678048
26,float,10000,10000,10000,0.914736,2186.422156
26,float,10000,10000,10000,0.919243,2175.703461
26,float,10000,10000,10000,0.928273,2154.537998
26,float,10000,10000,10000,0.919517,2175.054261
28,float,10000,10000,10000,0.930868,2148.532829
28,float,10000,10000,10000,0.939329,2129.180575
28,float,10000,10000,10000,0.932991,2143.643913
28,float,10000,10000,10000,0.930969,2148.299065
28,float,10000,10000,10000,0.935729,2137.370940
28,float,10000,10000,10000,0.931142,2147.900894
28,float,10000,10000,10000,0.943969,2118.713765
28,float,10000,10000,10000,0.931143,2147.896698
28,float,10000,10000,10000,0.930741,2148.826057
28,float,10000,10000,10000,0.932168,2145.536262
30,float,10000,10000,10000,0.927692,2155.888585
30,float,10000,10000,10000,0.932897,2143.858453
30,float,10000,10000,10000,0.909614,2198.734650
30,float,10000,10000,10000,0.908292,2201.935962
30,float,10000,10000,10000,0.927735,2155.787608
30,float,10000,10000,10000,0.908254,2202.028071
30,float,10000,10000,10000,0.911202,2194.903615
30,float,10000,10000,10000,0.912574,2191.602059
30,float,10000,10000,10000,0.929203,2152.381640
30,float,10000,10000,10000,0.913397,2189.627225
32,float,10000,10000,10000,0.760972,2628.218075
32,float,10000,10000,10000,0.760400,2630.195994
32,float,10000,10000,10000,0.764535,2615.967969
32,float,10000,10000,10000,0.773383,2586.039714
32,float,10000,10000,10000,0.761338,2626.953460
32,float,10000,10000,10000,0.765227,2613.602319
32,float,10000,10000,10000,0.767143,2607.077132
32,float,10000,10000,10000,0.769506,2599.068411
32,float,10000,10000,10000,0.778271,2569.797707
32,float,10000,10000,10000,0.788908,2535.149059
36,float,10000,10000,10000,0.789582,2532.986257
36,float,10000,10000,10000,0.780145,2563.626955
36,float,10000,10000,10000,0.767756,2604.995964
36,float,10000,10000,10000,0.778206,2570.014580
36,float,10000,10000,10000,0.776094,2577.007929
36,float,10000,10000,10000,0.794836,2516.243911
36,float,10000,10000,10000,0.783515,2552.599754
36,float,10000,10000,10000,0.780911,2561.109858
36,float,10000,10000,10000,0.788288,2537.143180
36,float,10000,10000,10000,0.800476,2498.513032
40,float,10000,10000,10000,0.706982,2828.925201
40,float,10000,10000,10000,0.707003,2828.844063
40,float,10000,10000,10000,0.721553,2771.797959
40,float,10000,10000,10000,0.709415,2819.225733
40,float,10000,10000,10000,0.717091,2789.048120
40,float,10000,10000,10000,0.705441,2835.107346
40,float,10000,10000,10000,0.713226,2804.162073
40,float,10000,10000,10000,0.719614,2779.267871
40,float,10000,10000,10000,0.705332,2835.544929
40,float,10000,10000,10000,0.697042,2869.268427
44,float,10000,10000,10000,0.677065,2953.924265
44,float,10000,10000,10000,0.675366,2961.356732
44,float,10000,10000,10000,0.695107,2877.253408
44,float,10000,10000,10000,0.678495,2947.700920
44,float,10000,10000,10000,0.697754,2866.341364
44,float,10000,10000,10000,0.676424,2956.726124
44,float,10000,10000,10000,0.682988,2928.310336
44,float,10000,10000,10000,0.710295,2815.732626
44,float,10000,10000,10000,0.704661,2838.246094
44,float,10000,10000,10000,0.678881,2946.026197
48,float,10000,10000,10000,0.629387,3177.694708
48,float,10000,10000,10000,0.670445,2983.092954
48,float,10000,10000,10000,0.628379,3182.791142
48,float,10000,10000,10000,0.624505,3202.537332
48,float,10000,10000,10000,0.641102,3119.629733
48,float,10000,10000,10000,0.632852,3160.297606
48,float,10000,10000,10000,0.628164,3183.881997
48,float,10000,10000,10000,0.679902,2941.602129
48,float,10000,10000,10000,0.628485,3182.254947
48,float,10000,10000,10000,0.632155,3163.778652
52,float,10000,10000,10000,0.602031,3322.086487
52,float,10000,10000,10000,0.594661,3363.262621
52,float,10000,10000,10000,0.592960,3372.910287
52,float,10000,10000,10000,0.603540,3313.780597
52,float,10000,10000,10000,0.596564,3352.533224
52,float,10000,10000,10000,0.594172,3366.028613
52,float,10000,10000,10000,0.598869,3339.626068
52,float,10000,10000,10000,0.594452,3364.442958
52,float,10000,10000,10000,0.592545,3375.269202
52,float,10000,10000,10000,0.597708,3346.114700
56,float,10000,10000,10000,0.670182,2984.261999
56,float,10000,10000,10000,0.620538,3223.011965
56,float,10000,10000,10000,0.621110,3220.043037
56,float,10000,10000,10000,0.674673,2964.399603
56,float,10000,10000,10000,0.619735,3227.187959
56,float,10000,10000,10000,0.620130,3225.130631
56,float,10000,10000,10000,0.618745,3232.347315
56,float,10000,10000,10000,0.655265,3052.201862
56,float,10000,10000,10000,0.620083,3225.376743
56,float,10000,10000,10000,0.679343,2944.022630
60,float,10000,10000,10000,0.623886,3205.715021
60,float,10000,10000,10000,0.624297,3203.604034
60,float,10000,10000,10000,0.627540,3187.046344
60,float,10000,10000,10000,0.625117,3199.402009
60,float,10000,10000,10000,0.627178,3188.885916
60,float,10000,10000,10000,0.624475,3202.692783
60,float,10000,10000,10000,0.627055,3189.511081
60,float,10000,10000,10000,0.624030,3204.975825
60,float,10000,10000,10000,0.624719,3201.438906
60,float,10000,10000,10000,0.626775,3190.939977
64,float,10000,10000,10000,0.604168,3310.334991
64,float,10000,10000,10000,0.602738,3318.192603
64,float,10000,10000,10000,0.602049,3321.986055
64,float,10000,10000,10000,0.601424,3325.442999
64,float,10000,10000,10000,0.601480,3325.130204
64,float,10000,10000,10000,0.656226,3047.728956
64,float,10000,10000,10000,0.663577,3013.966546
64,float,10000,10000,10000,0.656455,3046.667280
64,float,10000,10000,10000,0.602627,3318.801838
64,float,10000,10000,10000,0.654435,3056.071249
