threads,type,n,m,k,time,GFlops
1,float,20000,20000,20000,249.463971,64.137518
1,float,20000,20000,20000,249.421461,64.148450
1,float,20000,20000,20000,249.490786,64.130625
1,float,20000,20000,20000,247.991027,64.518463
1,float,20000,20000,20000,247.551395,64.633043
2,float,20000,20000,20000,127.056728,125.928003
2,float,20000,20000,20000,126.951000,126.032879
2,float,20000,20000,20000,126.156144,126.826958
2,float,20000,20000,20000,126.896548,126.086960
2,float,20000,20000,20000,127.113413,125.871846
3,float,20000,20000,20000,126.976220,126.007846
3,float,20000,20000,20000,126.354084,126.628277
3,float,20000,20000,20000,125.928235,127.056494
3,float,20000,20000,20000,126.588780,126.393508
3,float,20000,20000,20000,126.325442,126.656988
4,float,20000,20000,20000,85.399221,187.355339
4,float,20000,20000,20000,85.563313,186.996031
4,float,20000,20000,20000,86.008839,186.027393
4,float,20000,20000,20000,85.455267,187.232462
4,float,20000,20000,20000,85.673799,186.754880
5,float,20000,20000,20000,65.181829,245.467185
5,float,20000,20000,20000,64.445663,248.271167
5,float,20000,20000,20000,64.619664,247.602648
5,float,20000,20000,20000,64.778619,246.995078
5,float,20000,20000,20000,64.968159,246.274487
6,float,20000,20000,20000,44.675217,358.140398
6,float,20000,20000,20000,44.583620,358.876197
6,float,20000,20000,20000,44.664283,358.228075
6,float,20000,20000,20000,44.613769,358.633680
6,float,20000,20000,20000,44.246240,361.612644
7,float,20000,20000,20000,44.624543,358.547090
7,float,20000,20000,20000,44.971437,355.781383
7,float,20000,20000,20000,44.528699,359.318830
7,float,20000,20000,20000,44.357052,360.709276
7,float,20000,20000,20000,44.434890,360.077411
8,float,20000,20000,20000,34.165085,468.314369
8,float,20000,20000,20000,34.020815,470.300311
8,float,20000,20000,20000,34.379222,465.397382
8,float,20000,20000,20000,34.061334,469.740847
8,float,20000,20000,20000,34.232326,467.394471
9,float,20000,20000,20000,34.359488,465.664684
9,float,20000,20000,20000,34.164615,468.320808
9,float,20000,20000,20000,34.243868,467.236939
9,float,20000,20000,20000,34.210914,467.687010
9,float,20000,20000,20000,34.214892,467.632635
10,float,20000,20000,20000,30.653874,521.956870
10,float,20000,20000,20000,30.620437,522.526836
10,float,20000,20000,20000,30.764057,520.087444
10,float,20000,20000,20000,30.740471,520.486500
10,float,20000,20000,20000,30.814747,519.231916
