threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.017920,892.840402
64,float,2000,2000,2000,0.020171,793.223098
64,float,2000,2000,2000,0.018219,878.198867
64,float,2000,2000,2000,0.018952,844.243287
64,float,2000,2000,2000,0.018656,857.621303
64,float,2000,2000,2000,0.019219,832.493426
64,float,2000,2000,2000,0.018412,869.018161
64,float,2000,2000,2000,0.018309,873.904867
64,float,2000,2000,2000,0.018735,854.029356
64,float,2000,2000,2000,0.017750,901.412564
64,float,2000,2000,2000,0.018467,866.389805
64,float,2000,2000,2000,0.018294,874.612683
64,float,2000,2000,2000,0.018245,876.959127
64,float,2000,2000,2000,0.018768,852.532044
64,float,2000,2000,2000,0.019081,838.519401
64,float,2500,2500,2500,0.025867,1208.098785
64,float,2500,2500,2500,0.022452,1391.849197
64,float,2500,2500,2500,0.026203,1192.610122
64,float,2500,2500,2500,0.024459,1277.622714
64,float,2500,2500,2500,0.025424,1229.176327
64,float,2500,2500,2500,0.022642,1380.206470
64,float,2500,2500,2500,0.022731,1374.795222
64,float,2500,2500,2500,0.024846,1257.764685
64,float,2500,2500,2500,0.023334,1339.230748
64,float,2500,2500,2500,0.023812,1312.379608
64,float,2500,2500,2500,0.023737,1316.500772
64,float,2500,2500,2500,0.022794,1371.002787
64,float,2500,2500,2500,0.024695,1265.441525
64,float,2500,2500,2500,0.023714,1317.780071
64,float,2500,2500,2500,0.023091,1353.324425
64,float,3000,3000,3000,0.034657,1558.139194
64,float,3000,3000,3000,0.030557,1767.201159
64,float,3000,3000,3000,0.034849,1549.531729
64,float,3000,3000,3000,0.034114,1582.918225
64,float,3000,3000,3000,0.036640,1473.794260
64,float,3000,3000,3000,0.034031,1586.786651
64,float,3000,3000,3000,0.035245,1532.127740
64,float,3000,3000,3000,0.033071,1632.871814
64,float,3000,3000,3000,0.036167,1493.058316
64,float,3000,3000,3000,0.032673,1652.758955
64,float,3000,3000,3000,0.032193,1677.370777
64,float,3000,3000,3000,0.033760,1599.509768
64,float,3000,3000,3000,0.034154,1581.064562
64,float,3000,3000,3000,0.031116,1735.418205
64,float,3000,3000,3000,0.035635,1515.359643
64,float,3500,3500,3500,0.046248,1854.127578
64,float,3500,3500,3500,0.046807,1832.006441
64,float,3500,3500,3500,0.046373,1849.119962
64,float,3500,3500,3500,0.047505,1805.074822
64,float,3500,3500,3500,0.045941,1866.505116
64,float,3500,3500,3500,0.048489,1768.445719
64,float,3500,3500,3500,0.044846,1912.094409
64,float,3500,3500,3500,0.047932,1788.974713
64,float,3500,3500,3500,0.043012,1993.612906
64,float,3500,3500,3500,0.046641,1838.524978
64,float,3500,3500,3500,0.045589,1880.945474
64,float,3500,3500,3500,0.048030,1785.345951
64,float,3500,3500,3500,0.048092,1783.056707
64,float,3500,3500,3500,0.047632,1800.245514
64,float,3500,3500,3500,0.047834,1792.649135
64,float,4000,4000,4000,0.064053,1998.344621
64,float,4000,4000,4000,0.063720,2008.797024
64,float,4000,4000,4000,0.067305,1901.777020
64,float,4000,4000,4000,0.062892,2035.226107
64,float,4000,4000,4000,0.062279,2055.277887
64,float,4000,4000,4000,0.066649,1920.500262
64,float,4000,4000,4000,0.064897,1972.343674
64,float,4000,4000,4000,0.063792,2006.536732
64,float,4000,4000,4000,0.066527,1924.024771
64,float,4000,4000,4000,0.065785,1945.745146
64,float,4000,4000,4000,0.062811,2037.867884
64,float,4000,4000,4000,0.066923,1912.654679
64,float,4000,4000,4000,0.067176,1905.436860
64,float,4000,4000,4000,0.064556,1982.765462
64,float,4000,4000,4000,0.068638,1864.848405
64,float,4500,4500,4500,0.081217,2243.984156
64,float,4500,4500,4500,0.082674,2204.447301
64,float,4500,4500,4500,0.081182,2244.954534
64,float,4500,4500,4500,0.081417,2238.486854
64,float,4500,4500,4500,0.082233,2216.251982
64,float,4500,4500,4500,0.078019,2335.956389
64,float,4500,4500,4500,0.078782,2313.359019
64,float,4500,4500,4500,0.083980,2170.147675
64,float,4500,4500,4500,0.080966,2250.942061
