threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.025943,616.740187
64,float,2000,2000,2000,0.024320,657.896712
64,float,2000,2000,2000,0.024708,647.572113
64,float,2000,2000,2000,0.024357,656.895240
64,float,2000,2000,2000,0.024852,643.814394
64,float,2000,2000,2000,0.024643,649.277105
64,float,2000,2000,2000,0.024232,660.275502
64,float,2000,2000,2000,0.023950,668.053741
64,float,2000,2000,2000,0.024889,642.851613
64,float,2000,2000,2000,0.024934,641.685605
64,float,2000,2000,2000,0.024955,641.144648
64,float,2000,2000,2000,0.024501,653.036329
64,float,2000,2000,2000,0.025260,633.419255
64,float,2000,2000,2000,0.024239,660.087329
64,float,2000,2000,2000,0.024984,640.414374
64,float,2500,2500,2500,0.032885,950.291571
64,float,2500,2500,2500,0.032490,961.844091
64,float,2500,2500,2500,0.032998,947.014838
64,float,2500,2500,2500,0.032700,955.652875
64,float,2500,2500,2500,0.033170,942.109554
64,float,2500,2500,2500,0.032470,962.421906
64,float,2500,2500,2500,0.032547,960.136928
64,float,2500,2500,2500,0.033076,944.795179
64,float,2500,2500,2500,0.033530,932.009615
64,float,2500,2500,2500,0.033763,925.564942
64,float,2500,2500,2500,0.032691,955.913835
64,float,2500,2500,2500,0.032682,956.175786
64,float,2500,2500,2500,0.033717,926.845411
64,float,2500,2500,2500,0.032746,954.323686
64,float,2500,2500,2500,0.031962,977.726269
64,float,3000,3000,3000,0.043825,1232.166697
64,float,3000,3000,3000,0.044906,1202.500613
64,float,3000,3000,3000,0.042611,1267.268588
64,float,3000,3000,3000,0.041777,1292.577194
64,float,3000,3000,3000,0.042478,1271.235159
64,float,3000,3000,3000,0.042944,1257.451565
64,float,3000,3000,3000,0.041521,1300.534496
64,float,3000,3000,3000,0.043907,1229.885731
64,float,3000,3000,3000,0.041889,1289.131743
64,float,3000,3000,3000,0.045340,1190.999957
64,float,3000,3000,3000,0.045317,1191.603196
64,float,3000,3000,3000,0.042292,1276.841544
64,float,3000,3000,3000,0.042610,1267.300619
64,float,3000,3000,3000,0.046629,1158.074785
64,float,3000,3000,3000,0.043594,1238.705387
64,float,3500,3500,3500,0.064059,1338.610680
64,float,3500,3500,3500,0.063645,1347.325427
64,float,3500,3500,3500,0.057315,1496.117736
64,float,3500,3500,3500,0.057001,1504.371713
64,float,3500,3500,3500,0.058549,1464.580041
64,float,3500,3500,3500,0.058708,1460.616416
64,float,3500,3500,3500,0.056298,1523.147427
64,float,3500,3500,3500,0.061242,1400.186676
64,float,3500,3500,3500,0.061784,1387.896118
64,float,3500,3500,3500,0.056519,1517.187997
64,float,3500,3500,3500,0.056862,1508.043181
64,float,3500,3500,3500,0.057108,1501.539678
64,float,3500,3500,3500,0.064160,1336.504764
64,float,3500,3500,3500,0.055281,1551.166339
64,float,3500,3500,3500,0.061749,1388.690999
64,float,4000,4000,4000,0.068941,1856.670277
64,float,4000,4000,4000,0.077223,1657.542199
64,float,4000,4000,4000,0.069522,1841.133165
64,float,4000,4000,4000,0.067369,1899.977129
64,float,4000,4000,4000,0.077283,1656.242796
64,float,4000,4000,4000,0.079209,1615.978125
64,float,4000,4000,4000,0.069527,1841.004150
64,float,4000,4000,4000,0.069140,1851.307709
64,float,4000,4000,4000,0.070896,1805.457905
64,float,4000,4000,4000,0.068710,1862.906499
64,float,4000,4000,4000,0.078279,1635.169533
64,float,4000,4000,4000,0.068860,1858.850510
64,float,4000,4000,4000,0.068391,1871.591620
64,float,4000,4000,4000,0.068050,1880.966337
64,float,4000,4000,4000,0.078231,1636.173045
64,float,4500,4500,4500,0.094077,1937.247715
64,float,4500,4500,4500,0.099842,1825.384454
64,float,4500,4500,4500,0.089921,2026.784787
64,float,4500,4500,4500,0.095388,1910.610537
64,float,4500,4500,4500,0.097808,1863.338568
64,float,4500,4500,4500,0.087049,2093.658482
64,float,4500,4500,4500,0.087332,2086.867506
64,float,4500,4500,4500,0.089160,2044.073591
64,float,4500,4500,4500,0.096363,1891.277223
64,float,4500,4500,4500,0.095098,1916.438870
64,float,4500,4500,4500,0.100320,1816.678581
64,float,4500,4500,4500,0.099643,1829.023303
64,float,4500,4500,4500,0.089420,2038.129152
64,float,4500,4500,4500,0.100296,1817.120959
64,float,4500,4500,4500,0.088423,2061.124155
64,float,5000,5000,5000,0.112288,2226.417525
64,float,5000,5000,5000,0.110653,2259.309133
64,float,5000,5000,5000,0.113607,2200.569440
64,float,5000,5000,5000,0.111710,2237.928942
64,float,5000,5000,5000,0.115568,2163.221631
64,float,5000,5000,5000,0.121503,2057.564719
64,float,5000,5000,5000,0.111975,2232.647675
64,float,5000,5000,5000,0.113476,2203.113435
64,float,5000,5000,5000,0.121498,2057.655152
64,float,5000,5000,5000,0.119886,2085.308381
64,float,5000,5000,5000,0.113230,2207.897813
64,float,5000,5000,5000,0.112717,2217.935279
64,float,5000,5000,5000,0.114338,2186.499696
64,float,5000,5000,5000,0.113056,2211.283895
64,float,5000,5000,5000,0.117809,2122.079391
64,float,5500,5500,5500,0.147029,2263.162278
64,float,5500,5500,5500,0.152646,2179.886544
64,float,5500,5500,5500,0.150746,2207.357454
64,float,5500,5500,5500,0.152671,2179.521790
64,float,5500,5500,5500,0.153318,2170.330838
64,float,5500,5500,5500,0.153870,2162.536222
64,float,5500,5500,5500,0.147402,2257.435962
64,float,5500,5500,5500,0.146651,2268.986073
64,float,5500,5500,5500,0.152823,2177.355503
64,float,5500,5500,5500,0.149064,2232.267355
64,float,5500,5500,5500,0.151063,2202.729827
64,float,5500,5500,5500,0.152660,2179.680135
64,float,5500,5500,5500,0.150000,2218.336853
64,float,5500,5500,5500,0.152743,2178.496461
64,float,5500,5500,5500,0.148515,2240.517006
64,float,6000,6000,6000,0.180189,2397.486009
64,float,6000,6000,6000,0.181344,2382.215648
64,float,6000,6000,6000,0.182289,2369.864292
64,float,6000,6000,6000,0.181478,2380.459548
64,float,6000,6000,6000,0.178072,2425.980989
64,float,6000,6000,6000,0.187026,2309.837643
64,float,6000,6000,6000,0.180496,2393.410369
64,float,6000,6000,6000,0.175900,2455.947089
64,float,6000,6000,6000,0.180095,2398.734561
64,float,6000,6000,6000,0.182393,2368.515962
64,float,6000,6000,6000,0.178776,2416.429533
64,float,6000,6000,6000,0.176985,2440.883166
64,float,6000,6000,6000,0.177613,2432.249603
64,float,6000,6000,6000,0.184712,2338.775762
64,float,6000,6000,6000,0.174707,2472.715516
64,float,6500,6500,6500,0.250120,2195.949589
64,float,6500,6500,6500,0.246385,2229.233305
64,float,6500,6500,6500,0.243359,2256.949916
64,float,6500,6500,6500,0.237502,2312.611919
64,float,6500,6500,6500,0.240746,2281.446672
64,float,6500,6500,6500,0.241005,2279.002484
64,float,6500,6500,6500,0.242588,2264.128195
64,float,6500,6500,6500,0.236148,2325.869665
64,float,6500,6500,6500,0.238300,2304.867736
64,float,6500,6500,6500,0.244983,2241.993024
64,float,6500,6500,6500,0.241663,2272.796330
64,float,6500,6500,6500,0.242435,2265.558071
64,float,6500,6500,6500,0.246699,2226.395338
64,float,6500,6500,6500,0.241860,2270.939999
64,float,6500,6500,6500,0.239887,2289.620211
64,float,7000,7000,7000,0.291452,2353.729205
64,float,7000,7000,7000,0.291073,2356.800048
64,float,7000,7000,7000,0.290539,2361.126978
64,float,7000,7000,7000,0.293353,2338.481126
64,float,7000,7000,7000,0.289346,2370.866243
64,float,7000,7000,7000,0.284663,2409.867106
64,float,7000,7000,7000,0.290205,2363.847876
64,float,7000,7000,7000,0.292968,2341.549776
64,float,7000,7000,7000,0.290661,2360.139655
64,float,7000,7000,7000,0.289211,2371.969842
64,float,7000,7000,7000,0.286809,2391.837291
64,float,7000,7000,7000,0.284713,2409.439724
64,float,7000,7000,7000,0.287978,2382.128290
64,float,7000,7000,7000,0.289344,2370.883442
64,float,7000,7000,7000,0.287395,2386.954953
64,float,7500,7500,7500,0.390371,2161.406761
64,float,7500,7500,7500,0.392477,2149.809175
64,float,7500,7500,7500,0.388483,2171.907094
64,float,7500,7500,7500,0.389701,2165.122671
64,float,7500,7500,7500,0.390795,2159.062874
64,float,7500,7500,7500,0.383525,2199.986114
64,float,7500,7500,7500,0.393485,2144.299049
64,float,7500,7500,7500,0.387394,2178.017025
64,float,7500,7500,7500,0.384281,2195.660774
64,float,7500,7500,7500,0.385782,2187.118370
