threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.017882,894.779271
64,float,2000,2000,2000,0.017641,906.962896
64,float,2000,2000,2000,0.017434,917.744036
64,float,2000,2000,2000,0.018936,844.929819
64,float,2000,2000,2000,0.017739,901.954756
64,float,2000,2000,2000,0.017647,906.691936
64,float,2000,2000,2000,0.019228,832.137266
64,float,2000,2000,2000,0.017738,902.042371
64,float,2000,2000,2000,0.017610,908.553675
64,float,2000,2000,2000,0.018293,874.644286
64,float,2000,2000,2000,0.018649,857.934148
64,float,2000,2000,2000,0.018088,884.571003
64,float,2000,2000,2000,0.018828,849.781203
64,float,2000,2000,2000,0.018169,880.623261
64,float,2000,2000,2000,0.018754,853.139546
64,float,2500,2500,2500,0.027393,1140.821885
64,float,2500,2500,2500,0.027607,1131.947641
64,float,2500,2500,2500,0.027389,1140.954589
64,float,2500,2500,2500,0.027332,1143.341386
64,float,2500,2500,2500,0.027509,1135.995987
64,float,2500,2500,2500,0.034215,913.329021
64,float,2500,2500,2500,0.029617,1055.145304
64,float,2500,2500,2500,0.027052,1155.195337
64,float,2500,2500,2500,0.028058,1113.757319
64,float,2500,2500,2500,0.027609,1131.888274
64,float,2500,2500,2500,0.028254,1106.026887
64,float,2500,2500,2500,0.030120,1037.504820
64,float,2500,2500,2500,0.028056,1113.847235
64,float,2500,2500,2500,0.029539,1057.914864
64,float,2500,2500,2500,0.030477,1025.356256
64,float,3000,3000,3000,0.037960,1422.537649
64,float,3000,3000,3000,0.043230,1249.127288
64,float,3000,3000,3000,0.037189,1452.049103
64,float,3000,3000,3000,0.036852,1465.314182
64,float,3000,3000,3000,0.037540,1438.478397
64,float,3000,3000,3000,0.037175,1452.599382
64,float,3000,3000,3000,0.037720,1431.598616
64,float,3000,3000,3000,0.037635,1434.823921
64,float,3000,3000,3000,0.051008,1058.656739
64,float,3000,3000,3000,0.037789,1429.001263
64,float,3000,3000,3000,0.037145,1453.774455
