threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.020013,799.473547
64,float,2000,2000,2000,0.020210,791.681878
64,float,2000,2000,2000,0.022367,715.330800
64,float,2000,2000,2000,0.020930,764.467621
64,float,2000,2000,2000,0.020814,768.722156
64,float,2000,2000,2000,0.021789,734.320839
64,float,2000,2000,2000,0.020200,792.060740
64,float,2000,2000,2000,0.020973,762.878667
64,float,2000,2000,2000,0.020724,772.033734
64,float,2000,2000,2000,0.020650,774.799904
64,float,2000,2000,2000,0.021497,744.275256
64,float,2000,2000,2000,0.021437,746.360211
64,float,2000,2000,2000,0.022451,712.675799
64,float,2000,2000,2000,0.021396,747.791619
64,float,2000,2000,2000,0.022480,711.735889
64,float,2500,2500,2500,0.027034,1155.971862
64,float,2500,2500,2500,0.027655,1129.982032
64,float,2500,2500,2500,0.025526,1224.250918
64,float,2500,2500,2500,0.025836,1209.569744
64,float,2500,2500,2500,0.028660,1090.352657
64,float,2500,2500,2500,0.026184,1193.480716
64,float,2500,2500,2500,0.026031,1200.503758
64,float,2500,2500,2500,0.025881,1207.458904
64,float,2500,2500,2500,0.026418,1182.900804
64,float,2500,2500,2500,0.028582,1093.331118
64,float,2500,2500,2500,0.025989,1202.436795
64,float,2500,2500,2500,0.028904,1081.163067
64,float,2500,2500,2500,0.026807,1165.742683
64,float,2500,2500,2500,0.026778,1166.981322
64,float,2500,2500,2500,0.025973,1203.161778
64,float,3000,3000,3000,0.036929,1462.265864
64,float,3000,3000,3000,0.035270,1531.046736
64,float,3000,3000,3000,0.031638,1706.834218
64,float,3000,3000,3000,0.037821,1427.775463
64,float,3000,3000,3000,0.037310,1447.324077
64,float,3000,3000,3000,0.035824,1507.350890
64,float,3000,3000,3000,0.037466,1441.312401
64,float,3000,3000,3000,0.036812,1466.917386
64,float,3000,3000,3000,0.033382,1617.645711
64,float,3000,3000,3000,0.037411,1443.441125
64,float,3000,3000,3000,0.037049,1457.516905
64,float,3000,3000,3000,0.036758,1469.066839
64,float,3000,3000,3000,0.038232,1412.429674
64,float,3000,3000,3000,0.037112,1455.067907
64,float,3000,3000,3000,0.037971,1422.125101
64,float,3500,3500,3500,0.048259,1776.869715
64,float,3500,3500,3500,0.046590,1840.519214
64,float,3500,3500,3500,0.048661,1762.196920
64,float,3500,3500,3500,0.046584,1840.775673
64,float,3500,3500,3500,0.050165,1709.373052
64,float,3500,3500,3500,0.049139,1745.032107
64,float,3500,3500,3500,0.049838,1720.572694
64,float,3500,3500,3500,0.045402,1888.698710
64,float,3500,3500,3500,0.049163,1744.190564
64,float,3500,3500,3500,0.046184,1856.723400
64,float,3500,3500,3500,0.048107,1782.483025
64,float,3500,3500,3500,0.048324,1774.486685
