threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.030151,530.664163
64,float,2000,2000,2000,0.027397,584.014991
64,float,2000,2000,2000,0.026756,597.990498
64,float,2000,2000,2000,0.027604,579.636094
64,float,2000,2000,2000,0.026707,599.099389
64,float,2000,2000,2000,0.026907,594.634833
64,float,2000,2000,2000,0.027139,589.553401
64,float,2000,2000,2000,0.026412,605.777612
64,float,2000,2000,2000,0.026534,602.990744
64,float,2000,2000,2000,0.026830,596.339349
64,float,2000,2000,2000,0.026450,604.905146
64,float,2000,2000,2000,0.027519,581.412166
64,float,2000,2000,2000,0.027020,592.161061
64,float,2000,2000,2000,0.030057,532.324826
64,float,2000,2000,2000,0.026594,601.647929
64,float,2500,2500,2500,0.035740,874.376790
64,float,2500,2500,2500,0.036341,859.916801
64,float,2500,2500,2500,0.035599,877.821934
64,float,2500,2500,2500,0.035485,880.656776
64,float,2500,2500,2500,0.036649,852.685799
64,float,2500,2500,2500,0.037328,837.175253
64,float,2500,2500,2500,0.034636,902.242553
64,float,2500,2500,2500,0.036074,866.266571
64,float,2500,2500,2500,0.036020,867.579279
64,float,2500,2500,2500,0.035841,871.905308
64,float,2500,2500,2500,0.037250,838.915072
64,float,2500,2500,2500,0.035450,881.516658
64,float,2500,2500,2500,0.036006,867.914809
64,float,2500,2500,2500,0.037204,839.969654
64,float,2500,2500,2500,0.035983,868.474208
64,float,3000,3000,3000,0.048342,1117.050256
64,float,3000,3000,3000,0.047540,1135.878187
64,float,3000,3000,3000,0.044310,1218.688755
64,float,3000,3000,3000,0.045591,1184.453053
64,float,3000,3000,3000,0.044736,1207.093175
64,float,3000,3000,3000,0.045256,1193.214165
64,float,3000,3000,3000,0.045353,1190.651848
64,float,3000,3000,3000,0.045158,1195.793729
64,float,3000,3000,3000,0.048895,1104.406252
64,float,3000,3000,3000,0.044373,1216.968626
64,float,3000,3000,3000,0.047424,1138.653043
64,float,3000,3000,3000,0.049431,1092.427963
64,float,3000,3000,3000,0.049277,1095.841373
64,float,3000,3000,3000,0.045499,1186.841097
64,float,3000,3000,3000,0.047735,1131.243924
64,float,3500,3500,3500,0.063235,1356.061332
64,float,3500,3500,3500,0.057438,1492.913423
64,float,3500,3500,3500,0.058435,1467.430152
64,float,3500,3500,3500,0.066070,1297.868964
64,float,3500,3500,3500,0.058792,1458.532592
64,float,3500,3500,3500,0.062974,1361.678823
