threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.024727,647.069598
64,float,2000,2000,2000,0.022577,708.670544
64,float,2000,2000,2000,0.023063,693.744136
64,float,2000,2000,2000,0.023545,679.556639
64,float,2000,2000,2000,0.021544,742.666137
64,float,2000,2000,2000,0.021797,734.029603
64,float,2000,2000,2000,0.021399,747.709427
64,float,2000,2000,2000,0.021197,754.825256
64,float,2000,2000,2000,0.021051,760.047134
64,float,2000,2000,2000,0.022188,721.105960
64,float,2000,2000,2000,0.021106,758.091992
64,float,2000,2000,2000,0.022483,711.633229
64,float,2000,2000,2000,0.021457,745.666733
64,float,2000,2000,2000,0.022571,708.888729
64,float,2000,2000,2000,0.022059,725.325295
64,float,2500,2500,2500,0.028472,1097.576828
64,float,2500,2500,2500,0.031058,1006.186291
64,float,2500,2500,2500,0.029408,1062.644581
64,float,2500,2500,2500,0.029752,1050.357747
64,float,2500,2500,2500,0.031222,1000.888597
64,float,2500,2500,2500,0.030226,1033.889851
64,float,2500,2500,2500,0.031944,978.280636
64,float,2500,2500,2500,0.029128,1072.858268
64,float,2500,2500,2500,0.030453,1026.163289
64,float,2500,2500,2500,0.032802,952.688745
64,float,2500,2500,2500,0.028678,1089.683763
64,float,2500,2500,2500,0.031050,1006.434968
64,float,2500,2500,2500,0.029192,1070.480468
64,float,2500,2500,2500,0.030859,1012.678574
64,float,2500,2500,2500,0.030135,1036.986470
64,float,3000,3000,3000,0.039759,1358.167100
64,float,3000,3000,3000,0.043735,1234.695661
64,float,3000,3000,3000,0.040038,1348.710835
64,float,3000,3000,3000,0.039365,1371.766505
64,float,3000,3000,3000,0.040116,1346.096690
64,float,3000,3000,3000,0.040324,1339.148943
64,float,3000,3000,3000,0.039078,1381.835946
64,float,3000,3000,3000,0.039047,1382.943973
64,float,3000,3000,3000,0.042315,1276.135401
64,float,3000,3000,3000,0.040292,1340.219214
64,float,3000,3000,3000,0.040416,1336.093571
64,float,3000,3000,3000,0.043128,1252.072847
64,float,3000,3000,3000,0.038507,1402.355760
64,float,3000,3000,3000,0.040389,1337.002332
64,float,3000,3000,3000,0.041667,1295.993551
64,float,3500,3500,3500,0.058471,1466.537313
64,float,3500,3500,3500,0.053666,1597.845966
64,float,3500,3500,3500,0.053982,1588.480013
64,float,3500,3500,3500,0.052222,1642.038609
64,float,3500,3500,3500,0.054709,1567.378752
64,float,3500,3500,3500,0.059420,1443.124665
64,float,3500,3500,3500,0.055297,1550.720935
64,float,3500,3500,3500,0.054711,1567.334490
64,float,3500,3500,3500,0.059053,1452.074473
64,float,3500,3500,3500,0.060178,1424.933474
64,float,3500,3500,3500,0.052713,1626.723383
64,float,3500,3500,3500,0.072529,1182.289602
64,float,3500,3500,3500,0.054287,1579.555195
64,float,3500,3500,3500,0.053213,1611.461625
64,float,3500,3500,3500,0.055659,1540.640119
64,float,4000,4000,4000,0.069859,1832.269708
64,float,4000,4000,4000,0.072260,1771.388527
64,float,4000,4000,4000,0.084158,1520.946071
64,float,4000,4000,4000,0.080241,1595.195908
64,float,4000,4000,4000,0.074229,1724.387438
64,float,4000,4000,4000,0.083518,1532.597107
64,float,4000,4000,4000,0.084105,1521.898943
64,float,4000,4000,4000,0.071789,1783.007189
64,float,4000,4000,4000,0.087701,1459.510244
64,float,4000,4000,4000,0.078420,1632.240920
64,float,4000,4000,4000,0.082105,1558.981919
64,float,4000,4000,4000,0.081182,1576.708993
64,float,4000,4000,4000,0.080977,1580.690209
64,float,4000,4000,4000,0.079364,1612.815086
64,float,4000,4000,4000,0.082865,1544.678852
64,float,4500,4500,4500,0.116645,1562.429929
64,float,4500,4500,4500,0.126815,1437.131823
64,float,4500,4500,4500,0.102465,1778.660379
64,float,4500,4500,4500,0.100953,1805.292458
64,float,4500,4500,4500,0.101949,1787.651521
64,float,4500,4500,4500,0.101187,1801.127889
64,float,4500,4500,4500,0.105032,1735.185996
64,float,4500,4500,4500,0.102470,1778.571160
64,float,4500,4500,4500,0.101464,1796.204465
64,float,4500,4500,4500,0.094292,1932.818660
64,float,4500,4500,4500,0.101131,1802.118116
64,float,4500,4500,4500,0.095468,1909.016674
64,float,4500,4500,4500,0.116311,1566.914672
64,float,4500,4500,4500,0.120222,1515.948615
