threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.022579,708.633100
64,float,2000,2000,2000,0.022160,722.011006
64,float,2000,2000,2000,0.023304,686.567041
64,float,2000,2000,2000,0.023229,688.805715
64,float,2000,2000,2000,0.021914,730.122728
64,float,2000,2000,2000,0.022772,702.605710
64,float,2000,2000,2000,0.023014,695.218781
64,float,2000,2000,2000,0.023442,682.542899
64,float,2000,2000,2000,0.022584,708.479033
64,float,2000,2000,2000,0.021803,733.831311
64,float,2000,2000,2000,0.023881,669.980165
64,float,2000,2000,2000,0.023782,672.764775
64,float,2000,2000,2000,0.021246,753.081055
64,float,2000,2000,2000,0.023435,682.738735
64,float,2000,2000,2000,0.023541,679.666564
64,float,2500,2500,2500,0.030005,1041.501485
64,float,2500,2500,2500,0.030992,1008.327104
64,float,2500,2500,2500,0.032010,976.244702
64,float,2500,2500,2500,0.031659,987.076063
64,float,2500,2500,2500,0.031778,983.381946
64,float,2500,2500,2500,0.030627,1020.344860
64,float,2500,2500,2500,0.030173,1035.681395
64,float,2500,2500,2500,0.031864,980.722541
64,float,2500,2500,2500,0.031965,977.622181
64,float,2500,2500,2500,0.031014,1007.595562
64,float,2500,2500,2500,0.030643,1019.815655
64,float,2500,2500,2500,0.028460,1098.039309
64,float,2500,2500,2500,0.029897,1045.264047
64,float,2500,2500,2500,0.032971,947.811583
64,float,2500,2500,2500,0.030627,1020.331767
64,float,3000,3000,3000,0.039525,1366.229301
64,float,3000,3000,3000,0.041694,1295.162745
64,float,3000,3000,3000,0.042498,1270.658226
64,float,3000,3000,3000,0.040403,1336.527105
64,float,3000,3000,3000,0.041534,1300.136765
64,float,3000,3000,3000,0.040802,1323.451562
64,float,3000,3000,3000,0.040962,1318.309230
64,float,3000,3000,3000,0.041176,1311.448305
64,float,3000,3000,3000,0.039706,1359.992716
64,float,3000,3000,3000,0.039415,1370.046243
64,float,3000,3000,3000,0.042821,1261.054780
64,float,3000,3000,3000,0.041565,1299.168099
64,float,3000,3000,3000,0.042458,1271.838048
64,float,3000,3000,3000,0.041075,1314.660544
