threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.419812,38.112308
64,float,2000,2000,2000,0.030891,517.944210
64,float,2000,2000,2000,0.031227,512.380457
64,float,2000,2000,2000,0.030652,521.985882
64,float,2000,2000,2000,0.031251,511.986697
64,float,2000,2000,2000,0.030487,524.806746
64,float,2000,2000,2000,0.031815,502.911844
64,float,2000,2000,2000,0.030386,526.562962
64,float,2000,2000,2000,0.030885,518.057778
64,float,2000,2000,2000,0.032393,493.938373
64,float,2000,2000,2000,0.030905,517.709600
64,float,2000,2000,2000,0.031488,508.127370
64,float,2000,2000,2000,0.032798,487.839637
64,float,2000,2000,2000,0.031500,507.937443
64,float,2000,2000,2000,0.031556,507.038374
64,float,2500,2500,2500,0.043161,724.025756
64,float,2500,2500,2500,0.043909,711.702908
64,float,2500,2500,2500,0.043877,712.214156
64,float,2500,2500,2500,0.043046,725.972798
64,float,2500,2500,2500,0.046352,674.185878
64,float,2500,2500,2500,0.045402,688.288999
64,float,2500,2500,2500,0.045208,691.242823
64,float,2500,2500,2500,0.041062,761.041809
64,float,2500,2500,2500,0.043955,710.957361
64,float,2500,2500,2500,0.045528,686.383646
64,float,2500,2500,2500,0.044231,706.514938
64,float,2500,2500,2500,0.044525,701.852687
64,float,2500,2500,2500,0.043985,710.474469
64,float,2500,2500,2500,0.045289,690.010133
64,float,2500,2500,2500,0.043485,718.638908
64,float,3000,3000,3000,0.058570,921.972007
64,float,3000,3000,3000,0.053253,1014.028578
64,float,3000,3000,3000,0.058967,915.768899
64,float,3000,3000,3000,0.062083,869.804393
64,float,3000,3000,3000,0.060494,892.645110
64,float,3000,3000,3000,0.053265,1013.793791
64,float,3000,3000,3000,0.061717,874.955720
64,float,3000,3000,3000,0.053311,1012.917208
64,float,3000,3000,3000,0.058591,921.646622
64,float,3000,3000,3000,0.059735,903.986853
64,float,3000,3000,3000,0.058731,919.448027
64,float,3000,3000,3000,0.060196,897.063358
64,float,3000,3000,3000,0.062306,866.689761
64,float,3000,3000,3000,0.061545,877.401415
64,float,3000,3000,3000,0.062792,859.985902
64,float,3500,3500,3500,0.070401,1218.020724
64,float,3500,3500,3500,0.072555,1181.859299
64,float,3500,3500,3500,0.077100,1112.185741
64,float,3500,3500,3500,0.076903,1115.035893
64,float,3500,3500,3500,0.076060,1127.392247
64,float,3500,3500,3500,0.075902,1129.745552
64,float,3500,3500,3500,0.074041,1158.149368
64,float,3500,3500,3500,0.071628,1197.162015
64,float,3500,3500,3500,0.068513,1251.580659
64,float,3500,3500,3500,0.077961,1099.912780
64,float,3500,3500,3500,0.076653,1118.682289
64,float,3500,3500,3500,0.074926,1144.467776
64,float,3500,3500,3500,0.077554,1105.684567
64,float,3500,3500,3500,0.081206,1055.951983
64,float,3500,3500,3500,0.073039,1174.029364
64,float,4000,4000,4000,0.090578,1413.144543
64,float,4000,4000,4000,0.089029,1437.728556
64,float,4000,4000,4000,0.095757,1336.722803
64,float,4000,4000,4000,0.093198,1373.413252
64,float,4000,4000,4000,0.092198,1388.314462
64,float,4000,4000,4000,0.091020,1406.280702
64,float,4000,4000,4000,0.089042,1437.529403
64,float,4000,4000,4000,0.098080,1305.053796
64,float,4000,4000,4000,0.083705,1529.185265
64,float,4000,4000,4000,0.087889,1456.379715
64,float,4000,4000,4000,0.092591,1382.426809
64,float,4000,4000,4000,0.096260,1329.738040
64,float,4000,4000,4000,0.083379,1535.163152
64,float,4000,4000,4000,0.096440,1327.253627
64,float,4000,4000,4000,0.091156,1404.187493
64,float,4500,4500,4500,0.111508,1634.414988
64,float,4500,4500,4500,0.107368,1697.432858
64,float,4500,4500,4500,0.114105,1597.215893
64,float,4500,4500,4500,0.110347,1651.602107
64,float,4500,4500,4500,0.116168,1568.846282
64,float,4500,4500,4500,0.115143,1582.816668
64,float,4500,4500,4500,0.108437,1680.700446
64,float,4500,4500,4500,0.113459,1606.309149
64,float,4500,4500,4500,0.107014,1703.053562
64,float,4500,4500,4500,0.116488,1564.534727
64,float,4500,4500,4500,0.116096,1569.827193
64,float,4500,4500,4500,0.112167,1624.808943
64,float,4500,4500,4500,0.119738,1522.067244
64,float,4500,4500,4500,0.112917,1614.011129
64,float,4500,4500,4500,0.114569,1590.751065
64,float,5000,5000,5000,0.149862,1668.203048
64,float,5000,5000,5000,0.148944,1678.483278
64,float,5000,5000,5000,0.151672,1648.293610
64,float,5000,5000,5000,0.151746,1647.487648
64,float,5000,5000,5000,0.153728,1626.251160
64,float,5000,5000,5000,0.158127,1581.003752
64,float,5000,5000,5000,0.151837,1646.506284
64,float,5000,5000,5000,0.163662,1527.535486
64,float,5000,5000,5000,0.158703,1575.271762
64,float,5000,5000,5000,0.152183,1642.758928
64,float,5000,5000,5000,0.154980,1613.115481
64,float,5000,5000,5000,0.153960,1623.795457
64,float,5000,5000,5000,0.154453,1618.619993
64,float,5000,5000,5000,0.148391,1684.739315
64,float,5000,5000,5000,0.158949,1572.832151
64,float,5500,5500,5500,0.183259,1815.732701
64,float,5500,5500,5500,0.170930,1946.704172
64,float,5500,5500,5500,0.183689,1811.481586
64,float,5500,5500,5500,0.191870,1734.249768
64,float,5500,5500,5500,0.180011,1848.502306
64,float,5500,5500,5500,0.173852,1913.987677
64,float,5500,5500,5500,0.185721,1791.665878
64,float,5500,5500,5500,0.168616,1973.416950
64,float,5500,5500,5500,0.174698,1904.710954
64,float,5500,5500,5500,0.179605,1852.675562
64,float,5500,5500,5500,0.180425,1844.259202
64,float,5500,5500,5500,0.178590,1863.209701
64,float,5500,5500,5500,0.189291,1757.878041
64,float,5500,5500,5500,0.173666,1916.031877
64,float,5500,5500,5500,0.187904,1770.850470
64,float,6000,6000,6000,0.205245,2104.802768
64,float,6000,6000,6000,0.220902,1955.619364
64,float,6000,6000,6000,0.220167,1962.143743
64,float,6000,6000,6000,0.218529,1976.857207
64,float,6000,6000,6000,0.223620,1931.850607
64,float,6000,6000,6000,0.207207,2084.869336
64,float,6000,6000,6000,0.209634,2060.736585
64,float,6000,6000,6000,0.216977,1990.996272
64,float,6000,6000,6000,0.223378,1933.942133
64,float,6000,6000,6000,0.227854,1895.950708
64,float,6000,6000,6000,0.234079,1845.531516
64,float,6000,6000,6000,0.230527,1873.967472
64,float,6000,6000,6000,0.220647,1957.875182
64,float,6000,6000,6000,0.222297,1943.343730
64,float,6000,6000,6000,0.226045,1911.120653
64,float,6500,6500,6500,0.253164,2169.542324
64,float,6500,6500,6500,0.263184,2086.940866
64,float,6500,6500,6500,0.260008,2112.432394
64,float,6500,6500,6500,0.261643,2099.234485
64,float,6500,6500,6500,0.258711,2123.023263
64,float,6500,6500,6500,0.240075,2287.829561
64,float,6500,6500,6500,0.252264,2177.285024
64,float,6500,6500,6500,0.263848,2081.694745
64,float,6500,6500,6500,0.241180,2277.340775
64,float,6500,6500,6500,0.248258,2212.416828
64,float,6500,6500,6500,0.254434,2158.714932
64,float,6500,6500,6500,0.265561,2068.262381
64,float,6500,6500,6500,0.262100,2095.576807
64,float,6500,6500,6500,0.275312,1995.012154
64,float,6500,6500,6500,0.253612,2165.713061
64,float,7000,7000,7000,0.320729,2138.878484
64,float,7000,7000,7000,0.307801,2228.712751
64,float,7000,7000,7000,0.309790,2214.403942
64,float,7000,7000,7000,0.324081,2116.752208
64,float,7000,7000,7000,0.318228,2155.687917
64,float,7000,7000,7000,0.307081,2233.940816
64,float,7000,7000,7000,0.302913,2264.676985
64,float,7000,7000,7000,0.290109,2364.627595
64,float,7000,7000,7000,0.321071,2136.600374
64,float,7000,7000,7000,0.318812,2151.736513
64,float,7000,7000,7000,0.315589,2173.710620
64,float,7000,7000,7000,0.303509,2260.229865
64,float,7000,7000,7000,0.321833,2131.539582
64,float,7000,7000,7000,0.313987,2184.802848
64,float,7000,7000,7000,0.307513,2230.798823
64,float,7500,7500,7500,0.374975,2250.150358
64,float,7500,7500,7500,0.396253,2129.323837
64,float,7500,7500,7500,0.387095,2179.696708
64,float,7500,7500,7500,0.390542,2160.458263
64,float,7500,7500,7500,0.388049,2174.337637
64,float,7500,7500,7500,0.419208,2012.726274
64,float,7500,7500,7500,0.368766,2288.035124
64,float,7500,7500,7500,0.362089,2330.225616
64,float,7500,7500,7500,0.404119,2087.876434
64,float,7500,7500,7500,0.364635,2313.959869
64,float,7500,7500,7500,0.443975,1900.444674
64,float,7500,7500,7500,0.389279,2167.468593
64,float,7500,7500,7500,0.397084,2124.864679
64,float,7500,7500,7500,0.381515,2211.576738
64,float,7500,7500,7500,0.408039,2067.819069
64,float,8000,8000,8000,0.469536,2180.878158
64,float,8000,8000,8000,0.470335,2177.172368
64,float,8000,8000,8000,0.488829,2094.803808
64,float,8000,8000,8000,0.482769,2121.098365
64,float,8000,8000,8000,0.480628,2130.545452
64,float,8000,8000,8000,0.458588,2232.942137
64,float,8000,8000,8000,0.497327,2059.005802
64,float,8000,8000,8000,0.477641,2143.869590
64,float,8000,8000,8000,0.468685,2184.835085
64,float,8000,8000,8000,0.453178,2259.595560
64,float,8000,8000,8000,0.463879,2207.471198
64,float,8000,8000,8000,0.472447,2167.437997
64,float,8000,8000,8000,0.505854,2024.299249
64,float,8000,8000,8000,0.478209,2141.322451
64,float,8000,8000,8000,0.467898,2188.511026
64,float,8500,8500,8500,0.593229,2070.447551
64,float,8500,8500,8500,0.570168,2154.188346
64,float,8500,8500,8500,0.613458,2002.174992
64,float,8500,8500,8500,0.614360,1999.236323
64,float,8500,8500,8500,0.582671,2107.966316
64,float,8500,8500,8500,0.582020,2110.321288
64,float,8500,8500,8500,0.626868,1959.342572
