threads,type,n,m,k,time,GFlops
64,float,2000,2000,2000,0.073928,216.428190
64,float,2000,2000,2000,0.035348,452.643478
64,float,2000,2000,2000,0.036784,434.977580
64,float,2000,2000,2000,0.036914,433.445747
64,float,2000,2000,2000,0.036318,440.554677
64,float,2000,2000,2000,0.036298,440.796911
64,float,2000,2000,2000,0.036877,433.879432
64,float,2000,2000,2000,0.036871,433.950685
64,float,2000,2000,2000,0.037077,431.536865
64,float,2000,2000,2000,0.036721,435.718088
64,float,2000,2000,2000,0.036902,433.580107
64,float,2000,2000,2000,0.037185,430.286466
64,float,2000,2000,2000,0.036857,434.107548
64,float,2000,2000,2000,0.036926,433.294173
64,float,2000,2000,2000,0.036498,438.384125
64,float,2500,2500,2500,0.060463,516.845936
64,float,2500,2500,2500,0.062752,497.989358
64,float,2500,2500,2500,0.063036,495.750435
64,float,2500,2500,2500,0.063971,488.504657
64,float,2500,2500,2500,0.063662,490.877370
64,float,2500,2500,2500,0.063224,494.277297
64,float,2500,2500,2500,0.064399,485.256578
64,float,2500,2500,2500,0.062983,496.166026
64,float,2500,2500,2500,0.062775,497.808702
64,float,2500,2500,2500,0.063664,490.860014
64,float,2500,2500,2500,0.063238,494.164932
64,float,2500,2500,2500,0.062760,497.928458
64,float,2500,2500,2500,0.062595,499.239311
64,float,2500,2500,2500,0.063651,490.958655
64,float,2500,2500,2500,0.063991,488.353587
64,float,3000,3000,3000,0.091836,588.002047
64,float,3000,3000,3000,0.093536,577.317676
64,float,3000,3000,3000,0.096329,560.579193
64,float,3000,3000,3000,0.093631,576.734714
64,float,3000,3000,3000,0.093091,580.077509
64,float,3000,3000,3000,0.094118,573.750750
64,float,3000,3000,3000,0.096526,559.436045
64,float,3000,3000,3000,0.094686,570.307871
64,float,3000,3000,3000,0.095408,565.989300
64,float,3000,3000,3000,0.098148,550.192257
64,float,3000,3000,3000,0.097534,553.653369
64,float,3000,3000,3000,0.097499,553.850954
64,float,3000,3000,3000,0.097267,555.174998
64,float,3000,3000,3000,0.096618,558.902982
64,float,3000,3000,3000,0.095467,565.641769
64,float,3500,3500,3500,0.128819,665.663847
64,float,3500,3500,3500,0.141522,605.911804
64,float,3500,3500,3500,0.137689,622.781911
64,float,3500,3500,3500,0.137866,621.979365
64,float,3500,3500,3500,0.139707,613.785262
64,float,3500,3500,3500,0.141638,605.414651
64,float,3500,3500,3500,0.139147,616.255368
64,float,3500,3500,3500,0.140075,612.172877
64,float,3500,3500,3500,0.139221,615.927509
64,float,3500,3500,3500,0.141282,606.942685
64,float,3500,3500,3500,0.138164,620.641320
64,float,3500,3500,3500,0.140769,609.152390
64,float,3500,3500,3500,0.137936,621.664169
64,float,3500,3500,3500,0.140903,608.576322
64,float,3500,3500,3500,0.140745,609.257107
64,float,4000,4000,4000,0.173081,739.538511
64,float,4000,4000,4000,0.174300,734.365791
64,float,4000,4000,4000,0.176546,725.022028
64,float,4000,4000,4000,0.178103,718.684932
64,float,4000,4000,4000,0.176274,726.141930
64,float,4000,4000,4000,0.175127,730.898436
64,float,4000,4000,4000,0.176999,723.166130
64,float,4000,4000,4000,0.179682,712.369528
64,float,4000,4000,4000,0.178348,717.698869
64,float,4000,4000,4000,0.177430,721.411427
64,float,4000,4000,4000,0.176236,726.297149
64,float,4000,4000,4000,0.177460,721.287634
64,float,4000,4000,4000,0.181860,703.839421
64,float,4000,4000,4000,0.178095,718.718212
64,float,4000,4000,4000,0.186037,688.034040
64,float,4500,4500,4500,0.239636,760.528862
64,float,4500,4500,4500,0.245015,743.830550
64,float,4500,4500,4500,0.245988,740.889294
64,float,4500,4500,4500,0.250294,728.143464
64,float,4500,4500,4500,0.250693,726.983641
64,float,4500,4500,4500,0.247672,735.851234
64,float,4500,4500,4500,0.251550,724.509421
64,float,4500,4500,4500,0.249872,729.373290
64,float,4500,4500,4500,0.248010,734.848723
64,float,4500,4500,4500,0.247662,735.882604
64,float,4500,4500,4500,0.253658,718.487020
64,float,4500,4500,4500,0.249851,729.436203
64,float,4500,4500,4500,0.253415,719.176790
64,float,4500,4500,4500,0.252313,722.316481
64,float,4500,4500,4500,0.248157,734.414098
64,float,5000,5000,5000,0.302017,827.766937
64,float,5000,5000,5000,0.314384,795.206455
64,float,5000,5000,5000,0.317296,787.908102
64,float,5000,5000,5000,0.315215,793.110034
64,float,5000,5000,5000,0.315245,793.032905
64,float,5000,5000,5000,0.318035,786.077790
64,float,5000,5000,5000,0.315122,793.344087
64,float,5000,5000,5000,0.319290,782.987089
64,float,5000,5000,5000,0.322021,776.346768
64,float,5000,5000,5000,0.323008,773.975700
64,float,5000,5000,5000,0.328188,761.757444
64,float,5000,5000,5000,0.323598,772.564482
64,float,5000,5000,5000,0.326075,766.693697
64,float,5000,5000,5000,0.333573,749.460908
64,float,5000,5000,5000,0.327842,762.561726
64,float,5500,5500,5500,0.395626,841.072966
64,float,5500,5500,5500,0.406789,817.990732
64,float,5500,5500,5500,0.398037,835.977293
64,float,5500,5500,5500,0.400872,830.066366
64,float,5500,5500,5500,0.399561,832.789167
64,float,5500,5500,5500,0.394877,842.668040
64,float,5500,5500,5500,0.401199,829.388094
64,float,5500,5500,5500,0.408879,813.810896
64,float,5500,5500,5500,0.401369,829.036621
64,float,5500,5500,5500,0.405545,820.500462
