threads,type,n,m,k,time,GFlops
1,double,10000,10000,10000,30.516063,65.539254
1,double,10000,10000,10000,29.719529,67.295819
1,double,10000,10000,10000,29.693028,67.355880
1,double,10000,10000,10000,29.706756,67.324753
1,double,10000,10000,10000,29.722639,67.288775
2,double,10000,10000,10000,16.212022,123.365238
2,double,10000,10000,10000,16.292882,122.752990
2,double,10000,10000,10000,16.302974,122.677007
2,double,10000,10000,10000,16.254505,123.042814
2,double,10000,10000,10000,16.209034,123.387983
3,double,10000,10000,10000,10.240915,195.295041
3,double,10000,10000,10000,10.235814,195.392372
3,double,10000,10000,10000,10.293822,194.291294
3,double,10000,10000,10000,10.292708,194.312316
3,double,10000,10000,10000,10.288647,194.389025
4,double,10000,10000,10000,7.773687,257.278160
4,double,10000,10000,10000,7.759438,257.750624
4,double,10000,10000,10000,7.762741,257.640963
4,double,10000,10000,10000,7.656992,261.199173
4,double,10000,10000,10000,7.764583,257.579838
5,double,10000,10000,10000,6.041537,331.041607
5,double,10000,10000,10000,6.041536,331.041648
5,double,10000,10000,10000,5.971695,334.913269
5,double,10000,10000,10000,5.973298,334.823433
5,double,10000,10000,10000,6.088231,328.502634
5,double,10000,10000,10000,6.088674,328.478757
5,double,10000,10000,10000,6.071164,329.426141
5,double,10000,10000,10000,6.070337,329.470996
5,double,10000,10000,10000,6.046559,330.766655
5,double,10000,10000,10000,6.075642,329.183298
6,double,10000,10000,10000,5.008116,399.351756
6,double,10000,10000,10000,4.978969,401.689589
6,double,10000,10000,10000,4.980793,401.542452
6,double,10000,10000,10000,4.977592,401.800671
6,double,10000,10000,10000,4.981224,401.507754
6,double,10000,10000,10000,5.010193,399.186228
6,double,10000,10000,10000,4.977404,401.815920
6,double,10000,10000,10000,4.980352,401.578037
6,double,10000,10000,10000,4.979834,401.619776
6,double,10000,10000,10000,4.979644,401.635144
7,double,10000,10000,10000,4.277117,467.604663
7,double,10000,10000,10000,4.279267,467.369778
7,double,10000,10000,10000,4.253635,470.186033
7,double,10000,10000,10000,4.254744,470.063491
7,double,10000,10000,10000,4.281115,467.168067
7,double,10000,10000,10000,4.278230,467.483044
7,double,10000,10000,10000,4.253493,470.201821
7,double,10000,10000,10000,4.259007,469.592994
7,double,10000,10000,10000,4.281262,467.152005
7,double,10000,10000,10000,4.253488,470.202292
8,double,10000,10000,10000,3.706418,539.604516
8,double,10000,10000,10000,3.736928,535.198941
8,double,10000,10000,10000,3.743952,534.194929
8,double,10000,10000,10000,3.744926,534.055991
8,double,10000,10000,10000,3.774296,529.900133
8,double,10000,10000,10000,3.748453,533.553441
8,double,10000,10000,10000,3.739753,534.794661
8,double,10000,10000,10000,3.708135,539.354696
8,double,10000,10000,10000,3.743669,534.235226
8,double,10000,10000,10000,3.739102,534.887724
9,double,10000,10000,10000,3.295120,606.958196
9,double,10000,10000,10000,3.338677,599.039632
9,double,10000,10000,10000,3.295683,606.854398
9,double,10000,10000,10000,3.295691,606.853093
9,double,10000,10000,10000,3.294976,606.984766
9,double,10000,10000,10000,3.294990,606.982046
9,double,10000,10000,10000,3.296893,606.631739
9,double,10000,10000,10000,3.295401,606.906400
9,double,10000,10000,10000,3.295932,606.808609
9,double,10000,10000,10000,3.294124,607.141669
10,double,10000,10000,10000,2.981426,670.819946
10,double,10000,10000,10000,2.980053,671.129004
10,double,10000,10000,10000,2.976479,671.934925
10,double,10000,10000,10000,2.991022,668.667745
10,double,10000,10000,10000,2.979454,671.263893
10,double,10000,10000,10000,2.978896,671.389732
10,double,10000,10000,10000,2.979316,671.294965
10,double,10000,10000,10000,2.978936,671.380686
10,double,10000,10000,10000,2.977057,671.804407
10,double,10000,10000,10000,2.978962,671.374783
11,double,10000,10000,10000,2.706992,738.827340
11,double,10000,10000,10000,2.706899,738.852835
11,double,10000,10000,10000,2.707622,738.655412
11,double,10000,10000,10000,2.712092,737.438038
11,double,10000,10000,10000,2.707545,738.676480
11,double,10000,10000,10000,2.707882,738.584661
11,double,10000,10000,10000,2.708004,738.551474
11,double,10000,10000,10000,2.705988,739.101646
11,double,10000,10000,10000,2.707549,738.675431
11,double,10000,10000,10000,2.708568,738.397664
12,double,10000,10000,10000,2.487720,803.949014
12,double,10000,10000,10000,2.486381,804.381943
12,double,10000,10000,10000,2.485864,804.549388
12,double,10000,10000,10000,2.488615,803.659915
12,double,10000,10000,10000,2.488019,803.852295
12,double,10000,10000,10000,2.486534,804.332366
12,double,10000,10000,10000,2.486325,804.400133
12,double,10000,10000,10000,2.488604,803.663326
12,double,10000,10000,10000,2.487367,804.063209
12,double,10000,10000,10000,2.486034,804.494336
