threads,type,n,m,k,time,GFlops
1,double,10000,10000,10000,28.875347,69.263236
1,double,10000,10000,10000,28.855873,69.309980
1,double,10000,10000,10000,28.879705,69.252786
1,double,10000,10000,10000,28.863539,69.291573
1,double,10000,10000,10000,28.855690,69.310421
2,double,10000,10000,10000,15.541299,128.689371
2,double,10000,10000,10000,15.822171,126.404902
2,double,10000,10000,10000,15.570487,128.448131
2,double,10000,10000,10000,15.565557,128.488817
2,double,10000,10000,10000,16.098047,124.238677
3,double,10000,10000,10000,10.680228,187.261919
3,double,10000,10000,10000,10.348972,193.255905
3,double,10000,10000,10000,10.320298,193.792850
3,double,10000,10000,10000,10.308280,194.018788
3,double,10000,10000,10000,10.326458,193.677256
4,double,10000,10000,10000,7.850497,254.760933
4,double,10000,10000,10000,8.023213,249.276686
4,double,10000,10000,10000,7.867546,254.208863
4,double,10000,10000,10000,7.902006,253.100275
4,double,10000,10000,10000,7.921961,252.462751
5,double,10000,10000,10000,6.305686,317.174051
5,double,10000,10000,10000,6.343874,315.264766
5,double,10000,10000,10000,6.395753,312.707503
5,double,10000,10000,10000,6.252905,319.851331
5,double,10000,10000,10000,6.355277,314.699122
5,double,10000,10000,10000,6.158680,324.744923
5,double,10000,10000,10000,6.224966,321.286915
5,double,10000,10000,10000,6.190983,323.050480
5,double,10000,10000,10000,6.194206,322.882368
5,double,10000,10000,10000,6.195899,322.794157
6,double,10000,10000,10000,4.996957,400.243616
6,double,10000,10000,10000,5.141215,389.013110
6,double,10000,10000,10000,5.123792,390.335929
6,double,10000,10000,10000,5.201920,384.473409
6,double,10000,10000,10000,5.189542,385.390427
6,double,10000,10000,10000,5.200383,384.587057
6,double,10000,10000,10000,5.143556,388.836056
6,double,10000,10000,10000,5.177172,386.311288
6,double,10000,10000,10000,5.157978,387.748842
6,double,10000,10000,10000,5.208060,384.020162
7,double,10000,10000,10000,4.337399,461.105861
7,double,10000,10000,10000,4.293123,465.861285
7,double,10000,10000,10000,4.325183,462.408173
7,double,10000,10000,10000,4.291603,466.026383
7,double,10000,10000,10000,4.367209,457.958377
7,double,10000,10000,10000,4.318829,463.088530
7,double,10000,10000,10000,4.309747,464.064312
7,double,10000,10000,10000,4.380718,456.546177
7,double,10000,10000,10000,4.322452,462.700290
7,double,10000,10000,10000,4.374028,457.244444
8,double,10000,10000,10000,3.778105,529.365847
8,double,10000,10000,10000,3.753142,532.886894
8,double,10000,10000,10000,3.786171,528.238107
8,double,10000,10000,10000,3.783674,528.586788
8,double,10000,10000,10000,3.822389,523.233040
8,double,10000,10000,10000,3.818696,523.739012
8,double,10000,10000,10000,3.767455,530.862389
8,double,10000,10000,10000,3.777208,529.491607
8,double,10000,10000,10000,3.761296,531.731596
8,double,10000,10000,10000,3.765219,531.177571
9,double,10000,10000,10000,3.366686,594.056053
9,double,10000,10000,10000,3.378932,591.902959
9,double,10000,10000,10000,3.387427,590.418544
9,double,10000,10000,10000,3.366251,594.132724
9,double,10000,10000,10000,3.372151,593.093255
9,double,10000,10000,10000,3.373240,592.901703
9,double,10000,10000,10000,3.405127,587.349595
9,double,10000,10000,10000,3.394918,589.115892
9,double,10000,10000,10000,3.367324,593.943366
9,double,10000,10000,10000,3.401027,588.057680
10,double,10000,10000,10000,3.048044,656.158420
10,double,10000,10000,10000,3.039626,657.975585
10,double,10000,10000,10000,3.028215,660.455008
10,double,10000,10000,10000,3.059688,653.661367
10,double,10000,10000,10000,3.084421,648.419951
10,double,10000,10000,10000,3.083173,648.682409
10,double,10000,10000,10000,3.065542,652.413129
10,double,10000,10000,10000,3.047525,656.270290
10,double,10000,10000,10000,3.035615,658.844984
10,double,10000,10000,10000,3.059427,653.717154
11,double,10000,10000,10000,2.748392,727.698146
11,double,10000,10000,10000,2.737243,730.662315
11,double,10000,10000,10000,2.745624,728.431814
11,double,10000,10000,10000,2.737382,730.625110
11,double,10000,10000,10000,2.753689,726.298512
11,double,10000,10000,10000,2.796767,715.111368
11,double,10000,10000,10000,2.774187,720.931843
11,double,10000,10000,10000,2.742778,729.187712
11,double,10000,10000,10000,2.754644,726.046576
11,double,10000,10000,10000,2.760761,724.437945
12,double,10000,10000,10000,2.578509,775.641914
12,double,10000,10000,10000,2.559996,781.251185
12,double,10000,10000,10000,2.548740,784.701509
12,double,10000,10000,10000,2.580136,775.152820
12,double,10000,10000,10000,2.569205,778.451040
12,double,10000,10000,10000,2.534683,789.053405
12,double,10000,10000,10000,2.560993,780.946986
12,double,10000,10000,10000,2.548915,784.647630
12,double,10000,10000,10000,2.553971,783.094303
12,double,10000,10000,10000,2.549730,784.396853
