threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,15.362076,130.190738
1,float,10000,10000,10000,15.232548,131.297801
1,float,10000,10000,10000,15.371324,130.112410
1,float,10000,10000,10000,15.264046,131.026862
1,float,10000,10000,10000,15.299626,130.722151
2,float,10000,10000,10000,8.480839,235.825735
2,float,10000,10000,10000,8.425038,237.387658
2,float,10000,10000,10000,8.480366,235.838887
2,float,10000,10000,10000,8.369604,238.959934
2,float,10000,10000,10000,8.417537,237.599193
3,float,10000,10000,10000,5.240199,381.664880
3,float,10000,10000,10000,5.267711,379.671545
3,float,10000,10000,10000,5.226537,382.662536
3,float,10000,10000,10000,5.257160,380.433510
3,float,10000,10000,10000,5.267004,379.722511
4,float,10000,10000,10000,3.982428,502.206171
4,float,10000,10000,10000,3.978616,502.687410
4,float,10000,10000,10000,3.973853,503.289893
4,float,10000,10000,10000,3.973119,503.382796
4,float,10000,10000,10000,3.979851,502.531350
5,float,10000,10000,10000,3.101444,644.860839
5,float,10000,10000,10000,3.119325,641.164323
5,float,10000,10000,10000,3.119208,641.188409
5,float,10000,10000,10000,3.127235,639.542529
5,float,10000,10000,10000,3.129758,639.026941
5,float,10000,10000,10000,3.125060,639.987769
5,float,10000,10000,10000,3.105084,644.104864
5,float,10000,10000,10000,3.100246,645.110088
5,float,10000,10000,10000,3.103198,644.496341
5,float,10000,10000,10000,3.126610,639.670530
6,float,10000,10000,10000,2.605084,767.729567
6,float,10000,10000,10000,2.608516,766.719474
6,float,10000,10000,10000,2.597522,769.964604
6,float,10000,10000,10000,2.595489,770.567645
6,float,10000,10000,10000,2.614296,765.024309
6,float,10000,10000,10000,2.596650,770.223207
6,float,10000,10000,10000,2.605877,767.495865
6,float,10000,10000,10000,2.602462,768.503036
6,float,10000,10000,10000,2.603288,768.259101
6,float,10000,10000,10000,2.617643,764.046229
7,float,10000,10000,10000,2.229844,896.923893
7,float,10000,10000,10000,2.224160,899.216007
7,float,10000,10000,10000,2.216786,902.206958
7,float,10000,10000,10000,2.221159,900.430939
7,float,10000,10000,10000,2.214987,902.939843
7,float,10000,10000,10000,2.229483,897.068959
7,float,10000,10000,10000,2.217850,901.774343
7,float,10000,10000,10000,2.214628,903.086003
7,float,10000,10000,10000,2.228963,897.278285
7,float,10000,10000,10000,2.217379,901.965715
8,float,10000,10000,10000,1.952149,1024.511822
8,float,10000,10000,10000,1.953847,1023.621385
8,float,10000,10000,10000,1.940547,1030.637404
8,float,10000,10000,10000,1.953437,1023.836386
8,float,10000,10000,10000,1.945978,1027.761000
8,float,10000,10000,10000,1.953589,1023.757019
8,float,10000,10000,10000,1.947732,1026.835296
8,float,10000,10000,10000,1.952722,1024.211245
8,float,10000,10000,10000,1.949285,1026.017359
8,float,10000,10000,10000,1.946706,1027.376718
9,float,10000,10000,10000,1.712378,1167.966279
9,float,10000,10000,10000,1.719494,1163.133073
9,float,10000,10000,10000,1.718677,1163.685724
9,float,10000,10000,10000,1.707758,1171.126413
9,float,10000,10000,10000,1.708365,1170.709928
9,float,10000,10000,10000,1.707543,1171.273910
9,float,10000,10000,10000,1.708289,1170.762349
9,float,10000,10000,10000,1.719653,1163.025410
9,float,10000,10000,10000,1.714578,1166.467580
9,float,10000,10000,10000,1.718060,1164.103727
10,float,10000,10000,10000,1.544779,1294.683848
10,float,10000,10000,10000,1.543873,1295.443615
10,float,10000,10000,10000,1.551563,1289.022493
10,float,10000,10000,10000,1.543942,1295.385342
10,float,10000,10000,10000,1.554579,1286.521841
10,float,10000,10000,10000,1.541921,1297.083288
10,float,10000,10000,10000,1.533675,1304.057247
10,float,10000,10000,10000,1.534986,1302.943204
10,float,10000,10000,10000,1.539473,1299.145510
10,float,10000,10000,10000,1.548404,1291.652520
11,float,10000,10000,10000,1.393441,1435.295525
11,float,10000,10000,10000,1.394444,1434.263801
11,float,10000,10000,10000,1.399729,1428.848325
11,float,10000,10000,10000,1.398108,1430.504405
11,float,10000,10000,10000,1.395509,1433.168977
11,float,10000,10000,10000,1.397842,1430.776706
11,float,10000,10000,10000,1.398431,1430.174164
11,float,10000,10000,10000,1.393568,1435.165386
11,float,10000,10000,10000,1.404964,1423.523798
11,float,10000,10000,10000,1.396189,1432.470505
12,float,10000,10000,10000,1.292153,1547.804238
12,float,10000,10000,10000,1.294169,1545.392706
12,float,10000,10000,10000,1.290554,1549.721817
12,float,10000,10000,10000,1.292775,1547.060211
12,float,10000,10000,10000,1.292370,1547.544697
12,float,10000,10000,10000,1.287857,1552.967965
12,float,10000,10000,10000,1.292163,1547.791920
12,float,10000,10000,10000,1.292718,1547.127553
12,float,10000,10000,10000,1.295954,1543.264708
12,float,10000,10000,10000,1.292808,1547.019725
