threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,14.580071,137.173539
1,float,10000,10000,10000,14.723033,135.841571
1,float,10000,10000,10000,14.687580,136.169476
1,float,10000,10000,10000,14.719646,135.872837
1,float,10000,10000,10000,14.831915,134.844356
2,float,10000,10000,10000,8.342277,239.742686
2,float,10000,10000,10000,8.356841,239.324889
2,float,10000,10000,10000,8.355979,239.349566
2,float,10000,10000,10000,8.347173,239.602092
2,float,10000,10000,10000,8.348884,239.552984
3,float,10000,10000,10000,5.316773,376.167993
3,float,10000,10000,10000,5.317608,376.108982
3,float,10000,10000,10000,5.347364,374.016084
3,float,10000,10000,10000,5.333808,374.966635
3,float,10000,10000,10000,5.310295,376.626879
4,float,10000,10000,10000,3.924218,509.655660
4,float,10000,10000,10000,3.933797,508.414628
4,float,10000,10000,10000,3.941267,507.451070
4,float,10000,10000,10000,3.944411,507.046553
4,float,10000,10000,10000,3.918775,510.363597
5,float,10000,10000,10000,3.149254,635.071106
5,float,10000,10000,10000,3.151853,634.547380
5,float,10000,10000,10000,3.143790,636.174882
5,float,10000,10000,10000,3.149716,634.977983
5,float,10000,10000,10000,3.140639,636.813138
5,float,10000,10000,10000,3.144911,635.948145
5,float,10000,10000,10000,3.146847,635.556832
5,float,10000,10000,10000,3.140386,636.864473
5,float,10000,10000,10000,3.145730,635.782496
5,float,10000,10000,10000,3.138598,637.227118
6,float,10000,10000,10000,2.609450,766.445067
6,float,10000,10000,10000,2.607495,767.019832
6,float,10000,10000,10000,2.602103,768.609171
6,float,10000,10000,10000,2.606218,767.395647
6,float,10000,10000,10000,2.608436,766.743054
6,float,10000,10000,10000,2.606223,767.393975
6,float,10000,10000,10000,2.602942,768.361465
6,float,10000,10000,10000,2.608565,766.705078
6,float,10000,10000,10000,2.606037,767.448829
6,float,10000,10000,10000,2.608105,766.840257
7,float,10000,10000,10000,2.259995,884.957645
7,float,10000,10000,10000,2.259885,885.000677
7,float,10000,10000,10000,2.266496,882.419511
7,float,10000,10000,10000,2.260572,884.731853
7,float,10000,10000,10000,2.260948,884.584636
7,float,10000,10000,10000,2.259095,885.310122
7,float,10000,10000,10000,2.265081,882.970747
7,float,10000,10000,10000,2.264661,883.134366
7,float,10000,10000,10000,2.265118,882.956041
7,float,10000,10000,10000,2.266659,882.355784
8,float,10000,10000,10000,1.906847,1048.851580
8,float,10000,10000,10000,1.901093,1052.026232
8,float,10000,10000,10000,1.900539,1052.332910
8,float,10000,10000,10000,1.904411,1050.193211
8,float,10000,10000,10000,1.903506,1050.692703
8,float,10000,10000,10000,1.907546,1048.467673
8,float,10000,10000,10000,1.906485,1049.051068
8,float,10000,10000,10000,1.905382,1049.658548
8,float,10000,10000,10000,1.905144,1049.789592
8,float,10000,10000,10000,1.901603,1051.744067
9,float,10000,10000,10000,1.720742,1162.289456
9,float,10000,10000,10000,1.712401,1167.950580
9,float,10000,10000,10000,1.708752,1170.444582
9,float,10000,10000,10000,1.704579,1173.310204
9,float,10000,10000,10000,1.707368,1171.393939
9,float,10000,10000,10000,1.711335,1168.678361
9,float,10000,10000,10000,1.718609,1163.731852
9,float,10000,10000,10000,1.706151,1172.229392
9,float,10000,10000,10000,1.709452,1169.965405
9,float,10000,10000,10000,1.718992,1163.472786
10,float,10000,10000,10000,1.533109,1304.538390
10,float,10000,10000,10000,1.541614,1297.341984
10,float,10000,10000,10000,1.529611,1307.522394
10,float,10000,10000,10000,1.533207,1304.455443
10,float,10000,10000,10000,1.540953,1297.898484
10,float,10000,10000,10000,1.528190,1308.737457
10,float,10000,10000,10000,1.533883,1303.880789
10,float,10000,10000,10000,1.548249,1291.781760
10,float,10000,10000,10000,1.540916,1297.929301
10,float,10000,10000,10000,1.537033,1301.208161
11,float,10000,10000,10000,1.402235,1426.294804
11,float,10000,10000,10000,1.391480,1437.318394
11,float,10000,10000,10000,1.399577,1429.003312
11,float,10000,10000,10000,1.399851,1428.723778
11,float,10000,10000,10000,1.397105,1431.531205
11,float,10000,10000,10000,1.392622,1436.139908
11,float,10000,10000,10000,1.396542,1432.109186
11,float,10000,10000,10000,1.391561,1437.234641
11,float,10000,10000,10000,1.397789,1430.830956
11,float,10000,10000,10000,1.390326,1438.511152
12,float,10000,10000,10000,1.304427,1533.240564
12,float,10000,10000,10000,1.304937,1532.641557
12,float,10000,10000,10000,1.325808,1508.513917
12,float,10000,10000,10000,1.322330,1512.481653
12,float,10000,10000,10000,1.301336,1536.881537
12,float,10000,10000,10000,1.302938,1534.992156
12,float,10000,10000,10000,1.304034,1533.701854
12,float,10000,10000,10000,1.302504,1535.504374
12,float,10000,10000,10000,1.298253,1540.531559
12,float,10000,10000,10000,1.314946,1520.974821
