threads,type,n,m,k,time,GFlops
1,double,10000,10000,10000,32.516773,61.506719
1,double,10000,10000,10000,31.660512,63.170172
1,double,10000,10000,10000,30.283602,66.042342
1,double,10000,10000,10000,30.532374,65.504242
1,double,10000,10000,10000,31.217069,64.067513
2,double,10000,10000,10000,15.269405,130.980872
2,double,10000,10000,10000,15.335266,130.418343
2,double,10000,10000,10000,15.359272,130.214502
2,double,10000,10000,10000,15.323648,130.517223
2,double,10000,10000,10000,15.317802,130.567034
3,double,10000,10000,10000,9.940488,201.197359
3,double,10000,10000,10000,9.963066,200.741415
3,double,10000,10000,10000,9.961348,200.776037
3,double,10000,10000,10000,9.956278,200.878272
3,double,10000,10000,10000,9.933085,201.347326
4,double,10000,10000,10000,7.461625,268.038123
4,double,10000,10000,10000,7.470659,267.714000
4,double,10000,10000,10000,7.459147,268.127168
4,double,10000,10000,10000,7.457246,268.195508
4,double,10000,10000,10000,7.455333,268.264341
5,double,10000,10000,10000,5.984817,334.178958
5,double,10000,10000,10000,5.993463,333.696890
5,double,10000,10000,10000,5.982470,334.310088
5,double,10000,10000,10000,6.086917,328.573569
5,double,10000,10000,10000,5.990457,333.864321
5,double,10000,10000,10000,5.993374,333.701825
5,double,10000,10000,10000,5.990371,333.869114
5,double,10000,10000,10000,6.016749,332.405432
5,double,10000,10000,10000,6.007471,332.918800
5,double,10000,10000,10000,5.990041,333.887546
6,double,10000,10000,10000,4.877435,410.051589
6,double,10000,10000,10000,4.881082,409.745210
6,double,10000,10000,10000,4.874086,410.333342
6,double,10000,10000,10000,4.883095,409.576330
6,double,10000,10000,10000,4.884275,409.477343
6,double,10000,10000,10000,4.868230,410.826938
6,double,10000,10000,10000,4.876666,410.116239
6,double,10000,10000,10000,4.878606,409.953166
6,double,10000,10000,10000,4.877653,410.033264
6,double,10000,10000,10000,4.878336,409.975880
7,double,10000,10000,10000,4.243562,471.302226
7,double,10000,10000,10000,4.244960,471.146968
7,double,10000,10000,10000,4.241443,471.537582
7,double,10000,10000,10000,4.242911,471.374527
7,double,10000,10000,10000,4.238910,471.819444
7,double,10000,10000,10000,4.242204,471.453087
7,double,10000,10000,10000,4.243280,471.333499
7,double,10000,10000,10000,4.240543,471.637691
7,double,10000,10000,10000,4.245572,471.079074
7,double,10000,10000,10000,4.244662,471.180051
8,double,10000,10000,10000,3.713452,538.582430
8,double,10000,10000,10000,3.715208,538.327817
8,double,10000,10000,10000,3.714146,538.481729
8,double,10000,10000,10000,3.743520,534.256458
8,double,10000,10000,10000,3.743887,534.204140
8,double,10000,10000,10000,3.712968,538.652567
8,double,10000,10000,10000,3.731603,535.962630
8,double,10000,10000,10000,3.744633,534.097679
8,double,10000,10000,10000,3.716657,538.117976
8,double,10000,10000,10000,3.747266,533.722455
9,double,10000,10000,10000,3.292568,607.428617
9,double,10000,10000,10000,3.291277,607.666801
9,double,10000,10000,10000,3.291515,607.622959
9,double,10000,10000,10000,3.291932,607.546045
9,double,10000,10000,10000,3.291769,607.575978
9,double,10000,10000,10000,3.292441,607.451969
9,double,10000,10000,10000,3.293435,607.268664
9,double,10000,10000,10000,3.292372,607.464782
9,double,10000,10000,10000,3.292733,607.398173
9,double,10000,10000,10000,3.292723,607.400018
10,double,10000,10000,10000,2.957877,676.160582
10,double,10000,10000,10000,2.959524,675.784278
10,double,10000,10000,10000,2.953900,677.071081
10,double,10000,10000,10000,2.956106,676.565652
10,double,10000,10000,10000,2.982180,670.650373
10,double,10000,10000,10000,2.960915,675.466981
10,double,10000,10000,10000,2.955153,676.783894
10,double,10000,10000,10000,2.955946,676.602421
10,double,10000,10000,10000,2.954102,677.024777
10,double,10000,10000,10000,2.955514,676.701308
11,double,10000,10000,10000,2.685764,744.666934
11,double,10000,10000,10000,2.683273,745.358331
11,double,10000,10000,10000,2.706081,739.076131
11,double,10000,10000,10000,2.687237,744.258937
11,double,10000,10000,10000,2.688399,743.937293
11,double,10000,10000,10000,2.685256,744.807886
11,double,10000,10000,10000,2.685243,744.811686
11,double,10000,10000,10000,2.684397,745.046298
11,double,10000,10000,10000,2.686661,744.418315
11,double,10000,10000,10000,2.680816,746.041632
12,double,10000,10000,10000,2.447751,817.076697
12,double,10000,10000,10000,2.447204,817.259274
12,double,10000,10000,10000,2.447649,817.110707
12,double,10000,10000,10000,2.447172,817.270013
12,double,10000,10000,10000,2.447631,817.116687
12,double,10000,10000,10000,2.448479,816.833545
12,double,10000,10000,10000,2.449115,816.621596
12,double,10000,10000,10000,2.458683,813.443772
12,double,10000,10000,10000,2.447862,817.039507
12,double,10000,10000,10000,2.467930,810.395704
