threads,type,n,m,k,time,GFlops
1,double,10000,10000,10000,29.091785,68.747930
1,double,10000,10000,10000,29.012562,68.935655
1,double,10000,10000,10000,31.160409,64.184010
1,double,10000,10000,10000,29.470448,67.864593
1,double,10000,10000,10000,29.066981,68.806596
2,double,10000,10000,10000,15.087493,132.560130
2,double,10000,10000,10000,15.146803,132.041066
2,double,10000,10000,10000,14.946298,133.812402
2,double,10000,10000,10000,15.023325,133.126319
2,double,10000,10000,10000,14.971924,133.583368
3,double,10000,10000,10000,10.126109,197.509230
3,double,10000,10000,10000,9.818286,203.701546
3,double,10000,10000,10000,9.798191,204.119318
3,double,10000,10000,10000,10.496508,190.539567
3,double,10000,10000,10000,9.957145,200.860794
4,double,10000,10000,10000,7.894997,253.324983
4,double,10000,10000,10000,7.615559,262.620241
4,double,10000,10000,10000,7.385967,270.783755
4,double,10000,10000,10000,7.379993,271.002960
4,double,10000,10000,10000,7.391471,270.582127
5,double,10000,10000,10000,6.526835,306.427245
5,double,10000,10000,10000,6.170629,324.116059
5,double,10000,10000,10000,6.193242,322.932630
5,double,10000,10000,10000,6.212822,321.914891
5,double,10000,10000,10000,6.179849,323.632477
5,double,10000,10000,10000,6.217916,321.651176
5,double,10000,10000,10000,6.242004,320.409917
5,double,10000,10000,10000,6.227266,321.168245
5,double,10000,10000,10000,6.200408,322.559405
5,double,10000,10000,10000,6.253075,319.842661
6,double,10000,10000,10000,4.958107,403.379719
6,double,10000,10000,10000,4.929021,405.760099
6,double,10000,10000,10000,4.914743,406.938906
6,double,10000,10000,10000,4.894418,408.628791
6,double,10000,10000,10000,4.894833,408.594162
6,double,10000,10000,10000,4.920664,406.449187
6,double,10000,10000,10000,4.918141,406.657720
6,double,10000,10000,10000,4.902220,407.978390
6,double,10000,10000,10000,4.906192,407.648096
6,double,10000,10000,10000,5.042019,396.666477
7,double,10000,10000,10000,4.307788,464.275436
7,double,10000,10000,10000,4.311463,463.879646
7,double,10000,10000,10000,4.401784,454.361240
7,double,10000,10000,10000,4.276254,467.699042
7,double,10000,10000,10000,4.272077,468.156389
7,double,10000,10000,10000,4.289815,466.220564
7,double,10000,10000,10000,4.257713,469.735710
7,double,10000,10000,10000,4.278644,467.437849
7,double,10000,10000,10000,4.312398,463.779050
7,double,10000,10000,10000,4.332902,461.584365
8,double,10000,10000,10000,3.781535,528.885719
8,double,10000,10000,10000,3.814023,524.380722
8,double,10000,10000,10000,3.786641,528.172584
8,double,10000,10000,10000,3.775507,529.730195
8,double,10000,10000,10000,3.809646,524.983198
8,double,10000,10000,10000,3.780102,529.086302
8,double,10000,10000,10000,3.802668,525.946573
8,double,10000,10000,10000,3.791206,527.536601
8,double,10000,10000,10000,3.760077,531.904062
8,double,10000,10000,10000,3.780780,528.991397
9,double,10000,10000,10000,3.390699,589.848906
9,double,10000,10000,10000,3.382579,591.264777
9,double,10000,10000,10000,3.412280,586.118298
9,double,10000,10000,10000,3.403558,587.620399
9,double,10000,10000,10000,3.357185,595.737134
9,double,10000,10000,10000,3.351548,596.739264
9,double,10000,10000,10000,3.361502,594.972210
9,double,10000,10000,10000,3.396937,588.765626
9,double,10000,10000,10000,3.342970,598.270443
9,double,10000,10000,10000,3.361785,594.922059
10,double,10000,10000,10000,3.153217,634.272864
10,double,10000,10000,10000,3.025151,661.124037
10,double,10000,10000,10000,3.037844,658.361664
10,double,10000,10000,10000,3.057799,654.065224
10,double,10000,10000,10000,3.064958,652.537406
10,double,10000,10000,10000,3.033640,659.273965
10,double,10000,10000,10000,3.012704,663.855467
10,double,10000,10000,10000,3.066935,652.116940
10,double,10000,10000,10000,3.033857,659.226934
10,double,10000,10000,10000,3.020408,662.162162
11,double,10000,10000,10000,2.704259,739.574031
11,double,10000,10000,10000,2.716137,736.339947
11,double,10000,10000,10000,2.709427,738.163519
11,double,10000,10000,10000,2.733944,731.543842
11,double,10000,10000,10000,2.725612,733.780245
11,double,10000,10000,10000,2.719166,735.519686
11,double,10000,10000,10000,2.717597,735.944417
11,double,10000,10000,10000,2.714394,736.812758
11,double,10000,10000,10000,2.752883,726.511176
11,double,10000,10000,10000,2.712030,737.454906
12,double,10000,10000,10000,2.494218,801.854617
12,double,10000,10000,10000,2.489501,803.373799
12,double,10000,10000,10000,2.493788,801.992693
12,double,10000,10000,10000,2.503862,798.765956
12,double,10000,10000,10000,2.500336,799.892644
12,double,10000,10000,10000,2.495972,801.291068
12,double,10000,10000,10000,2.494794,801.669502
12,double,10000,10000,10000,2.487259,804.097941
12,double,10000,10000,10000,2.492161,802.516342
12,double,10000,10000,10000,2.494289,801.831845
