threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,15.087720,132.558134
1,float,10000,10000,10000,15.075304,132.667307
1,float,10000,10000,10000,15.005396,133.285383
1,float,10000,10000,10000,15.007184,133.269509
1,float,10000,10000,10000,15.007339,133.268127
2,float,10000,10000,10000,7.746585,258.178288
2,float,10000,10000,10000,7.747655,258.142614
2,float,10000,10000,10000,7.746633,258.176677
2,float,10000,10000,10000,7.750766,258.039001
2,float,10000,10000,10000,7.749988,258.064923
3,float,10000,10000,10000,5.053080,395.798224
3,float,10000,10000,10000,5.055799,395.585345
3,float,10000,10000,10000,5.054585,395.680325
3,float,10000,10000,10000,5.054649,395.675363
3,float,10000,10000,10000,5.049711,396.062287
4,float,10000,10000,10000,3.779821,529.125593
4,float,10000,10000,10000,3.779544,529.164344
4,float,10000,10000,10000,3.780255,529.064824
4,float,10000,10000,10000,3.780077,529.089705
4,float,10000,10000,10000,3.780344,529.052356
5,float,10000,10000,10000,3.115705,641.909246
5,float,10000,10000,10000,3.111968,642.680038
5,float,10000,10000,10000,3.117598,641.519446
5,float,10000,10000,10000,3.101327,644.885210
5,float,10000,10000,10000,3.114119,642.236302
5,float,10000,10000,10000,3.116145,641.818587
5,float,10000,10000,10000,3.111031,642.873761
5,float,10000,10000,10000,3.118769,641.278759
5,float,10000,10000,10000,3.122942,640.421663
5,float,10000,10000,10000,3.117389,641.562458
6,float,10000,10000,10000,2.498083,800.614033
6,float,10000,10000,10000,2.494732,801.689457
6,float,10000,10000,10000,2.495870,801.323716
6,float,10000,10000,10000,2.496387,801.157912
6,float,10000,10000,10000,2.496448,801.138414
6,float,10000,10000,10000,2.495312,801.503102
6,float,10000,10000,10000,2.498740,800.403523
6,float,10000,10000,10000,2.497884,800.677746
6,float,10000,10000,10000,2.493894,801.958560
6,float,10000,10000,10000,2.499453,800.175217
7,float,10000,10000,10000,2.194594,911.330293
7,float,10000,10000,10000,2.194972,911.173174
7,float,10000,10000,10000,2.188283,913.958394
7,float,10000,10000,10000,2.196541,910.522459
7,float,10000,10000,10000,2.195920,910.780145
7,float,10000,10000,10000,2.193233,911.895793
7,float,10000,10000,10000,2.205598,906.783646
7,float,10000,10000,10000,2.193388,911.831304
7,float,10000,10000,10000,2.199584,909.262813
7,float,10000,10000,10000,2.194531,911.356385
8,float,10000,10000,10000,1.948633,1026.360356
8,float,10000,10000,10000,1.945015,1028.269935
8,float,10000,10000,10000,1.952515,1024.320111
8,float,10000,10000,10000,1.952849,1024.144771
8,float,10000,10000,10000,1.938165,1031.903903
8,float,10000,10000,10000,1.945886,1027.809236
8,float,10000,10000,10000,1.935026,1033.578034
8,float,10000,10000,10000,1.942546,1029.576422
8,float,10000,10000,10000,1.936302,1032.896860
8,float,10000,10000,10000,1.941106,1030.340662
9,float,10000,10000,10000,1.699731,1176.656539
9,float,10000,10000,10000,1.701726,1175.277017
9,float,10000,10000,10000,1.700370,1176.214620
9,float,10000,10000,10000,1.701818,1175.214016
9,float,10000,10000,10000,1.702538,1174.716700
9,float,10000,10000,10000,1.699972,1176.490118
9,float,10000,10000,10000,1.701023,1175.762738
9,float,10000,10000,10000,1.702225,1174.932575
9,float,10000,10000,10000,1.702279,1174.895437
9,float,10000,10000,10000,1.702044,1175.057717
10,float,10000,10000,10000,1.518302,1317.261179
10,float,10000,10000,10000,1.518671,1316.940665
10,float,10000,10000,10000,1.516697,1318.654641
10,float,10000,10000,10000,1.517773,1317.720497
10,float,10000,10000,10000,1.532864,1304.747379
10,float,10000,10000,10000,1.516650,1318.695685
10,float,10000,10000,10000,1.517023,1318.371293
10,float,10000,10000,10000,1.517736,1317.752480
10,float,10000,10000,10000,1.516163,1319.119680
10,float,10000,10000,10000,1.515031,1320.104911
11,float,10000,10000,10000,1.373810,1455.805583
11,float,10000,10000,10000,1.373804,1455.811956
11,float,10000,10000,10000,1.373085,1456.574253
11,float,10000,10000,10000,1.371276,1458.495891
11,float,10000,10000,10000,1.370339,1459.493033
11,float,10000,10000,10000,1.371784,1457.955589
11,float,10000,10000,10000,1.371833,1457.903833
11,float,10000,10000,10000,1.373332,1456.311595
11,float,10000,10000,10000,1.373097,1456.561673
11,float,10000,10000,10000,1.372671,1457.013106
12,float,10000,10000,10000,1.244725,1606.780302
12,float,10000,10000,10000,1.245748,1605.460808
12,float,10000,10000,10000,1.245532,1605.738915
12,float,10000,10000,10000,1.245457,1605.836352
12,float,10000,10000,10000,1.245149,1606.233844
12,float,10000,10000,10000,1.246063,1605.054757
12,float,10000,10000,10000,1.244918,1606.531596
12,float,10000,10000,10000,1.253857,1595.078519
12,float,10000,10000,10000,1.246137,1604.960489
12,float,10000,10000,10000,1.245367,1605.952495
