threads,type,n,m,k,time,GFlops
1,float,10000,10000,10000,14.570278,137.265736
1,float,10000,10000,10000,14.525181,137.691916
1,float,10000,10000,10000,14.569272,137.275222
1,float,10000,10000,10000,14.506979,137.864674
1,float,10000,10000,10000,14.508622,137.849068
2,float,10000,10000,10000,7.654368,261.288704
2,float,10000,10000,10000,7.692569,259.991180
2,float,10000,10000,10000,7.652189,261.363127
2,float,10000,10000,10000,7.646212,261.567431
2,float,10000,10000,10000,7.690997,260.044298
3,float,10000,10000,10000,4.949135,404.111013
3,float,10000,10000,10000,4.950412,404.006802
3,float,10000,10000,10000,4.945474,404.410203
3,float,10000,10000,10000,4.944800,404.465297
3,float,10000,10000,10000,4.963739,402.922082
4,float,10000,10000,10000,3.757059,532.331283
4,float,10000,10000,10000,3.756291,532.440169
4,float,10000,10000,10000,3.709566,539.146608
4,float,10000,10000,10000,3.709297,539.185769
4,float,10000,10000,10000,3.757457,532.274911
5,float,10000,10000,10000,3.131819,638.606606
5,float,10000,10000,10000,3.140651,636.810567
5,float,10000,10000,10000,3.136652,637.622436
5,float,10000,10000,10000,3.132422,638.483652
5,float,10000,10000,10000,3.129113,639.158677
5,float,10000,10000,10000,3.133931,638.176201
5,float,10000,10000,10000,3.133315,638.301545
5,float,10000,10000,10000,3.134611,638.037631
5,float,10000,10000,10000,3.125656,639.865725
5,float,10000,10000,10000,3.144852,635.960012
6,float,10000,10000,10000,2.472458,808.911661
6,float,10000,10000,10000,2.486732,804.268343
6,float,10000,10000,10000,2.476142,807.708065
6,float,10000,10000,10000,2.506323,797.981832
6,float,10000,10000,10000,2.472669,808.842468
6,float,10000,10000,10000,2.502773,799.113673
6,float,10000,10000,10000,2.481109,806.091048
6,float,10000,10000,10000,2.472254,808.978467
6,float,10000,10000,10000,2.487734,803.944370
6,float,10000,10000,10000,2.477958,807.116180
7,float,10000,10000,10000,2.204443,907.258589
7,float,10000,10000,10000,2.205795,906.702622
7,float,10000,10000,10000,2.212640,903.897618
7,float,10000,10000,10000,2.205861,906.675500
7,float,10000,10000,10000,2.203989,907.445691
7,float,10000,10000,10000,2.202897,907.895408
7,float,10000,10000,10000,2.211848,904.221067
7,float,10000,10000,10000,2.202491,908.062712
7,float,10000,10000,10000,2.210908,904.605581
7,float,10000,10000,10000,2.209838,905.043877
8,float,10000,10000,10000,1.896037,1054.831642
8,float,10000,10000,10000,1.908638,1047.867531
8,float,10000,10000,10000,1.901920,1051.569039
8,float,10000,10000,10000,1.902842,1051.059577
8,float,10000,10000,10000,1.913531,1045.188108
8,float,10000,10000,10000,1.896459,1054.596830
8,float,10000,10000,10000,1.895069,1055.370791
8,float,10000,10000,10000,1.901701,1051.689787
8,float,10000,10000,10000,1.900809,1052.183439
8,float,10000,10000,10000,1.902173,1051.429348
9,float,10000,10000,10000,1.707388,1171.379987
9,float,10000,10000,10000,1.706096,1172.266951
9,float,10000,10000,10000,1.702857,1174.496852
9,float,10000,10000,10000,1.702061,1175.045692
9,float,10000,10000,10000,1.699850,1176.574504
9,float,10000,10000,10000,1.703176,1174.276699
9,float,10000,10000,10000,1.705888,1172.410107
9,float,10000,10000,10000,1.700843,1175.887332
9,float,10000,10000,10000,1.700446,1176.162246
9,float,10000,10000,10000,1.700913,1175.838911
10,float,10000,10000,10000,1.518732,1316.887831
10,float,10000,10000,10000,1.526570,1310.126353
10,float,10000,10000,10000,1.525125,1311.368078
10,float,10000,10000,10000,1.526417,1310.258219
10,float,10000,10000,10000,1.520772,1315.121287
10,float,10000,10000,10000,1.519856,1315.914543
10,float,10000,10000,10000,1.519835,1315.932548
10,float,10000,10000,10000,1.520880,1315.028249
10,float,10000,10000,10000,1.519312,1316.385241
10,float,10000,10000,10000,1.515305,1319.866315
11,float,10000,10000,10000,1.379409,1449.896294
11,float,10000,10000,10000,1.379667,1449.624938
11,float,10000,10000,10000,1.385708,1443.305893
11,float,10000,10000,10000,1.375429,1454.091318
11,float,10000,10000,10000,1.379789,1449.497198
11,float,10000,10000,10000,1.385222,1443.812296
11,float,10000,10000,10000,1.378864,1450.469178
11,float,10000,10000,10000,1.375001,1454.544317
11,float,10000,10000,10000,1.383593,1445.511428
11,float,10000,10000,10000,1.381233,1447.981579
12,float,10000,10000,10000,1.269859,1574.978535
12,float,10000,10000,10000,1.267654,1577.718082
12,float,10000,10000,10000,1.264240,1581.978181
12,float,10000,10000,10000,1.264445,1581.721544
12,float,10000,10000,10000,1.265103,1580.899403
12,float,10000,10000,10000,1.265207,1580.768958
12,float,10000,10000,10000,1.265942,1579.851488
12,float,10000,10000,10000,1.266627,1578.996200
12,float,10000,10000,10000,1.266563,1579.077101
12,float,10000,10000,10000,1.266110,1579.641331
