omp_threads,type,n,m,k,time,GFlops
12,double,2000,2000,2000,0.029125,549.348716
12,double,2000,2000,2000,0.029541,541.618306
12,double,2000,2000,2000,0.028803,555.488241
12,double,2000,2000,2000,0.028992,551.866995
12,double,2000,2000,2000,0.028776,556.009669
12,double,2000,2000,2000,0.029067,550.458652
12,double,2000,2000,2000,0.029348,545.183088
12,double,2500,2500,2500,0.050512,618.668926
12,double,2500,2500,2500,0.049904,626.207353
12,double,2500,2500,2500,0.049963,625.458799
12,double,2500,2500,2500,0.050118,623.528933
12,double,2500,2500,2500,0.050192,622.614291
12,double,2500,2500,2500,0.050564,618.033966
12,double,2500,2500,2500,0.050655,616.918869
12,double,3000,3000,3000,0.080523,670.616099
12,double,3000,3000,3000,0.080703,669.120281
12,double,3000,3000,3000,0.080728,668.912288
12,double,3000,3000,3000,0.080731,668.883909
12,double,3000,3000,3000,0.080490,670.888135
12,double,3000,3000,3000,0.081010,666.583097
12,double,3000,3000,3000,0.080727,668.924899
12,double,3500,3500,3500,0.117680,728.671492
12,double,3500,3500,3500,0.117629,728.989571
12,double,3500,3500,3500,0.118523,723.490484
12,double,3500,3500,3500,0.117420,730.285562
12,double,3500,3500,3500,0.118187,725.547265
12,double,3500,3500,3500,0.117928,727.140911
12,double,3500,3500,3500,0.118302,724.838475
12,double,4000,4000,4000,0.166726,767.728978
12,double,4000,4000,4000,0.167264,765.256741
12,double,4000,4000,4000,0.166335,769.529656
12,double,4000,4000,4000,0.167125,765.895676
12,double,4000,4000,4000,0.166608,768.271824
12,double,4000,4000,4000,0.166461,768.950204
12,double,4000,4000,4000,0.166876,767.035002
12,double,4500,4500,4500,0.232923,782.446881
12,double,4500,4500,4500,0.232298,784.553313
12,double,4500,4500,4500,0.232683,783.254410
12,double,4500,4500,4500,0.233029,782.092436
12,double,4500,4500,4500,0.232963,782.314337
12,double,4500,4500,4500,0.232965,782.307802
12,double,4500,4500,4500,0.232493,783.894943
12,double,5000,5000,5000,0.321069,778.648574
12,double,5000,5000,5000,0.320956,778.922220
12,double,5000,5000,5000,0.321152,778.447160
12,double,5000,5000,5000,0.321264,778.176243
12,double,5000,5000,5000,0.321278,778.142406
12,double,5000,5000,5000,0.320975,778.877840
12,double,5000,5000,5000,0.320564,779.875255
12,double,5500,5500,5500,0.417935,796.176517
12,double,5500,5500,5500,0.418198,795.675141
12,double,5500,5500,5500,0.418053,795.952646
12,double,5500,5500,5500,0.419062,794.036186
12,double,5500,5500,5500,0.417972,796.105584
12,double,5500,5500,5500,0.418087,795.887483
12,double,5500,5500,5500,0.418155,795.758355
12,double,6000,6000,6000,0.537429,803.826452
12,double,6000,6000,6000,0.536976,804.504545
12,double,6000,6000,6000,0.536857,804.683802
12,double,6000,6000,6000,0.536934,804.568170
12,double,6000,6000,6000,0.536808,804.756440
12,double,6000,6000,6000,0.537144,804.253232
12,double,6000,6000,6000,0.537031,804.422295
12,double,6500,6500,6500,0.683617,803.447102
12,double,6500,6500,6500,0.683415,803.684956
12,double,6500,6500,6500,0.683917,803.094014
12,double,6500,6500,6500,0.683861,803.159860
12,double,6500,6500,6500,0.683001,804.171626
12,double,6500,6500,6500,0.683545,803.531625
12,double,6500,6500,6500,0.683428,803.668747
12,double,7000,7000,7000,0.858048,799.489010
12,double,7000,7000,7000,0.858429,799.134165
12,double,7000,7000,7000,0.858873,798.721271
12,double,7000,7000,7000,0.858553,799.018687
12,double,7000,7000,7000,0.858510,799.059219
12,double,7000,7000,7000,0.859895,797.771570
12,double,7000,7000,7000,0.858656,798.923153
12,double,7500,7500,7500,1.056044,798.972678
12,double,7500,7500,7500,1.059351,796.478060
12,double,7500,7500,7500,1.060880,795.330266
12,double,7500,7500,7500,1.056992,798.255696
12,double,7500,7500,7500,1.056009,798.999140
12,double,7500,7500,7500,1.056047,798.970069
12,double,7500,7500,7500,1.055076,799.705229
12,double,8000,8000,8000,1.280278,799.826095
12,double,8000,8000,8000,1.274388,803.523180
12,double,8000,8000,8000,1.278598,800.877336
12,double,8000,8000,8000,1.276438,802.232294
12,double,8000,8000,8000,1.278466,800.959729
12,double,8000,8000,8000,1.277120,801.804091
12,double,8000,8000,8000,1.276139,802.420738
12,double,8500,8500,8500,1.554651,790.048945
12,double,8500,8500,8500,1.556394,789.163889
12,double,8500,8500,8500,1.554953,789.895113
12,double,8500,8500,8500,1.557516,788.595258
12,double,8500,8500,8500,1.553996,790.381719
12,double,8500,8500,8500,1.557541,788.582675
12,double,8500,8500,8500,1.555501,789.616743
12,double,9000,9000,9000,1.820917,800.695589
12,double,9000,9000,9000,1.825693,798.600914
12,double,9000,9000,9000,1.820615,800.828091
12,double,9000,9000,9000,1.826321,798.326168
12,double,9000,9000,9000,1.826280,798.344139
12,double,9000,9000,9000,1.820914,800.696868
12,double,9000,9000,9000,1.825814,798.547888
12,double,9500,9500,9500,2.109291,812.950827
12,double,9500,9500,9500,2.108695,813.180773
12,double,9500,9500,9500,2.108169,813.383405
12,double,9500,9500,9500,2.106925,813.863775
12,double,9500,9500,9500,2.110573,812.457205
12,double,9500,9500,9500,2.108260,813.348553
12,double,9500,9500,9500,2.107455,813.658979
12,double,10000,10000,10000,2.488890,803.571040
12,double,10000,10000,10000,2.496910,800.990100
12,double,10000,10000,10000,2.494764,801.679183
12,double,10000,10000,10000,2.498860,800.365077
12,double,10000,10000,10000,2.492613,802.370925
12,double,10000,10000,10000,2.489288,803.442433
12,double,10000,10000,10000,2.494022,801.917629
12,double,10500,10500,10500,2.890059,801.108136
12,double,10500,10500,10500,2.899979,798.367773
12,double,10500,10500,10500,2.895176,799.692384
12,double,10500,10500,10500,2.892639,800.393808
12,double,10500,10500,10500,2.896839,799.233364
12,double,10500,10500,10500,2.898289,798.833378
12,double,10500,10500,10500,2.893980,800.022747
12,double,11000,11000,11000,3.314591,803.115624
12,double,11000,11000,11000,3.312814,803.546390
12,double,11000,11000,11000,3.316039,802.764912
12,double,11000,11000,11000,3.313304,803.427757
12,double,11000,11000,11000,3.314369,803.169356
12,double,11000,11000,11000,3.312855,803.536498
12,double,11000,11000,11000,3.308307,804.641147
12,double,11500,11500,11500,3.751602,810.787020
12,double,11500,11500,11500,3.754504,810.160371
12,double,11500,11500,11500,3.760847,808.793905
12,double,11500,11500,11500,3.751246,810.864001
12,double,11500,11500,11500,3.757077,809.605515
12,double,11500,11500,11500,3.752013,810.698089
12,double,11500,11500,11500,3.775473,805.660677
12,double,12000,12000,12000,4.325235,799.031801
12,double,12000,12000,12000,4.446251,777.284071
12,double,12000,12000,12000,4.284001,806.722441
12,double,12000,12000,12000,4.306903,802.432824
12,double,12000,12000,12000,4.316606,800.629023
12,double,12000,12000,12000,4.281045,807.279439
12,double,12000,12000,12000,4.283017,806.907855
12,double,12500,12500,12500,4.872419,801.706465
12,double,12500,12500,12500,4.863174,803.230542
12,double,12500,12500,12500,4.861932,803.435754
12,double,12500,12500,12500,5.093430,766.919314
12,double,12500,12500,12500,4.841581,806.812912
12,double,12500,12500,12500,5.055396,772.689246
12,double,12500,12500,12500,4.868993,802.270537
12,double,13000,13000,13000,5.443467,807.206089
12,double,13000,13000,13000,5.437438,808.101206
12,double,13000,13000,13000,5.438488,807.945092
12,double,13000,13000,13000,5.445597,806.890387
12,double,13000,13000,13000,5.453956,805.653753
12,double,13000,13000,13000,5.441023,807.568795
12,double,13000,13000,13000,5.444879,806.996885
12,double,13500,13500,13500,6.064968,811.339808
12,double,13500,13500,13500,6.130608,802.652840
12,double,13500,13500,13500,6.133223,802.310641
12,double,13500,13500,13500,6.084835,808.690790
12,double,13500,13500,13500,6.144801,800.798978
12,double,13500,13500,13500,6.153953,799.608050
12,double,13500,13500,13500,6.157129,799.195585
12,double,14000,14000,14000,6.790907,808.139445
12,double,14000,14000,14000,6.828985,803.633328
12,double,14000,14000,14000,6.790001,808.247288
12,double,14000,14000,14000,6.789222,808.340024
12,double,14000,14000,14000,6.801156,806.921694
12,double,14000,14000,14000,6.766133,811.098394
12,double,14000,14000,14000,6.798395,807.249393
12,double,14500,14500,14500,7.542076,808.431305
12,double,14500,14500,14500,7.537040,808.971442
12,double,14500,14500,14500,7.545820,808.030178
12,double,14500,14500,14500,7.564614,806.022659
12,double,14500,14500,14500,7.537621,808.909067
12,double,14500,14500,14500,7.560504,806.460763
12,double,14500,14500,14500,7.554120,807.142286
12,double,15000,15000,15000,8.374370,806.030748
12,double,15000,15000,15000,8.345599,808.809567
12,double,15000,15000,15000,8.332554,810.075776
12,double,15000,15000,15000,8.330890,810.237577
12,double,15000,15000,15000,8.339526,809.398495
12,double,15000,15000,15000,8.336666,809.676191
12,double,15000,15000,15000,8.334089,809.926565
12,double,15500,15500,15500,9.235261,806.447121
12,double,15500,15500,15500,9.282370,802.354367
12,double,15500,15500,15500,9.251845,805.001597
12,double,15500,15500,15500,9.272651,803.195356
12,double,15500,15500,15500,9.251096,805.066801
12,double,15500,15500,15500,9.286207,802.022842
12,double,15500,15500,15500,9.261601,804.153588
12,double,16000,16000,16000,10.139966,807.892225
12,double,16000,16000,16000,10.169823,805.520415
12,double,16000,16000,16000,10.137182,808.114135
12,double,16000,16000,16000,10.163248,806.041538
12,double,16000,16000,16000,10.167583,805.697875
12,double,16000,16000,16000,10.192074,803.761848
12,double,16000,16000,16000,10.152060,806.929849
12,double,16500,16500,16500,11.032847,814.318394
12,double,16500,16500,16500,11.111645,808.543634
12,double,16500,16500,16500,11.215419,801.062373
12,double,16500,16500,16500,11.228805,800.107375
12,double,16500,16500,16500,11.176978,803.817443
12,double,16500,16500,16500,11.032663,814.331920
12,double,16500,16500,16500,11.048000,813.201483
12,double,17000,17000,17000,12.214494,804.454104
12,double,17000,17000,17000,12.274845,800.498885
12,double,17000,17000,17000,12.220066,804.087286
12,double,17000,17000,17000,12.280126,800.154658
12,double,17000,17000,17000,12.207017,804.946864
12,double,17000,17000,17000,12.291366,799.422922
12,double,17000,17000,17000,12.200189,805.397347
12,double,17500,17500,17500,13.338376,803.602316
12,double,17500,17500,17500,13.344147,803.254813
12,double,17500,17500,17500,13.363440,802.095112
12,double,17500,17500,17500,13.395316,800.186445
12,double,17500,17500,17500,13.392777,800.338136
12,double,17500,17500,17500,13.420378,798.692129
12,double,17500,17500,17500,13.242443,809.423884
12,double,18000,18000,18000,14.386391,810.766235
12,double,18000,18000,18000,14.367906,811.809345
12,double,18000,18000,18000,14.440505,807.727993
12,double,18000,18000,18000,14.374922,811.413101
12,double,18000,18000,18000,14.426149,808.531763
12,double,18000,18000,18000,14.398878,810.063133
12,double,18000,18000,18000,14.322621,814.376095
12,double,18500,18500,18500,15.891561,796.853730
12,double,18500,18500,18500,15.682794,807.461338
12,double,18500,18500,18500,15.711653,805.978226
12,double,18500,18500,18500,15.767360,803.130629
12,double,18500,18500,18500,15.684497,807.373651
12,double,18500,18500,18500,15.718643,805.619786
12,double,18500,18500,18500,15.663090,808.477141
12,double,19000,19000,19000,17.099184,802.260516
12,double,19000,19000,19000,16.929168,810.317458
12,double,19000,19000,19000,16.943868,809.614434
12,double,19000,19000,19000,16.970290,808.353912
12,double,19000,19000,19000,17.083171,803.012492
12,double,19000,19000,19000,16.985349,807.637239
12,double,19000,19000,19000,17.036966,805.190311
12,double,19500,19500,19500,18.561473,798.953300
12,double,19500,19500,19500,18.369565,807.300004
12,double,19500,19500,19500,18.270396,811.681902
12,double,19500,19500,19500,18.290267,810.800092
12,double,19500,19500,19500,18.258901,812.192913
12,double,19500,19500,19500,18.361033,807.675155
12,double,19500,19500,19500,18.350052,808.158489
12,double,20000,20000,20000,19.713505,811.626333
12,double,20000,20000,20000,20.178205,792.934760
12,double,20000,20000,20000,19.795183,808.277442
12,double,20000,20000,20000,19.741408,810.479166
12,double,20000,20000,20000,19.887151,804.539587
12,double,20000,20000,20000,19.737728,810.630295
12,double,20000,20000,20000,20.049140,798.039199
