omp_threads,type,n,m,k,time,GFlops
12,double,2000,2000,2000,0.027151,589.291361
12,double,2000,2000,2000,0.026542,602.822013
12,double,2000,2000,2000,0.026586,601.818198
12,double,2000,2000,2000,0.095740,167.119053
12,double,2000,2000,2000,0.026918,594.392567
12,double,2000,2000,2000,0.026856,595.763954
12,double,2000,2000,2000,0.026492,603.948479
12,double,2500,2500,2500,0.046622,670.285939
12,double,2500,2500,2500,0.046629,670.183532
12,double,2500,2500,2500,0.047666,655.607151
12,double,2500,2500,2500,0.046953,665.554910
12,double,2500,2500,2500,0.047387,659.466154
12,double,2500,2500,2500,0.047462,658.424373
12,double,2500,2500,2500,0.046632,670.138219
12,double,3000,3000,3000,0.075517,715.071404
12,double,3000,3000,3000,0.075468,715.535014
12,double,3000,3000,3000,0.075684,713.490126
12,double,3000,3000,3000,0.076935,701.891398
12,double,3000,3000,3000,0.075600,714.288048
12,double,3000,3000,3000,0.076043,710.126841
12,double,3000,3000,3000,0.075507,715.167253
12,double,3500,3500,3500,0.114241,750.608573
12,double,3500,3500,3500,0.114867,746.517888
12,double,3500,3500,3500,0.114206,750.839134
12,double,3500,3500,3500,0.114453,749.213446
12,double,3500,3500,3500,0.114279,750.355993
12,double,3500,3500,3500,0.114561,748.508005
12,double,3500,3500,3500,0.115030,745.459787
12,double,4000,4000,4000,0.163825,781.320297
12,double,4000,4000,4000,0.163559,782.594176
12,double,4000,4000,4000,0.163566,782.557603
12,double,4000,4000,4000,0.163458,783.077888
12,double,4000,4000,4000,0.164041,780.293012
12,double,4000,4000,4000,0.163380,783.448505
12,double,4000,4000,4000,0.163481,782.963876
12,double,4500,4500,4500,0.228476,797.678250
12,double,4500,4500,4500,0.228198,798.648976
12,double,4500,4500,4500,0.228459,797.736954
12,double,4500,4500,4500,0.228342,798.144940
12,double,4500,4500,4500,0.228435,797.818349
12,double,4500,4500,4500,0.228225,798.553600
12,double,4500,4500,4500,0.228528,797.494060
12,double,5000,5000,5000,0.315053,793.517241
12,double,5000,5000,5000,0.315061,793.497898
12,double,5000,5000,5000,0.314978,793.705781
12,double,5000,5000,5000,0.315219,793.098404
12,double,5000,5000,5000,0.314647,794.540078
12,double,5000,5000,5000,0.314955,793.764211
12,double,5000,5000,5000,0.314907,793.886409
12,double,5500,5500,5500,0.412394,806.873817
12,double,5500,5500,5500,0.412439,806.785672
12,double,5500,5500,5500,0.412576,806.517579
12,double,5500,5500,5500,0.412555,806.558602
12,double,5500,5500,5500,0.412978,805.732936
12,double,5500,5500,5500,0.412757,806.164915
12,double,5500,5500,5500,0.412403,806.856923
12,double,6000,6000,6000,0.529493,815.874990
12,double,6000,6000,6000,0.530177,814.822977
12,double,6000,6000,6000,0.530155,814.856268
12,double,6000,6000,6000,0.529368,816.067872
12,double,6000,6000,6000,0.529626,815.669163
12,double,6000,6000,6000,0.529641,815.646649
12,double,6000,6000,6000,0.529270,816.218574
12,double,6500,6500,6500,0.672204,817.088555
12,double,6500,6500,6500,0.673231,815.841250
12,double,6500,6500,6500,0.672308,816.961685
12,double,6500,6500,6500,0.672463,816.773027
12,double,6500,6500,6500,0.672577,816.635620
12,double,6500,6500,6500,0.672185,817.111814
12,double,6500,6500,6500,0.672515,816.710713
12,double,7000,7000,7000,0.845133,811.706106
12,double,7000,7000,7000,0.845853,811.015580
12,double,7000,7000,7000,0.846080,810.798228
12,double,7000,7000,7000,0.845994,810.880412
12,double,7000,7000,7000,0.845187,811.655120
12,double,7000,7000,7000,0.846129,810.751017
12,double,7000,7000,7000,0.845540,811.315749
12,double,7500,7500,7500,1.034815,815.362902
12,double,7500,7500,7500,1.036013,814.420153
12,double,7500,7500,7500,1.035048,815.179624
12,double,7500,7500,7500,1.034768,815.400311
12,double,7500,7500,7500,1.035882,814.522979
12,double,7500,7500,7500,1.034648,815.495132
12,double,7500,7500,7500,1.034025,815.986322
12,double,8000,8000,8000,1.247729,820.691158
12,double,8000,8000,8000,1.247332,820.952006
12,double,8000,8000,8000,1.247630,820.756096
12,double,8000,8000,8000,1.246744,821.339464
12,double,8000,8000,8000,1.247329,820.954251
12,double,8000,8000,8000,1.246886,821.246187
12,double,8000,8000,8000,1.246996,821.173352
12,double,8500,8500,8500,1.510390,813.200529
12,double,8500,8500,8500,1.509929,813.448983
12,double,8500,8500,8500,1.509276,813.801014
12,double,8500,8500,8500,1.511339,812.690077
12,double,8500,8500,8500,1.510170,813.319246
12,double,8500,8500,8500,1.509130,813.879396
12,double,8500,8500,8500,1.509780,813.529092
12,double,9000,9000,9000,1.766287,825.460413
12,double,9000,9000,9000,1.766530,825.347062
12,double,9000,9000,9000,1.766243,825.480844
12,double,9000,9000,9000,1.765555,825.802665
12,double,9000,9000,9000,1.765227,825.956137
12,double,9000,9000,9000,1.766244,825.480602
12,double,9000,9000,9000,1.765651,825.757939
12,double,9500,9500,9500,2.072216,827.495704
12,double,9500,9500,9500,2.074390,826.628655
12,double,9500,9500,9500,2.074056,826.761670
12,double,9500,9500,9500,2.074227,826.693554
12,double,9500,9500,9500,2.072548,827.363147
12,double,9500,9500,9500,2.074451,826.604402
12,double,9500,9500,9500,2.073107,827.140199
12,double,10000,10000,10000,2.436930,820.704644
12,double,10000,10000,10000,2.436071,820.994008
12,double,10000,10000,10000,2.437221,820.606612
12,double,10000,10000,10000,2.436555,820.831034
12,double,10000,10000,10000,2.435917,821.046095
12,double,10000,10000,10000,2.435995,821.019677
12,double,10000,10000,10000,2.437196,820.615244
12,double,10500,10500,10500,2.826660,819.076256
12,double,10500,10500,10500,2.824166,819.799533
12,double,10500,10500,10500,2.827274,818.898480
12,double,10500,10500,10500,2.827166,818.929641
12,double,10500,10500,10500,2.827279,818.896914
12,double,10500,10500,10500,2.824118,819.813511
12,double,10500,10500,10500,2.826520,819.116787
12,double,11000,11000,11000,3.234494,823.003445
12,double,11000,11000,11000,3.235371,822.780387
12,double,11000,11000,11000,3.236243,822.558726
12,double,11000,11000,11000,3.235989,822.623198
12,double,11000,11000,11000,3.235844,822.660112
12,double,11000,11000,11000,3.235931,822.638045
12,double,11000,11000,11000,3.235393,822.774878
12,double,11500,11500,11500,3.682104,826.090255
12,double,11500,11500,11500,3.681093,826.317080
12,double,11500,11500,11500,3.674941,827.700334
12,double,11500,11500,11500,3.681358,826.257551
12,double,11500,11500,11500,3.675637,827.543564
12,double,11500,11500,11500,3.681025,826.332416
12,double,11500,11500,11500,3.683732,825.724997
12,double,12000,12000,12000,4.262461,810.799297
12,double,12000,12000,12000,4.183301,826.141788
12,double,12000,12000,12000,4.184140,825.976186
12,double,12000,12000,12000,4.262471,810.797398
12,double,12000,12000,12000,4.262592,810.774378
12,double,12000,12000,12000,4.197000,823.445312
12,double,12000,12000,12000,4.181758,826.446665
12,double,12500,12500,12500,4.728422,826.121220
12,double,12500,12500,12500,4.738154,824.424385
12,double,12500,12500,12500,4.727627,826.260235
12,double,12500,12500,12500,4.729776,825.884698
12,double,12500,12500,12500,4.737276,824.577279
12,double,12500,12500,12500,4.728380,826.128598
12,double,12500,12500,12500,4.728326,826.138031
12,double,13000,13000,13000,5.321193,825.754685
12,double,13000,13000,13000,5.317008,826.404596
12,double,13000,13000,13000,5.404723,812.992685
12,double,13000,13000,13000,5.311678,827.233915
12,double,13000,13000,13000,5.311663,827.236237
12,double,13000,13000,13000,5.329316,824.495983
12,double,13000,13000,13000,5.404593,813.012221
12,double,13500,13500,13500,5.983766,822.350062
12,double,13500,13500,13500,5.953965,826.466118
12,double,13500,13500,13500,5.952411,826.681818
12,double,13500,13500,13500,5.981305,822.688350
12,double,13500,13500,13500,5.945336,827.665595
12,double,13500,13500,13500,5.984615,822.233281
12,double,13500,13500,13500,5.983602,822.372499
12,double,14000,14000,14000,6.644548,825.940281
12,double,14000,14000,14000,6.644984,825.886080
12,double,14000,14000,14000,6.644859,825.901668
12,double,14000,14000,14000,6.634144,827.235587
12,double,14000,14000,14000,6.648297,825.474495
12,double,14000,14000,14000,6.635020,827.126336
12,double,14000,14000,14000,6.646968,825.639590
12,double,14500,14500,14500,7.375700,826.667314
12,double,14500,14500,14500,7.361667,828.243065
12,double,14500,14500,14500,7.360449,828.380178
12,double,14500,14500,14500,7.371605,827.126475
12,double,14500,14500,14500,7.362259,828.176503
12,double,14500,14500,14500,7.362082,828.196406
12,double,14500,14500,14500,7.372517,827.024235
12,double,15000,15000,15000,8.178325,825.352349
12,double,15000,15000,15000,8.178765,825.308012
12,double,15000,15000,15000,8.176079,825.579106
12,double,15000,15000,15000,8.210044,822.163690
12,double,15000,15000,15000,8.238562,819.317782
12,double,15000,15000,15000,8.177290,825.456821
12,double,15000,15000,15000,8.178609,825.323718
12,double,15500,15500,15500,9.013944,826.247644
12,double,15500,15500,15500,9.019291,825.757784
12,double,15500,15500,15500,9.142419,814.636706
12,double,15500,15500,15500,9.141086,814.755452
12,double,15500,15500,15500,9.020141,825.679960
12,double,15500,15500,15500,9.017788,825.895418
12,double,15500,15500,15500,9.018075,825.869122
12,double,16000,16000,16000,9.938209,824.293362
12,double,16000,16000,16000,9.936971,824.396088
12,double,16000,16000,16000,9.941485,824.021794
12,double,16000,16000,16000,9.934695,824.584963
12,double,16000,16000,16000,9.942379,823.947692
12,double,16000,16000,16000,9.937970,824.313183
12,double,16000,16000,16000,9.942060,823.974074
12,double,16500,16500,16500,10.878423,825.877989
12,double,16500,16500,16500,10.846033,828.344301
12,double,16500,16500,16500,10.833133,829.330705
12,double,16500,16500,16500,10.813491,830.837145
12,double,16500,16500,16500,10.819025,830.412138
12,double,16500,16500,16500,10.848184,828.180120
12,double,16500,16500,16500,10.813867,830.808224
12,double,17000,17000,17000,11.915457,824.643149
12,double,17000,17000,17000,11.918022,824.465694
12,double,17000,17000,17000,11.919688,824.350467
12,double,17000,17000,17000,11.913967,824.746274
12,double,17000,17000,17000,11.913615,824.770640
12,double,17000,17000,17000,11.912291,824.862354
12,double,17000,17000,17000,11.916455,824.574101
12,double,17500,17500,17500,12.980495,825.758204
12,double,17500,17500,17500,12.977059,825.976826
12,double,17500,17500,17500,12.980250,825.773791
12,double,17500,17500,17500,12.979508,825.820994
12,double,17500,17500,17500,12.980388,825.764987
12,double,17500,17500,17500,12.975838,826.054527
12,double,17500,17500,17500,12.979008,825.852768
12,double,18000,18000,18000,14.057435,829.738836
12,double,18000,18000,18000,14.034552,831.091726
12,double,18000,18000,18000,14.032547,831.210476
12,double,18000,18000,18000,14.058850,829.655335
12,double,18000,18000,18000,14.031139,831.293904
12,double,18000,18000,18000,14.068891,829.063191
12,double,18000,18000,18000,14.061308,829.510317
12,double,18500,18500,18500,15.408961,821.810786
12,double,18500,18500,18500,15.334773,825.786612
12,double,18500,18500,18500,15.338201,825.602038
12,double,18500,18500,18500,15.346369,825.162612
12,double,18500,18500,18500,15.343515,825.316092
12,double,18500,18500,18500,15.327832,826.160521
12,double,18500,18500,18500,15.361754,824.336189
12,double,19000,19000,19000,16.528979,829.936314
12,double,19000,19000,19000,16.534177,829.675405
12,double,19000,19000,19000,16.536097,829.579076
12,double,19000,19000,19000,16.534755,829.646400
12,double,19000,19000,19000,16.528104,829.980244
12,double,19000,19000,19000,16.531897,829.789847
12,double,19000,19000,19000,16.534202,829.674148
12,double,19500,19500,19500,17.929579,827.110906
12,double,19500,19500,19500,17.951918,826.081630
12,double,19500,19500,19500,17.937993,826.722909
12,double,19500,19500,19500,17.923132,827.408390
12,double,19500,19500,19500,17.918166,827.637713
12,double,19500,19500,19500,17.950550,826.144605
12,double,19500,19500,19500,17.950359,826.153392
12,double,20000,20000,20000,19.287137,829.568439
12,double,20000,20000,20000,19.299375,829.042385
12,double,20000,20000,20000,19.400534,824.719576
12,double,20000,20000,20000,19.293062,829.313668
12,double,20000,20000,20000,19.381338,825.536391
12,double,20000,20000,20000,19.388454,825.233389
12,double,20000,20000,20000,19.298691,829.071780
