omp_threads,type,n,m,k,time,GFlops
12,double,2000,2000,2000,0.082581,193.748281
12,double,2000,2000,2000,0.026772,597.642986
12,double,2000,2000,2000,0.027048,591.537421
12,double,2000,2000,2000,0.026824,596.475160
12,double,2000,2000,2000,0.026892,594.973102
12,double,2000,2000,2000,0.027129,589.782758
12,double,2000,2000,2000,0.026453,604.854128
12,double,2500,2500,2500,0.049849,626.887395
12,double,2500,2500,2500,0.050357,620.568557
12,double,2500,2500,2500,0.049651,629.396232
12,double,2500,2500,2500,0.049923,625.969853
12,double,2500,2500,2500,0.049680,629.019953
12,double,2500,2500,2500,0.049660,629.274447
12,double,2500,2500,2500,0.049317,633.656110
12,double,3000,3000,3000,0.078780,685.449585
12,double,3000,3000,3000,0.078945,684.019204
12,double,3000,3000,3000,0.078925,684.194913
12,double,3000,3000,3000,0.078712,686.046018
12,double,3000,3000,3000,0.078583,687.171255
12,double,3000,3000,3000,0.078827,685.045846
12,double,3000,3000,3000,0.079028,683.299691
12,double,3500,3500,3500,0.124448,689.045282
12,double,3500,3500,3500,0.124321,689.745572
12,double,3500,3500,3500,0.128390,667.885903
12,double,3500,3500,3500,0.124063,691.183055
12,double,3500,3500,3500,0.124846,686.845441
12,double,3500,3500,3500,0.121852,703.721498
12,double,3500,3500,3500,0.126235,679.290044
12,double,4000,4000,4000,0.168619,759.107320
12,double,4000,4000,4000,0.169232,756.357327
12,double,4000,4000,4000,0.168954,757.602293
12,double,4000,4000,4000,0.168843,758.098709
12,double,4000,4000,4000,0.168670,758.878787
12,double,4000,4000,4000,0.170404,751.157161
12,double,4000,4000,4000,0.169613,754.658829
12,double,4500,4500,4500,0.238901,762.867199
12,double,4500,4500,4500,0.242417,751.804464
12,double,4500,4500,4500,0.241671,754.123042
12,double,4500,4500,4500,0.239607,760.619913
12,double,4500,4500,4500,0.241002,756.216623
12,double,4500,4500,4500,0.238225,765.034110
12,double,4500,4500,4500,0.239350,761.435638
12,double,5000,5000,5000,0.334021,748.456077
12,double,5000,5000,5000,0.330865,755.594470
12,double,5000,5000,5000,0.330792,755.762045
12,double,5000,5000,5000,0.330263,756.973184
12,double,5000,5000,5000,0.329821,757.986262
12,double,5000,5000,5000,0.331732,753.620510
12,double,5000,5000,5000,0.330437,756.574044
12,double,5500,5500,5500,0.436316,762.636067
12,double,5500,5500,5500,0.436129,762.962485
12,double,5500,5500,5500,0.435930,763.310212
12,double,5500,5500,5500,0.436607,762.127636
12,double,5500,5500,5500,0.433535,767.528291
12,double,5500,5500,5500,0.435595,763.897801
12,double,5500,5500,5500,0.433862,766.949799
12,double,6000,6000,6000,0.553819,780.037915
12,double,6000,6000,6000,0.558081,774.080738
12,double,6000,6000,6000,0.551736,782.983665
12,double,6000,6000,6000,0.550558,784.658544
12,double,6000,6000,6000,0.552461,781.956156
12,double,6000,6000,6000,0.552506,781.892335
12,double,6000,6000,6000,0.552586,781.779391
12,double,6500,6500,6500,0.697991,786.901009
12,double,6500,6500,6500,0.702379,781.985640
12,double,6500,6500,6500,0.693706,791.762009
