omp_threads,type,n,m,k,time,GFlops
12,double,2000,2000,2000,0.079284,201.807331
12,double,2000,2000,2000,0.023877,670.103909
12,double,2000,2000,2000,0.023917,668.971329
12,double,2000,2000,2000,0.026252,609.466346
12,double,2000,2000,2000,0.023371,684.596740
12,double,2000,2000,2000,0.024061,664.971516
12,double,2000,2000,2000,0.023657,676.325182
12,double,2500,2500,2500,0.044980,694.747385
12,double,2500,2500,2500,0.044464,702.816868
12,double,2500,2500,2500,0.044464,702.816741
12,double,2500,2500,2500,0.044503,702.196380
12,double,2500,2500,2500,0.044507,702.133161
12,double,2500,2500,2500,0.045026,694.046324
12,double,2500,2500,2500,0.044684,699.362627
12,double,3000,3000,3000,0.073025,739.475406
12,double,3000,3000,3000,0.073362,736.078366
12,double,3000,3000,3000,0.073399,735.708144
12,double,3000,3000,3000,0.073467,735.023828
12,double,3000,3000,3000,0.073701,732.685939
12,double,3000,3000,3000,0.073150,738.209916
12,double,3000,3000,3000,0.073824,731.473117
12,double,3500,3500,3500,0.113909,752.796309
12,double,3500,3500,3500,0.113594,754.882756
12,double,3500,3500,3500,0.113929,752.661501
12,double,3500,3500,3500,0.113556,755.134922
12,double,3500,3500,3500,0.113464,755.746423
12,double,3500,3500,3500,0.113595,754.874894
12,double,3500,3500,3500,0.114284,750.326296
12,double,4000,4000,4000,0.162637,787.027625
12,double,4000,4000,4000,0.164750,776.932778
12,double,4000,4000,4000,0.165500,773.412827
12,double,4000,4000,4000,0.163332,783.678413
12,double,4000,4000,4000,0.165761,772.194143
12,double,4000,4000,4000,0.165044,775.548906
12,double,4000,4000,4000,0.162986,785.343570
12,double,4500,4500,4500,0.232779,782.932412
12,double,4500,4500,4500,0.233792,779.538114
12,double,4500,4500,4500,0.246202,740.246960
12,double,4500,4500,4500,0.231486,787.303720
12,double,4500,4500,4500,0.232210,784.851178
12,double,4500,4500,4500,0.235374,774.298286
12,double,4500,4500,4500,0.234922,775.790204
12,double,5000,5000,5000,0.324663,770.029864
12,double,5000,5000,5000,0.325331,768.447837
12,double,5000,5000,5000,0.325411,768.258336
12,double,5000,5000,5000,0.324940,769.371777
12,double,5000,5000,5000,0.334891,746.511638
12,double,5000,5000,5000,0.326300,766.165255
12,double,5000,5000,5000,0.326706,765.213657
12,double,5500,5500,5500,0.421451,789.533686
12,double,5500,5500,5500,0.421274,789.865820
12,double,5500,5500,5500,0.421830,788.825325
12,double,5500,5500,5500,0.419504,793.198311
12,double,5500,5500,5500,0.421819,788.844793
12,double,5500,5500,5500,0.421302,789.814302
12,double,5500,5500,5500,0.421296,789.824105
12,double,6000,6000,6000,0.539785,800.318155
12,double,6000,6000,6000,0.538230,802.630397
12,double,6000,6000,6000,0.538162,802.732487
12,double,6000,6000,6000,0.538538,802.172195
12,double,6000,6000,6000,0.538195,802.682568
12,double,6000,6000,6000,0.537978,803.007223
12,double,6000,6000,6000,0.539422,800.856745
12,double,6500,6500,6500,0.679238,808.627043
12,double,6500,6500,6500,0.679296,808.557977
12,double,6500,6500,6500,0.679857,807.891025
