omp_threads,type,n,m,k,time,GFlops
12,float,2000,2000,2000,0.021363,748.947857
12,float,2000,2000,2000,0.016938,944.640356
12,float,2000,2000,2000,0.016591,964.405307
12,float,2000,2000,2000,0.016493,970.094591
12,float,2000,2000,2000,0.017055,938.151759
12,float,2000,2000,2000,0.016771,954.028355
12,float,2000,2000,2000,0.016647,961.146032
12,float,2500,2500,2500,0.027430,1139.280651
12,float,2500,2500,2500,0.027450,1138.421530
12,float,2500,2500,2500,0.027249,1146.831161
12,float,2500,2500,2500,0.027448,1138.514767
12,float,2500,2500,2500,0.027446,1138.617810
12,float,2500,2500,2500,0.028896,1081.448619
12,float,2500,2500,2500,0.027954,1117.897954
12,float,3000,3000,3000,0.041637,1296.927770
12,float,3000,3000,3000,0.042125,1281.899810
12,float,3000,3000,3000,0.041594,1298.275534
12,float,3000,3000,3000,0.041843,1290.527924
12,float,3000,3000,3000,0.041751,1293.382845
12,float,3000,3000,3000,0.041785,1292.344691
12,float,3000,3000,3000,0.041564,1299.195418
12,float,3500,3500,3500,0.064594,1327.530654
12,float,3500,3500,3500,0.064739,1324.544373
12,float,3500,3500,3500,0.064545,1328.520644
12,float,3500,3500,3500,0.064413,1331.258423
12,float,3500,3500,3500,0.064882,1321.638123
12,float,3500,3500,3500,0.064409,1331.337709
12,float,3500,3500,3500,0.064530,1328.834728
12,float,4000,4000,4000,0.089399,1431.780198
12,float,4000,4000,4000,0.090079,1420.970505
12,float,4000,4000,4000,0.089113,1436.377161
12,float,4000,4000,4000,0.089658,1427.655068
12,float,4000,4000,4000,0.089393,1431.876474
12,float,4000,4000,4000,0.089324,1432.984509
12,float,4000,4000,4000,0.089417,1431.494585
12,float,4500,4500,4500,0.125859,1448.051907
12,float,4500,4500,4500,0.125683,1450.079965
12,float,4500,4500,4500,0.125408,1453.257243
12,float,4500,4500,4500,0.125514,1452.033987
12,float,4500,4500,4500,0.125307,1454.433438
12,float,4500,4500,4500,0.125402,1453.330554
12,float,4500,4500,4500,0.125447,1452.800497
12,float,5000,5000,5000,0.173647,1439.706024
12,float,5000,5000,5000,0.173608,1440.027506
12,float,5000,5000,5000,0.172832,1446.490051
12,float,5000,5000,5000,0.173087,1444.361410
12,float,5000,5000,5000,0.172821,1446.584171
12,float,5000,5000,5000,0.173107,1444.190940
12,float,5000,5000,5000,0.173454,1441.307206
12,float,5500,5500,5500,0.222786,1493.585619
12,float,5500,5500,5500,0.222447,1495.862595
12,float,5500,5500,5500,0.223447,1489.165274
12,float,5500,5500,5500,0.222368,1496.390405
12,float,5500,5500,5500,0.222486,1495.600241
12,float,5500,5500,5500,0.221982,1498.994833
12,float,5500,5500,5500,0.223199,1490.822185
12,float,6000,6000,6000,0.285968,1510.657775
12,float,6000,6000,6000,0.286196,1509.453814
12,float,6000,6000,6000,0.285969,1510.653622
12,float,6000,6000,6000,0.285834,1511.367018
12,float,6000,6000,6000,0.286780,1506.381650
12,float,6000,6000,6000,0.285797,1511.562498
12,float,6000,6000,6000,0.286401,1508.372367
12,float,6500,6500,6500,0.356665,1539.962298
12,float,6500,6500,6500,0.353237,1554.906380
12,float,6500,6500,6500,0.356124,1542.300930
12,float,6500,6500,6500,0.357239,1537.485528
12,float,6500,6500,6500,0.354555,1549.123002
12,float,6500,6500,6500,0.354490,1549.408687
12,float,6500,6500,6500,0.356110,1542.359588
12,float,7000,7000,7000,0.441912,1552.345924
12,float,7000,7000,7000,0.442124,1551.600943
12,float,7000,7000,7000,0.441730,1552.985400
12,float,7000,7000,7000,0.441533,1553.676889
12,float,7000,7000,7000,0.442535,1550.161142
12,float,7000,7000,7000,0.441810,1552.703321
12,float,7000,7000,7000,0.441240,1554.710713
12,float,7500,7500,7500,0.540169,1562.012082
12,float,7500,7500,7500,0.539700,1563.367646
12,float,7500,7500,7500,0.539972,1562.580502
12,float,7500,7500,7500,0.540655,1560.606880
12,float,7500,7500,7500,0.540656,1560.604343
12,float,7500,7500,7500,0.540758,1560.308752
12,float,7500,7500,7500,0.540199,1561.923228
12,float,8000,8000,8000,0.648850,1578.177363
12,float,8000,8000,8000,0.648817,1578.255907
12,float,8000,8000,8000,0.650269,1574.733170
12,float,8000,8000,8000,0.649084,1577.608913
12,float,8000,8000,8000,0.647227,1582.134053
12,float,8000,8000,8000,0.648383,1579.313642
12,float,8000,8000,8000,0.648230,1579.685435
12,float,8500,8500,8500,0.783687,1567.270179
12,float,8500,8500,8500,0.781715,1571.225217
12,float,8500,8500,8500,0.783899,1566.847158
12,float,8500,8500,8500,0.782382,1569.884737
12,float,8500,8500,8500,0.783964,1566.717689
12,float,8500,8500,8500,0.783474,1567.698009
12,float,8500,8500,8500,0.783594,1567.456547
12,float,9000,9000,9000,0.925261,1575.770897
12,float,9000,9000,9000,0.926982,1572.845535
12,float,9000,9000,9000,0.923970,1577.972696
12,float,9000,9000,9000,0.923840,1578.194839
12,float,9000,9000,9000,0.926258,1574.075640
12,float,9000,9000,9000,0.926324,1573.963410
12,float,9000,9000,9000,0.925794,1574.864589
12,float,9500,9500,9500,1.100010,1558.849845
12,float,9500,9500,9500,1.097774,1562.024478
12,float,9500,9500,9500,1.102580,1555.215430
12,float,9500,9500,9500,1.097918,1561.820203
12,float,9500,9500,9500,1.099975,1558.898584
12,float,9500,9500,9500,1.096578,1563.728043
12,float,9500,9500,9500,1.100636,1557.962960
12,float,10000,10000,10000,1.290866,1549.347033
12,float,10000,10000,10000,1.294693,1544.767286
12,float,10000,10000,10000,1.290387,1549.922298
12,float,10000,10000,10000,1.292582,1547.291105
12,float,10000,10000,10000,1.292404,1547.503303
12,float,10000,10000,10000,1.291198,1548.948675
12,float,10000,10000,10000,1.292889,1546.923104
12,float,10500,10500,10500,1.471146,1573.773069
12,float,10500,10500,10500,1.475688,1568.929700
12,float,10500,10500,10500,1.473027,1571.763235
12,float,10500,10500,10500,1.475159,1569.491568
12,float,10500,10500,10500,1.475246,1569.399269
12,float,10500,10500,10500,1.471751,1573.125675
12,float,10500,10500,10500,1.474224,1570.487242
12,float,11000,11000,11000,1.692364,1572.947276
12,float,11000,11000,11000,1.687103,1577.852265
12,float,11000,11000,11000,1.689525,1575.590464
12,float,11000,11000,11000,1.686814,1578.123219
12,float,11000,11000,11000,1.693545,1571.850943
12,float,11000,11000,11000,1.694740,1570.742449
12,float,11000,11000,11000,1.688729,1576.333421
12,float,11500,11500,11500,1.929622,1576.344720
12,float,11500,11500,11500,1.918281,1585.664778
12,float,11500,11500,11500,1.924254,1580.742306
12,float,11500,11500,11500,1.921097,1583.340023
12,float,11500,11500,11500,1.927458,1578.114715
12,float,11500,11500,11500,1.922391,1582.274562
12,float,11500,11500,11500,1.925474,1579.741058
12,float,12000,12000,12000,2.202534,1569.101613
12,float,12000,12000,12000,2.205957,1566.667298
12,float,12000,12000,12000,2.203692,1568.277507
12,float,12000,12000,12000,2.208840,1564.621899
12,float,12000,12000,12000,2.196917,1573.113393
12,float,12000,12000,12000,2.201999,1569.482652
