omp_threads,type,n,m,k,time,GFlops
12,float,2000,2000,2000,0.016802,952.288898
12,float,2000,2000,2000,0.015818,1011.487783
12,float,2000,2000,2000,0.015975,1001.556419
12,float,2000,2000,2000,0.016317,980.571748
12,float,2000,2000,2000,0.015740,1016.506994
12,float,2000,2000,2000,0.015524,1030.633985
12,float,2000,2000,2000,0.015909,1005.748608
12,float,2500,2500,2500,0.026093,1197.620992
12,float,2500,2500,2500,0.026392,1184.058189
12,float,2500,2500,2500,0.026091,1197.728677
12,float,2500,2500,2500,0.026024,1200.819939
12,float,2500,2500,2500,0.026301,1188.157541
12,float,2500,2500,2500,0.026200,1192.730155
12,float,2500,2500,2500,0.026088,1197.861681
12,float,3000,3000,3000,0.040370,1337.638018
12,float,3000,3000,3000,0.039781,1357.425354
12,float,3000,3000,3000,0.040199,1343.302027
12,float,3000,3000,3000,0.039812,1356.369886
12,float,3000,3000,3000,0.040014,1349.513129
12,float,3000,3000,3000,0.041103,1313.763960
12,float,3000,3000,3000,0.040081,1347.281892
12,float,3500,3500,3500,0.061927,1384.689740
12,float,3500,3500,3500,0.062325,1375.846338
12,float,3500,3500,3500,0.062297,1376.474467
12,float,3500,3500,3500,0.063374,1353.087752
12,float,3500,3500,3500,0.062375,1374.752496
12,float,3500,3500,3500,0.062202,1378.569734
12,float,3500,3500,3500,0.061845,1386.533421
12,float,4000,4000,4000,0.086144,1485.887240
12,float,4000,4000,4000,0.086043,1487.630492
12,float,4000,4000,4000,0.086498,1479.806269
12,float,4000,4000,4000,0.086032,1487.825213
12,float,4000,4000,4000,0.085812,1491.626649
12,float,4000,4000,4000,0.085979,1488.743535
12,float,4000,4000,4000,0.086213,1484.687255
12,float,4500,4500,4500,0.121646,1498.195852
12,float,4500,4500,4500,0.122619,1486.316978
12,float,4500,4500,4500,0.122290,1490.309127
12,float,4500,4500,4500,0.122638,1486.078999
12,float,4500,4500,4500,0.121568,1499.165415
12,float,4500,4500,4500,0.121420,1500.993015
12,float,4500,4500,4500,0.122364,1489.413251
12,float,5000,5000,5000,0.170916,1462.708983
12,float,5000,5000,5000,0.169751,1472.743170
12,float,5000,5000,5000,0.169877,1471.650940
12,float,5000,5000,5000,0.169744,1472.804225
12,float,5000,5000,5000,0.170283,1468.145190
12,float,5000,5000,5000,0.168192,1486.395828
12,float,5000,5000,5000,0.169134,1478.114560
12,float,5500,5500,5500,0.215306,1545.476880
12,float,5500,5500,5500,0.214127,1553.987003
12,float,5500,5500,5500,0.214187,1553.548820
12,float,5500,5500,5500,0.215441,1544.506148
12,float,5500,5500,5500,0.215046,1547.346007
12,float,5500,5500,5500,0.214439,1551.723790
12,float,5500,5500,5500,0.214094,1554.226597
12,float,6000,6000,6000,0.278580,1550.722902
12,float,6000,6000,6000,0.278430,1551.559274
12,float,6000,6000,6000,0.278924,1548.807901
12,float,6000,6000,6000,0.278658,1550.289752
12,float,6000,6000,6000,0.278999,1548.391698
12,float,6000,6000,6000,0.279569,1545.237913
12,float,6000,6000,6000,0.279225,1547.141022
12,float,6500,6500,6500,0.345986,1587.494035
12,float,6500,6500,6500,0.343575,1598.629830
12,float,6500,6500,6500,0.345421,1590.087696
12,float,6500,6500,6500,0.344856,1592.692012
12,float,6500,6500,6500,0.345868,1588.035109
12,float,6500,6500,6500,0.343168,1600.529537
12,float,6500,6500,6500,0.345736,1588.639758
12,float,7000,7000,7000,0.429100,1598.696321
12,float,7000,7000,7000,0.430188,1594.653090
12,float,7000,7000,7000,0.429003,1599.057580
12,float,7000,7000,7000,0.430137,1594.840777
12,float,7000,7000,7000,0.430667,1592.876363
12,float,7000,7000,7000,0.430546,1593.326572
12,float,7000,7000,7000,0.431405,1590.152316
12,float,7500,7500,7500,0.526447,1602.726381
12,float,7500,7500,7500,0.526502,1602.557297
12,float,7500,7500,7500,0.526085,1603.827446
12,float,7500,7500,7500,0.525037,1607.029780
12,float,7500,7500,7500,0.525505,1605.599359
12,float,7500,7500,7500,0.526329,1603.085481
12,float,7500,7500,7500,0.525469,1605.709133
12,float,8000,8000,8000,0.632073,1620.066941
12,float,8000,8000,8000,0.634340,1614.275955
12,float,8000,8000,8000,0.633503,1616.409978
12,float,8000,8000,8000,0.633379,1616.726159
12,float,8000,8000,8000,0.634098,1614.892315
