omp_threads,type,n,m,k,time,GFlops
12,float,2000,2000,2000,0.015453,1035.409316
12,float,2000,2000,2000,0.015185,1053.696575
12,float,2000,2000,2000,0.015578,1027.069113
12,float,2000,2000,2000,0.015863,1008.611589
12,float,2000,2000,2000,0.015761,1015.167619
12,float,2000,2000,2000,0.016499,969.730646
12,float,2000,2000,2000,0.015055,1062.741466
12,float,2500,2500,2500,0.025495,1225.730247
12,float,2500,2500,2500,0.025963,1203.622082
12,float,2500,2500,2500,0.025463,1227.258314
12,float,2500,2500,2500,0.025654,1218.120947
12,float,2500,2500,2500,0.026576,1175.872304
12,float,2500,2500,2500,0.025578,1221.759709
12,float,2500,2500,2500,0.025194,1240.365584
12,float,3000,3000,3000,0.041576,1298.813406
12,float,3000,3000,3000,0.041900,1288.794874
12,float,3000,3000,3000,0.041613,1297.656432
12,float,3000,3000,3000,0.041427,1303.488342
12,float,3000,3000,3000,0.041754,1293.276938
12,float,3000,3000,3000,0.040994,1317.273236
12,float,3000,3000,3000,0.041160,1311.963202
12,float,3500,3500,3500,0.063910,1341.740111
12,float,3500,3500,3500,0.064090,1337.971405
12,float,3500,3500,3500,0.063054,1359.950361
12,float,3500,3500,3500,0.062955,1362.083790
12,float,3500,3500,3500,0.062654,1368.626718
12,float,3500,3500,3500,0.062854,1364.279857
12,float,3500,3500,3500,0.062862,1364.090067
12,float,4000,4000,4000,0.088827,1441.009723
12,float,4000,4000,4000,0.088188,1451.443917
12,float,4000,4000,4000,0.088148,1452.099723
12,float,4000,4000,4000,0.088641,1444.029669
12,float,4000,4000,4000,0.089008,1438.072368
12,float,4000,4000,4000,0.088383,1448.240867
12,float,4000,4000,4000,0.088023,1454.157674
12,float,4500,4500,4500,0.124649,1462.102543
12,float,4500,4500,4500,0.128671,1416.400102
12,float,4500,4500,4500,0.124581,1462.906354
12,float,4500,4500,4500,0.124850,1459.751129
12,float,4500,4500,4500,0.124454,1464.397637
12,float,4500,4500,4500,0.124708,1461.409070
12,float,4500,4500,4500,0.124635,1462.268725
12,float,5000,5000,5000,0.172526,1449.059188
12,float,5000,5000,5000,0.168138,1486.871348
12,float,5000,5000,5000,0.168151,1486.758227
12,float,5000,5000,5000,0.167293,1494.379763
12,float,5000,5000,5000,0.167636,1491.324079
12,float,5000,5000,5000,0.170409,1467.058673
12,float,5000,5000,5000,0.168304,1485.404234
12,float,5500,5500,5500,0.223305,1490.114805
12,float,5500,5500,5500,0.223293,1490.196647
12,float,5500,5500,5500,0.224770,1480.400015
12,float,5500,5500,5500,0.222518,1495.381941
12,float,5500,5500,5500,0.224481,1482.308773
12,float,5500,5500,5500,0.222782,1493.615895
12,float,5500,5500,5500,0.222233,1497.302145
12,float,6000,6000,6000,0.286983,1505.317991
12,float,6000,6000,6000,0.287153,1504.424507
12,float,6000,6000,6000,0.286455,1508.089992
12,float,6000,6000,6000,0.287447,1502.884003
12,float,6000,6000,6000,0.287184,1504.261002
12,float,6000,6000,6000,0.287393,1503.165960
12,float,6000,6000,6000,0.286996,1505.247932
12,float,6500,6500,6500,0.354527,1549.248801
12,float,6500,6500,6500,0.355202,1546.304541
12,float,6500,6500,6500,0.354075,1551.225785
12,float,6500,6500,6500,0.354697,1548.502829
12,float,6500,6500,6500,0.353985,1551.619279
12,float,6500,6500,6500,0.353592,1553.344226
12,float,6500,6500,6500,0.354327,1550.121680
12,float,7000,7000,7000,0.441416,1554.088834
12,float,7000,7000,7000,0.441062,1555.337999
12,float,7000,7000,7000,0.441491,1553.826869
12,float,7000,7000,7000,0.441193,1554.875708
12,float,7000,7000,7000,0.440903,1555.898732
12,float,7000,7000,7000,0.441123,1555.120154
12,float,7000,7000,7000,0.440815,1556.209545
12,float,7500,7500,7500,0.531713,1586.852694
12,float,7500,7500,7500,0.532758,1583.739355
12,float,7500,7500,7500,0.532142,1585.572687
12,float,7500,7500,7500,0.531178,1588.451282
12,float,7500,7500,7500,0.531752,1586.735486
12,float,7500,7500,7500,0.532301,1585.100418
12,float,7500,7500,7500,0.531665,1586.995391
12,float,8000,8000,8000,0.644054,1589.929854
12,float,8000,8000,8000,0.645898,1585.389722
12,float,8000,8000,8000,0.643924,1590.250226
12,float,8000,8000,8000,0.644719,1588.288888
12,float,8000,8000,8000,0.643790,1590.580216
12,float,8000,8000,8000,0.643585,1591.086873
12,float,8000,8000,8000,0.643742,1590.700005
12,float,8500,8500,8500,0.775851,1583.100569
12,float,8500,8500,8500,0.775289,1584.248707
12,float,8500,8500,8500,0.778881,1576.941679
12,float,8500,8500,8500,0.776733,1581.301819
12,float,8500,8500,8500,0.776413,1581.953948
12,float,8500,8500,8500,0.775073,1584.690113
12,float,8500,8500,8500,0.778654,1577.401405
12,float,9000,9000,9000,0.910761,1600.858373
12,float,9000,9000,9000,0.916275,1591.225937
12,float,9000,9000,9000,0.911257,1599.987390
12,float,9000,9000,9000,0.910177,1601.886901
12,float,9000,9000,9000,0.908531,1604.788988
12,float,9000,9000,9000,0.908660,1604.561400
12,float,9000,9000,9000,0.911592,1599.399744
12,float,9500,9500,9500,1.132148,1514.598143
12,float,9500,9500,9500,1.136760,1508.453193
12,float,9500,9500,9500,1.123466,1526.302963
12,float,9500,9500,9500,1.123266,1526.575792
12,float,9500,9500,9500,1.133314,1513.040319
12,float,9500,9500,9500,1.132987,1513.477326
12,float,9500,9500,9500,1.134286,1511.744597
12,float,10000,10000,10000,1.297584,1541.326238
12,float,10000,10000,10000,1.309116,1527.748735
12,float,10000,10000,10000,1.303380,1534.471711
12,float,10000,10000,10000,1.290742,1549.495740
12,float,10000,10000,10000,1.294708,1544.750021
12,float,10000,10000,10000,1.297252,1541.720015
12,float,10000,10000,10000,1.283407,1558.352388
12,float,10500,10500,10500,1.491124,1552.687993
12,float,10500,10500,10500,1.486464,1557.554985
12,float,10500,10500,10500,1.490875,1552.946589
12,float,10500,10500,10500,1.485294,1558.782651
12,float,10500,10500,10500,1.531172,1512.077328
12,float,10500,10500,10500,1.484284,1559.843152
12,float,10500,10500,10500,1.495010,1548.652091
12,float,11000,11000,11000,1.713491,1553.553504
12,float,11000,11000,11000,1.713915,1553.169284
12,float,11000,11000,11000,1.711562,1555.304357
12,float,11000,11000,11000,1.712726,1554.247759
12,float,11000,11000,11000,1.711466,1555.391400
12,float,11000,11000,11000,1.709717,1556.982494
